#{"t_start": 1641394382.6669033, "env_id": "PandaReach-v2"}
r,l,t,is_success
-314.118227,50,4.836828,0.0
-297.947859,50,4.987762,0.0
-256.241279,50,5.130249,0.0
-289.580002,50,5.278411,0.0
-271.866354,50,5.419742,0.0
-235.752682,50,5.57488,0.0
-283.276862,50,5.714988,0.0
-229.859365,50,5.874277,0.0
-302.216738,50,6.025072,0.0
-272.166941,50,6.17265,0.0
-392.296458,50,6.632962,0.0
-272.084304,50,6.771218,0.0
-252.106247,50,6.914245,0.0
-419.532946,50,7.056734,0.0
-281.969591,50,7.200497,0.0
-407.053358,50,7.345934,0.0
-262.544725,50,7.498468,0.0
-301.534558,50,7.631589,0.0
-248.163763,50,7.760509,0.0
-374.1276,50,7.898533,0.0
-337.168885,50,8.308866,0.0
-224.340764,50,8.459626,0.0
-304.49191,50,8.602139,0.0
-236.246333,50,8.756415,0.0
-308.854084,50,8.906296,0.0
-263.555164,50,9.06555,0.0
-405.105139,50,9.209165,0.0
-209.657774,50,9.353408,0.0
-195.328996,50,9.565163,0.0
-295.621763,50,9.809366,0.0
-345.374357,50,10.556614,0.0
-322.600624,50,10.814611,0.0
-365.168212,50,11.051761,0.0
-355.723848,50,11.294471,0.0
-283.964126,50,11.535745,0.0
-189.31934,50,11.804677,0.0
-267.652683,50,12.059456,0.0
-306.435188,50,12.314784,0.0
-399.776709,50,12.572264,0.0
-189.282774,50,12.833732,0.0
-274.94059,50,13.587706,0.0
-313.434459,50,13.839564,0.0
-252.090513,50,14.093647,0.0
-298.149221,50,14.34545,0.0
-218.433168,50,14.607256,0.0
-356.328297,50,14.878443,0.0
-307.028272,50,15.153095,0.0
-285.69053,50,15.410474,0.0
-348.938022,50,15.672154,0.0
-277.972377,50,15.932069,0.0
-355.703757,50,16.190062,0.0
-275.566582,50,16.918042,0.0
-259.924342,50,17.058433,0.0
-323.138759,50,17.210666,0.0
-303.408693,50,17.350478,0.0
-481.242549,50,17.491441,0.0
-223.275383,50,17.634694,0.0
-291.728849,50,17.766943,0.0
-311.14625,50,17.907223,0.0
-232.322918,50,18.065818,0.0
-304.428704,50,18.216883,0.0
-476.730713,50,18.630448,0.0
-281.561035,50,18.773719,0.0
-244.733746,50,18.929811,0.0
-247.093706,50,19.081506,0.0
-241.624608,50,19.222246,0.0
-293.457995,50,19.368796,0.0
-283.755189,50,19.519662,0.0
-341.03613,50,19.664617,0.0
-244.941036,50,19.820493,0.0
-310.718297,50,19.96491,0.0
-198.411836,50,20.38005,0.0
-329.523715,50,20.509331,0.0
-315.183821,50,20.654546,0.0
-278.251919,50,20.795256,0.0
-211.643887,50,20.94504,0.0
-298.286711,50,21.090785,0.0
-272.184684,50,21.237462,0.0
-283.163353,50,21.372587,0.0
-409.528944,50,21.507387,0.0
-226.597766,50,21.639609,0.0
-323.944198,50,22.050112,0.0
-255.697189,50,22.187987,0.0
-269.564846,50,22.331932,0.0
-190.251336,50,22.487251,0.0
-345.442346,50,22.628029,0.0
-373.357254,50,22.772245,0.0
-339.053175,50,22.915619,0.0
-208.790029,50,23.059173,0.0
-365.038786,50,23.197602,0.0
-242.996827,50,23.342554,0.0
-310.995782,50,23.481416,0.0
-271.169676,50,23.888449,0.0
-273.509961,50,24.047018,0.0
-230.619185,50,24.203231,0.0
-271.115218,50,24.348725,0.0
-245.89045,50,24.491944,0.0
-264.176234,50,24.646662,0.0
-212.773314,50,24.798234,0.0
-322.003319,50,24.945096,0.0
-391.402425,50,25.090767,0.0
-334.11984,50,25.228108,0.0
-275.446973,50,25.686046,0.0
-271.542649,50,25.849864,0.0
-354.070831,50,26.007422,0.0
-258.183229,50,26.159623,0.0
-214.071311,50,26.30303,0.0
-258.802364,50,26.453053,0.0
-303.218034,50,26.604286,0.0
-300.477769,50,26.766098,0.0
-184.032655,50,26.945898,0.0
-278.518213,50,27.094294,0.0
-284.874217,50,27.515761,0.0
-221.719845,50,27.667497,0.0
-258.112942,50,27.8262,0.0
-357.475116,50,27.977208,0.0
-341.633649,50,28.12811,0.0
-275.3739,50,28.279613,0.0
-217.596295,50,28.426048,0.0
-337.542546,50,28.589674,0.0
-308.173259,50,28.744298,0.0
-323.799378,50,28.894969,0.0
-256.216028,50,29.317654,0.0
-244.870599,50,29.46911,0.0
-251.951032,50,29.622778,0.0
-253.26587,50,29.773412,0.0
-296.9474,50,29.928869,0.0
-223.866706,50,30.076712,0.0
-292.843117,50,30.233448,0.0
-253.559555,50,30.386322,0.0
-273.6696,50,30.529457,0.0
-286.051053,50,30.675225,0.0
-301.417185,50,30.834801,0.0
-218.340986,50,31.252755,0.0
-276.342465,50,31.397943,0.0
-303.835365,50,31.559559,0.0
-265.633336,50,31.702568,0.0
-396.066058,50,31.85326,0.0
-294.709352,50,31.9926,0.0
-215.7875,50,32.151357,0.0
-230.832963,50,32.296791,0.0
-264.751248,50,32.444482,0.0
-275.130944,50,32.606791,0.0
-201.706954,50,33.041451,0.0
-283.605187,50,33.180204,0.0
-249.944514,50,33.341547,0.0
-268.120218,50,33.475891,0.0
-341.278667,50,33.628211,0.0
-195.108209,50,33.788412,0.0
-345.912065,50,33.941369,0.0
-316.655584,50,34.081824,0.0
-231.83447,50,34.222259,0.0
-384.123971,50,34.364974,0.0
-209.352077,50,34.787136,0.0
-296.648998,50,34.940639,0.0
-194.354755,50,35.095831,0.0
-247.420786,50,35.259946,0.0
-354.437068,50,35.421947,0.0
-363.033362,50,35.573186,0.0
-434.777882,50,35.715883,0.0
-319.345509,50,35.85397,0.0
-243.474282,50,36.00751,0.0
-251.582171,50,36.151667,0.0
-296.510992,50,36.571802,0.0
-243.725596,50,36.721558,0.0
-227.393633,50,36.857562,0.0
-245.13581,50,37.00288,0.0
-217.36417,50,37.143856,0.0
-203.04604,50,37.298871,0.0
-214.215966,50,37.44944,0.0
-346.938729,50,37.603162,0.0
-257.832179,50,37.744524,0.0
-296.563389,50,37.885524,0.0
-196.408368,50,38.031166,0.0
-310.041884,50,38.448542,0.0
-286.057027,50,38.593143,0.0
-249.855457,50,38.748277,0.0
-193.829532,50,38.887079,0.0
-294.052791,50,39.047461,0.0
-216.84159,50,39.196016,0.0
-243.348864,50,39.340592,0.0
-290.501922,50,39.493888,0.0
-218.629694,50,39.639357,0.0
-275.494233,50,39.781017,0.0
-175.380661,50,40.204201,0.0
-253.46354,50,40.360532,0.0
-224.107227,50,40.506294,0.0
-256.353598,50,40.657015,0.0
-249.441019,50,40.808863,0.0
-204.452187,50,40.949795,1.0
-251.467531,50,41.091277,0.0
-209.831225,50,41.233914,0.0
-235.72414,50,41.37956,0.0
-272.04114,50,41.530514,0.0
-267.019019,50,41.956754,0.0
-344.860945,50,42.112207,0.0
-221.956558,50,42.263958,0.0
-217.534705,50,42.419008,0.0
-182.301513,50,42.572947,0.0
-349.281933,50,42.718682,0.0
-242.847239,50,43.67119,0.0
-212.050659,50,43.822745,0.0
-216.223865,50,43.972636,0.0
-324.853984,50,44.123155,0.0
-192.55692,50,44.544824,0.0
-367.825924,50,44.693655,0.0
-278.030622,50,44.877868,0.0
-302.082221,50,45.076943,0.0
-297.079281,50,45.27255,0.0
-252.121317,50,45.457715,0.0
-307.176296,50,45.597403,0.0
-278.852816,50,45.741353,0.0
-294.836665,50,45.882877,0.0
-280.586066,50,46.035411,0.0
-278.720061,50,46.169143,0.0
-330.415868,50,46.590058,0.0
-354.445905,50,46.741717,0.0
-226.321215,50,46.885718,0.0
-244.487718,50,47.032699,0.0
-246.833594,50,47.187742,0.0
-274.560152,50,47.343175,0.0
-316.480207,50,47.493976,0.0
-312.878952,50,47.63247,0.0
-247.720473,50,47.783576,0.0
-305.492818,50,47.931517,0.0
-363.63022,50,48.342115,0.0
-299.194665,50,48.496264,0.0
-185.646702,50,48.645325,0.0
-294.073288,50,48.793742,0.0
-239.350043,50,48.944293,0.0
-247.168687,50,49.083438,0.0
-232.705519,50,49.231875,0.0
-287.642475,50,49.378214,0.0
-381.612221,50,49.538247,0.0
-223.917449,50,49.675706,0.0
-318.50593,50,50.087816,0.0
-234.409858,50,50.230471,0.0
-212.487351,50,50.377027,0.0
-234.52807,50,50.520806,0.0
-313.140328,50,50.665567,0.0
-188.47539,50,50.826905,0.0
-154.039566,50,50.990456,0.0
-397.821985,50,51.129222,0.0
-343.127849,50,51.269418,0.0
-311.045212,50,51.422897,0.0
