#{"t_start": 1650849261.3952742, "env_id": "PandaReach-v2"}
r,l,t,is_success
-8.59662,50,1.175825,0.0
-10.747206,50,2.013544,0.0
-16.520724,50,2.865259,0.0
-10.608787,50,3.708908,0.0
-15.989347,50,4.551322,0.0
-27.258384,50,5.407986,0.0
-16.719751,50,6.242915,0.0
-11.851332,50,7.088773,0.0
-10.878499,50,7.932679,0.0
-6.543633,50,8.777711,0.0
-9.292271,50,15.396281,0.0
-8.559362,50,16.236858,0.0
-17.717064,50,17.07257,0.0
-10.945191,50,17.904267,0.0
-14.013444,50,18.741287,0.0
-12.004095,50,19.585457,0.0
-14.262233,50,20.424141,0.0
-11.566743,50,21.261415,0.0
-12.153705,50,22.101988,0.0
-15.60234,50,22.931639,0.0
-21.173342,50,29.570098,0.0
-10.285124,50,30.404811,0.0
-10.526299,50,31.231762,0.0
-15.855137,50,32.058298,0.0
-10.406637,50,32.89091,0.0
-15.086025,50,34.62815,0.0
-14.453693,50,35.480995,0.0
-11.947421,50,36.31065,0.0
-13.833189,50,37.143874,0.0
-16.24182,50,37.974053,0.0
-7.606012,50,44.570666,0.0
-8.519125,50,45.402385,0.0
-13.524708,50,46.242429,0.0
-5.878599,50,47.071626,0.0
-6.149811,50,47.917084,0.0
-8.166202,50,48.740366,0.0
-12.706477,50,49.582191,0.0
-7.874535,50,50.429582,0.0
-11.257001,50,51.256611,0.0
-8.915786,50,52.097731,0.0
-12.72035,50,58.68138,0.0
-8.828175,50,59.508856,0.0
-11.500812,50,60.332034,0.0
-8.262445,50,61.170968,0.0
-6.079289,50,62.014875,0.0
-7.768307,50,62.857438,0.0
-12.660802,50,63.686326,0.0
-7.961892,50,64.526242,0.0
-6.336331,50,65.350381,0.0
-6.812547,50,66.168835,0.0
-8.234523,50,67.845988,0.0
-9.674402,50,74.441826,0.0
-9.536735,50,75.266051,0.0
-10.411502,50,76.101844,0.0
-10.542021,50,76.930201,0.0
-10.10621,50,77.750333,0.0
-6.837761,50,78.634233,0.0
-13.721227,50,79.501738,0.0
-5.150981,50,80.353422,0.0
-6.05064,50,81.186892,0.0
-12.414019,50,82.012776,0.0
-11.123728,50,88.629086,0.0
-6.715198,50,89.4598,0.0
-12.085009,50,90.295904,0.0
-11.186438,50,91.110455,0.0
-9.403719,50,91.935071,0.0
-9.679234,50,92.767295,0.0
-4.055863,50,93.590494,0.0
-3.298763,50,94.417405,0.0
-9.847301,50,95.255461,0.0
-12.869063,50,96.09157,0.0
-6.218263,50,102.692793,0.0
-5.66367,50,103.517455,0.0
-6.669691,50,104.338333,0.0
-9.516891,50,105.16946,0.0
-7.741495,50,106.849764,0.0
-7.912794,50,107.673858,0.0
-14.154765,50,108.497611,0.0
-10.032516,50,109.318531,0.0
-5.52497,50,110.147318,0.0
-10.086705,50,110.97034,0.0
-5.280136,50,117.537053,0.0
-8.909783,50,118.36078,0.0
-5.183555,50,119.194716,0.0
-6.894473,50,120.008647,0.0
-9.023891,50,120.834574,0.0
-12.028341,50,121.659097,0.0
-7.244704,50,122.488295,0.0
-9.648203,50,123.309683,0.0
-5.547662,50,124.142536,0.0
-10.928348,50,124.977578,0.0
-5.233527,50,125.807402,0.0
-11.520298,50,132.399268,0.0
-13.593274,50,133.229154,0.0
-8.777362,50,134.045412,0.0
-11.396721,50,134.871204,0.0
-9.78376,50,135.697665,0.0
-13.774345,50,136.532143,0.0
-8.473148,50,137.356332,0.0
-8.230481,50,138.173714,0.0
-4.265385,50,139.859484,0.0
-3.911925,50,140.695779,0.0
-3.594731,50,147.308885,0.0
-6.719342,50,148.151756,0.0
-4.748123,50,148.984323,0.0
-3.79608,50,149.809919,0.0
-15.202681,50,150.634191,0.0
-4.473891,50,151.472908,0.0
-9.080683,50,152.308799,0.0
-12.865432,50,153.135919,0.0
-7.345405,50,153.977458,0.0
-4.414174,50,154.804531,0.0
-4.658157,50,161.376036,0.0
-5.628304,50,162.208582,0.0
-10.621183,50,163.03097,0.0
-4.062209,50,163.858362,0.0
-7.248079,50,164.682438,0.0
-5.252016,50,165.509501,0.0
-12.043511,50,166.328486,0.0
-9.788214,50,167.148234,0.0
-7.083237,50,167.961663,0.0
-6.710301,50,168.790232,0.0
-4.795323,50,175.401015,0.0
-14.834073,50,176.222159,0.0
-10.444583,50,177.045104,0.0
-4.772196,50,178.692495,0.0
-4.888354,50,179.530836,0.0
-3.76615,33,180.078404,1.0
-3.930958,50,180.914955,0.0
-11.900708,50,181.744457,0.0
-2.896644,50,182.569875,0.0
-12.730927,50,183.393343,0.0
-5.434402,50,184.217648,0.0
-4.905849,50,190.778817,0.0
-12.621997,50,191.607928,0.0
-4.369052,50,192.434167,0.0
-12.177755,50,193.262926,0.0
-3.163396,50,194.091509,0.0
-3.024367,50,194.916182,0.0
-13.879748,50,195.743439,0.0
-4.422644,50,196.569445,0.0
-3.554263,50,197.402503,0.0
-4.598679,50,198.244282,0.0
-4.040476,50,204.806398,0.0
-7.620001,50,205.639233,0.0
-3.784082,50,206.467606,0.0
-11.092441,50,207.288304,0.0
-3.619015,50,208.111649,0.0
-1.763246,16,208.374329,1.0
-3.800269,47,209.153994,1.0
-4.756616,50,209.983276,0.0
-14.699027,50,211.613134,0.0
-3.42952,50,212.44805,0.0
-14.328951,50,213.285178,0.0
-4.575988,50,219.854721,0.0
-2.455731,38,220.479859,1.0
-3.749575,50,221.309433,0.0
-9.531375,50,222.139738,0.0
-3.334109,50,222.994334,0.0
-5.418778,50,223.813529,0.0
-3.897456,50,224.6388,0.0
-3.19267,50,225.465606,0.0
-5.689695,50,226.293777,0.0
-2.800595,50,227.128669,0.0
-7.428458,50,227.957463,0.0
-9.400584,50,234.49383,0.0
-3.236633,50,235.333578,0.0
-12.068367,50,236.15803,0.0
-2.15658,43,236.863481,1.0
-4.043134,50,237.692805,0.0
-3.979384,50,238.523259,0.0
-3.102903,50,239.354802,0.0
-3.934106,50,240.193679,0.0
-7.039432,50,241.030977,0.0
-3.111276,50,241.851129,0.0
-5.696027,50,248.450773,0.0
-10.231946,50,250.089038,0.0
-3.009331,50,250.917488,0.0
-9.228417,50,251.750215,0.0
-6.061978,50,252.588855,0.0
-13.751323,50,253.420176,0.0
-9.31243,50,254.246131,0.0
-3.43436,50,255.073604,0.0
-2.190664,36,255.670487,1.0
-3.063946,50,256.498618,0.0
-11.776404,50,257.327588,0.0
-2.513257,45,263.820536,1.0
-4.153771,50,264.639664,0.0
-2.951713,50,265.481725,0.0
-6.225694,50,266.31919,0.0
-3.272326,50,267.146293,0.0
-6.582993,50,267.990137,0.0
-3.200972,50,268.834083,0.0
-1.966944,35,269.415472,1.0
-7.699695,50,270.252485,0.0
-0.646629,12,270.452972,1.0
-14.068837,50,271.286251,0.0
-2.69892,50,277.873126,0.0
-13.447471,50,278.700322,0.0
-0.984966,15,278.944277,1.0
-3.909624,50,279.772821,0.0
-10.255854,50,280.611395,0.0
-3.56615,50,281.445881,0.0
-14.003929,50,283.049004,0.0
-12.490422,50,283.88059,0.0
-8.952536,50,284.702854,0.0
-14.148409,50,285.535156,0.0
-12.02289,50,286.372955,0.0
-3.300844,50,292.928773,0.0
-6.688366,50,293.761599,0.0
-10.242055,50,294.590673,0.0
-2.778849,45,295.335295,1.0
-4.308165,50,296.168008,0.0
-3.359969,50,296.990672,0.0
-14.644879,50,297.813857,0.0
-2.910002,50,298.653415,0.0
-13.186351,50,299.484438,0.0
-0.048158,3,299.534277,1.0
-2.550516,50,300.361391,0.0
-3.366818,50,306.933098,0.0
-8.920063,50,307.762961,0.0
-0.695895,10,307.930618,1.0
-2.932992,50,308.766852,0.0
-5.605228,50,309.608564,0.0
-2.736142,50,310.46174,0.0
-1.498029,26,310.901005,1.0
-1.72709,44,311.647562,1.0
-7.666842,50,312.472075,0.0
-10.964522,50,313.308511,0.0
-2.506102,50,314.149189,0.0
-2.406145,49,314.96367,1.0
-2.791609,50,322.332867,0.0
-4.718892,50,323.164712,0.0
-3.120012,50,324.000978,0.0
-15.128712,50,324.844716,0.0
-5.629924,50,325.670589,0.0
-3.114585,50,326.500116,0.0
-2.44658,50,327.339662,0.0
-4.085981,50,328.168444,0.0
-5.963128,50,328.989992,0.0
-2.179008,50,329.817765,0.0
-2.85967,47,335.044959,1.0
-2.611585,50,335.890772,0.0
-0.545038,13,336.108442,1.0
-10.303706,50,336.938193,0.0
-8.317331,50,337.781745,0.0
-2.436829,50,338.622812,0.0
-2.805993,47,339.403919,1.0
-4.503654,50,340.230884,0.0
-7.456875,50,341.057719,0.0
-11.173906,50,341.896667,0.0
-4.307874,50,342.719544,0.0
-2.539722,50,345.923864,0.0
-13.323124,50,346.760937,0.0
-2.572998,50,347.588346,0.0
-14.267387,50,348.434266,0.0
-14.641562,50,350.119365,0.0
-3.007377,50,350.952845,0.0
-8.866656,50,351.77554,0.0
-8.879073,50,352.608728,0.0
-2.932695,50,353.441063,0.0
-2.465748,50,354.278935,0.0
-0.442429,10,354.445102,1.0
-0.801463,10,354.609385,1.0
-2.945293,50,357.797198,0.0
-2.506028,50,358.62599,0.0
-2.235223,48,359.423815,1.0
-3.280769,50,360.246474,0.0
-11.31009,50,361.08105,0.0
-2.24145,50,361.909497,0.0
-2.695915,50,362.751756,0.0
-12.046965,50,363.60187,0.0
-2.215043,50,364.424966,0.0
-2.249794,50,365.244809,0.0
-2.279546,50,368.439672,0.0
-10.027414,50,369.275177,0.0
-10.092149,50,370.122357,0.0
-2.479171,50,370.95165,0.0
-1.938678,41,371.646662,1.0
-13.0472,50,372.471248,0.0
-13.754939,50,373.299316,0.0
-11.904418,50,374.144673,0.0
-15.204244,50,374.978221,0.0
-1.827879,27,375.433453,1.0
-2.331529,50,377.032791,0.0
-2.540747,50,380.222111,0.0
-0.957089,14,380.451863,1.0
-4.784173,50,381.286795,0.0
-2.185373,50,382.103944,0.0
-9.25376,50,382.92441,0.0
-2.296475,50,383.762105,0.0
-11.581078,50,384.593723,0.0
-2.402095,50,385.426026,0.0
-6.814491,50,386.259508,0.0
-11.28725,50,387.087087,0.0
-0.77831,15,387.339341,1.0
-10.940733,50,388.184538,0.0
-2.076545,50,391.398566,0.0
-2.950851,50,392.217543,0.0
-2.99773,50,393.045136,0.0
-2.553302,50,393.898199,0.0
-2.635786,50,394.741835,0.0
-14.729488,50,395.577747,0.0
-13.877944,50,396.417111,0.0
-0.634734,16,396.675955,1.0
-3.194388,50,397.509444,0.0
-12.078434,50,398.343327,0.0
-2.640934,50,399.189846,0.0
-3.492333,50,402.382745,0.0
-0.525178,5,402.465289,1.0
-10.386417,50,403.292052,0.0
-3.369987,50,404.122249,0.0
-0.574639,9,404.272326,1.0
-0.539117,13,405.184875,1.0
-12.509805,50,406.020175,0.0
-11.775637,50,406.860023,0.0
-10.194408,50,407.691781,0.0
-7.259737,50,408.536813,0.0
-5.693265,50,409.369368,0.0
-2.492487,50,410.198297,0.0
-0.457125,9,410.349982,1.0
-6.808045,50,413.546337,0.0
-3.53734,50,414.386496,0.0
-1.527019,25,414.804374,1.0
-0.435566,12,415.006293,1.0
-2.383992,50,415.846251,0.0
-13.299156,50,416.675112,0.0
-14.144584,50,417.502959,0.0
-10.729818,50,418.335124,0.0
-2.47211,47,419.107471,1.0
-2.481913,50,419.934969,0.0
-2.523285,50,420.760324,0.0
-2.733196,50,421.593417,0.0
-2.212792,50,425.446394,0.0
-2.176951,50,426.267603,0.0
-2.714058,50,427.088111,0.0
-5.933194,50,427.91207,0.0
-3.290121,50,428.742486,0.0
-1.329648,29,429.224449,1.0
-2.57886,50,430.060459,0.0
-2.869348,50,430.884063,0.0
-2.147033,50,432.499898,0.0
-0.310257,6,432.599055,1.0
-14.11411,50,433.432299,0.0
-13.19561,50,440.009667,0.0
-0.909236,19,440.325143,1.0
-1.719836,30,440.819798,1.0
-2.309264,50,441.647056,0.0
-9.188968,50,442.474436,0.0
