#{"t_start": 1649808833.299816, "env_id": "PandaReach-v2"}
r,l,t,is_success
-9.91172,50,1.085392,0.0
-29.100222,50,1.937792,0.0
-20.181651,50,2.808462,0.0
-26.042752,50,3.664427,0.0
-17.627519,50,4.512983,0.0
-9.13112,50,5.368881,0.0
-11.445538,50,6.213717,0.0
-19.889234,50,7.114672,0.0
-20.354182,50,7.97878,0.0
-16.287003,50,8.836401,0.0
-30.203166,50,15.484167,0.0
-23.279853,50,16.355635,0.0
-19.556542,50,17.205342,0.0
-16.075755,50,18.079308,0.0
-17.068731,50,18.946428,0.0
-13.009431,50,19.799565,0.0
-19.419501,50,20.659827,0.0
-14.199511,50,21.505752,0.0
-14.701165,50,22.375028,0.0
-21.799162,50,23.242407,0.0
-19.177808,50,29.847953,0.0
-13.216823,50,30.766577,0.0
-11.79541,50,31.619207,0.0
-12.952341,50,32.464903,0.0
-8.041122,50,33.301794,0.0
-27.824581,50,35.030624,0.0
-13.394902,50,35.885626,0.0
-12.689868,50,36.735624,0.0
-19.570878,50,37.696467,0.0
-22.395089,50,38.556768,0.0
-17.39962,50,45.149497,0.0
-14.803885,50,46.008196,0.0
-16.987235,50,46.868363,0.0
-12.51183,50,47.732554,0.0
-12.853008,50,48.590417,0.0
-11.074118,50,49.436536,0.0
-10.950597,50,50.37856,0.0
-9.476789,50,51.26843,0.0
-15.521373,50,52.105089,0.0
-6.930145,50,52.937949,0.0
-12.747778,50,59.50555,0.0
-8.270244,50,60.354597,0.0
-10.879765,50,61.183209,0.0
-10.855545,50,62.026121,0.0
-6.326177,50,63.075439,0.0
-9.202057,50,63.939053,0.0
-13.388428,50,64.783091,0.0
-12.473416,50,65.608768,0.0
-13.155189,50,66.474858,0.0
-18.073707,50,67.387534,0.0
-5.603077,50,69.151812,0.0
-10.794632,50,75.73745,0.0
-9.118048,50,76.571122,0.0
-11.476055,50,77.417601,0.0
-13.686623,50,78.263686,0.0
-15.225324,50,79.118705,0.0
-12.306956,50,79.969032,0.0
-9.22268,50,80.790692,0.0
-6.236488,50,81.664702,0.0
-7.423709,50,82.583343,0.0
-17.394471,50,83.450737,0.0
-13.464828,50,90.02957,0.0
-12.938988,50,90.864645,0.0
-14.188002,50,91.703921,0.0
-14.844532,50,92.546053,0.0
-7.390209,50,93.383316,0.0
-8.710914,50,94.237952,0.0
-8.412618,50,95.090413,0.0
-10.490597,50,95.938297,0.0
-14.718475,50,96.805538,0.0
-9.241665,50,97.672119,0.0
-7.901179,50,104.27019,0.0
-9.102068,50,105.124833,0.0
-9.991086,50,105.975047,0.0
-7.160637,50,106.846205,0.0
-11.099678,50,108.572874,0.0
-9.836941,50,109.467748,0.0
-7.535191,50,110.334161,0.0
-13.85007,50,111.193561,0.0
-11.399648,50,112.041548,0.0
-8.365814,50,112.887592,0.0
-6.480957,50,119.583721,0.0
-9.089167,50,120.453243,0.0
-7.460266,50,121.336296,0.0
-8.556102,50,122.207868,0.0
-7.598584,50,123.158062,0.0
-11.375735,50,123.998331,0.0
-13.896551,50,124.837902,0.0
-11.86,50,125.679585,0.0
-8.902621,50,126.607508,0.0
-7.017388,50,127.498284,0.0
-11.897926,50,128.344112,0.0
-3.978211,50,134.944547,0.0
-6.402437,50,135.795776,0.0
-7.739789,50,136.628811,0.0
-8.201637,50,137.490638,0.0
-7.206975,50,138.332837,0.0
-11.880557,50,139.194081,0.0
-14.076149,50,140.032056,0.0
-4.864027,50,140.880391,0.0
-6.8784,50,142.621057,0.0
-5.288468,50,143.482249,0.0
-5.888332,50,150.054214,0.0
-6.490105,50,150.898774,0.0
-0.376454,5,150.98543,1.0
-4.487569,50,151.838632,0.0
-8.541899,50,152.70724,0.0
-6.170803,50,153.555535,0.0
-11.628466,50,154.518514,0.0
-16.337942,50,155.48325,0.0
-4.921318,50,156.367372,0.0
-10.44481,50,157.21556,0.0
-4.814006,50,158.048129,0.0
-6.423323,50,164.671826,0.0
-7.385169,50,165.507494,0.0
-4.780386,50,166.33854,0.0
-4.823054,50,167.212121,0.0
-13.795744,50,168.041165,0.0
