#{"t_start": 1651038193.909014, "env_id": "PandaReach-v2"}
r,l,t,is_success
-50.0,50,1.125412,0.0
-50.0,50,2.00619,0.0
-50.0,50,2.899136,0.0
-50.0,50,3.832025,0.0
-50.0,50,4.724766,0.0
-50.0,50,5.678444,0.0
-50.0,50,6.588284,0.0
-50.0,50,7.516555,0.0
-50.0,50,8.508877,0.0
-50.0,50,9.418953,0.0
-50.0,50,16.496649,0.0
-50.0,50,17.450862,0.0
-50.0,50,18.377852,0.0
-50.0,50,19.278795,0.0
-50.0,50,20.183769,0.0
-50.0,50,21.197611,0.0
-50.0,50,22.169779,0.0
-50.0,50,23.117746,0.0
-50.0,50,24.121937,0.0
-50.0,50,25.044665,0.0
-50.0,50,31.84503,0.0
-50.0,50,32.76132,0.0
-50.0,50,33.672769,0.0
-50.0,50,34.569945,0.0
-50.0,50,35.487921,0.0
-50.0,50,37.66366,0.0
-50.0,50,38.576455,0.0
-50.0,50,39.487997,0.0
-50.0,50,40.437443,0.0
-50.0,50,41.362937,0.0
-50.0,50,48.153186,0.0
-50.0,50,49.113819,0.0
-50.0,50,50.047129,0.0
-50.0,50,50.968926,0.0
-50.0,50,51.88987,0.0
-50.0,50,52.781752,0.0
-50.0,50,53.731599,0.0
-50.0,50,54.632555,0.0
-50.0,50,55.545712,0.0
-50.0,50,56.484477,0.0
-50.0,50,63.221403,0.0
-50.0,50,64.126653,0.0
-50.0,50,65.084123,0.0
-50.0,50,66.021513,0.0
-50.0,50,66.966915,0.0
-50.0,50,67.918752,0.0
-27.0,28,68.446198,1.0
-50.0,50,69.421415,0.0
-50.0,50,70.343669,0.0
-50.0,50,71.311246,0.0
-50.0,50,73.171483,0.0
-50.0,50,78.747896,0.0
-50.0,50,79.679544,0.0
-50.0,50,80.613657,0.0
-50.0,50,81.582381,0.0
-12.0,13,81.826823,1.0
-50.0,50,82.740142,0.0
-50.0,50,83.649301,0.0
-50.0,50,84.571371,0.0
-50.0,50,85.50005,0.0
-50.0,50,86.455148,0.0
-50.0,50,87.403623,0.0
-50.0,50,90.845649,0.0
-50.0,50,91.767851,0.0
-50.0,50,92.712457,0.0
-50.0,50,93.658561,0.0
-50.0,50,94.637558,0.0
-50.0,50,95.569461,0.0
-50.0,50,96.490036,0.0
-50.0,50,97.411354,0.0
-50.0,50,98.382123,0.0
-50.0,50,99.335391,0.0
-50.0,50,102.756083,0.0
-50.0,50,103.765948,0.0
-50.0,50,104.749659,0.0
-50.0,50,105.72547,0.0
-50.0,50,107.877758,0.0
-50.0,50,108.84781,0.0
-50.0,50,109.778737,0.0
-50.0,50,110.735122,0.0
-50.0,50,111.913075,0.0
-50.0,50,112.874398,0.0
-50.0,50,113.779218,0.0
-50.0,50,117.222987,0.0
-50.0,50,118.128234,0.0
-50.0,50,119.040148,0.0
-50.0,50,120.000789,0.0
-50.0,50,120.923397,0.0
-50.0,50,121.880311,0.0
-50.0,50,122.832184,0.0
-50.0,50,123.7672,0.0
-50.0,50,124.695383,0.0
-50.0,50,125.608375,0.0
-50.0,50,130.184034,0.0
-50.0,50,131.116554,0.0
-50.0,50,132.079305,0.0
-50.0,50,133.015603,0.0
-50.0,50,133.942619,0.0
-50.0,50,135.169271,0.0
-50.0,50,136.096877,0.0
-50.0,50,136.989892,0.0
-50.0,50,138.825558,0.0
-50.0,50,139.730239,0.0
-50.0,50,146.540867,0.0
-50.0,50,147.591948,0.0
-50.0,50,148.555354,0.0
-50.0,50,149.533662,0.0
-50.0,50,150.482958,0.0
-50.0,50,151.371077,0.0
-50.0,50,152.295586,0.0
-50.0,50,153.218331,0.0
-50.0,50,154.106959,0.0
-50.0,50,155.06012,0.0
-50.0,50,161.928785,0.0
-50.0,50,162.894943,0.0
-50.0,50,163.84031,0.0
-50.0,50,164.738916,0.0
-50.0,50,165.639636,0.0
-50.0,50,166.626815,0.0
-50.0,50,167.600055,0.0
-50.0,50,168.522182,0.0
-50.0,50,169.442635,0.0
-50.0,50,170.372788,0.0
-50.0,50,171.302074,0.0
-50.0,50,178.118226,0.0
-50.0,50,179.255166,0.0
-50.0,50,181.063635,0.0
-50.0,50,182.068554,0.0
-50.0,50,183.015937,0.0
-50.0,50,183.926323,0.0
-50.0,50,184.880315,0.0
-50.0,50,185.78547,0.0
-50.0,50,186.695526,0.0
-50.0,50,187.614684,0.0
-50.0,50,194.477179,0.0
-50.0,50,195.393081,0.0
-50.0,50,196.319185,0.0
-50.0,50,197.236574,0.0
-50.0,50,198.208926,0.0
-50.0,50,199.171074,0.0
-50.0,50,200.124282,0.0
-50.0,50,201.012256,0.0
-50.0,50,201.919357,0.0
-50.0,50,202.880796,0.0
-50.0,50,209.692267,0.0
-50.0,50,210.605419,0.0
-50.0,50,211.531171,0.0
-50.0,50,212.461435,0.0
-50.0,50,213.37935,0.0
-50.0,50,214.325728,0.0
-50.0,50,215.218384,0.0
-50.0,50,217.016699,0.0
-50.0,50,217.940175,0.0
-50.0,50,218.858879,0.0
-50.0,50,225.67724,0.0
-50.0,50,226.6027,0.0
-50.0,50,227.505718,0.0
-50.0,50,228.455748,0.0
-50.0,50,229.383307,0.0
-50.0,50,230.292535,0.0
-50.0,50,231.207274,0.0
-50.0,50,232.403508,0.0
-50.0,50,233.338289,0.0
-50.0,50,234.323461,0.0
-50.0,50,235.264132,0.0
-50.0,50,242.065875,0.0
-50.0,50,242.962152,0.0
-50.0,50,243.856243,0.0
-50.0,50,244.807472,0.0
-50.0,50,245.831342,0.0
-50.0,50,246.775647,0.0
-50.0,50,247.779646,0.0
-50.0,50,248.714195,0.0
-50.0,50,249.699487,0.0
-50.0,50,250.619639,0.0
-50.0,50,257.514673,0.0
-50.0,50,259.522724,0.0
-50.0,50,260.470275,0.0
-50.0,50,261.393558,0.0
-50.0,50,262.310758,0.0
-50.0,50,263.257304,0.0
-50.0,50,264.251286,0.0
-50.0,50,265.168957,0.0
-50.0,50,266.062835,0.0
-50.0,50,266.997888,0.0
-50.0,50,273.807029,0.0
-50.0,50,274.68874,0.0
-50.0,50,275.623659,0.0
