#{"t_start": 1649792801.8601825, "env_id": "PandaReach-v2"}
r,l,t,is_success
-658.248774,50,1.409364,0.0
-911.450521,50,2.414677,0.0
-1097.132575,50,3.405424,0.0
-915.612436,50,4.418792,0.0
-441.057174,50,5.671514,0.0
-769.794056,50,6.660041,0.0
-829.343556,50,7.730775,0.0
-649.32681,50,8.747624,0.0
-609.944117,50,9.774389,0.0
-704.30014,50,10.824703,0.0
-650.786704,50,17.548825,0.0
-715.336203,50,18.552997,0.0
-926.734012,50,19.552904,0.0
-951.977973,50,20.543461,0.0
-885.844971,50,21.583268,0.0
-730.091667,50,22.623858,0.0
-692.456767,50,23.624554,0.0
-726.460597,50,24.612319,0.0
-643.597673,50,25.702548,0.0
-1055.104196,50,26.715126,0.0
-1095.749251,50,33.499753,0.0
-918.597891,50,34.498624,0.0
-907.350905,50,35.515552,0.0
-941.89991,50,36.585546,0.0
-820.744268,50,37.587637,0.0
-980.169821,50,39.54517,0.0
-1114.978294,50,40.531408,0.0
-939.352242,50,41.511757,0.0
-877.682995,50,42.582132,0.0
-875.603868,50,43.586241,0.0
-718.390624,50,50.443432,0.0
-704.488599,50,51.443292,0.0
-612.852651,50,52.462343,0.0
-584.268295,50,53.504564,0.0
-727.640681,50,54.520442,0.0
-1173.539124,50,55.514132,0.0
-1160.824272,50,56.523597,0.0
-729.321692,50,57.513912,0.0
-437.778294,50,58.52981,0.0
-913.82762,50,59.63752,0.0
-789.861655,50,66.366968,0.0
-804.665062,50,67.778446,0.0
-666.822541,50,68.802104,0.0
-968.482995,50,69.78393,0.0
-588.278107,50,70.89566,0.0
-1016.024284,50,71.971667,0.0
-750.975353,50,73.12174,0.0
-706.820191,50,74.199704,0.0
-1049.890274,50,75.221635,0.0
-968.503551,50,76.266574,0.0
-755.284805,50,78.203994,0.0
-887.99969,50,84.998251,0.0
-733.138049,50,86.043189,0.0
-788.02118,50,87.127706,0.0
-863.227634,50,88.145864,0.0
-672.580225,50,89.341812,0.0
-792.444584,50,90.391877,0.0
-859.446863,50,91.51288,0.0
-1113.205506,50,92.601066,0.0
-724.535228,50,93.608569,0.0
-793.54453,50,94.723784,0.0
-954.860472,50,101.424613,0.0
-873.503892,50,102.422125,0.0
-921.189039,50,103.433213,0.0
-766.730066,50,104.462373,0.0
-911.614479,50,105.4972,0.0
-756.086662,50,106.533424,0.0
-818.286635,50,107.528143,0.0
-863.475067,50,108.533948,0.0
-706.143501,50,109.645948,0.0
-852.056734,50,110.691706,0.0
-704.606213,50,117.479602,0.0
-628.342526,50,118.476517,0.0
-776.802825,50,119.520333,0.0
-413.158508,50,120.553611,0.0
-1123.063643,50,122.523422,0.0
-899.46605,50,123.515199,0.0
-977.087289,50,124.578327,0.0
-532.083602,50,125.666549,0.0
-831.692053,50,126.686516,0.0
-986.307122,50,127.811906,0.0
-724.733039,50,134.576858,0.0
-565.375796,50,135.570928,0.0
-994.040172,50,136.586425,0.0
-862.601116,50,137.64849,0.0
-977.708965,50,138.693672,0.0
-795.302505,50,139.819034,0.0
-763.532241,50,140.851744,0.0
-780.880895,50,141.918025,0.0
-837.581481,50,142.990028,0.0
-547.910938,50,144.040857,0.0
-741.27763,50,145.071282,0.0
-543.758578,50,151.852044,0.0
-952.559412,50,152.88631,0.0
-660.000212,50,153.933369,0.0
-886.360953,50,155.010607,0.0
-949.035109,50,156.028897,0.0
-919.249459,50,157.106723,0.0
-688.716666,50,158.148961,0.0
-999.060171,50,159.197578,0.0
-511.356314,50,161.420169,0.0
-648.469887,50,162.462237,0.0
-706.653811,50,169.262373,0.0
-570.364548,50,170.34395,0.0
-737.747274,50,171.363224,0.0
-736.310321,50,172.385456,0.0
-887.253452,50,173.405192,0.0
-782.211065,50,174.448551,0.0
-478.194182,50,175.448509,0.0
-1000.44346,50,176.501854,0.0
-2419.87227,50,177.553719,0.0
-592.010883,50,178.633568,0.0
-615.090147,50,185.539923,0.0
-590.466228,50,186.642043,0.0
-643.006269,50,187.651883,0.0
-676.808379,50,188.663313,0.0
-964.273432,50,189.651612,0.0
-651.797181,50,190.727122,0.0
-713.22714,50,191.781884,0.0
-824.792862,50,192.827669,0.0
-790.360816,50,193.979378,0.0
-417.009822,50,194.982712,0.0
-875.588766,50,201.824243,0.0
-1006.28682,50,202.805739,0.0
-846.63305,50,203.887966,0.0
-866.099169,50,205.778864,0.0
-878.188187,50,206.831341,0.0
-706.761346,50,207.999145,0.0
-734.050281,50,209.05674,0.0
-798.66866,50,210.046081,0.0
-429.078825,50,211.133252,0.0
-986.900903,50,212.197551,0.0
-445.842759,50,213.33173,0.0
-638.014205,50,220.118038,0.0
-772.325497,50,221.125972,0.0
-888.424016,50,222.240744,0.0
-704.673612,50,223.378172,0.0
-476.817868,50,224.669363,0.0
-590.034311,50,225.673068,0.0
-821.768946,50,226.690263,0.0
-877.458776,50,227.81354,0.0
-758.909706,50,228.880759,0.0
-832.033773,50,229.874439,0.0
-874.953665,50,236.667946,0.0
-1022.236461,50,237.661622,0.0
-864.360669,50,238.715339,0.0
-1146.306848,50,239.743987,0.0
-595.776528,50,240.765602,0.0
-583.098015,50,241.80198,0.0
-631.471696,50,242.802261,0.0
-982.466811,50,244.636413,0.0
-1197.620034,50,245.664298,0.0
-528.239142,50,246.684813,0.0
-951.658183,50,253.548152,0.0
-1559.370865,50,254.511606,0.0
