#{"t_start": 1649980082.1299977, "env_id": "PandaReach-v2"}
r,l,t,is_success
-50.0,50,1.540943,0.0
-50.0,50,2.402861,0.0
-50.0,50,3.264511,0.0
-50.0,50,4.119519,0.0
-50.0,50,4.971213,0.0
-50.0,50,5.822209,0.0
-50.0,50,6.676747,0.0
-50.0,50,7.544328,0.0
-50.0,50,8.410783,0.0
-50.0,50,9.266953,0.0
-50.0,50,15.957366,0.0
-50.0,50,16.851355,0.0
-50.0,50,17.715152,0.0
-50.0,50,18.572288,0.0
-50.0,50,19.439259,0.0
-50.0,50,20.34476,0.0
-50.0,50,21.261484,0.0
-50.0,50,22.110066,0.0
-50.0,50,22.980287,0.0
-50.0,50,23.826561,0.0
-50.0,50,30.41235,0.0
-50.0,50,31.260901,0.0
-50.0,50,32.127733,0.0
-50.0,50,32.975034,0.0
-50.0,50,33.833008,0.0
-50.0,50,35.584107,0.0
-50.0,50,36.439017,0.0
-50.0,50,37.301406,0.0
-50.0,50,38.184376,0.0
-50.0,50,39.031397,0.0
-50.0,50,45.675901,0.0
-50.0,50,46.565174,0.0
-50.0,50,47.435904,0.0
-50.0,50,48.312211,0.0
-50.0,50,49.185006,0.0
-50.0,50,50.035982,0.0
-50.0,50,50.922614,0.0
-50.0,50,51.784778,0.0
-50.0,50,52.621942,0.0
-50.0,50,53.493945,0.0
-50.0,50,60.217174,0.0
-50.0,50,61.082213,0.0
-50.0,50,61.950473,0.0
-50.0,50,62.81437,0.0
-50.0,50,63.664569,0.0
-50.0,50,64.53452,0.0
-50.0,50,65.385703,0.0
-50.0,50,66.228898,0.0
-50.0,50,67.110783,0.0
-50.0,50,67.965166,0.0
-50.0,50,69.933703,0.0
-50.0,50,76.597807,0.0
-50.0,50,77.440417,0.0
-50.0,50,78.30418,0.0
-50.0,50,79.163261,0.0
-50.0,50,80.004551,0.0
-50.0,50,80.895996,0.0
-50.0,50,81.760141,0.0
-50.0,50,82.631952,0.0
-50.0,50,83.510129,0.0
-50.0,50,84.383204,0.0
-50.0,50,91.034726,0.0
-50.0,50,91.884391,0.0
-50.0,50,92.782038,0.0
-50.0,50,93.639657,0.0
-50.0,50,94.499851,0.0
-50.0,50,95.366185,0.0
-50.0,50,96.233776,0.0
-50.0,50,97.111008,0.0
-50.0,50,97.986161,0.0
-50.0,50,98.868239,0.0
-50.0,50,105.528934,0.0
-50.0,50,106.404072,0.0
-50.0,50,107.274993,0.0
-50.0,50,108.128052,0.0
-50.0,50,109.893849,0.0
-50.0,50,110.751544,0.0
-50.0,50,111.631871,0.0
-50.0,50,112.469299,0.0
-50.0,50,113.341639,0.0
-50.0,50,114.204677,0.0
-50.0,50,120.860564,0.0
-50.0,50,121.740498,0.0
-50.0,50,122.593403,0.0
-50.0,50,123.452136,0.0
-50.0,50,124.370642,0.0
-50.0,50,125.231227,0.0
-50.0,50,126.107396,0.0
-50.0,50,126.968553,0.0
-50.0,50,127.834056,0.0
-50.0,50,128.716382,0.0
-50.0,50,129.572747,0.0
-50.0,50,136.219086,0.0
-50.0,50,137.074631,0.0
-50.0,50,137.918144,0.0
-50.0,50,138.768968,0.0
-50.0,50,139.61945,0.0
-50.0,50,140.503278,0.0
-50.0,50,141.364847,0.0
-50.0,50,142.234681,0.0
-50.0,50,144.001392,0.0
-50.0,50,144.867519,0.0
-50.0,50,151.517454,0.0
-50.0,50,152.39292,0.0
-50.0,50,153.240132,0.0
-50.0,50,154.094459,0.0
-50.0,50,154.97127,0.0
-50.0,50,155.827218,0.0
-50.0,50,156.678258,0.0
-50.0,50,157.534639,0.0
-50.0,50,158.39965,0.0
-50.0,50,159.262914,0.0
-50.0,50,165.93335,0.0
-50.0,50,166.808288,0.0
-50.0,50,167.682471,0.0
-50.0,50,168.593739,0.0
-50.0,50,169.458531,0.0
-50.0,50,170.326703,0.0
-50.0,50,171.210845,0.0
-50.0,50,172.085514,0.0
-50.0,50,172.946784,0.0
-50.0,50,173.810926,0.0
-50.0,50,180.511435,0.0
-50.0,50,181.381986,0.0
-50.0,50,182.253422,0.0
-50.0,50,184.04968,0.0
-50.0,50,184.900846,0.0
-50.0,50,185.775553,0.0
-50.0,50,186.650668,0.0
-50.0,50,187.504241,0.0
-50.0,50,188.363677,0.0
-50.0,50,189.230703,0.0
-50.0,50,190.102733,0.0
-50.0,50,196.812229,0.0
-50.0,50,197.681386,0.0
-50.0,50,198.557874,0.0
