#{"t_start": 1650821789.1910856, "env_id": "PandaReach-v2"}
r,l,t,is_success
-865.532986,50,0.898859,0.0
-925.785223,50,1.753365,0.0
-596.293879,50,2.62485,0.0
-388.030173,50,3.508809,0.0
-1022.629639,50,4.363091,0.0
-1141.332519,50,5.247386,0.0
-515.121011,50,6.127733,0.0
-980.98905,50,6.991119,0.0
-978.674094,50,7.866665,0.0
-408.782533,50,8.741382,0.0
-908.682388,50,15.301689,0.0
-637.438317,50,16.196778,0.0
-762.236667,50,17.056438,0.0
-956.132124,50,17.925717,0.0
-1262.099596,50,18.799816,0.0
-583.774125,50,19.669358,0.0
-714.613127,50,20.523533,0.0
-661.217274,50,21.391364,0.0
-936.505459,50,22.272246,0.0
-870.953395,50,23.145555,0.0
-727.319485,50,29.708745,0.0
-623.632021,50,30.572113,0.0
-950.995614,50,31.446888,0.0
-638.808822,50,32.318451,0.0
-671.216825,50,33.199428,0.0
-572.141177,50,35.02448,0.0
-975.683771,50,35.897578,0.0
-572.04091,50,36.772809,0.0
-809.407233,50,37.664093,0.0
-782.096601,50,38.54309,0.0
-709.420436,50,45.122718,0.0
-541.48385,50,46.035249,0.0
-573.100644,50,46.922469,0.0
-858.121406,50,47.820091,0.0
-460.673314,50,48.710314,0.0
-1026.484256,50,49.582717,0.0
-833.890898,50,50.495793,0.0
-643.198604,50,51.383798,0.0
-1087.989568,50,52.262958,0.0
-603.939455,50,53.188002,0.0
-729.083622,50,59.74207,0.0
-509.504276,50,60.610962,0.0
-765.871062,50,61.511727,0.0
-448.58511,50,62.383589,0.0
-681.315206,50,63.246267,0.0
-443.822593,50,64.128807,0.0
-724.853106,50,65.016572,0.0
-531.879023,50,65.896206,0.0
-392.517243,50,66.770849,0.0
-405.925935,50,67.676608,0.0
-585.511328,50,69.666277,0.0
-658.9018,50,73.245994,0.0
-899.772464,50,74.150113,0.0
-554.796768,50,75.056371,0.0
-527.173042,50,75.955889,0.0
-778.525086,50,76.84302,0.0
-510.308822,50,77.751183,0.0
-827.570233,50,78.695752,0.0
-556.006467,50,79.597991,0.0
-368.674314,50,80.492516,0.0
-851.496175,50,81.374181,0.0
-501.904905,50,84.59409,0.0
-658.085518,50,85.490976,0.0
-703.275512,50,86.372169,0.0
-678.945176,50,87.240118,0.0
-466.811295,50,88.133181,0.0
-462.856646,50,88.998189,0.0
-928.147594,50,89.902586,0.0
-398.136718,50,90.793364,0.0
-326.524463,50,91.694698,0.0
-562.965567,50,92.606679,0.0
-859.773144,50,96.060748,0.0
-735.573399,50,96.96996,0.0
-562.277441,50,97.899823,0.0
-365.351756,50,98.805691,0.0
-723.892564,50,100.690497,0.0
-382.92441,50,101.587498,0.0
-576.816906,50,102.497948,0.0
-460.649795,50,103.38389,0.0
-794.137898,50,104.274734,0.0
-445.85851,50,105.176699,0.0
-390.73766,50,111.769456,0.0
-398.522809,50,112.759167,0.0
-847.823162,50,113.67068,0.0
-422.818877,50,114.567044,0.0
-525.729872,50,115.468943,0.0
-452.065542,50,116.422343,0.0
-676.070544,50,117.368596,0.0
-451.35271,50,118.306105,0.0
-451.160554,50,119.224806,0.0
-377.749731,50,120.207603,0.0
-405.134098,50,121.188096,0.0
-457.220348,50,127.807131,0.0
-363.288321,50,128.744296,0.0
-393.267586,50,129.639736,0.0
-970.347394,50,130.567669,0.0
-873.444244,50,131.486159,0.0
-379.78709,50,132.374307,0.0
-360.800968,50,133.292145,0.0
-822.313876,50,134.183101,0.0
-553.180193,50,136.142131,0.0
-399.016122,50,137.094635,0.0
-920.089749,50,143.69588,0.0
-312.504762,50,144.647839,0.0
-573.696772,50,145.567611,0.0
-856.700407,50,146.501177,0.0
-925.502233,50,147.407573,0.0
-331.393698,50,148.333041,0.0
-396.800496,50,149.261156,0.0
-535.047304,50,150.171609,0.0
-488.566031,50,151.104042,0.0
-701.267976,50,151.982735,0.0
-396.404151,50,158.607178,0.0
-616.213131,50,159.540545,0.0
-450.898008,50,160.477011,0.0
-973.382648,50,161.387874,0.0
-531.317143,50,162.267458,0.0
-307.617109,50,163.183067,0.0
-423.543025,50,164.083388,0.0
-410.902357,50,164.999066,0.0
-923.043292,50,165.929318,0.0
-891.125266,50,166.819123,0.0
-298.568534,50,173.437936,0.0
-264.845959,50,174.338482,0.0
-385.358618,50,175.283981,0.0
-349.373316,50,177.565056,0.0
-755.53957,50,178.483893,0.0
-407.599817,50,179.385434,0.0
-771.640998,50,180.358501,0.0
-353.172185,50,181.242042,0.0
-425.003519,50,182.205259,0.0
-645.936301,50,183.100886,0.0
-278.386187,50,184.080726,0.0
-557.348213,50,190.742225,0.0
-360.02825,50,191.685047,0.0
-420.198912,50,192.621093,0.0
-417.797501,50,193.538734,0.0
-258.603168,50,194.431892,0.0
-135.106122,19,194.797303,1.0
-500.890997,50,195.711706,0.0
-589.845331,50,196.610168,0.0
-254.652584,50,197.579679,0.0
-631.144508,50,198.543252,0.0
-695.581956,50,205.165355,0.0
-347.544963,50,206.067585,0.0
-486.388699,50,207.038799,0.0
-394.772892,50,208.015141,0.0
-558.352237,50,208.971738,0.0
-910.654256,50,209.897695,0.0
-353.207282,50,210.819629,0.0
-607.100761,50,212.849224,0.0
-262.616496,50,213.846,0.0
-697.718947,50,214.776947,0.0
-929.4149,50,215.755347,0.0
-879.497757,50,222.382627,0.0
-793.641284,50,223.29167,0.0
-369.04715,50,224.199754,0.0
-461.344579,50,225.106542,0.0
-769.340929,50,226.017583,0.0
-760.459235,50,226.94684,0.0
-383.863943,50,227.872077,0.0
-318.465246,50,228.791528,0.0
-515.150728,50,229.727237,0.0
-99.84725,14,229.996108,1.0
-469.382074,50,230.968737,0.0
-577.925832,50,237.644726,0.0
-238.980795,50,238.637369,0.0
-377.520305,50,239.557232,0.0
-430.273385,50,240.498652,0.0
-314.684453,50,241.445208,0.0
-296.949361,50,242.408274,0.0
-407.768878,50,243.344016,0.0
-383.299402,50,244.290162,0.0
-848.25983,50,245.222818,0.0
-300.66132,50,246.13627,0.0
-292.863798,50,252.80868,0.0
-366.904068,50,254.753776,0.0
-287.745726,50,255.680858,0.0
-346.310519,50,256.586055,0.0
-384.345308,50,257.532728,0.0
-314.29837,50,258.461606,0.0
-713.718193,50,259.380431,0.0
-715.985351,50,260.348552,0.0
-402.092438,50,261.307966,0.0
-793.905406,50,262.231117,0.0
-443.185868,50,268.905144,0.0
-718.51504,50,269.815377,0.0
-369.049412,50,270.740696,0.0
-330.857205,50,271.658655,0.0
-498.530369,50,272.581911,0.0
-295.707598,50,273.523566,0.0
-798.581897,50,274.493766,0.0
-366.939953,50,275.441617,0.0
-327.930925,50,276.34429,0.0
-516.656379,50,277.321716,0.0
-876.741653,50,283.941097,0.0
-367.490365,50,284.903424,0.0
-243.832351,50,285.938943,0.0
-633.809494,50,286.898562,0.0
-803.138847,50,287.875979,0.0
-374.62344,50,288.795249,0.0
-265.613165,50,290.630235,0.0
-199.676268,50,291.611837,0.0
-300.576091,50,292.5842,0.0
-342.538052,50,293.504181,0.0
-317.446422,50,294.490853,0.0
-317.3012,50,301.177446,0.0
-812.813324,50,302.136093,0.0
-677.470206,50,303.123235,0.0
-596.105432,50,304.093863,0.0
-264.211783,50,305.037894,0.0
-700.253678,50,305.985648,0.0
-702.835849,50,306.903064,0.0
-268.844741,50,307.871597,0.0
-309.568276,50,308.82047,0.0
-378.802696,50,309.756205,0.0
-944.532133,50,316.395692,0.0
-278.376604,50,317.334993,0.0
-233.689098,50,318.284295,0.0
-432.422402,50,319.24761,0.0
-241.080969,50,320.218218,0.0
-335.131547,50,321.182903,0.0
-535.291476,50,322.116099,0.0
-278.480133,50,323.07023,0.0
-229.196535,50,324.02797,0.0
-575.387629,50,325.01427,0.0
-626.600088,50,332.595837,0.0
-607.306431,50,333.611083,0.0
-459.829369,50,334.575886,0.0
-260.10536,50,335.603169,0.0
-826.773253,50,336.567539,0.0
-311.720122,50,337.547795,0.0
-602.86148,50,338.562416,0.0
-545.532186,50,339.600258,0.0
-781.18931,50,340.534684,0.0
