#{"t_start": 1651007478.2974377, "env_id": "PandaReach-v2"}
r,l,t,is_success
-19.430811,50,1.408785,0.0
-10.607017,50,2.28925,0.0
-32.769022,50,3.169171,0.0
-16.931374,50,4.080824,0.0
-27.46428,50,4.944211,0.0
-5.552034,50,5.872265,0.0
-11.955719,50,6.76211,0.0
-9.770478,50,7.679533,0.0
-18.620156,50,8.607902,0.0
-32.472494,50,9.514404,0.0
-11.341425,50,16.584302,0.0
-12.58986,50,17.50495,0.0
-29.132796,50,18.424425,0.0
-6.021574,50,19.299174,0.0
-6.428147,50,20.179499,0.0
-29.937106,50,21.184733,0.0
-21.22331,50,22.121632,0.0
-19.848064,50,23.030151,0.0
-20.397147,50,23.943842,0.0
-9.973467,50,24.807649,0.0
-11.118313,50,31.620356,0.0
-9.519445,50,32.535601,0.0
-20.003533,50,33.419201,0.0
-5.627316,50,34.378096,0.0
-19.396067,50,35.312867,0.0
-18.161953,50,37.142505,0.0
-5.253909,50,38.014479,0.0
-5.74443,50,38.905789,0.0
-6.430119,50,39.785376,0.0
-17.771935,50,40.692447,0.0
-6.589778,50,47.453089,0.0
-6.906054,50,48.391865,0.0
-10.091755,50,49.342274,0.0
-24.304642,50,50.293478,0.0
-9.739965,50,51.260531,0.0
-17.029972,50,52.135677,0.0
-23.767023,50,53.032486,0.0
-7.327608,50,53.948989,0.0
-5.581951,50,54.861143,0.0
-19.81589,50,55.758147,0.0
-6.163672,50,62.572308,0.0
-18.545419,50,63.45675,0.0
-8.567191,50,64.402085,0.0
-13.323638,50,65.333884,0.0
-10.51517,50,66.412134,0.0
-8.446157,50,67.304907,0.0
-8.190671,50,68.222688,0.0
-8.357468,50,69.142116,0.0
-10.533954,50,70.27513,0.0
-3.675071,50,71.206756,0.0
-4.048288,50,73.084584,0.0
-6.020499,50,79.831791,0.0
-4.735145,50,80.70136,0.0
-4.311238,50,81.573264,0.0
-13.943141,50,82.534431,0.0
-16.52879,50,83.472477,0.0
-13.029292,50,84.42283,0.0
-2.338533,31,85.022333,1.0
-4.176545,50,85.922858,0.0
-15.955922,50,86.828356,0.0
-8.416523,50,87.76869,0.0
-4.60642,50,94.538292,0.0
-1.189428,18,94.863394,1.0
-4.419834,50,95.856618,0.0
-14.553232,50,97.138556,0.0
-4.737825,50,98.026384,0.0
-8.979267,50,98.981068,0.0
-4.653919,50,100.05407,0.0
-3.996376,50,101.017267,0.0
-5.204078,50,101.908373,0.0
-13.222125,50,102.784143,0.0
-4.336822,50,103.679377,0.0
-5.323499,50,110.466165,0.0
-9.258884,50,111.335608,0.0
-14.319505,50,112.253574,0.0
-3.622505,50,113.246622,0.0
-4.117157,50,114.880196,0.0
-7.128069,50,115.749944,0.0
-16.944476,50,116.645201,0.0
-7.444567,50,117.817537,0.0
-5.626982,27,118.371944,1.0
-9.588391,46,119.190663,1.0
-4.363039,50,120.1253,0.0
-4.638214,50,127.079478,1.0
-15.367173,50,128.072009,0.0
-2.921384,50,128.988409,0.0
-0.477211,8,129.1505,1.0
-8.674461,50,130.162833,0.0
-6.604824,50,131.035501,0.0
-7.135949,50,131.882745,0.0
-5.011755,50,132.754321,0.0
-6.938034,50,133.606932,0.0
-4.412829,50,134.532337,0.0
-5.83649,50,135.433187,0.0
-3.264889,50,142.3191,0.0
-3.677892,50,143.206236,0.0
-4.827816,50,144.135844,0.0
-6.751925,50,145.043654,0.0
-9.199009,50,146.103842,0.0
-15.224096,50,147.022858,0.0
-17.164557,50,147.982285,0.0
-3.999841,50,148.956832,0.0
-5.336235,50,150.720731,0.0
-2.42055,50,151.684072,0.0
-13.310947,50,158.505092,0.0
-3.80226,50,159.463618,0.0
-1.078775,13,159.732215,1.0
-13.018306,50,160.681396,0.0
-3.027636,41,161.449854,1.0
-13.015345,50,162.477119,0.0
-3.707424,50,163.389709,0.0
-2.282871,32,163.962445,1.0
-5.951383,46,164.801202,1.0
-2.771357,50,165.68719,0.0
-4.391047,38,166.419064,1.0
-3.954961,35,167.026961,1.0
-4.022974,45,167.811002,1.0
-3.995331,50,174.595521,0.0
-9.882729,50,175.852736,0.0
-3.283106,45,176.79764,1.0
-3.132244,50,177.683061,0.0
-3.80312,50,178.548667,0.0
-6.617746,50,179.43628,1.0
-3.702176,50,180.281023,0.0
-4.650018,24,180.695349,1.0
-4.165679,50,181.601696,0.0
-4.823371,50,182.577621,0.0
-12.56532,50,189.389275,0.0
-5.862134,50,190.385518,0.0
-4.346843,42,191.115503,1.0
-6.30608,50,193.115313,0.0
-4.043587,50,194.122461,0.0
-5.717955,50,195.05403,0.0
-3.155102,50,195.919368,0.0
-2.201059,16,196.201328,1.0
-3.492471,50,197.068467,0.0
-16.615717,50,198.027828,0.0
-1.221166,23,198.437167,1.0
-13.331323,50,199.378293,0.0
-18.744863,50,206.204023,0.0
-0.70102,10,206.373572,1.0
-1.434596,16,206.659116,1.0
-17.667057,50,207.624349,0.0
-3.789577,50,208.47114,0.0
-2.763239,50,209.441482,0.0
-3.368522,50,210.316532,0.0
-3.318985,45,211.157024,1.0
-5.803884,50,212.008681,0.0
-5.506217,50,213.045732,0.0
-1.168083,13,213.347369,1.0
-5.381063,22,213.801851,1.0
-5.020475,25,214.376614,1.0
-2.543091,50,215.554084,0.0
-4.585703,26,221.977005,1.0
-11.455494,50,222.951912,0.0
-0.791053,11,223.13819,1.0
-3.339824,46,223.985615,1.0
-1.663119,30,224.498943,1.0
-2.60095,50,225.405738,0.0
-3.747015,50,226.299905,0.0
-3.027572,50,227.179427,0.0
-3.331514,32,228.68073,1.0
-5.291614,32,229.288374,1.0
-3.549523,40,229.982199,1.0
-4.553494,25,230.525264,1.0
-3.94702,30,231.278398,1.0
-2.787916,24,231.707414,1.0
-1.834949,27,237.994277,1.0
-1.538016,26,238.466678,1.0
-2.217795,23,238.920505,1.0
-1.456862,18,239.283834,1.0
-3.696717,20,239.63513,1.0
-10.751113,50,240.540709,0.0
-0.952604,10,240.713588,1.0
-1.33179,28,241.21544,1.0
-5.514063,50,242.112815,0.0
-4.720192,50,243.007408,0.0
-1.826717,21,243.41134,1.0
-4.13403,21,243.877152,1.0
-2.945928,50,244.884515,0.0
-1.212854,19,245.241332,1.0
-12.867708,50,246.198948,0.0
-1.648435,20,246.535639,1.0
-2.81021,50,247.44389,0.0
-2.368041,50,254.15886,0.0
-5.784434,50,255.001393,0.0
-5.212306,50,255.939649,0.0
-5.182187,50,256.85091,0.0
-2.639091,43,257.706947,1.0
-2.337743,50,258.605814,0.0
-5.810457,50,259.472672,0.0
-3.075248,50,260.3198,0.0
-4.347726,50,261.263297,0.0
-1.924982,42,262.057085,1.0
-1.9024,19,262.395096,1.0
-3.903193,50,269.32605,0.0
-13.324045,50,271.275766,0.0
-13.341513,50,272.196693,0.0
-3.216153,36,272.806076,1.0
-0.838381,15,273.063585,1.0
-3.413319,50,273.960899,0.0
-3.177106,45,274.734074,1.0
-3.90752,35,275.41286,1.0
-3.638841,30,275.948809,1.0
-1.46638,22,276.366925,1.0
-1.69235,29,276.911978,1.0
-2.787593,22,277.306884,1.0
-3.467042,28,277.850445,1.0
-2.958563,50,278.887047,0.0
-3.827442,23,285.224543,1.0
-1.328084,14,285.497473,1.0
-2.673594,50,286.402595,0.0
-19.000797,50,287.3399,0.0
-2.224809,32,287.897991,1.0
-3.043511,28,288.502999,1.0
-3.097114,50,289.397884,0.0
-1.835026,22,289.789032,1.0
-1.946891,50,290.686019,0.0
-1.52807,14,290.924885,1.0
-8.044797,49,291.839008,1.0
-0.628388,7,291.966032,1.0
-5.631904,35,292.624609,1.0
-1.807731,10,292.813285,1.0
-3.664688,18,293.140869,1.0
-8.763664,50,294.010708,0.0
-0.373063,6,294.118327,1.0
-3.026598,48,300.871923,1.0
-5.095845,22,301.256723,1.0
-4.316407,47,302.073243,1.0
-1.318715,33,302.647395,1.0
-1.403096,21,303.017392,1.0
-4.490921,50,303.898815,0.0
-3.387887,50,304.801566,0.0
-2.030839,40,305.930949,1.0
-0.543478,12,306.150994,1.0
-1.916478,28,306.648928,1.0
-2.200193,41,307.416791,1.0
-1.459366,28,307.898334,1.0
-4.484939,29,308.418141,1.0
-14.976005,50,309.591953,0.0
-4.65574,22,309.980942,1.0
-6.319528,43,316.649121,1.0
-2.888194,23,317.043701,1.0
-0.679149,19,317.387801,1.0
-4.794954,31,317.947531,1.0
-2.448719,18,318.262362,1.0
-1.944512,16,318.529865,1.0
-1.136892,15,318.784487,1.0
-1.224738,12,318.98137,1.0
-1.028447,27,319.470626,1.0
-3.348847,47,320.338232,1.0
-5.239344,50,321.445394,0.0
-19.234658,50,322.403515,0.0
-1.701557,45,323.304066,1.0
-1.075299,12,323.528464,1.0
-0.556541,7,323.657511,1.0
-18.446138,50,324.630056,0.0
-4.800598,43,325.569476,1.0
-1.799145,50,332.503853,0.0
-0.532298,13,332.724399,1.0
-4.501366,33,333.454654,1.0
-6.223621,30,334.015539,1.0
-2.569103,22,334.384655,1.0
-3.555047,16,334.666356,1.0
-2.290708,48,335.467276,1.0
-0.676219,14,335.729039,1.0
-2.062443,16,336.022836,1.0
-0.371059,9,336.182892,1.0
-1.80095,27,336.657403,1.0
-1.851329,22,337.034727,1.0
-5.536735,44,337.771084,1.0
-1.812262,27,338.223851,1.0
-0.774802,11,338.425245,1.0
-23.549788,50,339.684846,0.0
-0.386133,7,339.803791,1.0
-2.313914,42,340.589307,1.0
-1.69352,23,341.036577,1.0
-5.966553,15,341.463504,1.0
-0.439973,14,347.592959,1.0
-1.707675,43,348.329041,1.0
-1.264619,17,348.637002,1.0
-1.04852,13,348.877114,1.0
-0.29169,5,348.970737,1.0
-1.607816,28,349.499259,1.0
-0.248558,6,349.608993,1.0
-1.536141,31,350.149784,1.0
-7.773291,50,351.129343,0.0
-2.336226,12,351.386506,1.0
-1.332431,20,351.783707,1.0
-5.089412,30,352.315394,1.0
-3.474811,24,352.720798,1.0
-0.876893,15,352.975962,1.0
-1.469563,16,353.249311,1.0
-3.155589,21,353.601097,1.0
-2.829081,41,354.340925,1.0
-3.680911,30,355.072414,1.0
-1.61499,39,355.944773,1.0
-1.487684,23,356.373012,1.0
-6.132555,50,362.121365,0.0
-0.529365,9,362.27993,1.0
-0.913277,11,362.469539,1.0
-1.9342,23,362.861863,1.0
-1.381475,31,363.40244,1.0
-1.239779,22,363.77529,1.0
-7.070517,50,364.749834,0.0
-2.157834,25,365.169744,1.0
-1.498147,39,365.833448,1.0
-8.881207,47,366.718578,1.0
-5.406103,31,367.268101,1.0
-1.429332,12,367.473184,1.0
-0.168749,6,367.579318,1.0
-5.256971,50,368.428435,1.0
-2.430573,28,368.908424,1.0
-6.565471,41,369.787785,1.0
-3.216305,28,370.304369,1.0
-1.720149,19,370.627341,1.0
-5.156311,39,373.777841,1.0
-3.113156,32,374.321988,1.0
-0.830392,18,374.644292,1.0
-0.500754,14,374.882504,1.0
-3.831664,21,375.240634,1.0
-1.157771,9,375.392534,1.0
-2.581507,27,375.850531,1.0
-1.54688,21,376.207044,1.0
-1.485804,29,376.698916,1.0
-4.338395,30,377.391325,1.0
-2.785739,38,378.039562,1.0
-1.643201,17,378.352119,1.0
-2.816563,25,378.838744,1.0
-2.281008,23,379.297051,1.0
-2.214471,31,379.872985,1.0
-1.394048,18,380.190656,1.0
-0.987992,13,380.409925,1.0
-0.69489,20,380.749333,1.0
-2.448374,33,381.324376,1.0
-4.3894,34,381.924561,1.0
-2.775393,11,382.11232,1.0
-3.265699,17,382.407463,1.0
-1.153984,12,382.617474,1.0
-5.425433,30,385.587311,1.0
-2.531305,16,385.861746,1.0
-0.419937,7,385.988797,1.0
-1.444429,26,386.435508,1.0
-0.407309,9,386.585712,1.0
-1.341089,16,386.864226,1.0
-2.247865,23,387.245713,1.0
-1.802044,25,387.676095,1.0
-4.668923,50,388.567533,0.0
-3.665477,16,389.008688,1.0
-3.031232,35,389.858161,1.0
-1.664011,15,390.118092,1.0
-2.472478,14,390.358036,1.0
-1.227516,22,390.729414,1.0
-2.924903,23,391.130669,1.0
