#{"t_start": 1650879661.4969163, "env_id": "PandaReach-v2"}
r,l,t,is_success
-50.0,50,0.965121,0.0
-50.0,50,1.798736,0.0
-50.0,50,2.648704,0.0
-50.0,50,3.483788,0.0
-50.0,50,4.329898,0.0
-50.0,50,5.206782,0.0
-50.0,50,6.069,0.0
-50.0,50,6.931503,0.0
-50.0,50,7.772874,0.0
-50.0,50,8.615917,0.0
-50.0,50,15.157639,0.0
-50.0,50,16.028456,0.0
-50.0,50,16.88882,0.0
-50.0,50,17.73448,0.0
-50.0,50,18.574737,0.0
-50.0,50,19.413342,0.0
-50.0,50,20.258236,0.0
-50.0,50,21.10261,0.0
-50.0,50,21.949019,0.0
-50.0,50,22.782992,0.0
-50.0,50,29.366837,0.0
-50.0,50,30.204517,0.0
-50.0,50,31.031346,0.0
-50.0,50,31.85222,0.0
-50.0,50,32.685963,0.0
-50.0,50,34.4213,0.0
-50.0,50,35.275214,0.0
-50.0,50,36.142677,0.0
-50.0,50,37.000745,0.0
-50.0,50,37.842248,0.0
-50.0,50,44.418344,0.0
-50.0,50,45.265482,0.0
-50.0,50,46.143997,0.0
-50.0,50,47.046733,0.0
-50.0,50,47.909948,0.0
-50.0,50,48.738655,0.0
-50.0,50,49.599525,0.0
-50.0,50,50.461911,0.0
-50.0,50,51.324185,0.0
-50.0,50,52.172089,0.0
-50.0,50,58.74004,0.0
-50.0,50,59.594719,0.0
-50.0,50,60.445962,0.0
-50.0,50,61.292282,0.0
-50.0,50,62.140718,0.0
-50.0,50,63.006226,0.0
-50.0,50,63.851043,0.0
-50.0,50,64.689639,0.0
-50.0,50,65.533636,0.0
-50.0,50,66.378888,0.0
-50.0,50,68.084445,0.0
-50.0,50,74.627834,0.0
-50.0,50,75.467204,0.0
-50.0,50,76.314437,0.0
-7.0,8,76.446327,1.0
-50.0,50,77.30064,0.0
-50.0,50,78.144518,0.0
-50.0,50,78.977873,0.0
-50.0,50,79.833358,0.0
-50.0,50,80.670786,0.0
-50.0,50,81.527622,0.0
-50.0,50,82.37196,0.0
-50.0,50,88.970856,0.0
-50.0,50,89.822086,0.0
-50.0,50,90.684088,0.0
-50.0,50,91.531481,0.0
-50.0,50,92.382209,0.0
-50.0,50,93.236959,0.0
-50.0,50,94.096696,0.0
-50.0,50,94.931507,0.0
-50.0,50,95.794805,0.0
-50.0,50,96.648261,0.0
-50.0,50,103.244746,0.0
-50.0,50,104.097201,0.0
-50.0,50,104.943266,0.0
-50.0,50,106.654375,0.0
-50.0,50,107.506788,0.0
-50.0,50,108.352315,0.0
-50.0,50,109.222299,0.0
-50.0,50,110.079898,0.0
-50.0,50,110.947294,0.0
-50.0,50,111.803516,0.0
-50.0,50,118.348082,0.0
-50.0,50,119.217303,0.0
-50.0,50,120.057296,0.0
-50.0,50,120.915507,0.0
-50.0,50,121.773619,0.0
-50.0,50,122.626652,0.0
-50.0,50,123.490034,0.0
-50.0,50,124.345676,0.0
-50.0,50,125.205067,0.0
-50.0,50,126.084607,0.0
-50.0,50,126.966867,0.0
-50.0,50,133.528128,0.0
-50.0,50,134.397003,0.0
-50.0,50,135.272932,0.0
-50.0,50,136.139817,0.0
-50.0,50,136.984877,0.0
-50.0,50,137.825619,0.0
-50.0,50,138.674708,0.0
-50.0,50,140.420451,0.0
-50.0,50,141.278715,0.0
-50.0,50,142.133389,0.0
-50.0,50,148.706464,0.0
-50.0,50,149.579347,0.0
-50.0,50,150.424688,0.0
-50.0,50,151.296445,0.0
-50.0,50,152.142724,0.0
-50.0,50,153.003303,0.0
-50.0,50,153.868243,0.0
-50.0,50,154.750707,0.0
-50.0,50,155.62201,0.0
-50.0,50,156.480797,0.0
-50.0,50,163.028066,0.0
-50.0,50,163.888793,0.0
-50.0,50,164.724515,0.0
-50.0,50,165.585375,0.0
-50.0,50,166.438004,0.0
-50.0,50,167.318906,0.0
-50.0,50,168.184773,0.0
-50.0,50,169.053501,0.0
-50.0,50,169.934297,0.0
-50.0,50,170.820191,0.0
-50.0,50,177.444025,0.0
-50.0,50,178.330811,0.0
-50.0,50,180.028302,0.0
-50.0,50,180.885226,0.0
-50.0,50,181.738191,0.0
-50.0,50,182.614136,0.0
-50.0,50,183.464516,0.0
