#{"t_start": 1650971835.2591171, "env_id": "PandaReach-v2"}
r,l,t,is_success
-522.014304,50,1.261649,0.0
-1042.552713,50,2.12097,0.0
-868.80596,50,3.010525,0.0
-732.737803,50,3.878009,0.0
-445.896547,50,4.743719,0.0
-1054.124069,50,5.615445,0.0
-1088.587572,50,6.482761,0.0
-617.638361,50,7.351174,0.0
-1050.984317,50,8.22871,0.0
-659.50259,50,9.095149,0.0
-532.299722,50,15.8414,0.0
-568.033834,50,16.732581,0.0
-875.427585,50,17.599562,0.0
-897.46839,50,18.463101,0.0
-797.301354,50,19.320488,0.0
-521.149544,50,20.200117,0.0
-894.307217,50,21.080364,0.0
-574.906238,50,21.930279,0.0
-564.37834,50,22.806217,0.0
-979.355344,50,23.659932,0.0
-2199.501317,50,30.385227,0.0
-669.97246,50,31.236555,0.0
-832.400174,50,32.110379,0.0
-959.482725,50,33.003586,0.0
-934.074,50,33.892354,0.0
-828.306954,50,35.670281,0.0
-1077.248633,50,36.532426,0.0
-751.070375,50,37.40081,0.0
-683.770777,50,38.285365,0.0
-472.443638,50,39.153774,0.0
-692.046633,50,45.842904,0.0
-882.975333,50,46.732548,0.0
-958.872977,50,47.589674,0.0
-762.466044,50,48.486261,0.0
-431.376379,50,49.401912,0.0
-570.481331,50,50.26186,0.0
-604.895738,50,51.146604,0.0
-754.42565,50,52.005878,0.0
-654.815041,50,52.868417,0.0
-1262.342645,50,53.756601,0.0
-666.574463,50,60.494758,0.0
-531.566834,50,61.353584,0.0
-731.534538,50,62.233044,0.0
-658.75694,50,63.107206,0.0
-974.721794,50,64.000187,0.0
-532.181073,50,64.864936,0.0
-566.302313,50,65.750599,0.0
-870.389169,50,66.648883,0.0
-621.475407,50,67.56113,0.0
-651.021926,50,68.442558,0.0
-458.421727,50,70.40046,0.0
-493.30259,50,77.091924,0.0
-482.880283,50,77.955423,0.0
-841.367208,50,78.827928,0.0
-647.626753,50,79.706851,0.0
-514.06723,36,80.359622,1.0
-264.428366,50,81.241471,0.0
-319.426119,50,82.125875,0.0
-346.751515,50,82.990697,0.0
-764.250188,50,83.864235,0.0
-417.392837,50,84.728177,0.0
-558.146121,50,91.410016,0.0
-712.641303,50,92.293089,0.0
-120.00595,19,92.626574,1.0
-538.863803,50,93.519965,0.0
-517.516811,50,94.389115,0.0
-273.40078,40,95.096217,1.0
-346.806917,50,95.980332,0.0
-413.693007,50,96.856498,0.0
-500.010608,50,97.747966,0.0
-767.003079,50,98.636526,0.0
-716.757239,50,99.501263,0.0
-299.324013,50,106.199622,0.0
-718.375104,50,107.095428,0.0
-553.45623,50,107.9997,0.0
-517.256605,50,108.882561,0.0
-555.354662,50,110.804991,0.0
-481.482608,50,111.71438,0.0
-430.443676,50,112.586992,0.0
-353.672987,50,113.435405,0.0
-393.523,50,114.318239,0.0
-360.222331,50,115.223417,0.0
-619.594993,50,116.126559,0.0
-319.392021,50,122.847702,0.0
-302.058202,50,123.74147,0.0
-268.837133,26,124.25323,1.0
-907.361598,50,125.172402,0.0
-501.576195,50,126.050179,0.0
-419.865298,50,126.977143,0.0
-507.937168,50,127.878103,0.0
-467.538709,50,128.778258,1.0
-739.571442,50,129.64783,0.0
-86.020102,16,129.92071,1.0
-293.085864,50,130.832704,0.0
-313.991586,50,137.480175,0.0
-101.767767,12,137.700677,1.0
-510.713582,50,138.629142,0.0
-236.505206,36,139.278112,1.0
-340.095345,50,140.163966,0.0
-397.951544,50,141.044753,0.0
-381.551149,30,141.567566,1.0
-328.458127,50,142.455476,0.0
-672.484048,50,143.349185,0.0
-338.119476,50,145.248494,0.0
-467.779362,50,146.13781,0.0
-440.309756,50,147.024771,0.0
-443.787142,50,153.771038,0.0
-522.632994,50,154.657756,0.0
-444.973415,23,155.055493,1.0
-572.906393,50,155.928519,0.0
-581.148527,50,156.812542,0.0
