#{"t_start": 1650980115.1101162, "env_id": "PandaReach-v2"}
r,l,t,is_success
-1025.239317,50,0.929905,0.0
-761.26383,50,1.816432,0.0
-1305.991508,50,2.706255,0.0
-629.516363,50,3.578131,0.0
-1915.356086,50,4.449939,0.0
-847.919964,50,5.315127,0.0
-1514.124495,50,6.171431,0.0
-1995.677475,50,7.053292,0.0
-870.283084,50,7.925305,0.0
-813.99829,50,8.811059,0.0
-1044.630721,50,15.545721,0.0
-356.568165,50,16.445498,0.0
-1431.25257,50,17.314272,0.0
-1348.43882,50,18.19027,0.0
-1921.240345,50,19.070946,0.0
-629.544532,50,19.932167,0.0
-813.772645,50,20.819496,0.0
-788.639483,50,21.712562,0.0
-630.09456,50,22.614004,0.0
-654.915794,50,23.480572,0.0
-897.869013,50,30.194359,0.0
-892.757074,50,31.072484,0.0
-845.027379,50,31.948962,0.0
-648.452679,50,32.844496,0.0
-446.054558,50,33.715314,0.0
-889.515635,50,35.488615,0.0
-959.975941,50,36.423085,0.0
-737.798568,50,37.303552,0.0
-789.948733,50,38.195018,0.0
-986.951911,50,39.138219,0.0
-325.846754,40,45.675388,1.0
-634.417224,50,46.58138,0.0
-670.753877,50,47.46778,0.0
-874.367691,50,48.34927,0.0
-1151.760463,50,49.243704,0.0
-723.61364,50,50.134522,0.0
-926.21943,50,51.030649,0.0
-907.703024,50,51.897051,0.0
-944.917329,50,52.763703,0.0
-663.596137,50,53.689931,0.0
-1314.367767,50,54.603105,0.0
-861.468306,50,61.309487,0.0
-678.970329,50,62.235704,0.0
-957.886639,50,63.165524,0.0
-546.611593,50,64.045332,0.0
-527.84004,50,64.955722,0.0
-795.674827,50,65.848764,0.0
-673.072057,50,66.795521,0.0
-666.921995,50,67.720158,0.0
-978.048233,50,68.637355,0.0
-669.526737,50,70.506816,0.0
-808.582143,50,77.265387,0.0
-676.928811,50,78.179102,0.0
-717.704895,50,79.117578,0.0
-921.317975,50,80.105187,0.0
-339.019018,50,81.069215,0.0
-1026.937677,50,82.017851,0.0
-819.250451,50,82.959255,0.0
-968.340069,50,83.892518,0.0
-952.508673,50,84.829819,0.0
-455.276665,50,85.72665,0.0
