#{"t_start": 1649932904.9618468, "env_id": "PandaReach-v2"}
r,l,t,is_success
-844.853671,50,4.78669,0.0
-1401.156563,50,5.526653,0.0
-992.376005,50,6.252546,0.0
-720.735477,50,6.964388,0.0
-1543.945751,50,7.675061,0.0
-1156.578384,50,8.380619,0.0
-659.888674,50,9.092779,0.0
-1723.3998,50,9.803942,0.0
-1664.633582,50,10.521677,0.0
-1363.653078,50,11.227062,0.0
-757.668501,50,14.09911,0.0
-1449.6639,50,14.853033,0.0
-729.993996,50,15.599312,0.0
-1205.609867,50,16.322306,0.0
-847.278376,50,17.016907,0.0
-1626.562251,50,17.760452,0.0
-1233.626237,50,18.534493,0.0
-838.288939,50,19.218889,0.0
-1107.805839,50,19.904026,0.0
-1034.035472,50,20.57011,0.0
-670.912444,50,23.407818,0.0
-893.379505,50,24.086787,0.0
-1215.188945,50,24.768167,0.0
-965.181259,50,25.455361,0.0
-1230.821913,50,26.162024,0.0
-798.046272,50,27.722474,0.0
