#{"t_start": 1650852783.9757283, "env_id": "PandaReach-v2"}
r,l,t,is_success
-13.21758,50,1.558679,0.0
-14.292246,50,2.414277,0.0
-22.646693,50,3.282837,0.0
-15.301641,50,4.163728,0.0
-17.219128,50,5.021216,0.0
-7.95784,50,5.907565,0.0
-12.852757,50,6.783045,0.0
-12.218844,50,7.64786,0.0
-10.745322,50,8.521938,0.0
-14.37371,50,9.395927,0.0
-9.259181,50,15.947604,0.0
-16.294165,50,16.841118,0.0
-17.500071,50,17.693913,0.0
-13.139701,50,18.558968,0.0
-10.246208,50,19.436774,0.0
-13.576188,50,20.298968,0.0
-17.907526,50,21.150268,0.0
-11.311282,50,22.00967,0.0
-7.449074,50,22.894701,0.0
-11.843732,50,23.762183,0.0
-16.489565,50,30.363658,0.0
-14.167216,50,31.233296,0.0
-9.578206,50,32.118846,0.0
-7.861273,50,33.006802,0.0
-9.033547,50,33.896624,0.0
-14.389767,50,35.807116,0.0
-17.721006,50,36.680656,0.0
-7.451173,50,37.595789,0.0
-12.524296,50,38.503735,0.0
-5.062926,50,39.389094,0.0
-13.652577,50,46.034976,0.0
-7.727367,50,47.001035,0.0
-7.93084,50,47.890739,0.0
-10.664975,50,48.780502,0.0
-11.183835,50,49.663641,0.0
-13.238984,50,50.568245,0.0
-16.116143,50,51.475082,0.0
-8.140354,50,52.389247,0.0
-11.905992,50,53.288551,0.0
-8.97324,50,54.272837,0.0
-8.686554,50,60.944314,0.0
-7.551482,50,61.82288,0.0
-11.190897,50,62.732756,0.0
-16.045832,50,63.61593,0.0
-13.794807,50,64.496285,0.0
-11.210123,50,65.418151,0.0
-7.677897,50,66.303706,0.0
-11.990068,50,67.188686,0.0
-8.893242,50,68.080533,0.0
-7.660426,50,68.993256,0.0
-11.678314,50,71.111809,0.0
-9.209666,50,77.730884,0.0
-5.120005,50,78.629603,0.0
-11.132245,50,79.596943,0.0
-16.331269,50,80.525445,0.0
-4.047017,50,81.469973,0.0
-8.167117,50,82.505301,0.0
-7.956478,50,83.450143,0.0
-7.283712,50,84.391633,0.0
-8.997245,50,85.317389,0.0
-8.136291,50,86.276011,0.0
-7.595015,50,92.938329,0.0
-5.215886,50,93.84673,0.0
-10.271039,50,94.75401,0.0
-11.194394,50,95.656358,0.0
-16.251479,50,96.566335,0.0
-10.023436,50,97.488702,0.0
-5.014821,50,98.436802,0.0
-5.188829,50,99.368162,0.0
-5.65251,50,100.308891,0.0
-10.437842,50,101.220365,0.0
-5.653722,50,107.819471,0.0
-4.434998,50,108.76337,0.0
-8.180956,50,109.72968,0.0
-6.818369,50,110.628543,0.0
-5.501817,50,112.806723,0.0
-14.67348,50,113.701215,0.0
-13.603856,50,114.609425,0.0
-4.774673,50,115.547062,0.0
-5.600435,50,116.459849,0.0
-9.103849,50,117.410683,0.0
-6.016054,50,124.052271,0.0
-4.899288,50,125.072492,0.0
-5.173917,50,125.996414,0.0
-6.983225,50,126.934336,0.0
-4.188905,50,127.933141,0.0
-4.505849,50,128.870353,0.0
-10.186706,50,129.795356,0.0
-4.698426,50,130.77275,0.0
-6.845412,50,131.712387,0.0
-9.467031,50,132.671093,0.0
-6.16047,50,133.656728,0.0
-6.055936,50,140.320108,0.0
-5.366949,50,141.28408,0.0
-10.809186,50,142.216551,0.0
-5.357228,50,143.156298,0.0
-6.293266,50,144.108796,0.0
