#{"t_start": 1650829893.206553, "env_id": "PandaReach-v2"}
r,l,t,is_success
-870.296226,50,0.946519,0.0
-917.586383,50,1.840554,0.0
-606.252668,50,2.747221,0.0
-819.451583,50,3.645836,0.0
-1023.428709,50,4.653357,0.0
-1144.493236,50,5.618649,0.0
-511.895314,50,6.492715,0.0
-978.858083,50,7.371879,0.0
-935.75384,50,8.286819,0.0
-559.778411,50,9.162043,0.0
-910.509406,50,15.762685,0.0
-323.683426,50,16.716204,0.0
-843.110334,50,17.59644,0.0
-647.481069,50,18.485316,0.0
-1261.227557,50,19.393017,0.0
-762.077257,50,20.302816,0.0
-776.591271,50,21.160536,0.0
-652.387165,50,22.051686,0.0
-837.851938,50,22.986847,0.0
-693.857515,50,23.884259,0.0
-733.752029,50,30.514395,0.0
-579.199229,50,31.394363,0.0
-937.831312,50,32.289803,0.0
-611.934389,50,33.156897,0.0
-730.937338,50,34.076613,0.0
-497.066134,50,35.970115,0.0
-1126.399286,50,36.831842,0.0
-674.976555,50,37.69921,0.0
-788.583232,50,38.848852,0.0
-707.241725,50,39.756944,0.0
-506.63054,50,46.401096,0.0
-645.042661,50,47.312709,0.0
-657.391078,50,48.208521,0.0
-675.400118,50,49.142335,0.0
-337.666222,50,50.057425,0.0
-966.888021,50,50.947864,0.0
-1426.073439,50,51.865127,0.0
-571.754077,50,52.792353,0.0
-1079.566136,50,53.682129,0.0
-530.104666,50,54.646819,0.0
-872.439774,50,61.282309,0.0
-472.377597,50,62.500932,0.0
-666.290558,50,63.49138,0.0
-390.507804,50,64.426242,0.0
-880.616812,50,65.321299,0.0
-495.032049,50,66.204078,0.0
-757.415218,50,67.16927,0.0
-655.747853,50,68.101111,0.0
-325.254771,50,68.963217,0.0
-565.808649,50,70.173679,0.0
-536.884514,50,72.185194,0.0
-2892.271777,50,78.835397,0.0
-907.661517,50,79.746708,0.0
-619.925822,50,80.693809,0.0
-977.739795,50,81.617575,0.0
-811.756739,50,82.55499,0.0
-446.648991,50,83.491658,0.0
-814.790787,50,84.48213,0.0
-661.750868,50,85.492508,0.0
-594.609737,50,86.438173,0.0
-770.891704,50,87.385037,0.0
-484.197599,50,94.055358,0.0
-657.20162,50,95.00641,0.0
-902.099405,50,95.893652,0.0
-710.021143,50,96.737946,0.0
-400.109411,50,97.672897,0.0
-421.573374,50,98.598956,0.0
-934.891039,50,99.513211,0.0
-398.282774,50,100.468002,0.0
-48.500426,11,100.689008,1.0
-881.168268,50,101.644722,0.0
-911.835473,50,102.591006,0.0
-597.896085,50,109.261882,0.0
-561.128437,50,110.239632,0.0
-364.738666,50,111.147059,0.0
-318.312741,50,113.145725,0.0
-451.404509,50,114.070736,0.0
-812.064743,50,115.007767,0.0
-677.499732,50,115.986452,0.0
-859.509336,50,116.857517,0.0
-583.096652,50,117.774535,0.0
-631.497752,50,118.810787,0.0
-631.03761,50,125.508155,0.0
-861.712883,50,126.485084,0.0
-336.879917,50,127.447658,0.0
-663.885379,50,128.416158,0.0
-594.894185,50,129.384176,0.0
-651.111504,50,130.305966,0.0
-431.30454,50,131.262763,0.0
-434.187106,50,132.229493,0.0
-320.75322,50,133.170956,0.0
-309.056486,50,134.181977,0.0
-309.557554,50,140.961474,0.0
-321.094464,50,141.911798,0.0
-352.312806,50,142.950774,0.0
-983.328346,50,143.926764,0.0
-850.163835,50,144.878857,0.0
-283.378563,50,145.898583,0.0
-476.835632,50,146.913672,0.0
-809.890235,50,147.952958,0.0
-578.072278,50,149.857117,0.0
-574.367663,50,150.824091,0.0
-1047.58264,50,151.878795,0.0
-427.362081,50,158.48033,0.0
-738.879636,50,159.420356,0.0
-871.538385,50,160.344348,0.0
-1038.036214,50,161.262851,0.0
-356.848989,50,162.228226,0.0
-534.785882,50,163.169586,0.0
-417.505328,50,164.096325,0.0
