#{"t_start": 1649988142.4684396, "env_id": "PandaReach-v2"}
r,l,t,is_success
-50.0,50,0.926582,0.0
-50.0,50,1.79828,0.0
-50.0,50,2.691245,0.0
-50.0,50,3.618996,0.0
-50.0,50,4.536005,0.0
-50.0,50,5.419272,0.0
-50.0,50,6.342221,0.0
-50.0,50,7.220781,0.0
-50.0,50,8.121566,0.0
-50.0,50,9.026986,0.0
-50.0,50,12.419794,0.0
-50.0,50,13.346947,0.0
-50.0,50,14.225374,0.0
-50.0,50,15.109094,0.0
-50.0,50,16.003217,0.0
-50.0,50,16.883542,0.0
-50.0,50,17.775592,0.0
-50.0,50,18.658187,0.0
-50.0,50,19.552265,0.0
-50.0,50,20.464369,0.0
-50.0,50,23.830499,0.0
-50.0,50,24.698989,0.0
-50.0,50,25.622094,0.0
-50.0,50,26.512395,0.0
-50.0,50,27.432642,0.0
-50.0,50,29.214578,0.0
-50.0,50,30.082206,0.0
-50.0,50,30.940198,0.0
-50.0,50,31.867672,0.0
-50.0,50,32.771316,0.0
-50.0,50,39.294218,0.0
-50.0,50,40.196059,0.0
-50.0,50,41.074209,0.0
-50.0,50,41.968739,0.0
-50.0,50,42.866885,0.0
-50.0,50,43.745317,0.0
-50.0,50,44.676116,0.0
-50.0,50,45.569657,0.0
-50.0,50,46.473444,0.0
-50.0,50,47.382266,0.0
-50.0,50,54.105761,0.0
-50.0,50,55.004857,0.0
-50.0,50,55.90519,0.0
-50.0,50,56.784662,0.0
-50.0,50,57.652632,0.0
-50.0,50,58.530946,0.0
-50.0,50,59.402078,0.0
-50.0,50,60.343778,0.0
-50.0,50,61.216149,0.0
-50.0,50,62.099999,0.0
-50.0,50,63.924335,0.0
-50.0,50,70.620527,0.0
-50.0,50,71.487662,0.0
-50.0,50,72.370473,0.0
-50.0,50,73.256258,0.0
-50.0,50,74.152553,0.0
-50.0,50,75.070985,0.0
-50.0,50,75.946281,0.0
-50.0,50,76.873663,0.0
-50.0,50,77.784014,0.0
-50.0,50,78.707128,0.0
-50.0,50,85.371426,0.0
-50.0,50,86.252286,0.0
-50.0,50,87.179634,0.0
-50.0,50,88.047226,0.0
-50.0,50,88.934416,0.0
-50.0,50,89.83387,0.0
-50.0,50,90.734575,0.0
-50.0,50,91.608711,0.0
-50.0,50,92.48588,0.0
-50.0,50,93.391791,0.0
-50.0,50,100.030398,0.0
-50.0,50,100.946209,0.0
-50.0,50,101.818719,0.0
-50.0,50,102.712882,0.0
-50.0,50,104.513289,0.0
-50.0,50,105.40181,0.0
-50.0,50,106.283867,0.0
-50.0,50,107.137545,0.0
-50.0,50,108.023268,0.0
-50.0,50,108.895509,0.0
-50.0,50,115.5857,0.0
-50.0,50,116.470493,0.0
-50.0,50,117.355347,0.0
-50.0,50,118.236663,0.0
-50.0,50,119.162309,0.0
-50.0,50,120.062217,0.0
-50.0,50,120.994451,0.0
-50.0,50,121.900846,0.0
-50.0,50,122.76961,0.0
-50.0,50,123.70232,0.0
-50.0,50,124.590864,0.0
-50.0,50,131.245457,0.0
-50.0,50,132.111225,0.0
-50.0,50,133.010041,0.0
-50.0,50,133.888649,0.0
-50.0,50,134.974971,0.0
-50.0,50,135.840121,0.0
-50.0,50,136.70928,0.0
-50.0,50,137.602973,0.0
-50.0,50,139.462212,0.0
-50.0,50,140.346115,0.0
-50.0,50,147.04793,0.0
-50.0,50,147.944708,0.0
-50.0,50,148.833147,0.0
-50.0,50,149.720118,0.0
-50.0,50,150.60474,0.0
-50.0,50,151.470846,0.0
-50.0,50,152.357305,0.0
-50.0,50,153.234768,0.0
-50.0,50,154.122716,0.0
-50.0,50,155.011671,0.0
-50.0,50,161.795838,0.0
-50.0,50,162.698096,0.0
-50.0,50,163.567602,0.0
-50.0,50,164.441162,0.0
-50.0,50,165.307054,0.0
-50.0,50,166.207137,0.0
-50.0,50,167.068285,0.0
-50.0,50,167.942574,0.0
-50.0,50,168.839277,0.0
-50.0,50,169.717236,0.0
-50.0,50,176.413621,0.0
-50.0,50,177.281819,0.0
-50.0,50,178.161124,0.0
-50.0,50,179.913347,0.0
-50.0,50,180.8513,0.0
-50.0,50,181.784336,0.0
-50.0,50,182.680844,0.0
-50.0,50,183.556958,0.0
-50.0,50,184.431767,0.0
-50.0,50,185.318259,0.0
-50.0,50,186.208139,0.0
-50.0,50,192.356494,0.0
-50.0,50,193.264563,0.0
-50.0,50,194.147494,0.0
-50.0,50,195.019667,0.0
-50.0,50,195.946999,0.0
-50.0,50,196.839095,0.0
-50.0,50,197.73286,0.0
-50.0,50,198.612406,0.0
-50.0,50,199.484338,0.0
-50.0,50,200.364043,0.0
-50.0,50,207.109042,0.0
-50.0,50,208.016135,0.0
-50.0,50,208.896452,0.0
-50.0,50,209.774112,0.0
-50.0,50,210.657673,0.0
-50.0,50,211.531213,0.0
-50.0,50,212.419708,0.0
-50.0,50,214.135947,0.0
-50.0,50,215.007548,0.0
-50.0,50,215.877288,0.0
-50.0,50,222.619953,0.0
-50.0,50,223.497907,0.0
-50.0,50,224.355802,0.0
-50.0,50,225.241029,0.0
-50.0,50,226.132722,0.0
-50.0,50,226.993732,0.0
-50.0,50,227.871537,0.0
-50.0,50,228.760298,0.0
-50.0,50,229.633581,0.0
-50.0,50,230.535021,0.0
-50.0,50,237.277267,0.0
-50.0,50,238.17814,0.0
-50.0,50,239.077822,0.0
-50.0,50,239.979395,0.0
-50.0,50,240.850031,0.0
-50.0,50,241.734975,0.0
-50.0,50,242.636345,0.0
-50.0,50,243.568896,0.0
-50.0,50,244.484391,0.0
-50.0,50,245.387869,0.0
-50.0,50,246.248703,0.0
-50.0,50,252.947121,0.0
-50.0,50,254.7192,0.0
-50.0,50,255.637394,0.0
-50.0,50,256.500515,0.0
-50.0,50,257.385225,0.0
-50.0,50,258.274432,0.0
-50.0,50,259.157473,0.0
-50.0,50,260.051099,0.0
-50.0,50,260.9247,0.0
-50.0,50,261.810958,0.0
-50.0,50,268.477383,0.0
-50.0,50,269.406796,0.0
-50.0,50,270.304097,0.0
-50.0,50,271.189213,0.0
-50.0,50,272.105407,0.0
-50.0,50,273.034764,0.0
-50.0,50,273.949725,0.0
-50.0,50,274.843631,0.0
-50.0,50,275.722618,0.0
-50.0,50,276.594995,0.0
-50.0,50,283.383435,0.0
-50.0,50,284.273039,0.0
-50.0,50,285.185566,0.0
-50.0,50,286.074193,0.0
-50.0,50,286.969678,0.0
-50.0,50,287.86383,0.0
-50.0,50,289.690554,0.0
-50.0,50,290.561763,0.0
-50.0,50,291.470396,0.0
-50.0,50,292.352655,0.0
-50.0,50,299.076328,0.0
-50.0,50,299.97585,0.0
-50.0,50,300.878799,0.0
-50.0,50,301.75913,0.0
-50.0,50,302.645175,0.0
-50.0,50,303.512216,0.0
-50.0,50,304.406941,0.0
-50.0,50,305.292192,0.0
-50.0,50,306.191329,0.0
-50.0,50,307.080938,0.0
-50.0,50,308.006686,0.0
-50.0,50,314.601921,0.0
-50.0,50,315.472758,0.0
-50.0,50,316.347864,0.0
-50.0,50,317.272696,0.0
-50.0,50,318.170646,0.0
-50.0,50,319.099215,0.0
-50.0,50,319.983453,0.0
-50.0,50,320.887057,0.0
-50.0,50,321.768247,0.0
-50.0,50,322.625626,0.0
-50.0,50,330.414844,0.0
-50.0,50,331.303424,0.0
-50.0,50,332.208573,0.0
-50.0,50,333.088056,0.0
-50.0,50,334.00192,0.0
-50.0,50,334.931035,0.0
-50.0,50,335.834156,0.0
-50.0,50,336.715603,0.0
-50.0,50,337.622111,0.0
-50.0,50,338.508795,0.0
-50.0,50,345.231286,0.0
-50.0,50,346.100456,0.0
-50.0,50,346.961818,0.0
-50.0,50,347.85528,0.0
-50.0,50,348.734854,0.0
-50.0,50,349.595762,0.0
-50.0,50,350.567428,0.0
-50.0,50,351.447266,0.0
-50.0,50,352.354366,0.0
-50.0,50,353.241767,0.0
-50.0,50,359.951514,0.0
-50.0,50,360.847453,0.0
-50.0,50,361.751046,0.0
-50.0,50,362.686351,0.0
-50.0,50,363.578982,0.0
-50.0,50,365.330745,0.0
-50.0,50,366.217831,0.0
-50.0,50,367.094753,0.0
-50.0,50,368.002969,0.0
-50.0,50,368.888337,0.0
-50.0,50,369.764165,0.0
-50.0,50,376.412611,0.0
-50.0,50,377.295563,0.0
-50.0,50,378.235202,0.0
-50.0,50,379.126367,0.0
-50.0,50,380.007789,0.0
-50.0,50,380.889503,0.0
-50.0,50,381.812176,0.0
-50.0,50,382.692336,0.0
-50.0,50,383.601002,0.0
-50.0,50,384.4876,0.0
-50.0,50,391.126922,0.0
-50.0,50,392.04459,0.0
-50.0,50,392.964789,0.0
-50.0,50,393.913733,0.0
-50.0,50,394.838133,0.0
-50.0,50,395.734705,0.0
-50.0,50,396.621546,0.0
-50.0,50,397.51888,0.0
-50.0,50,398.405781,0.0
-50.0,50,400.162556,0.0
-50.0,50,406.879652,0.0
-50.0,50,407.796126,0.0
-50.0,50,408.676202,0.0
-50.0,50,409.525319,0.0
-50.0,50,410.563847,0.0
-50.0,50,411.431321,0.0
-50.0,50,412.318711,0.0
-50.0,50,413.243546,0.0
-50.0,50,414.171268,0.0
