#{"t_start": 1649840650.3977897, "env_id": "PandaReach-v2"}
r,l,t,is_success
-50.0,50,1.535656,0.0
-50.0,50,2.406391,0.0
-50.0,50,3.290635,0.0
-50.0,50,4.210071,0.0
-50.0,50,5.104911,0.0
-50.0,50,5.987086,0.0
-50.0,50,6.960033,0.0
-50.0,50,7.8612,0.0
-50.0,50,8.741437,0.0
-50.0,50,9.643716,0.0
-50.0,50,16.410546,0.0
-50.0,50,17.355788,0.0
-50.0,50,18.23932,0.0
-50.0,50,19.107383,0.0
-50.0,50,20.006573,0.0
-50.0,50,20.907604,0.0
-50.0,50,21.828522,0.0
-50.0,50,22.704939,0.0
-50.0,50,23.614553,0.0
-50.0,50,24.509933,0.0
-50.0,50,31.164249,0.0
-50.0,50,32.03009,0.0
-50.0,50,32.934412,0.0
-50.0,50,33.847912,0.0
-50.0,50,34.749776,0.0
-50.0,50,36.543534,0.0
-50.0,50,37.453027,0.0
-50.0,50,38.320001,0.0
-50.0,50,39.214506,0.0
-50.0,50,40.099378,0.0
-50.0,50,46.78404,0.0
-50.0,50,47.657958,0.0
-50.0,50,48.540599,0.0
-50.0,50,49.415617,0.0
-50.0,50,50.343821,0.0
-50.0,50,51.221977,0.0
-50.0,50,52.148708,0.0
-50.0,50,53.11269,0.0
-50.0,50,54.084529,0.0
-50.0,50,55.003491,0.0
-50.0,50,61.6762,0.0
-50.0,50,62.577634,0.0
-50.0,50,63.483356,0.0
-50.0,50,64.370011,0.0
-50.0,50,65.24176,0.0
-50.0,50,66.170228,0.0
-50.0,50,67.04886,0.0
-50.0,50,67.990638,0.0
-50.0,50,68.844063,0.0
-50.0,50,69.726675,0.0
-50.0,50,71.537299,0.0
-50.0,50,78.10412,0.0
-50.0,50,79.003368,0.0
-50.0,50,79.889986,0.0
-50.0,50,80.824637,0.0
-50.0,50,81.747406,0.0
-50.0,50,82.675967,0.0
-50.0,50,83.585544,0.0
-50.0,50,84.529782,0.0
-50.0,50,85.494528,0.0
-50.0,50,86.396056,0.0
-50.0,50,92.857554,0.0
-50.0,50,93.76381,0.0
-50.0,50,94.632766,0.0
