#{"t_start": 1649932978.3928742, "env_id": "PandaReach-v2"}
r,l,t,is_success
-1177.429254,50,6.073119,0.0
-1816.345934,50,6.936317,0.0
-963.825323,50,7.809421,0.0
-822.905695,50,8.688795,0.0
-752.676477,50,9.553744,0.0
-825.191197,50,10.423227,0.0
-1025.646507,50,11.282044,0.0
-724.858797,50,12.152882,0.0
-668.057029,50,13.041533,0.0
-1279.76785,50,13.920594,0.0
-1512.418528,50,20.690794,0.0
-614.273033,50,21.574867,0.0
-1083.076767,50,22.447225,0.0
-1648.509181,50,23.319346,0.0
-551.13742,50,24.175949,0.0
-561.000557,50,25.023489,0.0
-1072.607011,50,25.898513,0.0
-1074.919012,50,26.755764,0.0
-1482.691328,50,27.62424,0.0
-818.496125,50,28.486844,0.0
-1249.099921,50,35.360939,0.0
-1452.136886,50,36.204771,0.0
-1519.28364,50,37.048347,0.0
-746.305377,50,37.891888,0.0
-1336.630421,50,38.740925,0.0
-779.540518,50,40.489964,0.0
-692.641074,50,41.344628,0.0
-1341.938605,50,42.19176,0.0
-1959.979002,50,43.062193,0.0
-791.113033,50,43.921289,0.0
-468.151535,50,50.592866,0.0
-1347.905385,50,51.464987,0.0
-1262.868165,50,52.319767,0.0
-1362.212903,50,53.192047,0.0
-1129.670182,50,54.086576,0.0
-1001.085841,50,54.937558,0.0
-1264.12089,50,55.809914,0.0
-1056.448087,50,56.655195,0.0
-600.632619,50,57.505746,0.0
-870.84146,50,58.355055,0.0
-764.607869,50,65.03114,0.0
-553.853928,50,65.967842,0.0
-1141.417681,50,66.872398,0.0
-930.63807,50,67.75828,0.0
-1052.473704,50,68.630183,0.0
-1375.697458,50,69.483277,0.0
-585.910648,50,70.342964,0.0
-508.841136,50,71.184431,0.0
-1009.202552,50,72.045016,0.0
-1552.724986,50,72.896072,0.0
-1111.057096,50,74.654939,0.0
-939.629957,50,81.221817,0.0
-1136.104182,50,82.087865,0.0
-740.852843,50,82.928707,0.0
-639.810804,50,83.775002,0.0
-674.258901,50,84.612167,0.0
-613.019273,50,85.450874,0.0
-537.959608,50,86.283595,0.0
-712.675655,50,87.140468,0.0
-831.916699,50,88.002277,0.0
-912.073288,50,88.856781,0.0
-766.201794,50,95.516435,0.0
-545.998944,50,96.370179,0.0
-866.821016,50,97.217283,0.0
-683.567077,50,98.076933,0.0
-830.036009,50,98.926781,0.0
-1013.10878,50,99.774574,0.0
-896.802556,50,100.634721,0.0
-440.63052,50,101.492741,0.0
-667.586023,50,102.356269,0.0
-394.807472,50,103.211327,0.0
-1215.816858,50,109.870144,0.0
-910.480936,50,110.729499,0.0
-535.24267,50,111.575233,0.0
-890.698202,50,112.418637,0.0
-669.052011,50,114.174535,0.0
-851.522534,50,115.024276,0.0
-713.548086,50,115.879241,0.0
-862.800227,50,116.734878,0.0
-571.575757,50,117.573895,0.0
-897.670595,50,118.428232,0.0
-857.155837,50,125.06894,0.0
-571.752175,50,125.920276,0.0
-449.493147,50,126.770813,0.0
-772.455645,50,127.621395,0.0
-703.551818,50,128.476793,0.0
-673.398954,50,129.323489,0.0
-650.880017,50,130.195099,0.0
-674.236334,50,131.036669,0.0
-445.66236,50,131.879193,0.0
-1032.838159,50,132.726987,0.0
-869.921865,50,133.574857,0.0
-739.770011,50,140.210063,0.0
-538.646832,50,141.065848,0.0
-653.827795,50,141.911286,0.0
-697.860083,50,142.772739,0.0
-606.554803,50,143.620856,0.0
-625.005097,50,144.472792,0.0
-949.371859,50,145.305381,0.0
-804.055594,50,146.161442,0.0
-1061.0318,50,147.972601,0.0
-810.457045,50,148.827189,0.0
-732.711914,50,155.427126,0.0
-621.623669,50,156.286844,0.0
-752.486762,50,157.141402,0.0
-625.282174,50,158.000697,0.0
-616.609405,50,158.83831,0.0
-778.444253,50,159.69603,0.0
-444.306481,50,160.565398,0.0
-528.751875,50,161.414608,0.0
-1066.576635,50,162.261645,0.0
-458.480947,50,163.109025,0.0
-426.530165,50,169.699123,0.0
-908.371212,50,170.533074,0.0
-577.845489,50,171.38606,0.0
-458.348385,50,172.25006,0.0
-595.109459,50,173.085736,0.0
-675.423637,50,173.929312,0.0
-354.438101,50,174.814253,0.0
-535.612191,50,175.647042,0.0
-828.474231,50,176.478413,0.0
-418.92627,50,177.309832,0.0
-749.861684,50,183.934831,0.0
-845.041105,50,184.783301,0.0
-499.256753,50,185.622938,0.0
-690.960916,50,187.346171,0.0
-580.179998,50,188.187331,0.0
-710.761762,50,189.025118,0.0
-625.635106,50,189.873126,0.0
-505.78719,50,190.698455,0.0
-682.515406,50,191.543216,0.0
-672.120339,50,192.399623,0.0
-779.356668,50,193.243857,0.0
-722.740505,50,199.829402,0.0
-406.073533,50,200.662563,0.0
-336.616377,50,201.49707,0.0
-368.217041,50,202.345631,0.0
-482.530907,50,203.181516,0.0
-341.330834,50,204.023123,0.0
-443.484978,50,204.854337,0.0
-653.147487,50,205.68971,0.0
-878.64642,50,206.541543,0.0
-899.430346,50,207.390603,0.0
-550.219126,50,214.019281,0.0
-363.579536,50,214.863031,0.0
-508.881687,50,215.696719,0.0
-591.290656,50,216.549375,0.0
-663.165184,50,217.377844,0.0
-375.112661,50,218.215857,0.0
-267.730828,50,219.060809,0.0
-570.020023,50,220.735933,0.0
-582.195985,50,221.565157,0.0
-546.389136,50,222.41232,0.0
-495.539882,50,229.002119,0.0
-601.188102,50,229.851903,0.0
-671.223073,50,230.706684,0.0
-756.272097,50,231.55389,0.0
-377.20907,50,232.388267,0.0
-953.049911,50,233.234956,0.0
-746.036895,50,234.084577,0.0
-463.520887,50,234.923688,0.0
-825.273961,50,235.764056,0.0
-436.314906,50,236.600075,0.0
-719.702307,50,243.206033,0.0
-632.676042,50,244.039783,0.0
-757.991873,50,244.888767,0.0
-873.634997,50,245.730475,0.0
-610.379439,50,246.58074,0.0
-973.414555,50,247.417607,0.0
-476.281107,50,248.269651,0.0
-477.908169,50,249.125144,0.0
-373.070675,50,249.974898,0.0
-960.161474,50,250.82264,0.0
-496.201899,50,251.647123,0.0
-500.276746,50,258.262336,0.0
-280.381618,50,259.97061,0.0
-296.437504,50,260.804165,0.0
-686.697355,50,261.643141,0.0
-493.367998,50,262.493159,0.0
-829.629807,50,263.340707,0.0
-486.680421,50,264.198844,0.0
