#{"t_start": 1651042155.0480947, "env_id": "PandaReach-v2"}
r,l,t,is_success
-50.0,50,1.03906,0.0
-50.0,50,1.903705,0.0
-50.0,50,2.81325,0.0
-50.0,50,3.692015,0.0
-50.0,50,4.561359,0.0
-50.0,50,5.440522,0.0
-50.0,50,6.297721,0.0
-50.0,50,7.176882,0.0
-50.0,50,8.049994,0.0
-50.0,50,8.934149,0.0
-50.0,50,15.657526,0.0
-50.0,50,16.549889,0.0
-50.0,50,17.425274,0.0
-3.0,4,17.498505,1.0
-50.0,50,18.395037,0.0
-50.0,50,19.258859,0.0
-50.0,50,20.120302,0.0
-50.0,50,21.005642,0.0
-50.0,50,21.882905,0.0
-50.0,50,22.7966,0.0
-50.0,50,23.718388,0.0
-50.0,50,30.469824,0.0
-50.0,50,31.326513,0.0
-50.0,50,32.194488,0.0
-50.0,50,33.083084,0.0
-50.0,50,34.884557,0.0
-50.0,50,35.764042,0.0
-50.0,50,36.651549,0.0
-50.0,50,37.531261,0.0
-50.0,50,38.424929,0.0
-50.0,50,39.33109,0.0
-21.0,22,39.726163,1.0
-50.0,50,46.463537,0.0
-50.0,50,47.31502,0.0
-50.0,50,48.177909,0.0
-50.0,50,49.07269,0.0
-50.0,50,49.948524,0.0
-50.0,50,50.829725,0.0
-50.0,50,51.706941,0.0
-50.0,50,52.578846,0.0
-50.0,50,53.461819,0.0
-50.0,50,54.351759,0.0
-50.0,50,61.038196,0.0
-50.0,50,61.93297,0.0
-50.0,50,62.817553,0.0
-50.0,50,63.688878,0.0
-50.0,50,64.558177,0.0
-50.0,50,65.422525,0.0
-28.0,29,65.928944,1.0
-50.0,50,66.78197,0.0
-50.0,50,67.656505,0.0
-50.0,50,69.421604,0.0
-50.0,50,70.321186,0.0
-50.0,50,77.013624,0.0
-50.0,50,77.89911,0.0
-50.0,50,78.792644,0.0
-50.0,50,79.698251,0.0
-50.0,50,80.590556,0.0
-50.0,50,81.458974,0.0
-50.0,50,82.341866,0.0
-50.0,50,83.234756,0.0
-50.0,50,84.114051,0.0
-50.0,50,84.988836,0.0
-50.0,50,91.749603,0.0
-50.0,50,92.646073,0.0
-50.0,50,93.529987,0.0
-50.0,50,94.445803,0.0
-50.0,50,95.330059,0.0
-50.0,50,96.232094,0.0
-50.0,50,97.11109,0.0
-50.0,50,97.992962,0.0
-50.0,50,98.85542,0.0
-50.0,50,99.773352,0.0
-50.0,50,106.488598,0.0
-50.0,50,107.390589,0.0
-50.0,50,108.273721,0.0
-50.0,50,109.957613,0.0
-50.0,50,110.841892,0.0
-50.0,50,111.706232,0.0
-50.0,50,112.617101,0.0
-50.0,50,113.510733,0.0
-50.0,50,114.415181,0.0
-50.0,50,115.297084,0.0
-50.0,50,122.064766,0.0
-50.0,50,122.953748,0.0
-50.0,50,123.815469,0.0
-50.0,50,124.68308,0.0
-50.0,50,125.607698,0.0
-50.0,50,126.506508,0.0
-50.0,50,127.418686,0.0
-50.0,50,128.324434,0.0
-50.0,50,129.194731,0.0
-50.0,50,130.061083,0.0
-50.0,50,130.993786,0.0
-50.0,50,137.719554,0.0
-50.0,50,138.600325,0.0
-50.0,50,139.470927,0.0
-50.0,50,140.342408,0.0
-50.0,50,141.231269,0.0
-50.0,50,142.166046,0.0
-50.0,50,143.051811,0.0
-50.0,50,144.860749,0.0
-50.0,50,145.731,0.0
-50.0,50,146.60746,0.0
-50.0,50,153.377399,0.0
-50.0,50,154.301582,0.0
-50.0,50,155.182977,0.0
-50.0,50,156.053929,0.0
-50.0,50,156.944293,0.0
