#{"t_start": 1649788546.5981653, "env_id": "PandaReach-v2"}
r,l,t,is_success
-790.148669,50,1.441694,0.0
-2478.892601,50,2.341169,0.0
-2692.78587,50,3.236432,0.0
-2618.448249,50,4.130521,0.0
-3025.442889,50,5.23111,0.0
-2289.959632,50,6.136518,0.0
-2207.902453,50,7.008688,0.0
-2459.236826,50,8.118384,0.0
-2296.078125,50,9.214006,0.0
-2601.253406,50,10.094639,0.0
-2921.949759,50,16.708302,0.0
-2399.025526,50,17.810608,0.0
-2354.36681,50,18.723219,0.0
-1927.700682,50,19.807606,0.0
-2380.818483,50,21.043448,0.0
-2328.676957,50,22.188747,0.0
-2605.621783,50,23.056708,0.0
-2406.353659,50,23.941775,0.0
-1908.050255,50,24.84976,0.0
-2517.946357,50,25.959657,0.0
-1841.902883,50,32.874513,0.0
-1880.280255,50,33.79883,0.0
-2198.217774,50,34.953422,0.0
-2384.279751,50,35.851697,0.0
-1911.671483,50,36.762806,0.0
-2561.614442,50,38.517779,0.0
-2183.359494,50,39.463488,0.0
-1899.241593,50,40.409302,0.0
-2494.884376,50,41.704511,0.0
-2056.370814,50,42.591695,0.0
-2333.931365,50,49.238465,0.0
-615.672388,50,50.404493,0.0
-2165.609701,50,51.506342,0.0
-2251.913684,50,52.438048,0.0
-2385.789254,50,53.39021,0.0
-2362.29007,50,54.330987,0.0
-1734.547788,50,55.694027,0.0
-2261.149307,50,56.829816,0.0
-1806.031582,50,57.702292,0.0
-2018.696518,50,58.817902,0.0
-2115.33815,50,65.519401,0.0
-1879.221877,50,66.410485,0.0
-1774.904414,50,67.312837,0.0
-956.72117,50,68.426837,0.0
-2217.497254,50,69.31462,0.0
-2346.392367,50,70.445588,0.0
-2317.530477,50,71.320682,0.0
-2078.615746,50,72.237713,0.0
-1817.199605,50,73.130817,0.0
-2542.670659,50,74.456536,0.0
-538.573154,50,76.868552,0.0
-1985.703331,50,83.963347,0.0
-1995.923744,50,85.266585,0.0
-2125.822035,50,86.157645,0.0
-2416.269415,50,87.291829,0.0
-2103.821179,50,88.187842,0.0
-2334.249016,50,89.103675,0.0
-2430.311891,50,90.082094,0.0
-2116.469317,50,91.008691,0.0
-2072.092036,50,91.930483,0.0
-1881.610522,50,92.810882,0.0
-1709.330277,50,99.435318,0.0
-1608.069185,50,100.655517,0.0
-2024.471334,50,101.581105,0.0
-1977.161991,50,102.474086,0.0
-2521.750357,50,103.504952,0.0
-1774.280693,50,104.429483,0.0
-1767.857724,50,105.365424,0.0
-1974.880563,50,106.443565,0.0
-2149.950056,50,107.809818,0.0
-2155.040513,50,108.956937,0.0
-2211.152316,50,115.784457,0.0
-1758.339829,50,117.239891,0.0
-2082.120101,50,118.165199,0.0
-1545.471436,50,119.085036,0.0
-1907.442789,50,121.280835,0.0
-2065.352157,50,122.185179,0.0
-1924.751762,50,123.278955,0.0
-1592.173532,50,124.158484,0.0
-2154.62314,50,125.056186,0.0
-1721.560492,50,125.998573,0.0
-2078.19716,50,133.109514,0.0
-2513.287663,50,134.037239,0.0
-1800.536071,50,135.128097,0.0
-1972.207142,50,136.025308,0.0
-1647.968674,50,137.34461,0.0
-1781.921323,50,138.245084,0.0
-1878.19938,50,139.11205,0.0
-1910.932705,50,140.005358,0.0
-1919.617267,50,140.93172,0.0
-1845.75366,50,141.86583,0.0
-1139.812671,50,143.561113,0.0
-1772.63601,50,150.261594,0.0
-2276.163773,50,151.159144,0.0
-1834.472753,50,152.321019,0.0
-2076.895373,50,153.192521,0.0
-2017.359798,50,154.514654,0.0
-1841.715304,50,155.418194,0.0
-1791.325016,50,156.280724,0.0
-2067.435154,50,157.234646,0.0
-2027.516106,50,158.919403,0.0
-2169.026028,50,159.862072,0.0
-1808.580879,50,166.553081,0.0
-2332.569798,50,167.890945,0.0
-1938.725176,50,168.789407,0.0
-1764.972099,50,169.891486,0.0
-2379.794721,50,171.217505,0.0
-1659.08525,50,172.384394,0.0
-1946.821189,50,173.282108,0.0
-1635.88254,50,174.180017,0.0
-1906.636166,50,175.058599,0.0
-1650.079162,50,175.991453,0.0
-1826.602438,50,182.953216,0.0
-824.98046,50,184.539014,0.0
-1679.300804,50,185.427287,0.0
-1465.883447,50,186.388621,0.0
-1765.551673,50,187.303156,0.0
-1808.038882,50,188.45172,0.0
-1462.687136,50,189.404666,0.0
-1575.384261,50,190.326067,0.0
-1410.262613,50,191.243011,0.0
-1616.781932,50,192.3609,0.0
-2030.302952,50,199.244177,0.0
-714.287569,50,200.368644,0.0
-1367.953595,50,201.275487,0.0
-1754.12654,50,203.172484,0.0
-1741.720437,50,204.058506,0.0
-1371.523802,50,204.945378,0.0
-1579.435879,50,206.097023,0.0
-1989.690875,50,207.607906,0.0
-1857.386882,50,208.844811,0.0
-1352.076592,50,209.661054,0.0
-1107.175999,50,210.515167,0.0
-2365.215291,50,217.164022,0.0
-2348.024336,50,218.047332,0.0
-1714.489163,50,218.926908,0.0
-1394.955816,50,220.478858,0.0
-1532.513257,50,221.42031,0.0
-1474.239122,50,222.383044,0.0
-1939.068691,50,223.595259,0.0
-1724.061595,50,224.528054,0.0
-1967.260587,50,225.676981,0.0
-1279.793069,50,226.565721,0.0
-1458.760403,50,233.44562,0.0
-2093.031018,50,234.344349,0.0
-2262.589698,50,235.287335,0.0
-1357.672745,50,236.202013,0.0
-1472.972976,50,237.087304,0.0
-1545.543436,50,238.020117,0.0
-1698.731342,50,238.955832,0.0
-1815.457752,50,240.607551,0.0
-1697.935837,50,241.546467,0.0
-1464.93217,50,242.49142,0.0
-2109.607238,50,249.129582,0.0
-1384.481117,50,250.308273,0.0
-1187.118341,50,251.224968,0.0
-1644.527381,50,252.638576,0.0
-1774.536912,50,253.602101,0.0
-1084.696902,50,254.558649,0.0
-1303.594122,50,255.509157,0.0
-1259.089977,50,256.729512,0.0
-1468.678609,50,257.91186,0.0
-1472.993164,50,258.803273,0.0
-1605.584061,50,265.726849,0.0
-1134.37667,50,266.65491,0.0
-1556.55959,50,267.562778,0.0
-1893.369609,50,268.486994,0.0
-1679.829444,50,269.424667,0.0
-2319.272851,50,270.354338,0.0
-1552.76846,50,271.46809,0.0
-1639.442033,50,272.408343,0.0
-1416.534018,50,273.291428,0.0
-959.645285,50,274.618214,0.0
-1496.725803,50,275.563557,0.0
-2291.165027,50,282.268975,0.0
-801.944117,50,284.211691,0.0
-1461.244231,50,285.169608,0.0
-1486.86882,50,286.08537,0.0
-1815.424094,50,287.206352,0.0
-1014.758334,50,288.105372,0.0
-1873.061648,50,289.252003,0.0
-1493.032378,50,290.184456,0.0
-1387.667467,50,291.17216,0.0
-1524.488514,50,292.156114,0.0
-1730.478391,50,298.811525,0.0
-1097.092093,50,299.7609,0.0
-2083.722924,50,300.684321,0.0
-1760.941983,50,301.849765,0.0
-1342.778488,50,302.78735,0.0
-1618.828051,50,303.896263,0.0
-2016.204964,50,304.814248,0.0
-1800.548627,50,305.713405,0.0
-1543.37581,50,306.629386,0.0
-2294.23658,50,307.569165,0.0
-826.652348,50,314.742244,0.0
-1611.639465,50,315.789072,0.0
-1409.482294,50,316.721599,0.0
-1352.676354,50,317.645212,0.0
-1448.194427,50,318.607532,0.0
-1158.539945,50,319.93119,0.0
-1366.79745,50,321.821465,0.0
-1121.420878,50,322.82413,0.0
-2075.968729,50,324.192078,0.0
-1248.943003,50,325.103266,0.0
-1870.220577,50,331.835304,0.0
-1494.473947,50,332.812337,0.0
-1987.244638,50,333.763824,0.0
-1118.953197,50,334.738548,0.0
-1926.309613,50,335.629594,0.0
-1122.354528,50,336.584399,0.0
-1747.336586,50,337.575207,0.0
-1135.168959,50,338.549982,0.0
-1721.808883,50,339.583381,0.0
-1031.106198,50,340.532617,0.0
-856.85161,50,341.771599,0.0
-1827.79303,50,348.984259,0.0
-2153.022182,50,350.240633,0.0
-2400.305801,50,351.214554,0.0
-728.306619,50,352.596695,0.0
-1500.52505,50,353.808983,0.0
-1643.321757,50,354.775903,0.0
-1096.309698,50,355.99623,0.0
-1655.531099,50,356.907992,0.0
-1444.608719,50,357.864896,0.0
-1334.946262,50,358.821824,0.0
-1247.500439,50,366.829493,0.0
-1151.224342,50,367.955526,0.0
-1779.60011,50,369.125493,0.0
-1139.932841,50,370.417725,0.0
-1448.703831,50,371.380281,0.0
-1862.118634,50,372.353601,0.0
-1336.593894,50,373.705726,0.0
-1442.10281,50,374.647183,0.0
-1928.525701,50,375.609544,0.0
-1128.741403,50,376.793584,0.0
-1289.721412,50,383.49896,0.0
-1570.766624,50,384.470662,0.0
-1138.943079,50,385.430941,0.0
-1250.139584,50,386.612895,0.0
-1565.742351,50,387.565299,0.0
-1982.419014,50,388.531322,0.0
-1945.544643,50,389.440546,0.0
-1853.694161,50,390.627156,0.0
-1613.465925,50,391.744772,0.0
-1509.332407,50,392.66884,0.0
-1757.946701,50,399.411595,0.0
-2304.895396,50,400.547706,0.0
-894.435311,50,401.692896,0.0
-1374.508418,50,402.646254,0.0
-1662.784427,50,403.660726,0.0
-1380.025329,50,405.423356,0.0
-1005.734817,50,406.671599,0.0
-1314.163312,50,407.770116,0.0
-1562.548016,50,408.764303,0.0
-1227.128864,50,409.727385,0.0
-2013.696705,50,410.981733,0.0
-535.037216,50,418.032306,0.0
-981.008366,50,418.996601,0.0
-1418.270642,50,420.23631,0.0
-1740.247382,50,421.186114,0.0
-1410.680243,50,422.75551,0.0
-1063.510249,50,423.723783,0.0
-1304.747136,50,424.805895,0.0
-1462.764824,50,425.751121,0.0
-1508.389133,50,426.672652,0.0
-1333.192251,50,427.86881,0.0
-1631.084205,50,434.741066,0.0
-1026.067282,50,435.695453,0.0
-1856.826636,50,436.615757,0.0
-1234.414384,50,437.961385,0.0
-1654.662033,50,438.928603,0.0
-1196.498682,50,439.910679,0.0
-1412.974347,50,440.909659,0.0
-1606.665348,50,441.860936,0.0
-2005.410653,50,442.832154,0.0
-1056.457836,50,445.088584,0.0
-2257.40767,50,451.787349,0.0
-1093.514886,50,453.058162,0.0
-2330.580351,50,453.993985,0.0
-1561.487682,50,455.213371,0.0
-1744.019571,50,456.152758,0.0
-1780.117028,50,457.102436,0.0
-1883.679358,50,458.049833,0.0
-1172.977312,50,459.217356,0.0
-1557.566622,50,460.157547,0.0
-921.555684,50,461.072673,0.0
-1174.241666,50,468.09142,0.0
-1713.95394,50,469.065084,0.0
-2131.881531,50,470.333728,0.0
-1549.147375,50,471.286546,0.0
-1314.26867,50,472.277135,0.0
-1885.460521,50,473.536339,0.0
-1348.698399,50,474.488605,0.0
-1257.093552,50,475.618217,0.0
-1161.073143,50,476.715955,0.0
-1646.530319,50,477.901218,0.0
-1897.125491,50,484.573219,0.0
-1724.584947,50,485.57569,0.0
-1082.355353,50,486.54189,0.0
-994.126364,50,487.482167,0.0
-2003.271416,50,489.269833,0.0
-1410.5623,50,490.275785,0.0
-1154.542907,50,491.224205,0.0
-1873.270892,50,492.214975,0.0
-1111.69236,50,493.180014,0.0
-1101.901665,50,494.193369,0.0
-1622.35138,50,495.176651,0.0
-1776.864791,50,501.873759,0.0
-1143.532894,50,502.787665,0.0
-918.789459,50,503.759275,0.0
-1084.028646,50,504.921304,0.0
-1766.998807,50,505.858813,0.0
-1553.238683,50,507.123248,0.0
-1961.131637,50,508.036665,0.0
-1278.937974,50,508.963153,0.0
-893.457622,50,510.388378,0.0
-1802.374013,50,511.351274,0.0
-823.544402,50,518.387276,0.0
-1707.641943,50,519.355909,0.0
-1126.057299,50,520.491741,0.0
-1111.168698,50,521.673709,0.0
-1320.67146,50,522.617395,0.0
-1388.908017,50,523.744828,0.0
-827.394181,50,524.928159,0.0
-1165.024144,50,525.885268,0.0
-1209.471377,50,527.841736,0.0
-980.134381,50,528.818377,0.0
-832.384071,50,535.532278,0.0
-2315.149089,50,536.491854,0.0
-1672.247134,50,537.443131,0.0
-1117.339494,50,538.403924,0.0
-1102.236543,50,539.563384,0.0
-962.920296,50,540.544301,0.0
-901.435803,50,541.489314,0.0
-1022.210859,50,542.381162,0.0
-1183.807064,50,543.360637,0.0
-1745.356717,50,544.340812,0.0
-1534.414146,50,551.275624,0.0
-1119.601678,50,552.767072,0.0
-1103.717746,50,553.714703,0.0
-1365.741582,50,554.645869,0.0
-840.871265,50,555.789654,0.0
-1135.950038,50,556.758411,0.0
-860.648433,50,557.850946,0.0
-1174.595414,50,558.814484,0.0
-1061.620589,50,559.782598,0.0
-1139.82003,50,560.690912,0.0
-1748.027331,50,561.645469,0.0
-865.511824,50,568.383965,0.0
-1135.289744,50,569.356519,0.0
-1692.223725,50,571.072835,0.0
-1416.372405,50,572.160273,0.0
-515.328289,50,573.287309,0.0
-930.297731,50,574.253649,0.0
-1538.412275,50,575.156328,0.0
-1357.614581,50,576.112344,0.0
-941.673264,50,577.079893,0.0
-1224.196945,50,578.06632,0.0
-1029.269878,50,584.795212,0.0
-1232.310259,50,585.813923,0.0
-1492.160634,50,586.965836,0.0
-1347.45312,50,588.270803,0.0
-1761.071196,50,589.321681,0.0
-1170.433234,50,590.314505,0.0
-898.536391,50,591.280875,0.0
-1024.756504,50,592.242485,0.0
-1278.069905,50,593.432405,0.0
-1023.111303,50,594.423074,0.0
-777.090475,50,601.443683,0.0
-882.440292,50,602.412397,0.0
-943.389104,50,603.390172,0.0
-1118.147737,50,604.758508,0.0
-1222.979731,50,605.720865,0.0
-1104.29391,50,606.899665,0.0
-1320.617969,50,608.081978,0.0
-1040.928139,50,609.925997,0.0
-857.217079,50,610.908785,0.0
-1284.755916,50,612.114457,0.0
-2194.517024,50,618.83976,0.0
-1300.975162,50,619.863452,0.0
-961.473067,50,620.810854,0.0
-1652.11726,50,622.054841,0.0
-904.715079,50,623.474628,0.0
-1032.008483,50,624.463545,0.0
-1795.063638,50,625.396734,0.0
-754.370501,50,626.362905,0.0
-998.29698,50,627.326538,0.0
-1649.249092,50,628.328844,0.0
-829.001445,50,629.63305,0.0
-1818.598128,50,636.39747,0.0
-867.789921,50,637.334158,0.0
