#{"t_start": 1650883324.8451066, "env_id": "PandaReach-v2"}
r,l,t,is_success
-50.0,50,1.255439,0.0
-50.0,50,2.11179,0.0
-50.0,50,2.985863,0.0
-50.0,50,3.873374,0.0
-50.0,50,4.724868,0.0
-50.0,50,5.609929,0.0
-50.0,50,6.483479,0.0
-50.0,50,7.343923,0.0
-50.0,50,8.217912,0.0
-50.0,50,9.088355,0.0
-50.0,50,12.479784,0.0
-50.0,50,13.377796,0.0
-50.0,50,14.230166,0.0
-50.0,50,15.099952,0.0
-50.0,50,15.964699,0.0
-50.0,50,16.824195,0.0
-50.0,50,17.676671,0.0
-50.0,50,18.551814,0.0
-50.0,50,19.442304,0.0
-50.0,50,20.313216,0.0
-50.0,50,23.555519,0.0
-50.0,50,24.408912,0.0
-50.0,50,25.271548,0.0
-50.0,50,26.107016,0.0
-50.0,50,26.962847,0.0
-50.0,50,28.845122,0.0
-50.0,50,29.691551,0.0
-50.0,50,30.557179,0.0
-50.0,50,31.438112,0.0
-50.0,50,32.319976,0.0
-50.0,50,38.970696,0.0
-50.0,50,39.850937,0.0
-50.0,50,40.719358,0.0
-50.0,50,41.579262,0.0
-50.0,50,42.467869,0.0
-50.0,50,43.33041,0.0
-50.0,50,44.219559,0.0
-50.0,50,45.098275,0.0
-50.0,50,45.97293,0.0
-50.0,50,46.861309,0.0
-50.0,50,53.470612,0.0
-50.0,50,54.343827,0.0
-50.0,50,55.215513,0.0
-50.0,50,56.0894,0.0
-50.0,50,56.988016,0.0
-50.0,50,57.883827,0.0
-50.0,50,58.759567,0.0
-50.0,50,59.639141,0.0
-50.0,50,60.500892,0.0
-50.0,50,61.376195,0.0
-50.0,50,63.307611,0.0
-50.0,50,69.901231,0.0
-50.0,50,70.771533,0.0
-50.0,50,71.670987,0.0
-50.0,50,72.563143,0.0
-50.0,50,73.482581,0.0
-50.0,50,74.349871,0.0
-50.0,50,75.229935,0.0
-50.0,50,76.137062,0.0
-50.0,50,77.036916,0.0
-50.0,50,77.941497,0.0
-50.0,50,84.545097,0.0
-50.0,50,85.428478,0.0
-50.0,50,86.281162,0.0
-50.0,50,87.139267,0.0
-50.0,50,88.013963,0.0
-50.0,50,88.893228,0.0
-50.0,50,89.763053,0.0
-50.0,50,90.633093,0.0
-50.0,50,91.524807,0.0
-50.0,50,92.395825,0.0
-50.0,50,99.018711,0.0
-50.0,50,99.914717,0.0
-50.0,50,100.797595,0.0
-50.0,50,101.678081,0.0
-50.0,50,103.632918,0.0
-50.0,50,104.506335,0.0
-50.0,50,105.398768,0.0
-50.0,50,106.252124,0.0
-50.0,50,107.150287,0.0
-50.0,50,108.012298,0.0
-50.0,50,114.599894,0.0
-50.0,50,115.494852,0.0
-50.0,50,116.378771,0.0
-50.0,50,117.240905,0.0
-50.0,50,118.121414,0.0
-50.0,50,119.021478,0.0
-50.0,50,119.891217,0.0
-50.0,50,120.76139,0.0
-50.0,50,121.620306,0.0
-50.0,50,122.475573,0.0
-50.0,50,123.343957,0.0
-50.0,50,129.959419,0.0
-50.0,50,130.852072,0.0
-50.0,50,131.743191,0.0
-50.0,50,132.64188,0.0
-50.0,50,133.532332,0.0
-50.0,50,134.412781,0.0
-50.0,50,135.291098,0.0
-50.0,50,136.15958,0.0
-50.0,50,138.007151,0.0
-50.0,50,138.929467,0.0
-50.0,50,145.597341,0.0
-50.0,50,146.49562,0.0
-50.0,50,147.419495,0.0
-50.0,50,148.294253,0.0
-50.0,50,149.193814,0.0
-50.0,50,150.082347,0.0
-50.0,50,150.96181,0.0
-50.0,50,151.863161,0.0
-50.0,50,152.74102,0.0
-50.0,50,153.588679,0.0
-50.0,50,160.206443,0.0
-50.0,50,161.096492,0.0
-50.0,50,161.975255,0.0
-50.0,50,162.974735,0.0
-50.0,50,163.893409,0.0
-50.0,50,164.756063,0.0
-50.0,50,165.633735,0.0
-50.0,50,166.518367,0.0
-50.0,50,167.385828,0.0
-50.0,50,168.271251,0.0
-50.0,50,174.91906,0.0
-50.0,50,175.818048,0.0
-50.0,50,176.705158,0.0
-50.0,50,178.529553,0.0
-50.0,50,179.442382,0.0
-50.0,50,180.360517,0.0
-50.0,50,181.243406,0.0
-50.0,50,182.123667,0.0
-50.0,50,183.016887,0.0
-50.0,50,183.872404,0.0
-50.0,50,184.749559,0.0
-50.0,50,191.394759,0.0
-50.0,50,192.295775,0.0
-50.0,50,193.167329,0.0
-50.0,50,194.077412,0.0
-50.0,50,194.943055,0.0
-50.0,50,195.822914,0.0
-50.0,50,196.708002,0.0
-50.0,50,197.579434,0.0
-50.0,50,198.483368,0.0
-50.0,50,199.367255,0.0
-50.0,50,206.00546,0.0
-50.0,50,206.874558,0.0
-50.0,50,207.746054,0.0
-50.0,50,208.635884,0.0
-50.0,50,209.508936,0.0
-50.0,50,210.380348,0.0
-50.0,50,211.275084,0.0
-50.0,50,213.037998,0.0
-50.0,50,213.928189,0.0
-50.0,50,214.834191,0.0
-50.0,50,221.490851,0.0
-50.0,50,222.350836,0.0
-50.0,50,223.240144,0.0
-50.0,50,224.187885,0.0
-50.0,50,225.060459,0.0
-50.0,50,225.938925,0.0
-50.0,50,226.83409,0.0
-50.0,50,227.736406,0.0
-50.0,50,228.617352,0.0
-50.0,50,229.469301,0.0
-50.0,50,236.112127,0.0
-50.0,50,236.986487,0.0
-50.0,50,237.89952,0.0
-50.0,50,238.766289,0.0
-50.0,50,239.63877,0.0
-50.0,50,240.515337,0.0
-50.0,50,241.412527,0.0
-50.0,50,242.287734,0.0
-50.0,50,243.156301,0.0
-50.0,50,244.040673,0.0
-50.0,50,244.90122,0.0
-50.0,50,251.503867,0.0
-50.0,50,253.323938,0.0
-50.0,50,254.203097,0.0
-50.0,50,255.061457,0.0
-50.0,50,255.933999,0.0
-50.0,50,256.818753,0.0
-50.0,50,257.694515,0.0
-50.0,50,258.584396,0.0
-50.0,50,259.432677,0.0
-50.0,50,260.327334,0.0
-50.0,50,266.956013,0.0
-50.0,50,267.819135,0.0
-50.0,50,268.697449,0.0
-50.0,50,269.570882,0.0
-50.0,50,270.438188,0.0
-50.0,50,271.309477,0.0
-50.0,50,272.171829,0.0
-50.0,50,273.053009,0.0
-50.0,50,273.943861,0.0
-50.0,50,274.830915,0.0
-50.0,50,281.329417,0.0
-50.0,50,282.205166,0.0
-50.0,50,283.108961,0.0
-50.0,50,284.013341,0.0
-50.0,50,284.903864,0.0
-50.0,50,285.784577,0.0
-50.0,50,287.519275,0.0
-50.0,50,288.403882,0.0
-50.0,50,289.292431,0.0
-50.0,50,290.168592,0.0
-50.0,50,296.771241,0.0
-50.0,50,297.649513,0.0
-50.0,50,298.539057,0.0
-50.0,50,299.408639,0.0
-50.0,50,300.280522,0.0
-50.0,50,301.163725,0.0
-50.0,50,302.058038,0.0
-50.0,50,302.933501,0.0
-50.0,50,303.794631,0.0
-50.0,50,304.692822,0.0
-50.0,50,305.574039,0.0
-50.0,50,312.072928,0.0
-50.0,50,312.961391,0.0
-50.0,50,313.846264,0.0
-50.0,50,314.71085,0.0
-50.0,50,315.608505,0.0
-50.0,50,316.497635,0.0
-50.0,50,317.360433,0.0
-50.0,50,318.229237,0.0
-50.0,50,319.080692,0.0
-50.0,50,319.957738,0.0
-50.0,50,327.516087,0.0
-50.0,50,328.431912,0.0
-50.0,50,329.360606,0.0
-50.0,50,330.219296,0.0
-50.0,50,331.109637,0.0
-50.0,50,331.985668,0.0
-50.0,50,332.861531,0.0
-50.0,50,333.738241,0.0
-50.0,50,334.610655,0.0
-50.0,50,335.492979,0.0
-50.0,50,342.03239,0.0
-50.0,50,342.900635,0.0
-50.0,50,343.778973,0.0
-50.0,50,344.659946,0.0
-50.0,50,345.55829,0.0
-50.0,50,346.430789,0.0
-50.0,50,347.336578,0.0
-50.0,50,348.220304,0.0
-50.0,50,349.122083,0.0
-50.0,50,350.026385,0.0
-50.0,50,356.526602,0.0
-50.0,50,357.43807,0.0
-50.0,50,358.323268,0.0
-50.0,50,359.183795,0.0
-50.0,50,360.045616,0.0
-50.0,50,361.864459,0.0
-50.0,50,362.809551,0.0
-50.0,50,363.738075,0.0
-50.0,50,364.630694,0.0
-50.0,50,365.519441,0.0
-50.0,50,366.417696,0.0
-50.0,50,373.067966,0.0
-50.0,50,373.941409,0.0
-50.0,50,374.838423,0.0
-50.0,50,375.696548,0.0
-50.0,50,376.621062,0.0
-50.0,50,377.523096,0.0
-50.0,50,378.409825,0.0
-50.0,50,379.319954,0.0
-50.0,50,380.19018,0.0
-50.0,50,381.086814,0.0
-50.0,50,387.687308,0.0
-50.0,50,388.576871,0.0
-50.0,50,389.479395,0.0
-50.0,50,390.354318,0.0
-50.0,50,391.249033,0.0
-50.0,50,392.137714,0.0
-50.0,50,393.039949,0.0
-50.0,50,393.935772,0.0
