#{"t_start": 1651030788.457716, "env_id": "PandaReach-v2"}
r,l,t,is_success
-50.0,50,1.018567,0.0
-50.0,50,1.88348,0.0
-50.0,50,2.741526,0.0
-50.0,50,3.580545,0.0
-50.0,50,4.432262,0.0
-50.0,50,5.28316,0.0
-50.0,50,6.123804,0.0
-50.0,50,6.979754,0.0
-50.0,50,7.83937,0.0
-50.0,50,8.689398,0.0
-50.0,50,15.396724,0.0
-50.0,50,16.277943,0.0
-50.0,50,17.135399,0.0
-50.0,50,17.981582,0.0
-50.0,50,18.832447,0.0
-50.0,50,19.687715,0.0
-50.0,50,20.550106,0.0
-50.0,50,21.405251,0.0
-50.0,50,22.271996,0.0
-50.0,50,23.114259,0.0
-50.0,50,29.845707,0.0
-50.0,50,30.687047,0.0
-50.0,50,31.528213,0.0
-50.0,50,32.374491,0.0
-50.0,50,33.215068,0.0
-50.0,50,34.926751,0.0
-50.0,50,35.784867,0.0
-50.0,50,36.619047,0.0
-50.0,50,37.500363,0.0
-50.0,50,38.346737,0.0
-50.0,50,45.043826,0.0
-50.0,50,45.920158,0.0
-50.0,50,46.775375,0.0
-50.0,50,47.640159,0.0
-50.0,50,48.514154,0.0
-50.0,50,49.368586,0.0
-50.0,50,50.229837,0.0
-50.0,50,51.083773,0.0
-50.0,50,51.928475,0.0
-50.0,50,52.795037,0.0
-50.0,50,59.506763,0.0
-50.0,50,60.370364,0.0
-50.0,50,61.219669,0.0
-50.0,50,62.072156,0.0
-50.0,50,62.915748,0.0
-50.0,50,63.782243,0.0
-50.0,50,64.619785,0.0
-50.0,50,65.493977,0.0
-50.0,50,66.354509,0.0
-50.0,50,67.208352,0.0
-50.0,50,68.949568,0.0
-50.0,50,75.654038,0.0
-50.0,50,76.51982,0.0
-50.0,50,77.358379,0.0
-50.0,50,78.213145,0.0
-50.0,50,79.053617,0.0
-50.0,50,79.911264,0.0
-50.0,50,80.783431,0.0
-50.0,50,81.647014,0.0
-50.0,50,82.495818,0.0
-50.0,50,83.342607,0.0
-50.0,50,90.027129,0.0
-50.0,50,90.879653,0.0
-50.0,50,91.747583,0.0
-50.0,50,92.61949,0.0
-50.0,50,93.501552,0.0
-50.0,50,94.344544,0.0
-50.0,50,95.210593,0.0
-50.0,50,96.071688,0.0
-50.0,50,96.935123,0.0
-50.0,50,97.778338,0.0
-50.0,50,104.544623,0.0
-50.0,50,105.398505,0.0
-50.0,50,106.285234,0.0
-50.0,50,107.156976,0.0
-50.0,50,108.896518,0.0
-50.0,50,109.738049,0.0
-50.0,50,110.602874,0.0
-50.0,50,111.457308,0.0
-50.0,50,112.332117,0.0
-50.0,50,113.193923,0.0
-50.0,50,119.90516,0.0
-50.0,50,120.769484,0.0
-50.0,50,121.650379,0.0
-50.0,50,122.545004,0.0
-50.0,50,123.445903,0.0
-50.0,50,124.327921,0.0
-50.0,50,125.218207,0.0
-50.0,50,126.078748,0.0
-50.0,50,126.913478,0.0
-50.0,50,127.762482,0.0
-50.0,50,128.615226,0.0
-50.0,50,135.290668,0.0
-50.0,50,136.150825,0.0
-50.0,50,137.010311,0.0
-50.0,50,137.861337,0.0
-50.0,50,138.729815,0.0
-50.0,50,139.597108,0.0
-50.0,50,140.444505,0.0
-50.0,50,141.322475,0.0
-50.0,50,143.035632,0.0
-50.0,50,143.889434,0.0
-50.0,50,150.597331,0.0
-50.0,50,151.474605,0.0
-50.0,50,152.330709,0.0
-50.0,50,153.200075,0.0
-50.0,50,154.068784,0.0
-50.0,50,154.90907,0.0
-50.0,50,155.774856,0.0
-50.0,50,156.706253,0.0
-50.0,50,157.624618,0.0
-50.0,50,158.516305,0.0
-50.0,50,165.240185,0.0
-50.0,50,166.105195,0.0
-50.0,50,166.956426,0.0
-50.0,50,167.816302,0.0
-50.0,50,168.682125,0.0
-50.0,50,169.558528,0.0
-50.0,50,170.433059,0.0
-50.0,50,171.290142,0.0
-50.0,50,172.148962,0.0
-50.0,50,173.019174,0.0
-50.0,50,179.741897,0.0
-50.0,50,180.600089,0.0
-50.0,50,181.493874,0.0
-50.0,50,183.228953,0.0
-50.0,50,184.103759,0.0
-50.0,50,184.966927,0.0
-50.0,50,185.900998,0.0
-50.0,50,186.808412,0.0
-50.0,50,187.667704,0.0
-50.0,50,188.527717,0.0
-50.0,50,189.400595,0.0
-50.0,50,196.130324,0.0
-50.0,50,197.014411,0.0
-50.0,50,197.873705,0.0
-50.0,50,198.750579,0.0
-50.0,50,199.601483,0.0
-50.0,50,200.455143,0.0
-50.0,50,201.322459,0.0
-50.0,50,202.189141,0.0
-50.0,50,203.061059,0.0
-50.0,50,203.930475,0.0
-50.0,50,210.658581,0.0
-50.0,50,211.547272,0.0
-50.0,50,212.397418,0.0
-50.0,50,213.26319,0.0
-50.0,50,214.115216,0.0
-50.0,50,214.993684,0.0
-50.0,50,215.88126,0.0
-50.0,50,217.644116,0.0
-50.0,50,218.510768,0.0
-50.0,50,219.378536,0.0
-50.0,50,226.102567,0.0
-50.0,50,226.985157,0.0
-50.0,50,227.864465,0.0
-50.0,50,228.721611,0.0
-50.0,50,229.611663,0.0
-50.0,50,230.48062,0.0
-50.0,50,231.357284,0.0
-50.0,50,232.227423,0.0
-50.0,50,233.092839,0.0
-50.0,50,233.95244,0.0
-50.0,50,240.682174,0.0
-50.0,50,241.561612,0.0
-50.0,50,242.426699,0.0
-50.0,50,243.300729,0.0
-50.0,50,244.173951,0.0
-50.0,50,245.061868,0.0
-50.0,50,245.914932,0.0
-50.0,50,246.78014,0.0
-50.0,50,247.659179,0.0
-50.0,50,248.529328,0.0
-50.0,50,249.387374,0.0
-50.0,50,256.11315,0.0
-50.0,50,257.847048,0.0
-50.0,50,258.752938,0.0
-50.0,50,259.632683,0.0
-50.0,50,260.515314,0.0
-50.0,50,261.357943,0.0
-50.0,50,262.206379,0.0
-50.0,50,263.072304,0.0
-50.0,50,263.943885,0.0
-50.0,50,264.810872,0.0
-50.0,50,271.553066,0.0
-50.0,50,272.429205,0.0
-50.0,50,273.293453,0.0
-50.0,50,274.157925,0.0
-50.0,50,275.013803,0.0
-50.0,50,275.866491,0.0
-50.0,50,276.744039,0.0
-50.0,50,277.628667,0.0
-50.0,50,278.499192,0.0
-50.0,50,279.375462,0.0
-50.0,50,286.142907,0.0
-50.0,50,287.011768,0.0
-50.0,50,287.869502,0.0
-50.0,50,288.749333,0.0
-50.0,50,289.631139,0.0
-50.0,50,290.47554,0.0
-50.0,50,292.216409,0.0
-50.0,50,293.08026,0.0
-50.0,50,293.947228,0.0
-50.0,50,294.797523,0.0
-50.0,50,301.540563,0.0
-50.0,50,302.385651,0.0
-50.0,50,303.258043,0.0
-50.0,50,304.110086,0.0
-50.0,50,304.986507,0.0
-50.0,50,305.868037,0.0
-50.0,50,306.741045,0.0
-50.0,50,307.623514,0.0
-50.0,50,308.486989,0.0
-50.0,50,309.351352,0.0
-50.0,50,310.214759,0.0
-50.0,50,316.997562,0.0
-50.0,50,317.872483,0.0
-50.0,50,318.741843,0.0
-50.0,50,319.596861,0.0
-50.0,50,320.450475,0.0
-50.0,50,321.309319,0.0
-50.0,50,322.172195,0.0
-50.0,50,323.053174,0.0
-50.0,50,323.913736,0.0
-50.0,50,324.76956,0.0
-50.0,50,332.373852,0.0
-50.0,50,333.240305,0.0
-50.0,50,334.099382,0.0
-50.0,50,334.970731,0.0
-50.0,50,335.836901,0.0
-50.0,50,336.695798,0.0
-50.0,50,337.587591,0.0
-50.0,50,338.488577,0.0
-50.0,50,339.363436,0.0
-50.0,50,340.220441,0.0
-50.0,50,346.973009,0.0
-50.0,50,347.847886,0.0
-50.0,50,348.704872,0.0
-50.0,50,349.581744,0.0
-50.0,50,350.461199,0.0
-50.0,50,351.33957,0.0
