#{"t_start": 1649784942.5409923, "env_id": "PandaReach-v2"}
r,l,t,is_success
-587.521874,50,5.583631,0.0
-1669.569323,50,6.438798,0.0
-1313.113384,50,7.299293,0.0
-1406.749181,50,8.149098,0.0
-1080.601402,50,9.002098,0.0
-579.186695,50,9.850545,0.0
-677.793001,50,10.699061,0.0
-1154.24982,50,11.556249,0.0
-1127.588306,50,12.418256,0.0
-919.991245,50,13.270219,0.0
-1793.039311,50,19.898074,0.0
-1483.326262,50,20.771662,0.0
-1162.881322,50,21.623589,0.0
-914.532114,50,22.474268,0.0
-1035.788448,50,23.326311,0.0
-838.58159,50,24.166676,0.0
-1200.332715,50,25.03191,0.0
-913.337562,50,25.873243,0.0
-865.273022,50,26.734883,0.0
-1320.751583,50,27.576589,0.0
-1121.861917,50,34.134341,0.0
-809.999742,50,34.976747,0.0
-863.152723,50,35.812457,0.0
-852.776133,50,36.653352,0.0
-534.355101,50,37.493509,0.0
-1800.921401,50,39.242424,0.0
-993.404515,50,40.090312,0.0
-893.724463,50,40.92666,0.0
-1328.300913,50,41.782159,0.0
-1484.86542,50,42.622436,0.0
-1161.936791,50,49.174884,0.0
-1063.805797,50,50.056465,0.0
-914.847691,50,50.898551,0.0
-1133.414254,50,51.748541,0.0
-1439.951673,50,52.620703,0.0
-1155.112844,50,53.460281,0.0
-759.864014,50,54.333607,0.0
-592.704837,50,55.166888,0.0
-900.148238,50,56.008462,0.0
-880.688067,50,56.840293,0.0
-484.980815,50,63.456744,0.0
-853.702917,50,64.298115,0.0
-663.898776,50,65.124038,0.0
-800.787885,50,65.984293,0.0
-670.681792,50,66.835316,0.0
-1209.343397,50,67.678771,0.0
-535.182071,50,68.528461,0.0
-881.842222,50,69.35734,0.0
-1605.627226,50,70.200605,0.0
-1455.809199,50,71.043866,0.0
-747.101893,50,72.783152,0.0
-982.994662,50,79.387356,0.0
-554.737909,50,80.232563,0.0
-820.748714,50,81.066337,0.0
-1045.779974,50,81.908199,0.0
-1141.070617,50,82.734853,0.0
-836.498507,50,83.56384,0.0
-729.34772,50,84.387184,0.0
-505.826755,50,85.248398,0.0
-558.818402,50,86.09635,0.0
-1276.855586,50,86.933671,0.0
-816.394704,50,93.497482,0.0
-843.258339,50,94.331427,0.0
-912.225009,50,95.16236,0.0
-957.891955,50,96.000199,0.0
-666.72169,50,96.845961,0.0
-717.07405,50,97.686452,0.0
-686.771919,50,98.532724,0.0
-866.80479,50,99.383565,0.0
-989.895262,50,100.235169,0.0
-540.490487,50,101.088122,0.0
-666.79525,50,107.660581,0.0
-737.794459,50,108.498971,0.0
-588.19823,50,109.344041,0.0
-733.962536,50,110.181156,0.0
-859.868203,50,111.926146,0.0
-522.491395,50,112.767385,0.0
-751.244804,50,113.610984,0.0
-1108.094053,50,114.449349,0.0
-835.149462,50,115.281682,0.0
-872.007911,50,116.122801,0.0
-534.881009,50,122.706865,0.0
-623.597677,50,123.548628,0.0
-606.330189,50,124.388682,0.0
-703.373826,50,125.232875,0.0
-648.368624,50,126.084879,0.0
-747.238671,50,126.927157,0.0
-644.375303,50,127.770733,0.0
-1041.525971,50,128.599917,0.0
-788.076493,50,129.438414,0.0
-607.989177,50,130.28212,0.0
-950.518039,50,131.124709,0.0
-290.324773,50,137.714825,0.0
-619.842339,50,138.560754,0.0
-507.954126,50,139.397998,0.0
-418.10955,50,140.238573,0.0
-504.864929,50,141.079041,0.0
-771.635016,50,141.923764,0.0
-889.034351,50,142.748992,0.0
-572.934705,50,143.585113,0.0
-667.135667,50,145.309648,0.0
-560.357369,50,146.153222,0.0
-429.294916,50,152.744499,0.0
-416.901912,50,153.596379,0.0
-579.483031,50,154.443589,0.0
-582.473189,50,155.283025,0.0
-991.160238,50,156.113053,0.0
-637.1098,50,156.962173,0.0
-853.732388,50,157.809869,0.0
-974.251967,50,158.651907,0.0
-470.73939,50,159.488828,0.0
-683.158281,50,160.320205,0.0
-425.407859,50,166.919248,0.0
-697.130847,50,167.75667,0.0
-251.41883,50,168.591053,0.0
-687.73825,50,169.42756,0.0
-547.618332,50,170.259674,0.0
-934.107434,50,171.098048,0.0
-422.534602,50,171.942259,0.0
-396.697655,50,172.766475,0.0
-726.714207,50,173.593521,0.0
-504.430712,50,174.424358,0.0
-800.533734,50,181.000937,0.0
-339.533237,50,181.832908,0.0
-546.413679,50,182.664609,0.0
-613.29301,50,184.375558,0.0
-538.60646,50,185.2087,0.0
-533.611777,50,186.041903,0.0
-550.253201,50,186.867134,0.0
-387.453391,50,187.688298,0.0
-478.108268,50,188.535088,0.0
-421.412585,50,189.365663,0.0
-650.110952,50,190.201798,0.0
-408.266298,50,196.750158,0.0
-668.584462,50,197.577489,0.0
-835.682671,50,198.408998,0.0
-889.847334,50,199.24094,0.0
-404.006251,50,200.070675,0.0
-671.371827,50,200.902316,0.0
-393.358869,50,201.72561,0.0
-688.521447,50,202.554641,0.0
-641.883311,50,203.380404,0.0
-510.752815,50,204.216962,0.0
-440.428328,50,210.568122,0.0
-720.331936,50,211.400262,0.0
-666.507946,50,212.227598,0.0
-788.13332,50,213.052764,0.0
-909.773359,50,213.876565,0.0
-441.574443,50,214.704798,0.0
-492.560175,50,215.54053,0.0
-472.697836,50,217.207839,0.0
-382.687328,50,218.032342,0.0
-398.532127,50,218.86355,0.0
-365.178885,50,225.446663,0.0
-732.156954,50,226.279511,0.0
-720.506251,50,227.109149,0.0
-368.885375,50,227.938165,0.0
-883.799495,50,228.767491,0.0
-408.646435,50,229.606187,0.0
-520.541867,50,230.452204,0.0
-574.83823,50,231.274556,0.0
-810.152506,50,232.09918,0.0
-517.438364,50,232.928759,0.0
-787.257684,50,239.489647,0.0
-670.782131,50,240.316628,0.0
-368.707354,50,241.148679,0.0
-442.887546,50,241.977633,0.0
-437.169835,50,242.815342,0.0
-475.458872,50,243.646142,0.0
-464.309681,50,244.496505,0.0
-847.025385,50,245.333466,0.0
-709.317801,50,246.168903,0.0
-487.214233,50,247.007962,0.0
-796.642878,50,247.825477,0.0
-377.809864,50,254.301673,0.0
-599.254033,50,255.95221,0.0
-433.803817,50,256.774411,0.0
-1234.712739,50,257.595659,0.0
-476.195119,50,258.432696,0.0
-609.990796,50,259.269549,0.0
-576.181415,50,260.123948,0.0
-621.314031,50,260.956226,0.0
-730.148554,50,261.788037,0.0
-448.868953,50,262.611968,0.0
-288.063883,50,265.883934,0.0
-821.125904,50,266.714797,0.0
-600.644801,50,267.548159,0.0
-352.481358,50,268.381121,0.0
-628.431819,50,269.212165,0.0
-445.287247,50,270.045464,0.0
-458.738388,50,270.871014,0.0
-393.578348,50,271.703707,0.0
-319.477873,50,272.524625,0.0
-339.624627,50,273.34974,0.0
-357.629609,50,276.556875,0.0
-600.561989,50,277.390241,0.0
-409.758993,50,278.224428,0.0
-410.543221,50,279.04984,0.0
-720.051154,50,279.886515,0.0
-547.378488,50,280.716139,0.0
-947.087716,50,282.425947,0.0
-853.387796,50,283.271949,0.0
-430.783742,50,284.10834,0.0
-426.682169,50,284.926146,0.0
-513.262027,50,291.458624,0.0
-401.096106,50,292.285869,0.0
-675.91095,50,293.112444,0.0
-298.536955,50,293.940947,0.0
-460.732739,32,294.472361,1.0
-673.679961,50,295.29531,0.0
-292.183942,50,296.11507,0.0
-595.010037,50,296.946791,0.0
-506.886536,50,297.774029,0.0
-665.864762,50,298.595086,0.0
-452.628321,50,299.430739,0.0
-296.678734,50,305.99972,0.0
-552.091912,50,306.832786,0.0
-566.64445,50,307.665053,0.0
-416.060889,50,308.491774,0.0
-526.203963,50,309.331946,0.0
-320.520441,50,310.173246,0.0
-510.3558,50,311.013172,0.0
-479.735612,50,311.83416,0.0
-840.530157,50,312.657892,0.0
-544.167741,50,313.494526,0.0
-370.477144,50,320.90297,0.0
-759.644893,50,321.742021,0.0
-544.453637,50,322.582974,0.0
-682.945122,50,323.430393,0.0
-461.086841,50,324.271351,0.0
-393.029995,50,325.118014,0.0
-413.79719,50,325.94154,0.0
-268.579156,50,326.767955,0.0
-403.574358,50,327.593925,0.0
-454.976549,50,328.419567,0.0
-1095.575512,50,334.967076,0.0
-984.472121,50,335.807359,0.0
-932.007553,50,336.635139,0.0
-853.9754,50,337.452133,0.0
-1029.582561,50,338.288996,0.0
-406.868535,50,339.121284,0.0
-118.037669,9,339.274616,1.0
-257.235571,50,340.10588,0.0
-326.0385,13,340.323822,1.0
-365.687481,50,341.144334,0.0
-374.877932,50,341.967727,0.0
-511.831564,50,342.796588,0.0
-470.681401,50,349.398239,0.0
-397.262465,50,350.221374,0.0
-724.563474,50,351.044537,0.0
-329.658339,50,351.864029,0.0
-681.720463,50,353.554048,0.0
-307.670003,50,354.391782,0.0
-635.005701,50,355.228698,0.0
-954.845702,50,356.065148,0.0
-370.824986,50,356.893111,0.0
-538.169878,50,357.727161,0.0
-496.083197,50,364.292907,0.0
-348.106872,50,365.145186,0.0
-359.708168,50,365.99132,0.0
-290.546549,50,366.812111,0.0
-413.794643,50,367.634135,0.0
-334.178383,50,368.476398,0.0
-327.43622,50,369.336694,0.0
-438.841456,50,370.170746,0.0
-606.87763,50,371.019427,0.0
-300.728084,50,371.848548,0.0
-456.269648,50,372.680481,0.0
-240.595994,46,379.189581,1.0
-376.9034,50,380.02749,0.0
-309.759846,50,380.86031,0.0
-869.312615,50,381.695119,0.0
-231.684871,39,382.351537,1.0
-403.485931,50,383.177515,0.0
-188.548816,31,383.695848,1.0
-491.140224,50,384.528062,0.0
-494.970711,50,385.359843,0.0
-486.918489,50,386.995014,0.0
-654.098843,50,387.835713,0.0
-318.255925,50,394.425022,0.0
-354.778384,50,395.252532,0.0
-361.972053,50,396.075806,0.0
-582.8929,50,396.915416,0.0
-540.691959,50,397.753755,0.0
-497.759342,50,398.586523,0.0
-756.530597,50,399.409124,0.0
-772.89143,50,400.243296,0.0
-319.773657,50,401.073574,0.0
-241.009386,50,401.911895,0.0
-919.991821,50,408.474108,0.0
-351.92835,50,409.323916,0.0
-428.141392,50,410.184872,0.0
-379.637964,50,411.034239,0.0
-666.376069,50,411.876378,0.0
-880.059107,50,412.711715,0.0
-341.128342,50,413.539306,0.0
-283.893166,50,414.379903,0.0
-388.736798,50,415.226953,0.0
-323.529959,50,416.057903,0.0
-373.794102,50,422.639357,0.0
-202.534068,50,423.474935,0.0
-319.366244,50,424.329007,0.0
-262.075767,50,426.040613,0.0
-137.784867,18,426.349008,1.0
-727.74149,50,427.184452,0.0
-930.419656,50,428.02496,0.0
-351.363136,50,428.864588,0.0
-244.573085,26,429.294751,1.0
-787.359648,50,430.132885,0.0
-500.499342,50,430.961601,0.0
-593.520377,50,437.560297,0.0
-311.158657,27,438.020124,1.0
-298.098302,50,438.854503,0.0
-415.290357,33,439.420697,1.0
-787.837556,50,440.272339,0.0
-731.168169,50,441.123224,0.0
-304.961748,50,441.953636,0.0
-317.881516,50,442.798352,0.0
-527.177508,50,443.635971,0.0
-390.445828,50,444.464951,0.0
-1023.559532,50,445.330696,0.0
-682.972277,50,451.914233,0.0
-273.382171,50,452.747098,0.0
-263.017071,50,453.583373,0.0
-1029.641084,50,454.418248,0.0
-257.089281,50,455.260117,0.0
-646.714977,50,456.10414,0.0
-876.201298,50,456.941068,0.0
-185.842587,46,457.71032,1.0
-306.522113,50,459.248815,0.0
-684.839118,50,460.079364,0.0
-580.890013,50,460.901203,0.0
-638.114187,50,467.475721,0.0
-831.61565,50,468.315103,0.0
-498.470163,50,469.143099,0.0
-523.285002,50,469.972314,0.0
-520.73554,50,470.794771,0.0
-528.401573,50,471.622635,0.0
-314.241801,50,472.443613,0.0
-765.644229,50,473.27795,0.0
-260.955236,50,474.112266,0.0
-249.484737,20,474.451385,1.0
-370.9713,50,475.284295,0.0
-563.224485,50,481.810612,0.0
-459.011994,50,482.658359,0.0
-800.378631,50,483.492668,0.0
-363.564744,50,484.331508,0.0
-310.71313,50,485.173102,0.0
-854.850107,50,486.024851,0.0
-893.537129,50,486.873336,0.0
-453.719895,50,487.710197,0.0
-539.428936,50,488.557777,0.0
-282.241223,50,489.411281,0.0
-1024.024593,50,496.006297,0.0
-535.667002,50,496.845227,0.0
-429.414432,50,498.536985,0.0
-732.905469,50,499.369615,0.0
-588.206207,50,500.196179,0.0
-454.081391,50,501.018034,0.0
-649.806906,50,501.865446,0.0
-297.428048,50,502.702734,0.0
-349.216311,50,503.543112,0.0
-216.939238,15,503.794251,1.0
-376.067802,50,504.628161,0.0
-793.290873,50,511.200403,0.0
-565.358762,50,512.039849,0.0
-240.014175,50,512.876046,0.0
-830.761357,50,513.727308,0.0
-395.799241,50,514.554095,0.0
-482.616139,50,515.395003,0.0
-630.015324,50,516.230708,0.0
-516.111395,50,517.057042,0.0
-542.708516,50,517.886907,0.0
-715.698999,50,518.725711,0.0
-419.389832,50,525.357099,0.0
-769.408486,50,526.191176,0.0
-260.112044,50,527.025663,0.0
-262.495292,50,527.866917,0.0
-723.775414,50,528.693666,0.0
-989.192079,50,529.528294,0.0
-925.615977,50,531.202316,0.0
-400.638493,50,532.043471,0.0
-831.545711,50,532.878999,0.0
-416.282536,50,533.736976,0.0
-324.812571,50,540.28836,0.0
-315.515184,50,541.126138,0.0
-582.609223,50,541.960845,0.0
-116.621067,14,542.195901,1.0
-196.666434,50,543.032883,0.0
-268.180662,48,543.875031,1.0
-853.836304,50,544.729508,0.0
-292.170859,50,545.570167,0.0
-313.934997,50,546.411139,0.0
-612.412725,50,547.265382,0.0
-642.552492,50,548.113797,0.0
-340.009726,50,554.689925,0.0
-224.164916,50,555.547934,0.0
-449.740806,50,556.385823,0.0
-275.796371,47,557.175948,1.0
-972.746778,50,558.015084,0.0
-318.68662,50,558.85648,0.0
-396.156531,50,559.683052,0.0
-876.314038,50,560.529939,0.0
-284.244485,12,560.732145,1.0
-595.077042,50,561.581605,0.0
-648.628747,50,562.41729,0.0
-546.197698,50,568.970573,0.0
-880.395481,50,570.64585,0.0
-478.679906,50,571.484524,0.0
-532.223834,50,572.328625,0.0
-605.757771,50,573.175193,0.0
-429.016133,50,574.022397,0.0
-528.597518,50,574.857212,0.0
-392.412351,50,575.706152,0.0
-432.078636,50,576.541358,0.0
-215.690369,50,577.363485,0.0
-248.228819,50,578.21032,0.0
-889.745035,50,584.784468,0.0
-210.617751,18,585.087826,1.0
-32.237553,7,585.207185,1.0
-236.529658,50,586.048512,0.0
-359.643027,50,586.890033,0.0
-836.169628,50,587.725169,0.0
-850.943412,50,588.572542,0.0
-153.656846,11,588.763166,1.0
-369.482015,50,589.593858,0.0
-440.596352,50,590.428102,0.0
-709.754335,50,591.265014,0.0
-403.33377,50,592.108966,0.0
-274.093304,50,598.654159,0.0
-777.26922,50,599.49804,0.0
-836.676592,50,600.330892,0.0
-658.645056,50,601.166874,0.0
-570.297032,50,601.994273,0.0
-308.443883,43,603.58834,1.0
-441.24108,50,604.440146,0.0
-734.240877,50,605.275275,0.0
-433.087225,50,606.134991,0.0
-972.953555,50,606.968305,0.0
-470.288722,50,613.464333,0.0
-421.241393,50,614.307643,0.0
-293.692917,49,615.14045,1.0
-166.669368,25,615.553432,1.0
-433.205636,50,616.387644,0.0
-290.616329,50,617.236471,0.0
-355.277452,45,617.991368,1.0
-162.543308,34,618.565286,1.0
-260.52838,50,619.398232,0.0
-220.942166,50,620.23003,0.0
-471.879711,50,621.067314,0.0
-258.72209,50,621.900718,0.0
-292.384456,50,628.401473,0.0
-395.401273,16,628.672714,1.0
-423.153649,50,629.521667,0.0
-417.645598,50,630.369182,0.0
-440.725664,50,631.210537,0.0
-940.023602,50,632.061203,0.0
-344.917438,50,632.908872,0.0
-321.94472,50,633.744011,0.0
-309.385525,50,634.57809,0.0
-707.984813,50,635.427168,0.0
-875.309679,50,637.135832,0.0
-265.428213,36,643.506429,1.0
-946.732141,50,644.396065,0.0
-288.10564,22,644.777899,1.0
-758.211768,50,645.633762,0.0
-421.667459,50,646.472905,0.0
-949.829972,50,647.323765,0.0
-1051.029973,50,648.168486,0.0
-373.954245,48,648.984199,1.0
-610.04809,50,649.824627,0.0
-613.084616,50,650.676964,0.0
-200.406077,50,651.519626,0.0
-462.60065,50,658.146778,0.0
-456.997454,50,658.987545,0.0
-882.284046,50,659.842885,0.0
-444.449392,50,660.691121,0.0
-964.068621,50,661.534376,0.0
-441.409367,50,662.382722,0.0
-215.600451,50,663.220451,0.0
-433.324446,50,664.053255,0.0
-627.298288,50,664.887687,0.0
-256.679512,50,665.734143,0.0
-483.994141,50,672.329085,0.0
-472.936628,50,673.177558,0.0
-247.787287,50,674.013879,0.0
-406.379333,50,674.85517,0.0
-232.756896,50,676.53476,0.0
-126.934397,10,676.704484,1.0
-1064.186762,50,677.548771,0.0
-761.37139,50,678.390314,0.0
-279.386733,50,679.239026,0.0
-308.359204,50,680.090994,0.0
-258.570543,50,680.926682,0.0
-228.469179,50,687.54552,0.0
-405.352118,50,688.386366,0.0
-572.146473,50,689.226262,0.0
-1260.642054,50,690.079993,0.0
-205.183753,45,690.831809,1.0
-311.670469,50,691.675584,0.0
-655.080485,50,692.526832,0.0
-178.303042,50,693.372641,0.0
-349.181445,50,694.228803,0.0
-967.975515,50,695.076726,0.0
-1001.811159,50,701.684312,0.0
-775.013695,50,702.520948,0.0
-205.083767,49,703.359876,1.0
-307.362881,50,704.214723,0.0
-586.03253,50,705.080299,0.0
-237.95508,50,705.933879,0.0
-390.768006,43,706.663343,1.0
-191.568339,43,707.391206,1.0
-254.868297,50,708.234916,0.0
-316.808098,50,709.933697,0.0
-398.338085,50,710.772723,0.0
-828.77615,50,717.362105,0.0
-715.182861,50,718.219148,0.0
-233.239012,50,719.066625,0.0
-291.967103,50,719.906559,0.0
-409.227314,50,720.757077,0.0
-813.132631,50,721.608381,0.0
-78.811501,7,721.726651,1.0
-335.032285,50,722.567165,0.0
-485.79713,50,723.407252,0.0
-508.755994,50,724.25815,0.0
-337.106473,50,725.092153,0.0
-371.522766,50,731.698891,0.0
-505.325537,50,732.544374,0.0
-589.586545,50,733.392652,0.0
-357.468493,50,734.252368,0.0
-239.061541,31,734.78978,1.0
-748.82621,50,735.646536,0.0
-333.383821,50,736.497262,0.0
-300.904854,50,737.345581,0.0
-389.46477,50,738.197987,0.0
-728.107548,50,739.037628,0.0
-1203.203964,50,739.894198,0.0
-935.907357,50,746.506818,0.0
-477.382132,50,747.357664,0.0
-224.870249,50,749.04797,0.0
-375.964324,50,749.900393,0.0
-166.641155,28,750.377602,1.0
-245.898803,50,751.228813,0.0
-452.411159,50,752.081036,0.0
-460.690657,50,752.923155,0.0
-693.036479,50,753.782876,0.0
-179.382528,34,754.360533,1.0
-401.943634,50,755.215977,0.0
-438.999635,50,761.805425,0.0
-162.538974,50,762.659198,0.0
-495.796595,50,763.517429,0.0
-90.764085,12,763.725817,1.0
-979.764616,50,764.581207,0.0
-642.033372,50,765.439714,0.0
-579.93551,50,766.295574,0.0
-397.597799,50,767.175595,0.0
-142.223991,17,767.469126,1.0
-587.55996,50,768.316445,0.0
-308.426412,50,769.158905,0.0
-86.055579,17,769.447612,1.0
-174.714753,50,776.055964,0.0
-275.136152,49,776.881816,1.0
-983.854231,50,777.730891,0.0
-417.534233,50,778.597891,0.0
-276.818113,50,779.438863,0.0
-622.705569,50,780.282551,0.0
-918.94737,50,781.124068,0.0
-342.499321,50,782.826999,0.0
-495.166936,50,783.6695,0.0
-784.425551,50,784.511564,0.0
-244.959994,20,784.846139,1.0
