#{"t_start": 1651034491.4532113, "env_id": "PandaReach-v2"}
r,l,t,is_success
-50.0,50,1.105039,0.0
-50.0,50,1.968315,0.0
-50.0,50,2.855865,0.0
-50.0,50,3.724487,0.0
-50.0,50,4.590046,0.0
-50.0,50,5.474649,0.0
-50.0,50,6.342696,0.0
-50.0,50,7.213824,0.0
-50.0,50,8.091769,0.0
-50.0,50,8.959822,0.0
-50.0,50,15.70002,0.0
-50.0,50,16.592138,0.0
-50.0,50,17.457799,0.0
-50.0,50,18.313325,0.0
-50.0,50,19.175885,0.0
-50.0,50,20.056345,0.0
-50.0,50,20.934871,0.0
-50.0,50,21.787066,0.0
-50.0,50,22.661566,0.0
-50.0,50,23.513655,0.0
-50.0,50,30.218158,0.0
-50.0,50,31.081479,0.0
-50.0,50,31.964296,0.0
-50.0,50,32.846187,0.0
-50.0,50,33.709651,0.0
-50.0,50,35.476075,0.0
-50.0,50,36.333874,0.0
-50.0,50,37.194704,0.0
-50.0,50,38.074593,0.0
-50.0,50,38.945402,0.0
-50.0,50,45.657271,0.0
-50.0,50,46.558543,0.0
-50.0,50,47.422472,0.0
-50.0,50,48.301917,0.0
-50.0,50,49.188411,0.0
-50.0,50,50.062357,0.0
-50.0,50,50.937425,0.0
-50.0,50,51.826668,0.0
-50.0,50,52.788078,0.0
-50.0,50,53.66126,0.0
-50.0,50,60.414683,0.0
-50.0,50,61.279216,0.0
-50.0,50,62.169619,0.0
-50.0,50,63.028078,0.0
-50.0,50,63.89097,0.0
-50.0,50,64.74613,0.0
-50.0,50,65.60931,0.0
-50.0,50,66.474567,0.0
-50.0,50,67.341779,0.0
-50.0,50,68.196968,0.0
-50.0,50,69.953357,0.0
-50.0,50,76.612688,0.0
-50.0,50,77.473497,0.0
-50.0,50,78.330668,0.0
-50.0,50,79.189359,0.0
-50.0,50,80.047722,0.0
-50.0,50,80.932508,0.0
-50.0,50,81.835775,0.0
-50.0,50,82.706425,0.0
-50.0,50,83.597857,0.0
-50.0,50,84.453347,0.0
-50.0,50,91.192295,0.0
-50.0,50,92.054366,0.0
-50.0,50,92.944453,0.0
-50.0,50,93.820793,0.0
-50.0,50,94.688313,0.0
-50.0,50,95.558112,0.0
-50.0,50,96.430537,0.0
-50.0,50,97.299089,0.0
-50.0,50,98.168169,0.0
-50.0,50,99.051809,0.0
-50.0,50,105.795341,0.0
-50.0,50,106.674406,0.0
-50.0,50,107.552885,0.0
-50.0,50,108.442578,0.0
-50.0,50,110.233158,0.0
-50.0,50,111.14192,0.0
-50.0,50,112.037266,0.0
-50.0,50,112.897159,0.0
-50.0,50,113.770812,0.0
-50.0,50,114.633051,0.0
-50.0,50,121.314662,0.0
-50.0,50,122.195872,0.0
-50.0,50,123.051544,0.0
-50.0,50,123.925748,0.0
-50.0,50,124.839933,0.0
-50.0,50,125.767981,0.0
-50.0,50,126.645889,0.0
-50.0,50,127.552869,0.0
-50.0,50,128.432102,0.0
-50.0,50,129.31278,0.0
-50.0,50,130.170098,0.0
-50.0,50,136.886942,0.0
-50.0,50,137.799704,0.0
-50.0,50,138.690423,0.0
-50.0,50,139.584513,0.0
-50.0,50,140.447775,0.0
