#{"t_start": 1651003444.9699302, "env_id": "PandaReach-v2"}
r,l,t,is_success
-13.373085,50,1.328283,0.0
-9.522018,50,2.188255,0.0
-22.561748,50,3.073916,0.0
-27.470454,50,3.944956,0.0
-14.244944,50,4.807626,0.0
-13.902112,50,5.6762,0.0
-16.210476,50,6.547019,0.0
-14.479449,50,7.415179,0.0
-15.73595,50,8.294201,0.0
-31.104167,50,9.157511,0.0
-13.348296,50,15.905832,0.0
-14.802705,50,16.794879,0.0
-34.516396,50,17.649703,0.0
-12.329012,50,18.514222,0.0
-9.282971,50,19.364641,0.0
-10.497697,50,20.243341,0.0
-25.150275,50,21.139807,0.0
-24.925737,50,21.997672,0.0
-16.978561,50,22.878162,0.0
-12.226468,50,23.732308,0.0
-10.668201,50,30.468701,0.0
-9.991423,50,31.321122,0.0
-9.681899,50,32.184517,0.0
-14.409103,50,33.072923,0.0
-16.31413,50,33.945119,0.0
-11.028714,50,35.780326,0.0
-20.206175,50,36.635363,0.0
-17.274323,50,37.514838,0.0
-13.415665,50,38.426307,0.0
-9.428654,50,39.300297,0.0
-11.872893,50,46.021901,0.0
-10.229198,50,46.912133,0.0
-8.693543,50,47.796788,0.0
-9.263782,50,48.711308,0.0
-11.67626,50,49.635054,0.0
-19.12596,50,50.545226,0.0
-13.907902,50,51.418698,0.0
-9.477789,50,52.315969,0.0
-6.942901,50,53.202434,0.0
-12.19759,50,54.097884,0.0
-8.187452,50,60.860063,0.0
-11.031813,50,61.6981,0.0
-8.11213,50,62.643259,0.0
-6.16588,50,63.513243,0.0
-12.234755,50,64.398396,0.0
-6.442654,50,65.284185,0.0
-11.275926,50,66.154999,0.0
-13.474764,50,67.047896,0.0
-7.063603,50,67.917356,0.0
-8.611971,50,68.770164,0.0
-7.494626,50,70.55438,0.0
-5.135325,50,73.980841,0.0
-6.500079,50,74.864255,0.0
-6.321917,50,75.771788,0.0
-13.735953,50,76.660487,0.0
-9.571737,50,77.535544,0.0
-6.883853,50,78.451268,0.0
-5.356691,50,79.320745,0.0
-6.096577,50,80.199154,0.0
-8.205069,50,81.086142,0.0
-6.320912,50,81.989473,0.0
-5.550642,50,85.330071,0.0
-5.634456,50,86.253862,0.0
-6.471103,50,87.166065,0.0
-4.026504,50,88.031222,0.0
-6.052229,50,88.925525,0.0
-3.675975,50,89.812151,0.0
-4.726023,50,90.686455,0.0
-3.694174,50,91.583842,0.0
-7.918923,50,92.445148,0.0
-7.201244,50,93.35149,0.0
-5.516062,50,96.710786,0.0
-8.369275,50,97.656377,0.0
-3.737892,37,98.353621,1.0
-6.46822,50,99.246759,0.0
-5.66903,50,101.549139,0.0
-5.728131,50,102.470137,0.0
-3.912464,50,103.361738,0.0
-3.777609,50,104.256949,0.0
-3.5506,50,105.143442,0.0
-4.533313,50,106.020553,0.0
-4.762511,50,106.928511,0.0
-3.99323,47,110.275566,1.0
-7.113675,50,111.170971,0.0
-3.563623,50,112.065515,0.0
-3.54343,50,112.942745,0.0
-5.73281,50,113.832475,0.0
-3.927774,50,114.744824,0.0
-7.977375,50,115.657176,0.0
-8.083731,50,116.596198,0.0
-7.046186,50,117.523791,0.0
-6.491572,50,118.41448,0.0
-7.969524,50,122.452747,0.0
