#{"t_start": 1649812311.1797729, "env_id": "PandaReach-v2"}
r,l,t,is_success
-48.413028,50,1.604685,0.0
-53.258964,50,2.522172,0.0
-42.103677,50,3.412295,0.0
-53.428709,50,4.316584,0.0
-43.206746,50,5.400277,0.0
-46.804506,50,6.304178,0.0
-45.521213,50,7.213781,0.0
-47.290381,50,8.405971,0.0
-42.057954,50,9.531977,0.0
-47.352739,50,10.422332,0.0
-39.838965,50,16.957876,0.0
-36.422405,50,18.043327,0.0
-42.72029,50,18.952186,0.0
-45.831782,50,20.100798,0.0
-34.763605,50,21.321845,0.0
-38.712829,50,22.524498,0.0
-50.781791,50,23.397427,0.0
-37.33351,50,24.278167,0.0
-36.267271,50,25.355511,0.0
-37.517665,50,26.518741,0.0
-40.052092,50,33.371816,0.0
-34.227338,50,34.219038,0.0
-46.726103,50,35.41098,0.0
-42.175643,50,36.241894,0.0
-39.811802,50,37.108546,0.0
-26.537534,50,38.99097,0.0
-35.814507,50,39.837505,0.0
-37.651558,50,40.677869,0.0
-36.247768,50,41.976644,0.0
-36.845675,50,42.85722,0.0
-28.608659,50,49.335416,0.0
-38.157811,50,50.453949,0.0
-39.603714,50,51.327527,0.0
-39.719089,50,52.178295,0.0
-25.7671,50,53.078784,0.0
-39.468102,50,53.954507,0.0
-36.426045,50,55.185333,0.0
-35.369716,50,56.334578,0.0
-35.160812,50,57.218231,0.0
-34.850778,50,58.30571,0.0
-38.420077,50,64.912044,0.0
-27.098745,50,65.765685,0.0
-27.85216,50,66.621019,0.0
-34.653688,50,67.792414,0.0
-37.920586,50,68.658115,0.0
-29.909263,50,69.738913,0.0
-41.651099,50,70.589213,0.0
-35.294565,50,71.477706,0.0
-31.880223,50,72.337865,0.0
-28.729084,50,73.519608,0.0
-18.778735,50,75.848199,0.0
-36.886039,50,82.78507,0.0
-35.645003,50,84.00346,0.0
-28.739364,50,84.902908,0.0
-31.444605,50,86.018736,0.0
-19.615567,50,86.947708,0.0
-36.969282,50,87.85274,0.0
-25.062966,50,89.065657,0.0
-23.122446,50,89.972761,0.0
-39.820465,50,90.843881,0.0
-33.785559,50,91.709947,0.0
-25.038448,50,98.403598,0.0
-27.570013,50,99.649983,0.0
-27.769605,50,100.563845,0.0
-25.098075,50,101.418653,0.0
-28.37831,50,102.436159,0.0
-24.725662,50,103.361202,0.0
-27.669431,50,104.286314,0.0
-33.175967,50,105.389708,0.0
-31.995861,50,106.738943,0.0
-22.04474,50,107.914984,0.0
-19.638408,50,114.862325,0.0
-15.138513,50,116.356831,0.0
-30.638601,50,117.305747,0.0
-17.776668,50,118.289047,0.0
-31.982779,50,120.422864,0.0
-30.514292,50,121.340419,0.0
-28.732558,50,122.425955,0.0
-30.895033,50,123.320934,0.0
-28.62924,50,124.213557,0.0
-28.40445,50,125.141224,0.0
-31.513726,50,132.352472,0.0
-28.599245,50,133.263077,0.0
-18.642515,50,134.611701,0.0
-27.155995,50,135.478402,0.0
-41.83896,50,136.728418,0.0
-32.651258,50,137.615495,0.0
-28.392639,50,138.479395,0.0
-34.947371,50,139.380234,0.0
-32.949873,50,140.310657,0.0
-29.620097,50,141.238107,0.0
-39.824483,50,142.844131,0.0
-42.114428,50,149.544023,0.0
-28.648108,50,150.407778,0.0
-36.801339,50,151.610181,0.0
-43.906564,50,152.484132,0.0
-16.140517,50,153.763472,0.0
-30.69962,50,154.881122,0.0
-33.786308,50,155.834008,0.0
-40.979938,50,156.75625,0.0
-35.781691,50,158.429517,0.0
-33.3721,50,159.367073,0.0
-32.561283,50,166.026088,0.0
-26.597244,50,167.3675,0.0
-25.864541,50,168.279411,0.0
-26.729368,50,169.36866,0.0
-33.580875,50,170.675706,0.0
-36.221555,50,171.866742,0.0
-30.681393,50,172.784828,0.0
-31.465872,50,173.701307,0.0
-26.429684,50,174.59399,0.0
-24.16778,50,175.524808,0.0
-30.223052,50,182.476989,0.0
-29.944765,50,184.334438,0.0
-40.763384,50,185.342184,0.0
