#{"t_start": 1650826127.4868968, "env_id": "PandaReach-v2"}
r,l,t,is_success
-1091.186741,50,1.513341,0.0
-1269.64594,50,2.455225,0.0
-641.384688,50,3.411276,0.0
-547.825271,50,4.360647,0.0
-623.346353,50,5.330548,0.0
-313.867136,50,6.264423,0.0
-1189.041029,50,7.238531,0.0
-621.913479,50,8.161626,0.0
-808.262831,50,9.093793,0.0
-544.822417,50,10.021957,0.0
-1120.676539,50,16.616038,0.0
-310.646426,50,17.578089,0.0
-327.301092,50,18.509981,0.0
-605.628172,50,19.41144,0.0
-705.576557,50,20.399389,0.0
-716.965611,50,21.366125,0.0
-973.649241,50,22.228946,0.0
-448.452324,50,23.136694,0.0
-1073.154537,50,24.091184,0.0
-683.764364,50,25.070554,0.0
-410.142717,50,31.759749,0.0
-644.578098,50,32.644229,0.0
-651.906907,50,33.566902,0.0
-413.33204,50,34.449956,0.0
-756.468998,50,35.385768,0.0
-722.020466,50,37.424312,0.0
-443.846079,50,38.315478,0.0
-1102.878928,50,39.187272,0.0
-788.807272,50,40.115912,0.0
-662.443997,50,41.025808,0.0
-876.047301,50,47.685119,0.0
-57.643176,7,47.810385,1.0
-384.668378,50,48.755846,0.0
-816.020405,50,49.654703,0.0
-735.314432,50,50.546153,0.0
-715.573099,50,51.43506,0.0
-806.891533,50,52.317134,0.0
-432.120767,50,53.278577,0.0
-356.851839,50,54.188098,0.0
-764.461289,50,55.120864,0.0
-578.479653,50,56.057364,0.0
-437.106658,50,62.755965,0.0
-635.721585,50,63.652638,0.0
-637.872028,50,64.576771,0.0
-854.732172,50,65.508756,0.0
-673.781438,50,66.426931,0.0
-390.976068,50,67.347413,0.0
-405.232252,50,68.324185,0.0
-811.493164,50,69.245619,0.0
-798.961321,50,70.14179,0.0
-325.701821,50,72.01978,0.0
-328.989794,50,72.982519,0.0
-385.279886,50,79.689908,0.0
-303.349518,50,80.590517,0.0
-358.700479,50,81.552915,0.0
-862.640611,50,82.46786,0.0
-324.390669,50,83.387223,0.0
-547.781428,50,84.295192,0.0
-337.694756,50,85.219983,0.0
-388.985433,50,86.139129,0.0
-427.708931,50,87.055095,0.0
-719.320551,50,87.952764,0.0
-473.498127,50,94.575486,0.0
-797.108808,50,95.452512,0.0
-440.541662,50,96.32049,0.0
-471.627352,50,97.183348,0.0
-775.699839,50,98.109442,0.0
-472.719977,50,99.034547,0.0
-449.401744,50,99.951185,0.0
-383.153446,50,100.89221,0.0
-391.182555,50,101.799258,0.0
-927.146836,50,102.711142,0.0
-525.477177,50,109.351432,0.0
-295.639159,50,110.250923,0.0
-982.560085,50,111.156199,0.0
-596.783331,50,113.10864,0.0
-353.321674,50,114.04253,0.0
-293.503534,50,114.911512,0.0
-324.957736,50,115.815041,0.0
-572.081797,50,116.689547,0.0
-710.0246,50,117.559319,0.0
-312.735257,50,118.48162,0.0
-446.682072,50,125.125386,0.0
-278.162889,50,125.997845,0.0
-304.689288,50,126.902177,0.0
-653.220998,50,127.786737,0.0
-291.274759,50,128.668117,0.0
-437.495348,50,129.523405,0.0
-312.249351,50,130.405819,0.0
-314.432549,50,131.291989,0.0
-797.004513,50,132.185376,0.0
-477.914545,50,133.088016,0.0
-309.040865,50,133.995053,0.0
-251.437845,50,140.622454,0.0
-332.477295,50,141.519595,0.0
-436.743862,50,142.411828,0.0
-331.968611,46,143.234916,1.0
-327.634899,50,144.14744,0.0
-962.291611,50,145.01549,0.0
-337.460062,50,145.894681,0.0
-952.970584,50,147.671549,0.0
-411.005652,50,148.565429,0.0
-390.659905,50,149.458717,0.0
-418.230571,50,156.141679,0.0
-383.431247,50,157.084475,0.0
-603.423707,50,157.970984,0.0
-328.178391,50,158.849824,0.0
-292.196939,50,159.721811,0.0
-301.992029,50,160.592596,0.0
-407.880155,50,161.484424,0.0
-798.182685,50,162.38418,0.0
-293.403136,50,163.292391,0.0
-358.859828,50,164.16122,0.0
-800.836171,50,170.771908,0.0
-377.124266,50,171.65137,0.0
-272.536105,50,172.529528,0.0
-405.437373,50,173.431826,0.0
-617.395282,50,174.29754,0.0
-342.521611,50,175.17046,0.0
-357.831926,50,176.01865,0.0
-769.690244,50,176.877091,0.0
-264.344836,50,177.72306,0.0
-358.144357,50,178.601095,0.0
-846.455041,50,185.187385,0.0
-146.551551,18,185.491541,1.0
-572.155607,50,186.356204,0.0
-265.698089,50,188.11185,0.0
-305.966744,50,189.010754,0.0
-300.855595,50,189.908871,0.0
-339.509235,50,190.797526,0.0
-665.443183,50,191.683166,0.0
-486.911732,50,192.547886,0.0
-721.850196,50,193.405001,0.0
-557.254131,50,194.259597,0.0
-335.549673,50,200.874537,0.0
-255.235156,50,201.75336,0.0
-276.985494,50,202.635147,0.0
-248.286716,50,203.489551,0.0
-293.249352,50,204.367161,0.0
-291.940452,50,205.243564,0.0
-344.293237,50,206.1076,0.0
-613.285814,50,206.972957,0.0
-776.103982,50,207.844849,0.0
-298.842717,50,208.713627,0.0
-311.780843,50,215.320672,0.0
-449.818844,50,216.18774,0.0
-349.33727,50,217.077181,0.0
-515.428936,50,217.926371,0.0
-294.698419,50,218.779591,0.0
-254.540024,42,219.508151,1.0
-263.807898,50,220.393824,0.0
-259.719506,50,222.094811,0.0
-243.334001,50,222.983109,0.0
-357.176631,50,223.831504,0.0
-320.237128,50,224.711882,0.0
-655.290936,50,231.325737,0.0
-584.19342,50,232.186872,0.0
-251.454923,50,233.051817,0.0
-850.433123,50,233.916388,0.0
-635.366137,50,234.792815,0.0
-281.229317,50,235.656806,0.0
-676.113714,50,236.512125,0.0
-355.20814,50,237.382378,0.0
-678.065718,50,238.264106,0.0
-630.308863,50,239.123149,0.0
-776.654209,50,245.716054,0.0
-772.706251,50,246.572472,0.0
-346.583998,50,247.435227,0.0
-873.538583,50,248.289487,0.0
-185.962498,33,248.855129,1.0
-296.738904,50,249.722665,0.0
-284.840393,50,250.595269,0.0
-732.663261,50,251.481144,0.0
-307.617304,50,252.362796,0.0
-317.418025,50,253.214334,0.0
-266.946811,50,254.073539,0.0
-273.599079,50,260.656935,0.0
-599.142365,50,262.343759,0.0
-287.57617,50,263.218531,0.0
-671.990046,50,264.079441,0.0
-317.238265,50,264.967299,0.0
-394.01493,50,265.839048,0.0
-276.545014,50,266.693518,0.0
-231.903046,50,267.541905,0.0
-789.661291,50,268.389835,0.0
-350.6254,50,269.257776,0.0
-297.729172,42,275.732359,1.0
-792.726061,50,276.586072,0.0
-704.683114,50,277.444059,0.0
-276.247215,50,278.294194,0.0
-360.265304,50,279.146016,0.0
-177.846901,34,279.725844,1.0
-188.741881,36,280.347538,1.0
-250.32032,50,281.219634,0.0
-253.862305,50,282.095681,0.0
-259.77391,50,282.982477,0.0
-236.576824,50,283.847812,0.0
-919.55282,50,290.482858,0.0
-130.749328,19,290.812944,1.0
-328.550032,50,291.685842,0.0
-223.185331,50,292.570718,0.0
-667.601811,50,293.459949,0.0
-292.742393,50,294.315711,0.0
-565.376665,50,295.959989,0.0
-575.287994,50,296.821271,0.0
-781.945996,50,297.678108,0.0
-226.932084,50,298.533669,0.0
-443.150132,50,299.406288,0.0
-946.387134,50,306.032316,0.0
-278.610472,50,306.904121,0.0
-583.14685,50,307.777261,0.0
-356.961844,50,308.739737,0.0
-428.064404,50,309.611438,0.0
-246.35716,50,310.474398,0.0
-568.101214,50,311.341928,0.0
-589.981561,50,312.207667,0.0
-232.720782,50,313.096043,0.0
-288.331961,50,313.972258,0.0
-304.390981,50,320.587808,0.0
-751.091235,50,321.455583,0.0
-207.747227,50,322.319286,0.0
-282.788619,50,323.169418,0.0
-797.708723,50,324.028301,0.0
-317.327323,50,324.88782,0.0
-238.093719,50,325.743286,0.0
-142.648277,39,326.42393,1.0
-257.549314,49,327.298553,1.0
-233.23038,50,328.175124,0.0
-234.113571,50,335.636937,0.0
-698.982645,50,336.494482,0.0
-297.014104,50,337.373074,0.0
-816.93585,50,338.216366,0.0
-759.687664,50,339.0803,0.0
-644.411826,50,339.936128,0.0
-227.437333,50,340.783716,0.0
-185.736428,33,341.358068,1.0
-207.149429,50,342.216892,0.0
-370.02976,50,343.077906,0.0
-310.383249,50,343.949067,0.0
-105.156506,8,344.084914,1.0
-424.520961,50,350.684774,0.0
-60.905529,6,350.78976,1.0
-808.255422,50,351.638843,0.0
-241.970765,50,352.487861,0.0
-342.04784,50,353.328834,0.0
-586.558954,50,354.18997,0.0
-282.174982,50,355.034549,0.0
-657.63468,50,355.889627,0.0
-651.242771,50,356.739868,0.0
-265.587208,50,357.605191,0.0
-309.879636,50,358.460432,0.0
-267.767438,50,365.06384,0.0
-259.962723,50,365.928842,0.0
-532.989533,50,366.795919,0.0
-188.287187,32,367.332744,1.0
-890.667847,50,368.178367,0.0
-213.80045,50,369.907502,0.0
-797.24675,50,370.759463,0.0
-822.050199,50,371.625288,0.0
-256.827107,50,372.482967,0.0
-228.029669,50,373.328503,0.0
-468.940053,50,374.18539,0.0
-591.547645,50,380.781185,0.0
-221.713388,50,381.653005,0.0
-567.432294,50,382.516563,0.0
-208.692299,50,383.371064,0.0
-234.862026,50,384.233372,0.0
-292.077394,50,385.077746,0.0
-226.670258,49,385.908626,1.0
-244.608458,50,386.773509,0.0
-284.253389,50,387.624354,0.0
-725.344682,50,388.486424,0.0
-202.47698,50,395.047191,0.0
-929.569755,50,395.89138,0.0
-386.800022,50,396.750916,0.0
-255.831885,50,397.611634,0.0
-84.568574,23,398.017824,1.0
-803.621495,50,398.873668,0.0
-272.88294,50,399.744404,0.0
-244.241564,50,400.633526,0.0
-244.782457,50,401.501124,0.0
-810.049556,50,403.177921,0.0
-276.655352,50,404.058799,0.0
-590.016953,50,410.641572,0.0
-839.047425,50,411.500556,0.0
-142.395427,22,411.878992,1.0
-236.600453,50,412.724508,0.0
-436.925729,50,413.577977,0.0
-215.022886,50,414.439509,0.0
-827.206831,50,415.284975,0.0
-288.011592,50,416.140774,0.0
-245.712052,50,416.984771,0.0
-268.379523,50,417.838248,0.0
-235.034782,50,424.459938,0.0
-293.116453,50,425.328482,0.0
-801.188762,50,426.17183,0.0
-785.138737,50,427.039307,0.0
-263.770644,50,427.897679,0.0
-240.638489,50,428.751577,0.0
-444.143996,50,429.615769,0.0
-209.236498,50,430.464659,0.0
-280.565812,50,431.307937,0.0
-517.161466,50,432.152248,0.0
-845.502448,50,433.002314,0.0
-158.440137,27,439.215124,1.0
-918.945389,50,440.082371,0.0
-515.768009,50,440.928856,0.0
-212.900905,50,442.635578,0.0
