#{"t_start": 1649940892.3314157, "env_id": "PandaReach-v2"}
r,l,t,is_success
-1513.476064,50,1.075313,0.0
-1901.364712,50,1.9567,0.0
-1143.042945,50,2.850312,0.0
-939.253994,50,3.762755,0.0
-821.370679,50,4.667995,0.0
-519.312494,50,5.562388,0.0
-621.946158,50,6.493291,0.0
-1322.435907,50,7.379695,0.0
-1473.140893,50,8.276772,0.0
-1111.793037,50,9.198798,0.0
-1224.744106,50,15.893665,0.0
-650.624286,50,16.8256,0.0
-1330.658507,50,17.688938,0.0
-734.902674,50,18.570891,0.0
-1123.469506,50,19.471314,0.0
-768.992001,50,20.370085,0.0
-877.166561,50,21.265338,0.0
-1712.851517,50,22.136765,0.0
-1317.520873,50,23.052257,0.0
-1437.339528,50,23.952465,0.0
-273.958071,50,30.727915,0.0
-1154.401013,50,31.628378,0.0
-993.557932,50,32.536712,0.0
-731.232092,50,33.431014,0.0
-1086.761444,50,34.40623,0.0
-490.991976,50,36.339091,0.0
-1286.320112,50,37.209432,0.0
-1086.871092,50,38.069352,0.0
-1237.482361,50,38.992149,0.0
-1307.001008,50,39.882061,0.0
-709.276993,50,46.631376,0.0
-1071.958753,50,47.536484,0.0
-1369.844054,50,48.435675,0.0
-886.858058,50,49.35722,0.0
-929.473634,50,50.263527,0.0
-683.330685,50,51.190485,0.0
-576.623238,50,52.125943,0.0
-1218.075074,50,53.042881,0.0
-902.37408,50,53.957129,0.0
-1072.365837,50,54.892394,0.0
-1016.935833,50,61.636305,0.0
-858.493523,50,62.721142,0.0
-1025.530584,50,63.622249,0.0
-859.934884,50,64.5953,0.0
-860.535507,50,65.477683,0.0
-990.65997,50,66.379728,0.0
-861.167409,50,67.317017,0.0
-1148.256607,50,68.299464,0.0
-1397.587886,50,69.176318,0.0
-947.274296,50,70.099364,0.0
-713.534151,50,72.023197,0.0
-1424.67699,50,78.712435,0.0
-580.18066,50,79.598619,0.0
-1123.394697,50,80.499873,0.0
-534.032468,50,81.384553,0.0
-790.69548,50,82.322146,0.0
-665.34648,50,83.222096,0.0
-762.954032,50,84.135653,0.0
-967.979633,50,85.070959,0.0
-1577.607229,50,85.997879,0.0
-513.979202,50,86.893129,0.0
-682.735774,50,93.600261,0.0
-580.197368,50,94.545289,0.0
-1000.962457,50,95.447099,0.0
-647.12471,50,96.333568,0.0
-581.346572,50,97.283931,0.0
-756.332528,50,98.229862,0.0
-797.998264,50,99.159285,0.0
-802.292649,50,100.0678,0.0
-962.464014,50,101.026682,0.0
-621.500384,50,101.948026,0.0
-1112.399311,50,108.693273,0.0
-713.527381,50,109.631167,0.0
-1016.493739,50,110.52123,0.0
-1215.536496,50,111.440414,0.0
-1222.084391,50,113.339776,0.0
-718.054195,50,114.235791,0.0
-1023.77534,50,115.193507,0.0
-825.942873,50,116.092646,0.0
-856.859298,50,117.048128,0.0
-538.048993,50,117.970021,0.0
-885.563494,50,124.697977,0.0
-684.882477,50,125.630661,0.0
-406.090814,50,126.538891,0.0
-1055.880874,50,127.429087,0.0
-971.764325,50,128.39399,0.0
-616.589667,50,129.419339,0.0
-813.266806,50,130.394502,0.0
-843.795847,50,131.42712,0.0
-809.851556,50,132.463537,0.0
-672.937673,50,133.449652,0.0
-954.507211,50,134.410783,0.0
-957.443891,50,141.114882,0.0
-1019.469299,50,142.052083,0.0
-636.811849,50,143.015262,0.0
-390.047508,50,143.946245,0.0
-1156.004142,50,145.32063,0.0
-542.586866,50,146.230302,0.0
-863.383116,50,147.091588,0.0
-919.772525,50,148.052593,0.0
-657.22329,50,150.087093,0.0
-512.809359,50,151.069482,0.0
-845.46986,50,157.771557,0.0
-1150.445339,50,158.687456,0.0
-336.521139,50,159.651095,0.0
-594.054549,50,160.599098,0.0
-928.862655,50,161.501385,0.0
-1086.860837,50,162.467266,0.0
-681.804536,50,163.392934,0.0
-619.218527,50,164.292744,0.0
-713.57466,50,165.214808,0.0
-967.107913,50,166.111349,0.0
-976.26825,50,172.864049,0.0
-720.490463,50,173.890901,0.0
-608.514377,50,174.827354,0.0
-627.595376,50,175.77221,0.0
-981.909689,50,176.722066,0.0
-1176.197034,50,177.675295,0.0
-574.150725,50,178.662521,0.0
-654.468144,50,179.630964,0.0
-749.379224,50,180.569634,0.0
-721.468599,50,181.498086,0.0
-941.366915,50,188.230661,0.0
-757.24074,50,189.121722,0.0
-491.018998,50,190.039852,0.0
-359.666521,50,191.953424,0.0
-566.12518,50,192.930186,0.0
-273.60974,50,193.958738,0.0
-989.657819,50,194.845505,0.0
-686.413182,50,195.752159,0.0
-621.882076,50,196.749611,0.0
-877.933929,50,197.678268,0.0
-763.78984,50,198.616802,0.0
-816.348616,50,205.367533,0.0
-436.582561,50,206.31292,0.0
-503.797189,50,207.267898,0.0
-561.618855,50,208.234339,0.0
-960.587111,50,209.26891,0.0
-800.433411,50,210.193031,0.0
-852.36873,50,211.116582,0.0
-751.77127,50,212.050656,0.0
-542.436173,32,212.645775,1.0
-456.95564,50,213.576515,0.0
-403.561988,50,220.315748,0.0
-586.3759,50,221.246536,0.0
-665.37718,50,222.24203,0.0
-709.660399,50,223.191921,0.0
-649.767457,50,224.130577,0.0
-626.27111,50,225.115765,0.0
-1121.286538,50,226.073299,0.0
-905.263546,50,228.012828,0.0
-463.76565,50,228.93089,0.0
-777.934759,50,229.86468,0.0
-796.322439,50,236.624443,0.0
-992.36275,50,237.590565,0.0
-681.111371,50,238.505464,0.0
-673.616903,50,239.384344,0.0
-321.228604,19,239.756694,1.0
-946.596388,50,240.639973,0.0
-904.142089,50,241.573498,0.0
