#{"t_start": 1649936635.6398785, "env_id": "PandaReach-v2"}
r,l,t,is_success
-1754.898444,50,1.348754,0.0
-1912.338787,50,2.240173,0.0
-377.188996,50,3.232223,0.0
-510.920991,50,4.152524,0.0
-739.76291,50,5.293247,0.0
-518.656067,50,6.328733,0.0
-492.779141,50,7.289955,0.0
-1320.817246,50,8.490386,0.0
-524.131544,50,9.731955,0.0
-1122.371792,50,10.64245,0.0
-1312.802787,50,17.364811,0.0
-889.18262,50,18.618184,0.0
-1401.254095,50,19.546408,0.0
-721.760371,50,20.713804,0.0
-1372.553319,50,21.943473,0.0
-418.559354,50,23.114557,0.0
-878.929634,50,24.012319,0.0
-1626.428134,50,24.944851,0.0
-789.112618,50,25.932203,0.0
-1542.243636,50,27.160483,0.0
-542.989687,50,34.091479,0.0
-1247.896152,50,34.994008,0.0
-981.025605,50,36.214902,0.0
-665.018387,50,37.112364,0.0
-1099.408265,50,38.047312,0.0
-474.934124,50,40.20407,0.0
-1300.505013,50,41.085942,0.0
-1312.264197,50,41.958392,0.0
-1142.127238,50,43.234821,0.0
-1429.19681,50,44.142949,0.0
-668.783364,50,50.879525,0.0
-1325.514509,50,52.178988,0.0
-1593.970429,50,53.120421,0.0
-896.84732,50,54.05536,0.0
-902.188128,50,54.950982,0.0
-646.672523,50,55.850317,0.0
-415.4958,50,57.300724,0.0
-1498.772681,50,58.23243,0.0
-821.430744,50,59.204964,0.0
-861.319203,50,60.378823,0.0
-1040.430318,50,67.086905,0.0
-1317.904554,50,68.045588,0.0
-998.89103,50,69.037155,0.0
-1348.10673,50,70.246334,0.0
-1025.111346,50,71.198404,0.0
-903.61637,50,72.371305,0.0
-705.429396,50,73.342343,0.0
-1320.93268,50,74.314195,0.0
-1526.999475,50,75.338262,0.0
-545.909047,50,76.645907,0.0
-853.232424,50,79.254025,0.0
-1404.847103,50,86.270392,0.0
-123.742895,11,86.534317,1.0
-1020.214362,50,87.760378,0.0
-1389.736741,50,88.949486,0.0
-427.770861,50,89.916036,0.0
-1296.749668,50,90.859468,0.0
-966.465501,50,91.847894,0.0
-683.246248,50,92.809886,0.0
-684.301168,50,93.939421,0.0
-1332.676368,50,94.959281,0.0
-874.059132,50,96.184424,0.0
-862.106555,50,103.244044,0.0
-422.594459,50,104.402215,0.0
-1044.206293,50,105.287831,0.0
-713.249627,50,106.266634,0.0
-569.232754,50,107.425948,0.0
-482.135694,50,108.382146,0.0
-1019.917722,50,109.305937,0.0
-778.676308,50,110.374573,0.0
-617.923323,50,111.729425,0.0
-667.393377,50,112.907765,0.0
-935.70551,50,119.731123,0.0
-1485.794432,50,121.13222,0.0
-1058.721964,50,122.083143,0.0
-1098.194938,50,124.166419,0.0
-661.912323,50,125.130748,0.0
-1299.771928,50,126.164886,0.0
-1219.183287,50,127.331769,0.0
-822.383395,50,128.21975,0.0
-594.034681,50,129.16595,0.0
-877.109836,50,130.249295,0.0
-326.645692,50,137.383967,0.0
