#{"t_start": 1650891516.469955, "env_id": "PandaReach-v2"}
r,l,t,is_success
-50.0,50,1.190808,0.0
-50.0,50,2.08083,0.0
-50.0,50,2.984454,0.0
-50.0,50,3.873785,0.0
-50.0,50,4.876038,0.0
-50.0,50,5.837988,0.0
-50.0,50,6.707372,0.0
-50.0,50,7.5824,0.0
-50.0,50,8.495349,0.0
-50.0,50,9.369049,0.0
-50.0,50,15.945089,0.0
-50.0,50,16.911747,0.0
-50.0,50,17.772963,0.0
-50.0,50,18.648996,0.0
-50.0,50,19.587271,0.0
-50.0,50,20.470047,0.0
-50.0,50,21.324206,0.0
-50.0,50,22.197588,0.0
-50.0,50,23.119339,0.0
-50.0,50,23.985875,0.0
-50.0,50,30.616372,0.0
-50.0,50,31.465215,0.0
-50.0,50,32.362785,0.0
-50.0,50,33.231572,0.0
-50.0,50,34.112115,0.0
-50.0,50,36.096649,0.0
-50.0,50,36.952018,0.0
-50.0,50,37.800403,0.0
-50.0,50,38.898955,0.0
-50.0,50,39.770755,0.0
-50.0,50,46.362826,0.0
-50.0,50,47.2509,0.0
-50.0,50,48.126809,0.0
-50.0,50,49.010299,0.0
-50.0,50,49.895528,0.0
-50.0,50,50.795343,0.0
-50.0,50,51.687855,0.0
-50.0,50,52.607825,0.0
-50.0,50,53.556061,0.0
-50.0,50,54.468578,0.0
-50.0,50,61.104129,0.0
-50.0,50,62.34444,0.0
-50.0,50,63.238382,0.0
-50.0,50,64.149968,0.0
-50.0,50,65.064267,0.0
-50.0,50,65.921365,0.0
-50.0,50,66.82194,0.0
-50.0,50,67.723992,0.0
-50.0,50,68.592392,0.0
-50.0,50,69.715213,0.0
-50.0,50,71.612043,0.0
-50.0,50,78.21943,0.0
-50.0,50,79.100351,0.0
-50.0,50,80.053625,0.0
-50.0,50,80.922553,0.0
-50.0,50,81.819385,0.0
-50.0,50,82.757915,0.0
-50.0,50,83.696949,0.0
-50.0,50,84.584055,0.0
-50.0,50,85.496145,0.0
-50.0,50,86.405663,0.0
