#{"t_start": 1649964595.5295513, "env_id": "PandaReach-v2"}
r,l,t,is_success
-26.943094,50,1.033594,0.0
-33.734089,50,1.911821,0.0
-21.500375,50,2.820387,0.0
-16.216632,50,3.72075,0.0
-13.113221,50,4.619086,0.0
-8.355123,50,5.505915,0.0
-10.972069,50,6.435186,0.0
-21.958781,50,7.323653,0.0
-27.143218,50,8.214594,0.0
-19.072115,50,9.116971,0.0
-21.531842,50,15.809489,0.0
-10.493443,50,16.739734,0.0
-21.2732,50,17.597606,0.0
-12.580216,50,18.475736,0.0
-19.094939,50,19.362736,0.0
-13.184499,50,20.288437,0.0
-14.46323,50,21.192454,0.0
-28.979314,50,22.06713,0.0
-22.844705,50,22.974242,0.0
-25.028269,50,23.864004,0.0
-4.478935,50,30.616775,0.0
-17.776706,50,31.506675,0.0
-16.200218,50,32.396057,0.0
-12.095705,50,33.280594,0.0
-17.057926,50,34.216454,0.0
-7.550098,50,36.127846,0.0
-20.73655,50,37.027062,0.0
-17.121886,50,37.882572,0.0
-17.261791,50,38.801272,0.0
-21.005134,50,39.723201,0.0
-12.212535,50,46.496772,0.0
-14.976122,50,47.393569,0.0
-19.514155,50,48.309399,0.0
-14.187765,50,49.194373,0.0
-15.491605,50,50.103232,0.0
-9.996922,50,51.006284,0.0
-9.88169,50,51.941189,0.0
-20.136342,50,52.878753,0.0
-15.182728,50,53.798147,0.0
-18.297683,50,54.751085,0.0
-16.128674,50,61.41622,0.0
-12.396529,50,62.344892,0.0
-15.62003,50,63.275822,0.0
-14.914322,50,64.207321,0.0
-11.174563,50,65.113871,0.0
-17.141788,50,66.025451,0.0
-13.342318,50,66.962847,0.0
-16.615373,50,67.998888,0.0
-19.734917,50,68.874807,0.0
-13.209057,50,69.823632,0.0
-10.7918,50,71.795976,0.0
-20.496106,50,78.528552,0.0
-8.751484,50,79.4242,0.0
-16.020533,50,80.369163,0.0
-7.999042,50,81.280455,0.0
-11.751835,50,82.211666,0.0
-10.646687,50,83.1262,0.0
-13.909675,50,84.085117,0.0
-14.91099,50,85.06018,0.0
-23.422508,50,86.024553,0.0
-8.60415,50,86.932698,0.0
-9.232017,50,92.187937,0.0
-8.675716,50,93.144469,0.0
-17.302117,50,94.013096,0.0
-9.473876,50,94.866331,0.0
-8.987916,50,95.816776,0.0
-5.552653,50,96.782103,0.0
-11.008138,50,97.709042,0.0
-12.903225,50,98.63081,0.0
-13.54351,50,99.607254,0.0
-10.454498,50,100.552683,0.0
-14.207818,50,103.886202,0.0
-10.874066,50,104.829406,0.0
-14.352529,50,105.726127,0.0
-18.467933,50,106.658467,0.0
-17.960959,50,108.666966,0.0
-8.961303,50,109.586299,0.0
-15.82558,50,110.596032,0.0
-10.463519,50,111.522,0.0
-12.964338,50,112.492947,0.0
-8.533363,50,113.405327,0.0
-11.373063,50,116.777955,0.0
-8.249015,50,117.711498,0.0
-5.648385,50,118.639763,0.0
-15.65427,50,119.522487,0.0
-13.295563,50,120.488888,0.0
-11.199285,50,121.528818,0.0
