#{"t_start": 1650491344.7075326, "env_id": "PandaReach-v2"}
r,l,t,is_success
-50.0,50,1.588843,0.0
-50.0,50,2.448747,0.0
-50.0,50,3.336844,0.0
-50.0,50,4.218414,0.0
-50.0,50,5.07668,0.0
-50.0,50,5.947968,0.0
-50.0,50,6.820648,0.0
-50.0,50,7.697415,0.0
-50.0,50,8.574741,0.0
-50.0,50,9.448653,0.0
-50.0,50,12.742132,0.0
-50.0,50,13.648774,0.0
-50.0,50,14.511533,0.0
-50.0,50,15.368626,0.0
-50.0,50,16.227564,0.0
-50.0,50,17.088693,0.0
-50.0,50,17.960506,0.0
-50.0,50,18.817809,0.0
-50.0,50,19.702426,0.0
-50.0,50,20.568618,0.0
-50.0,50,23.896656,0.0
-50.0,50,24.746666,0.0
-50.0,50,25.667383,0.0
-50.0,50,26.543558,0.0
-50.0,50,27.404722,0.0
-50.0,50,29.16651,0.0
-50.0,50,30.007008,0.0
-50.0,50,30.861849,0.0
-50.0,50,31.761931,0.0
-50.0,50,32.608732,0.0
-50.0,50,38.553069,0.0
-50.0,50,39.446669,0.0
-50.0,50,40.313708,0.0
-50.0,50,41.201237,0.0
-50.0,50,42.077094,0.0
-50.0,50,42.959206,0.0
-50.0,50,43.859665,0.0
-50.0,50,44.83619,0.0
-50.0,50,45.772342,0.0
-50.0,50,46.652233,0.0
-50.0,50,53.361278,0.0
-50.0,50,54.245116,0.0
-50.0,50,55.136801,0.0
-50.0,50,56.010555,0.0
-50.0,50,56.872139,0.0
-50.0,50,57.788305,0.0
-50.0,50,58.661178,0.0
-50.0,50,59.536518,0.0
-50.0,50,60.411085,0.0
-50.0,50,61.279313,0.0
-50.0,50,63.049405,0.0
-50.0,50,69.72709,0.0
-50.0,50,70.599411,0.0
-50.0,50,71.466111,0.0
-50.0,50,72.338577,0.0
-50.0,50,73.21124,0.0
-50.0,50,74.110018,0.0
-50.0,50,74.95493,0.0
-50.0,50,75.848464,0.0
-50.0,50,76.716364,0.0
-50.0,50,77.594644,0.0
-50.0,50,84.287084,0.0
-50.0,50,85.168732,0.0
-50.0,50,86.040205,0.0
-50.0,50,86.904072,0.0
-50.0,50,87.780862,0.0
-50.0,50,88.641309,0.0
-50.0,50,89.518872,0.0
-50.0,50,90.386326,0.0
-50.0,50,91.256683,0.0
-50.0,50,92.124288,0.0
-50.0,50,98.809747,0.0
-50.0,50,99.677132,0.0
-50.0,50,100.542799,0.0
-50.0,50,101.39394,0.0
-50.0,50,103.156219,0.0
-50.0,50,104.017294,0.0
-50.0,50,104.891228,0.0
-50.0,50,105.756855,0.0
-50.0,50,106.636653,0.0
-50.0,50,107.507777,0.0
-50.0,50,114.148408,0.0
-50.0,50,115.012873,0.0
-50.0,50,115.877826,0.0
-50.0,50,116.740325,0.0
-50.0,50,117.629741,0.0
-50.0,50,118.498291,0.0
-50.0,50,119.387994,0.0
-50.0,50,120.264095,0.0
-50.0,50,121.118396,0.0
-50.0,50,121.992534,0.0
-50.0,50,122.886579,0.0
-50.0,50,129.552887,0.0
-50.0,50,130.410177,0.0
-50.0,50,131.271612,0.0
-50.0,50,132.118676,0.0
-50.0,50,132.998475,0.0
-50.0,50,133.87261,0.0
-50.0,50,134.721178,0.0
-50.0,50,135.587739,0.0
-50.0,50,137.29552,0.0
-50.0,50,138.169036,0.0
-50.0,50,144.889365,0.0
-50.0,50,145.768493,0.0
-50.0,50,146.644535,0.0
-50.0,50,147.528989,0.0
-50.0,50,148.39989,0.0
-50.0,50,149.260792,0.0
-50.0,50,150.118229,0.0
-50.0,50,151.005769,0.0
-50.0,50,151.889369,0.0
-50.0,50,152.763794,0.0
-50.0,50,159.508027,0.0
-50.0,50,160.396785,0.0
-50.0,50,161.26817,0.0
-50.0,50,162.135671,0.0
-50.0,50,162.982879,0.0
-50.0,50,163.853829,0.0
-50.0,50,164.743958,0.0
-50.0,50,165.601579,0.0
-50.0,50,166.472997,0.0
-50.0,50,167.36308,0.0
-50.0,50,174.046217,0.0
-50.0,50,174.922537,0.0
-50.0,50,175.779765,0.0
-50.0,50,177.505942,0.0
-50.0,50,178.389569,0.0
-50.0,50,179.276577,0.0
-50.0,50,180.14603,0.0
-50.0,50,181.005314,0.0
-50.0,50,181.881881,0.0
-50.0,50,182.758725,0.0
-50.0,50,183.628904,0.0
-50.0,50,190.360134,0.0
-50.0,50,191.236135,0.0
-50.0,50,192.104485,0.0
-50.0,50,192.97998,0.0
-50.0,50,193.829621,0.0
-50.0,50,194.702755,0.0
-50.0,50,195.570945,0.0
-50.0,50,196.459255,0.0
-50.0,50,197.309806,0.0
-50.0,50,198.181497,0.0
-50.0,50,204.923661,0.0
-50.0,50,205.86348,0.0
-50.0,50,206.759358,0.0
-50.0,50,207.650835,0.0
-50.0,50,208.577842,0.0
-50.0,50,209.472883,0.0
-50.0,50,210.334188,0.0
-50.0,50,212.083948,0.0
-50.0,50,212.936294,0.0
-50.0,50,213.786502,0.0
-50.0,50,220.537337,0.0
-50.0,50,221.401361,0.0
-50.0,50,222.285843,0.0
-50.0,50,223.148432,0.0
-50.0,50,224.027297,0.0
-50.0,50,224.875757,0.0
-50.0,50,225.738487,0.0
-50.0,50,226.597037,0.0
-50.0,50,227.457889,0.0
-50.0,50,228.333786,0.0
-50.0,50,235.083688,0.0
-50.0,50,235.949707,0.0
-50.0,50,236.819434,0.0
-50.0,50,237.689511,0.0
-50.0,50,238.591253,0.0
-50.0,50,239.475908,0.0
-50.0,50,240.334485,0.0
-50.0,50,241.215689,0.0
-50.0,50,242.110959,0.0
-50.0,50,242.986629,0.0
-50.0,50,243.830725,0.0
-50.0,50,250.573842,0.0
-50.0,50,252.315846,0.0
-50.0,50,253.186943,0.0
-50.0,50,254.029183,0.0
-50.0,50,254.897111,0.0
-50.0,50,255.766883,0.0
-50.0,50,256.654646,0.0
-50.0,50,257.527992,0.0
-50.0,50,258.384094,0.0
-50.0,50,259.259389,0.0
-50.0,50,265.958411,0.0
-50.0,50,266.806571,0.0
-50.0,50,267.65364,0.0
-50.0,50,268.519308,0.0
-50.0,50,269.372585,0.0
-50.0,50,270.23317,0.0
-50.0,50,271.088015,0.0
-50.0,50,271.960166,0.0
-50.0,50,272.843701,0.0
-50.0,50,273.722105,0.0
-50.0,50,280.407974,0.0
-50.0,50,281.277773,0.0
-50.0,50,282.150134,0.0
-50.0,50,283.010562,0.0
-50.0,50,283.879449,0.0
-50.0,50,284.753385,0.0
-50.0,50,286.451885,0.0
-50.0,50,287.304681,0.0
-50.0,50,288.168123,0.0
-50.0,50,289.038493,0.0
-50.0,50,295.720979,0.0
-50.0,50,296.615121,0.0
-50.0,50,297.491532,0.0
-50.0,50,298.349564,0.0
-50.0,50,299.215335,0.0
-50.0,50,300.080342,0.0
-50.0,50,301.005071,0.0
-50.0,50,301.865443,0.0
-50.0,50,302.725059,0.0
-50.0,50,303.58241,0.0
-50.0,50,304.448712,0.0
-50.0,50,311.182429,0.0
-50.0,50,312.04443,0.0
-50.0,50,312.913371,0.0
-50.0,50,313.759686,0.0
-50.0,50,314.619361,0.0
-50.0,50,315.502668,0.0
-50.0,50,316.362613,0.0
-50.0,50,317.220428,0.0
-50.0,50,318.082931,0.0
-50.0,50,318.940402,0.0
-50.0,50,326.385301,0.0
-50.0,50,327.256471,0.0
-50.0,50,328.152659,0.0
-50.0,50,329.017671,0.0
-50.0,50,329.879839,0.0
-50.0,50,330.744884,0.0
-50.0,50,331.625651,0.0
-50.0,50,332.493711,0.0
-50.0,50,333.348243,0.0
-50.0,50,334.220194,0.0
-50.0,50,341.015419,0.0
-50.0,50,341.907513,0.0
-50.0,50,342.7633,0.0
-50.0,50,343.630873,0.0
-50.0,50,344.478181,0.0
-50.0,50,345.342788,0.0
-50.0,50,346.203703,0.0
-50.0,50,347.040642,0.0
-50.0,50,347.894489,0.0
-50.0,50,348.736767,0.0
-50.0,50,355.422525,0.0
-50.0,50,356.295455,0.0
-50.0,50,357.182564,0.0
-50.0,50,358.03355,0.0
-50.0,50,358.925642,0.0
-50.0,50,360.755341,0.0
-50.0,50,361.616636,0.0
-50.0,50,362.485552,0.0
-50.0,50,363.338034,0.0
-50.0,50,364.180342,0.0
-50.0,50,365.059592,0.0
-50.0,50,371.72809,0.0
-50.0,50,372.579012,0.0
-50.0,50,373.429634,0.0
-50.0,50,374.306775,0.0
-50.0,50,375.188161,0.0
