#{"t_start": 1649816508.1764147, "env_id": "PandaReach-v2"}
r,l,t,is_success
-11.809311,50,1.699382,0.0
-16.863485,50,2.664902,0.0
-9.566125,50,3.643326,0.0
-9.462325,50,4.726519,0.0
-19.370465,50,5.729764,0.0
-10.61323,50,6.72617,0.0
-8.150775,50,7.765707,0.0
-13.955584,50,8.778944,0.0
-13.141296,50,9.801216,0.0
-11.203099,50,10.855572,0.0
-10.698436,50,14.468724,0.0
-13.509681,50,15.535939,0.0
-12.8134,50,16.53784,0.0
-12.669937,50,17.543593,0.0
-13.093106,50,18.578251,0.0
-10.066007,50,19.628931,0.0
-13.815156,50,20.600999,0.0
-12.007901,50,21.580966,0.0
-11.77361,50,22.651659,0.0
-9.411383,50,23.686089,0.0
-13.452207,50,27.234018,0.0
-10.705444,50,28.26081,0.0
-12.431824,50,29.315136,0.0
-13.863013,50,30.503696,0.0
-10.793759,50,31.607449,0.0
-13.570583,50,33.444284,0.0
-12.164777,50,34.469405,0.0
-13.277995,50,35.470058,0.0
-15.544663,50,36.528993,0.0
-7.532086,50,37.522559,0.0
-8.571933,50,41.068028,0.0
-13.272498,50,42.154802,0.0
-15.181254,50,43.170042,0.0
-15.052543,50,44.219434,0.0
-11.868983,50,45.272557,0.0
-14.158797,50,46.278137,0.0
-18.494197,50,47.308293,0.0
-16.770659,50,48.306517,0.0
-6.226444,50,49.405857,0.0
-12.461539,50,50.541264,0.0
-9.247171,50,53.938806,0.0
-5.877744,50,55.277779,0.0
-12.747423,50,56.339637,0.0
-11.979538,50,57.363519,0.0
-14.198434,50,58.393631,0.0
-13.301916,50,59.505713,0.0
-11.169986,50,60.644971,0.0
-10.594626,50,61.833458,0.0
-11.849775,50,62.87011,0.0
-17.949517,50,63.962364,0.0
-11.727314,50,65.939855,0.0
-7.626854,50,69.525342,0.0
-11.2103,50,70.719313,0.0
-11.257196,50,71.772963,0.0
-7.133977,50,72.978001,0.0
-17.428392,50,74.199592,0.0
-11.450313,50,75.341477,0.0
-10.249922,50,76.49339,0.0
-10.82353,50,77.559358,0.0
-13.593658,50,78.776458,0.0
-11.885875,50,79.942921,0.0
-10.250439,50,83.441301,0.0
-10.187218,50,84.526654,0.0
-12.071743,50,85.555221,0.0
-6.961982,50,86.57091,0.0
-15.154762,50,87.789714,0.0
-12.298748,50,88.858659,0.0
-7.131295,50,89.873734,0.0
-13.260383,50,90.868135,0.0
-11.894239,50,91.923067,0.0
-12.004586,50,93.065088,0.0
-14.723775,50,96.502832,0.0
-9.990815,50,97.497906,0.0
-8.770922,50,98.567467,0.0
-15.220168,50,99.693697,0.0
-10.302795,50,101.621436,0.0
-9.641603,50,102.618545,0.0
-6.351079,50,103.716141,0.0
-9.832255,50,105.053712,0.0
-9.905756,50,106.220804,0.0
-13.434559,50,107.434969,0.0
-12.255653,50,111.231518,0.0
-10.071308,50,112.323918,0.0
-4.186348,50,113.379467,0.0
-7.864135,50,114.481579,0.0
-11.002024,50,115.692923,0.0
-12.115257,50,116.793886,0.0
