#{"t_start": 1649832508.8915946, "env_id": "PandaReach-v2"}
r,l,t,is_success
-50.0,50,1.549152,0.0
-50.0,50,2.428371,0.0
-50.0,50,3.311726,0.0
-50.0,50,4.170951,0.0
-50.0,50,5.045596,0.0
-50.0,50,5.917281,0.0
-50.0,50,6.78906,0.0
-50.0,50,7.664776,0.0
-50.0,50,8.544592,0.0
-50.0,50,9.41166,0.0
-50.0,50,16.019218,0.0
-50.0,50,16.911267,0.0
-50.0,50,17.79017,0.0
-50.0,50,18.655293,0.0
-50.0,50,19.550545,0.0
-50.0,50,20.417178,0.0
-50.0,50,21.30448,0.0
-50.0,50,22.151204,0.0
-50.0,50,23.028305,0.0
-50.0,50,23.909704,0.0
-50.0,50,30.490656,0.0
-50.0,50,31.35179,0.0
-50.0,50,32.222508,0.0
-50.0,50,33.058073,0.0
-50.0,50,33.914974,0.0
-50.0,50,35.683784,0.0
-50.0,50,36.52001,0.0
-50.0,50,37.359402,0.0
-50.0,50,38.264269,0.0
-50.0,50,39.126994,0.0
-50.0,50,45.743618,0.0
-50.0,50,46.657989,0.0
-50.0,50,47.582036,0.0
-50.0,50,48.451251,0.0
-50.0,50,49.357818,0.0
-50.0,50,50.195783,0.0
-50.0,50,51.106677,0.0
-50.0,50,51.987895,0.0
-50.0,50,52.843827,0.0
-50.0,50,53.681965,0.0
-50.0,50,60.241066,0.0
-50.0,50,61.111513,0.0
-50.0,50,61.962289,0.0
-50.0,50,62.805899,0.0
-50.0,50,63.665065,0.0
-50.0,50,64.519761,0.0
-50.0,50,65.357593,0.0
-50.0,50,66.208444,0.0
-50.0,50,67.095018,0.0
-50.0,50,68.004165,0.0
-50.0,50,69.815477,0.0
-50.0,50,76.426232,0.0
-50.0,50,77.261083,0.0
-50.0,50,78.136405,0.0
-50.0,50,79.08936,0.0
-50.0,50,79.940885,0.0
-50.0,50,80.813749,0.0
-50.0,50,81.674846,0.0
-50.0,50,82.547263,0.0
-50.0,50,83.394436,0.0
-50.0,50,84.259738,0.0
-50.0,50,90.837195,0.0
-50.0,50,91.708578,0.0
-50.0,50,92.575112,0.0
-50.0,50,93.434808,0.0
-50.0,50,94.306157,0.0
-50.0,50,95.191574,0.0
-50.0,50,96.075548,0.0
-50.0,50,96.922339,0.0
