#{"t_start": 1650483742.2586637, "env_id": "PandaReach-v2"}
r,l,t,is_success
-17.586741,50,1.323829,0.0
-13.706508,50,2.186033,0.0
-17.490231,50,3.07507,0.0
-34.828206,50,3.956131,0.0
-9.692484,50,4.812586,0.0
-16.781434,50,5.685796,0.0
-22.31444,50,6.562181,0.0
-14.076238,50,7.441731,0.0
-20.66178,50,8.313925,0.0
-36.345383,50,9.187314,0.0
-16.667542,50,15.90708,0.0
-20.628521,50,16.815119,0.0
-31.036277,50,17.671488,0.0
-11.58442,50,18.530706,0.0
-13.385135,50,19.405164,0.0
-18.289063,50,20.269876,0.0
-22.669028,50,21.135208,0.0
-31.581053,50,21.998371,0.0
-24.229528,50,22.900217,0.0
-17.69106,50,23.775371,0.0
-7.035434,50,30.483985,0.0
-15.935543,50,31.335698,0.0
-15.935163,50,32.210114,0.0
-13.444149,50,33.08975,0.0
-6.319095,50,33.965415,0.0
-16.643754,50,35.733243,0.0
-17.907171,50,36.591323,0.0
-18.14758,50,37.437626,0.0
-15.249517,50,38.335232,0.0
-16.473566,50,39.191412,0.0
-6.866,50,45.893385,0.0
-14.455497,50,46.768629,0.0
-20.066119,50,47.661104,0.0
-18.245105,50,48.539728,0.0
-16.257773,50,49.433501,0.0
-13.156906,50,50.302577,0.0
-17.592017,50,51.191853,0.0
-11.100226,50,52.054826,0.0
-20.083954,50,52.9229,0.0
-9.007599,50,53.806085,0.0
-11.647756,50,60.468588,0.0
-10.994945,50,61.350303,0.0
-13.874222,50,62.254323,0.0
-10.547359,50,63.135919,0.0
-16.363953,50,64.022897,0.0
-9.325774,50,64.955924,0.0
-19.436169,50,65.844378,0.0
-13.651382,50,66.749076,0.0
-14.757376,50,67.640526,0.0
-12.359729,50,68.529394,0.0
-15.783032,50,70.476238,0.0
-15.903738,50,77.170819,0.0
-14.711256,50,78.066541,0.0
-9.329905,50,78.960706,0.0
-17.086492,50,79.859057,0.0
-9.436396,50,80.728802,0.0
-12.926402,50,81.636098,0.0
-10.65247,50,82.516637,0.0
-11.660933,50,83.420156,0.0
-15.533809,50,84.296132,0.0
-10.256286,50,85.195877,0.0
-8.044498,50,91.886979,0.0
-8.082232,50,92.772555,0.0
-15.512382,50,93.636384,0.0
-15.777798,50,94.509918,0.0
-8.182312,50,95.383402,0.0
-8.381881,50,96.247056,0.0
-10.769583,50,97.143769,0.0
-8.755707,50,98.035083,0.0
-8.59892,50,98.953835,0.0
-12.311382,50,99.856294,0.0
-7.183469,50,106.61388,0.0
-8.194045,50,107.503932,0.0
-7.502247,50,108.392454,0.0
-12.539775,50,109.268907,0.0
-11.759499,50,111.302788,0.0
-6.501293,50,112.189998,0.0
-6.963252,50,113.132337,0.0
-13.12748,50,113.989945,0.0
-12.093694,50,114.882515,0.0
-12.04614,50,115.798805,0.0
-15.117537,50,122.513321,0.0
-9.736894,50,123.428696,0.0
-15.689641,50,124.317944,0.0
-6.052954,50,125.200492,0.0
-15.901945,50,126.090526,0.0
-10.424639,50,126.973757,0.0
-6.348662,50,127.856381,0.0
-10.320741,50,128.777661,0.0
-7.305918,50,129.666635,0.0
-8.610551,50,130.554948,0.0
-12.690308,50,131.432349,0.0
-8.492,50,138.113904,0.0
-14.938795,50,139.011699,0.0
-12.098477,50,139.945802,0.0
-18.369327,50,140.823465,0.0
-4.980898,50,141.71588,0.0
-4.693006,50,142.629281,0.0
-3.928692,50,143.493213,0.0
-6.531346,50,144.369414,0.0
-12.771717,50,146.296172,0.0
-13.519423,50,147.209705,0.0
-4.993779,50,153.89327,0.0
-14.568183,50,154.815515,0.0
-3.684283,28,155.316415,1.0
-5.942048,50,156.219081,0.0
-4.889991,50,157.129527,0.0
-12.056065,50,158.015188,0.0
-14.28942,50,158.917234,0.0
-6.303062,50,159.805019,0.0
-4.665264,50,160.743934,0.0
-10.512893,50,161.63208,0.0
-7.862547,50,162.489123,0.0
-7.725177,50,169.213777,0.0
-7.119077,50,170.116843,0.0
-11.40311,50,171.002018,0.0
-7.229565,50,171.875374,0.0
-7.077498,50,172.743269,0.0
-5.715645,50,173.6385,0.0
-11.63029,50,174.543489,0.0
-6.68411,50,175.409767,0.0
-6.085566,50,176.288436,0.0
-6.885843,50,177.175847,0.0
-16.5003,50,183.885238,0.0
-17.37337,50,184.777416,0.0
-9.292536,50,186.621782,0.0
-6.147418,50,187.491996,0.0
-10.54309,50,188.42885,0.0
-11.825679,50,189.322734,0.0
-10.089308,50,190.195119,0.0
-9.406458,50,191.155394,0.0
-12.413722,50,192.031274,0.0
-8.656591,50,192.906912,0.0
-11.915073,50,199.562909,0.0
-17.262342,50,200.477558,0.0
-8.783699,50,201.350374,0.0
-8.802985,50,202.23058,0.0
-11.545752,50,203.079633,0.0
-8.060897,50,203.999921,0.0
-10.211041,50,204.918553,0.0
-5.440765,50,205.8307,0.0
-6.227476,50,206.700017,0.0
-10.107771,50,207.580086,0.0
-12.18543,50,214.316413,0.0
-12.826694,50,215.191448,0.0
-8.192992,50,216.087463,0.0
-4.710778,50,216.996065,0.0
-5.125011,50,217.889964,0.0
-10.35821,50,218.776113,0.0
-7.45206,50,219.675793,0.0
-5.566384,50,221.539265,0.0
-8.621342,50,222.472046,0.0
-7.716033,50,223.348588,0.0
-6.658449,50,224.248216,0.0
-8.245471,50,230.962588,0.0
-10.55361,50,231.850876,0.0
-7.58356,50,232.799489,0.0
-13.535075,50,233.695957,0.0
-4.955701,50,234.585078,0.0
-16.23016,50,235.562862,0.0
-6.678543,50,236.456871,0.0
-6.924689,50,237.335889,0.0
-9.243866,50,238.225547,0.0
-12.409097,50,239.134579,0.0
-4.989779,50,245.901191,0.0
-7.082895,50,246.823608,0.0
-1.11467,10,247.005375,1.0
-23.217413,50,247.90883,0.0
-14.35185,50,248.848822,0.0
-4.028474,50,249.749083,0.0
-13.320757,50,250.623574,0.0
-14.892377,50,251.632341,0.0
-5.216735,50,252.563407,0.0
-6.4182,50,253.467606,0.0
-3.403007,50,254.370023,0.0
-6.182315,50,261.112777,0.0
-10.944866,50,262.966569,0.0
-7.728466,50,263.837643,0.0
-10.470703,50,264.722464,0.0
-8.123193,50,265.61738,0.0
-4.454871,50,266.51565,0.0
-7.725045,50,267.420715,0.0
-14.139995,50,268.338693,0.0
-15.993415,50,269.276726,0.0
-8.094721,50,270.210716,0.0
-12.642435,50,276.967484,0.0
-4.769206,50,277.884888,0.0
-15.408817,50,278.788806,0.0
-7.090734,50,279.689948,0.0
-4.271223,50,280.566384,0.0
-5.40257,50,281.442626,0.0
-14.05001,50,282.327337,0.0
-14.149365,50,283.248978,0.0
-14.066351,50,284.197627,0.0
-3.991879,50,285.113141,0.0
-5.211558,50,291.836427,0.0
-7.046451,50,292.731773,0.0
-6.798236,50,293.597246,0.0
-4.815404,50,294.493092,0.0
-5.716936,50,295.40956,0.0
-3.451258,36,296.083215,1.0
-6.966429,50,297.995176,0.0
-5.459812,50,298.881066,0.0
-5.8748,50,299.796568,0.0
-5.673424,50,300.712636,0.0
-5.594524,50,301.632997,0.0
-5.28141,50,308.322982,0.0
-4.597159,50,309.266317,0.0
-4.619815,50,310.165712,0.0
-3.73605,50,311.112975,0.0
-4.160099,50,312.053742,0.0
-8.449371,50,312.958143,0.0
-7.287302,50,313.902433,0.0
-6.305556,50,314.842859,0.0
-5.562511,50,315.716758,0.0
-5.767225,50,316.653152,0.0
-5.826982,25,317.134293,1.0
-8.990494,50,323.869497,0.0
-10.34649,50,324.769971,0.0
-4.786205,50,325.667284,0.0
-5.690697,50,326.551979,0.0
-4.114699,50,327.54753,0.0
-5.452228,38,328.261433,1.0
-6.048873,50,329.155087,0.0
-5.905905,50,330.036381,0.0
-5.06048,41,330.74934,1.0
-11.101793,50,331.678414,0.0
-4.903561,50,339.43052,0.0
-3.705012,50,340.337092,0.0
-2.896995,50,341.276262,0.0
-14.991911,50,342.200957,0.0
-7.254385,50,343.130774,0.0
-9.65269,50,344.014565,0.0
-4.680316,48,344.835735,1.0
-3.911685,50,345.695533,0.0
-7.185438,50,346.596584,0.0
-12.360753,50,347.492681,0.0
-11.153788,50,348.390584,0.0
-3.460732,50,355.110893,0.0
-4.068763,50,355.980761,0.0
-12.93375,50,356.911832,0.0
-4.808852,50,357.839307,0.0
-10.240968,50,358.805376,0.0
-5.030857,50,359.702825,0.0
-4.410461,50,360.591035,0.0
-4.499499,50,361.537472,0.0
-5.303766,50,362.472271,0.0
-2.924617,29,363.000207,1.0
-7.656813,50,369.806561,0.0
-9.301948,50,370.671947,0.0
-5.206756,50,371.562591,0.0
-5.460445,50,372.46343,0.0
-5.705574,50,374.374502,0.0
-3.991439,50,375.297306,0.0
-4.975604,37,375.97691,1.0
-5.017531,50,376.851224,0.0
-9.550145,50,377.740408,0.0
-5.883985,50,378.74824,0.0
-6.412065,50,379.692818,0.0
-8.563164,50,386.400407,0.0
-3.257188,50,387.30832,0.0
-6.00454,50,388.230964,0.0
-12.043498,50,389.11872,0.0
-11.680459,50,389.999254,0.0
-3.844684,50,390.928627,0.0
-14.354443,50,391.809976,0.0
-5.256705,50,392.763098,0.0
-5.319123,50,393.650054,0.0
-4.264299,50,394.560718,0.0
-3.261654,50,401.365269,0.0
-5.010006,34,401.965202,1.0
-6.026004,50,402.892864,0.0
-15.430263,50,403.793239,0.0
-3.603576,50,404.690871,0.0
-4.277875,50,405.564683,0.0
-13.641876,50,406.435672,0.0
-13.912733,50,407.390941,0.0
-4.389865,50,408.26529,0.0
-13.375522,50,410.039795,0.0
-12.361839,50,416.728266,0.0
