#{"t_start": 1650999884.1834028, "env_id": "PandaReach-v2"}
r,l,t,is_success
-7.3157,50,1.544616,0.0
-22.791763,50,2.40011,0.0
-12.179885,50,3.257269,0.0
-12.56455,50,4.106577,0.0
-15.064567,50,4.947592,0.0
-20.163159,50,5.797114,0.0
-14.463082,50,6.639529,0.0
-13.327702,50,7.497067,0.0
-26.380424,50,8.362174,0.0
-12.610341,50,9.216489,0.0
-7.065865,50,15.95715,0.0
-19.148444,50,16.828272,0.0
-27.564981,50,17.679996,0.0
-12.444096,50,18.523909,0.0
-13.799608,50,19.36953,0.0
-15.285254,50,20.222955,0.0
-15.749629,50,21.107975,0.0
-8.768965,50,21.959589,0.0
-22.317035,50,22.811887,0.0
-7.530697,50,23.651249,0.0
-10.129919,50,30.344443,0.0
-8.285574,50,31.177379,0.0
-10.821779,50,32.013571,0.0
-9.52027,50,32.848164,0.0
-16.893498,50,33.667865,0.0
-5.193795,50,35.376426,0.0
-13.60928,50,36.206436,0.0
-19.27899,50,37.055571,0.0
-9.90355,50,37.89714,0.0
-7.070185,50,38.730308,0.0
-10.52997,50,45.384873,0.0
-7.709395,40,46.0635,1.0
-7.214714,50,46.897695,0.0
-7.213441,50,47.726946,0.0
-9.748331,50,48.558769,0.0
-6.903647,50,49.415821,0.0
-8.159768,50,50.275973,0.0
-7.857514,50,51.122335,0.0
-6.680586,50,51.97634,0.0
-9.016736,50,52.811067,0.0
-8.558666,50,53.645393,0.0
-9.149296,50,60.292205,0.0
-12.099442,50,61.113665,0.0
-5.043539,50,61.947796,0.0
-5.535644,50,62.781125,0.0
-6.594973,50,63.614809,0.0
-4.242062,38,64.247045,1.0
-7.534054,50,65.069675,0.0
-7.444468,50,65.896943,0.0
-8.24918,33,66.44636,1.0
-9.21092,50,68.160954,0.0
-6.603104,50,74.869702,0.0
-4.584663,50,75.699045,0.0
-6.107005,50,76.522086,0.0
-5.500761,50,77.345176,0.0
-4.670603,50,78.17908,0.0
-9.676764,50,79.006159,0.0
-3.83003,50,79.824971,0.0
-5.964618,50,80.646078,0.0
-4.791418,26,81.077061,1.0
-5.77509,50,81.899099,0.0
-4.435038,50,82.726905,0.0
-7.188417,50,89.383896,0.0
-5.621337,50,90.215981,0.0
-7.332424,50,91.048336,0.0
-3.012318,16,91.312297,1.0
-3.51751,38,91.940925,1.0
-7.239913,50,92.76356,0.0
-4.20343,50,93.588005,0.0
-5.557059,50,94.414923,0.0
-4.544614,18,94.711309,1.0
-4.684954,50,95.54173,0.0
-3.741975,37,96.149853,1.0
-3.921792,50,96.97472,0.0
-2.37063,21,97.320807,1.0
-3.893917,36,103.747724,1.0
-2.300797,50,104.577073,0.0
-2.794162,50,105.403758,0.0
-5.68554,50,106.935955,0.0
-4.916033,50,107.773694,0.0
-0.996255,13,107.990385,1.0
-3.694847,25,108.402546,1.0
-4.216275,50,109.236458,0.0
-5.289461,50,110.053443,0.0
-2.887971,44,110.783132,1.0
-4.446008,50,111.6103,0.0
-2.219728,34,112.174764,1.0
-4.22735,50,118.857006,0.0
-2.89821,50,119.683485,0.0
-4.769054,17,119.965237,1.0
-3.381636,50,120.79162,0.0
-1.348381,16,121.065079,1.0
-2.72031,50,121.926563,0.0
-0.843899,14,122.157249,1.0
-3.488133,46,122.919896,1.0
-2.603192,41,123.605545,1.0
-4.870862,50,124.430781,0.0
-5.368565,50,125.253344,0.0
-2.434384,50,126.083642,0.0
-1.412388,22,126.447401,1.0
-1.081319,23,126.833047,1.0
-4.435411,23,133.118285,1.0
-2.682008,50,133.949455,0.0
-2.050709,16,134.213342,1.0
-1.620847,26,134.639565,1.0
-4.325557,50,135.466475,0.0
-2.480617,20,135.800316,1.0
-3.935157,50,136.634686,0.0
-2.651617,50,137.459051,0.0
