#{"t_start": 1650476013.0031726, "env_id": "PandaReach-v2"}
r,l,t,is_success
-438.15999,50,5.686583,0.0
-1668.857712,50,6.548785,0.0
-1420.606241,50,7.44628,0.0
-1404.085426,50,8.328028,0.0
-1091.787082,50,9.188761,0.0
-492.604873,50,10.063645,0.0
-727.223807,50,10.938004,0.0
-1152.558633,50,11.814254,0.0
-1128.214857,50,12.686685,0.0
-917.588257,50,13.557431,0.0
-1805.95359,50,20.22967,0.0
-1545.974871,50,21.133857,0.0
-1136.474788,50,21.99039,0.0
-893.811299,50,22.854437,0.0
-1001.284364,50,23.720046,0.0
-858.950263,50,24.58262,0.0
-1212.378591,50,25.452204,0.0
-946.779472,50,26.313278,0.0
-881.389696,50,27.215297,0.0
-1285.266845,50,28.090314,0.0
-1144.89951,50,34.739362,0.0
-840.032778,50,35.599646,0.0
-853.619259,50,36.472062,0.0
-1001.716987,50,37.344787,0.0
-677.40368,50,38.212078,0.0
-1697.050922,50,39.995331,0.0
-906.496909,50,40.865131,0.0
-946.203953,50,41.70887,0.0
-1317.039527,50,42.60964,0.0
-1528.20665,50,43.46152,0.0
-1130.599261,50,50.149141,0.0
-1052.344151,50,51.053052,0.0
-1065.27182,50,51.943728,0.0
-831.085915,50,52.824369,0.0
-931.133977,50,53.703828,0.0
-845.348987,50,54.591261,0.0
-735.153696,50,55.483515,0.0
-692.535009,50,56.346805,0.0
-835.659734,50,57.215305,0.0
-710.112656,50,58.101388,0.0
-942.151732,50,64.764365,0.0
-295.929137,50,65.658259,0.0
-637.181788,50,66.548412,0.0
-751.421565,50,67.425189,0.0
-578.81372,50,68.296535,0.0
-779.105315,50,69.231853,0.0
-1056.025814,50,70.124514,0.0
-632.968839,50,71.015057,0.0
-846.438603,50,71.891647,0.0
-1258.90382,50,72.774417,0.0
-369.188394,50,74.703492,0.0
-813.063055,50,81.378381,0.0
-622.406078,50,82.27306,0.0
-818.138367,50,83.15001,0.0
-1078.371516,50,84.038337,0.0
-1155.800071,50,84.915988,0.0
-1025.299114,50,85.847221,0.0
-717.989573,50,86.714982,0.0
-668.231068,50,87.612806,0.0
-436.929677,50,88.495463,0.0
-1335.64377,50,89.371993,0.0
-809.271249,50,96.07358,0.0
-714.851739,50,96.949775,0.0
-1128.788565,50,97.811568,0.0
-1089.509204,50,98.686583,0.0
-913.520883,50,99.55837,0.0
-945.230501,50,100.440855,0.0
-757.668691,50,101.335878,0.0
-329.770706,50,102.231195,0.0
-956.31345,50,103.122487,0.0
-807.373834,50,104.034557,0.0
-842.791126,50,110.788816,0.0
-584.226563,50,111.749619,0.0
-806.565408,50,112.644885,0.0
-785.075022,50,113.513466,0.0
-544.514194,50,115.563103,0.0
-750.261896,50,116.438762,0.0
-605.728649,50,117.334587,0.0
-813.270836,50,118.185396,0.0
-774.981221,50,119.080446,0.0
-635.936015,50,119.959289,0.0
-515.4474,50,126.660971,0.0
-1303.976254,50,127.550616,0.0
-472.817377,50,128.464991,0.0
-774.299531,50,129.325653,0.0
-789.590863,50,130.204077,0.0
-924.637757,50,131.075897,0.0
-686.502499,50,131.975917,0.0
-893.997506,50,132.898306,0.0
-624.270899,50,133.773846,0.0
-552.761328,50,134.671855,0.0
-907.058557,50,135.55675,0.0
-318.727385,50,142.245535,0.0
-603.10519,50,143.150634,0.0
-833.778849,50,144.052263,0.0
-776.30134,50,144.962798,0.0
-381.96978,50,145.863489,0.0
-807.668011,50,146.763849,0.0
-1100.730227,50,147.624455,0.0
-508.223254,50,148.580774,0.0
-549.297413,50,150.542851,0.0
-652.445343,50,151.446125,0.0
-513.987781,50,158.145585,0.0
-842.977575,50,159.035607,0.0
-781.51854,50,159.92278,0.0
-820.676743,50,160.82724,0.0
-1094.557489,50,161.699389,0.0
-617.736338,50,162.57819,0.0
-934.574705,50,163.46016,0.0
-1012.107884,50,164.361672,0.0
-463.23273,50,165.264994,0.0
-672.69799,50,166.143045,0.0
-453.455043,50,172.83586,0.0
-707.550085,50,173.790001,0.0
-408.671517,50,174.690043,0.0
-769.047079,50,175.618115,0.0
-531.171954,50,176.494525,0.0
-1081.108415,50,177.372722,0.0
-390.686328,50,178.295733,0.0
-549.746117,50,179.192148,0.0
-539.038842,50,180.076693,0.0
-490.784238,50,181.001142,0.0
-629.705755,50,187.740145,0.0
-472.965245,50,188.609335,0.0
-490.215716,50,189.478974,0.0
-386.106137,50,191.307334,0.0
-739.426865,50,192.23348,0.0
-471.318396,50,193.14051,0.0
-297.298291,50,194.051809,0.0
-404.628667,50,194.92972,0.0
-714.852459,50,195.835521,0.0
-434.849319,50,196.751464,0.0
-371.606329,50,197.636727,0.0
-886.091588,50,204.363669,0.0
-406.410086,50,205.276196,0.0
-397.104966,50,206.168345,0.0
-799.805853,50,207.098415,0.0
-399.962565,50,207.977703,0.0
-760.795734,50,208.881959,0.0
-479.059258,50,209.760247,0.0
-681.219887,50,210.634918,0.0
-678.095885,50,211.514153,0.0
-387.361608,50,212.41185,0.0
-492.770424,50,219.195416,0.0
-634.437331,50,220.116193,0.0
-484.257763,50,221.042302,0.0
-909.12838,50,221.93616,0.0
-943.263135,50,222.807634,0.0
-433.156612,50,223.709982,0.0
-397.761948,50,224.593478,0.0
-603.244104,50,226.553831,0.0
-432.918933,50,227.462117,0.0
-656.665639,50,228.398421,0.0
-344.616648,50,235.06937,0.0
-745.893609,50,235.941174,0.0
-892.377748,50,236.854192,0.0
-905.88998,50,237.743087,0.0
-1001.123196,50,238.61698,0.0
-670.473056,50,239.476961,0.0
-509.115715,50,240.372976,0.0
-805.627659,50,241.287676,0.0
-1236.621683,50,242.201657,0.0
-511.188319,50,243.169799,0.0
-494.037522,50,249.929886,0.0
-653.817977,50,250.819892,0.0
-664.818975,50,251.747185,0.0
-362.938425,50,252.675923,0.0
-592.860701,50,253.569286,0.0
-507.20423,50,254.498078,0.0
-825.404775,50,255.390618,0.0
-608.251498,50,256.337877,0.0
-169.696063,12,256.554086,1.0
-916.794659,50,257.473886,0.0
-853.875704,50,258.396463,0.0
-594.195723,50,265.105189,0.0
-408.382828,50,266.881541,0.0
-438.004516,50,267.825474,0.0
-748.367631,50,268.70613,0.0
-768.176447,50,269.644841,0.0
-456.519568,50,270.528522,0.0
-564.366353,50,271.436137,0.0
-587.817092,50,272.338669,0.0
-827.715722,50,273.224027,0.0
-622.599067,50,274.125452,0.0
-816.114032,50,274.982855,0.0
-586.72298,50,281.649872,0.0
-353.537244,50,282.563232,0.0
-315.019057,27,283.048327,1.0
-645.496984,50,283.959217,0.0
-306.058546,50,284.840458,0.0
-479.1933,50,285.738915,0.0
-443.079814,50,286.639355,0.0
-508.124781,50,287.608099,0.0
-404.066729,50,288.537566,0.0
-438.97848,50,289.500291,0.0
-923.535653,50,296.301266,0.0
-409.595281,50,297.205828,0.0
-582.888616,50,298.116567,0.0
-674.538529,50,299.084533,0.0
-570.278884,50,299.996947,0.0
-915.83879,50,300.903205,0.0
-901.707472,50,302.683772,0.0
-749.190691,50,303.628965,0.0
-577.020421,50,304.584922,0.0
-507.794467,50,305.505183,0.0
-391.857777,50,306.398217,0.0
-565.180525,50,313.130786,0.0
-508.751523,50,314.084011,0.0
-455.055127,50,315.025414,0.0
-736.384367,50,315.972754,0.0
-529.920636,50,316.987165,0.0
-689.316302,50,317.916105,0.0
-309.397977,50,318.814591,0.0
-569.596578,50,319.788624,0.0
-629.79701,50,320.696336,0.0
-626.357533,50,321.61475,0.0
-865.306154,50,328.411152,0.0
-392.474353,50,329.323476,0.0
-863.297306,50,330.274785,0.0
-537.613217,50,331.228936,0.0
-582.896684,50,332.137839,0.0
-447.980703,50,333.032933,0.0
-347.047879,50,333.996704,0.0
-845.43156,50,334.913029,0.0
-684.091313,50,335.839274,0.0
-405.851972,50,336.757071,0.0
-749.414077,50,344.444781,0.0
-652.304074,50,345.355114,0.0
-485.834454,50,346.310237,0.0
-406.384498,50,347.291373,0.0
-886.880249,50,348.217708,0.0
-237.681934,50,349.190312,0.0
-495.855083,50,350.085314,0.0
-384.412876,50,350.993806,0.0
-979.250359,50,351.99686,0.0
-1307.045972,50,352.947394,0.0
-995.800021,50,359.680981,0.0
-1111.731414,50,360.573503,0.0
-816.928812,50,361.546156,0.0
-1083.126837,50,362.477117,0.0
-478.730247,50,363.358663,0.0
-550.205463,50,364.262047,0.0
-383.255791,50,365.17722,0.0
-444.939682,50,366.053806,0.0
-345.079158,50,366.983304,0.0
-406.294536,50,367.86534,0.0
-309.46939,50,374.589056,0.0
-374.671178,50,375.484941,0.0
-316.815459,50,376.352613,0.0
-681.623295,50,377.297268,0.0
-847.922046,50,378.244519,0.0
-1048.624855,50,380.02451,0.0
-418.076368,50,381.047473,0.0
-677.038541,50,381.939119,0.0
-772.321804,50,382.83813,0.0
-659.47699,50,383.792506,0.0
-482.879247,50,384.681243,0.0
-752.690868,50,391.472814,0.0
-297.476084,50,392.417771,0.0
-587.864995,50,393.383258,0.0
-337.764695,50,394.433472,0.0
-519.760596,50,395.396789,0.0
-498.349288,50,396.329093,0.0
-334.706633,50,397.272435,0.0
-894.502489,50,398.249996,0.0
-702.329477,50,399.188873,0.0
-462.256635,50,400.110889,0.0
-505.404719,50,406.86864,0.0
-694.81024,50,407.844378,0.0
-401.640362,50,408.848469,0.0
-448.708481,50,409.779249,0.0
-814.786496,50,410.683054,0.0
-379.859965,50,411.574163,0.0
-322.169694,50,412.49556,0.0
-559.252382,50,413.363789,0.0
-374.341943,50,414.255201,0.0
-489.008211,50,415.981773,0.0
-346.637411,50,422.724398,0.0
-708.297189,50,423.627567,0.0
-577.379494,50,424.539582,0.0
-430.416801,50,425.44091,0.0
-447.635498,50,426.342539,0.0
-791.48322,50,427.262455,0.0
-673.396668,50,428.171471,0.0
-440.367045,50,429.09415,0.0
-789.283715,50,430.042252,0.0
-859.8849,50,430.969864,0.0
-417.77586,50,437.687855,0.0
-335.168538,50,438.587283,0.0
-1432.50977,50,439.479435,0.0
-361.844817,50,440.382825,0.0
-626.549481,50,441.276087,0.0
-405.465524,50,442.187152,0.0
-538.714466,50,443.097835,0.0
-1056.150638,50,443.99166,0.0
-479.667518,50,444.883815,0.0
-312.192567,17,445.189309,1.0
-569.273958,50,446.095572,0.0
-895.383215,50,452.83851,0.0
-435.528964,50,453.726948,0.0
-297.657287,50,454.649534,0.0
-353.03556,50,456.455085,0.0
-538.749709,50,457.398311,0.0
-432.198258,50,458.274036,0.0
-944.517316,50,459.159675,0.0
-958.146262,50,460.035898,0.0
-246.135294,50,460.97546,0.0
-319.654201,50,461.951935,0.0
-1143.104888,50,462.871801,0.0
-324.499256,50,469.677842,0.0
-622.223638,50,470.585182,0.0
-623.410247,50,471.5102,0.0
-380.943644,50,472.419868,0.0
-465.979957,50,473.334349,0.0
-684.942193,50,474.290398,0.0
-554.850313,50,475.202578,0.0
-338.941294,50,476.080852,0.0
-435.73558,50,476.99321,0.0
-425.840531,50,477.970494,0.0
-804.623929,50,484.688477,0.0
-1077.457991,50,485.596334,0.0
-660.939614,50,486.500011,0.0
-420.381872,50,487.380557,0.0
-321.874295,50,488.284159,0.0
-917.365358,50,489.209502,0.0
