#{"t_start": 1650968212.1043391, "env_id": "PandaReach-v2"}
r,l,t,is_success
-832.143105,50,5.521271,0.0
-1480.877003,50,6.375015,0.0
-1396.851188,50,7.23431,0.0
-886.151972,50,8.081414,0.0
-630.287754,50,8.926071,0.0
-796.442029,50,9.776412,0.0
-509.996013,50,10.622949,0.0
-802.332747,50,11.483038,0.0
-894.714341,50,12.357904,0.0
-749.209343,50,13.210873,0.0
-1354.841449,50,19.853809,0.0
-1472.660891,50,20.725967,0.0
-859.582897,50,21.578652,0.0
-1334.636389,50,22.422021,0.0
-1026.098001,50,23.264515,0.0
-514.956345,50,24.100377,0.0
-1019.370248,50,24.971407,0.0
-1013.199085,50,25.808705,0.0
-860.538861,50,26.669839,0.0
-926.923272,50,27.503752,0.0
-807.544352,50,34.203566,0.0
-575.880427,50,35.041609,0.0
-738.708363,50,35.867635,0.0
-468.998809,50,36.719614,0.0
-469.627458,50,37.548201,0.0
-1908.964149,50,39.292593,0.0
-1260.163466,50,40.136122,0.0
-743.052517,50,40.976721,0.0
-1235.404384,50,41.826141,0.0
-991.709653,50,42.666043,0.0
-755.209054,50,49.288739,0.0
-766.361532,50,50.135629,0.0
-507.858355,50,50.96933,0.0
-606.214456,50,51.812917,0.0
-257.233112,22,52.181776,1.0
-996.110793,50,53.031048,0.0
-490.489082,50,53.861148,0.0
-709.207845,50,54.686719,0.0
-771.545501,50,55.522327,0.0
-579.871472,50,56.355037,0.0
-1086.957911,50,57.194364,0.0
-721.316055,50,63.868423,0.0
-459.767973,50,64.692678,0.0
-629.759744,50,65.513912,0.0
-474.090127,50,66.338821,0.0
-423.224295,25,66.756274,1.0
-615.679193,50,67.583434,0.0
-832.925439,50,68.413523,0.0
-608.485531,50,69.251071,0.0
-684.558038,50,70.076641,0.0
-418.385183,50,70.910016,0.0
-582.420034,50,72.622037,0.0
-487.569305,50,79.207968,0.0
-306.655091,50,80.031632,0.0
-454.430701,50,80.859485,0.0
-345.812571,50,81.691619,0.0
-571.130728,50,82.534936,0.0
-416.243776,50,83.35451,0.0
-740.718437,50,84.176821,0.0
-701.724501,50,84.999985,0.0
-370.412467,50,85.832784,0.0
-518.25321,50,86.656472,0.0
-295.034781,50,93.295625,0.0
-332.089859,50,94.123565,0.0
-417.867262,50,94.94843,0.0
-436.027973,50,95.768748,0.0
-212.21105,24,96.167875,1.0
-479.255162,50,96.995663,0.0
-235.63024,31,97.521263,1.0
-384.531125,50,98.364914,0.0
-258.916519,50,99.190846,0.0
-362.237426,50,100.021117,0.0
-386.936641,50,100.855557,0.0
-247.426589,50,107.463052,0.0
-124.624635,16,107.729605,1.0
-280.212972,50,108.554536,0.0
-398.463192,32,109.080568,1.0
-402.73154,50,109.90579,0.0
-440.572216,50,111.541437,0.0
-726.189988,50,112.38662,0.0
-470.391651,50,113.229497,0.0
-391.866384,50,114.063343,0.0
-369.77168,50,114.889727,0.0
-251.051715,50,115.75365,0.0
-270.344446,50,122.456258,0.0
-396.687517,50,123.292113,0.0
-303.405673,50,124.129436,0.0
-574.312585,50,124.951931,0.0
-519.977061,50,125.781124,0.0
-367.39101,45,126.529468,1.0
-278.53581,50,127.35744,0.0
-305.600833,50,128.183913,0.0
-297.990824,27,128.624384,1.0
-496.571799,50,129.447916,0.0
-258.528505,50,130.260983,0.0
-336.940121,50,136.885117,0.0
-354.379221,50,137.726264,0.0
-253.569342,19,138.04033,1.0
-142.548616,13,138.25669,1.0
-294.549571,50,139.080639,0.0
-276.239774,50,139.909392,0.0
-385.669249,46,140.67144,1.0
-173.544295,18,140.970573,1.0
-413.23361,49,141.772719,1.0
-482.347543,50,142.600594,0.0
-384.906206,48,144.255696,1.0
-465.997402,50,145.09388,0.0
-215.421758,20,145.431086,1.0
-211.242699,36,151.783899,1.0
-132.377918,12,151.985917,1.0
-405.015274,36,152.585203,1.0
-233.77552,42,153.286252,1.0
-519.955001,50,154.109575,0.0
-264.608105,50,154.940486,0.0
-434.81721,50,155.769541,0.0
-415.606076,50,156.602597,0.0
-282.003479,50,157.432118,0.0
-236.120119,14,157.66779,1.0
-181.375244,16,157.931533,1.0
-30.583517,5,158.015335,1.0
-412.713603,50,158.85176,0.0
-374.220641,35,159.436709,1.0
