#{"t_start": 1649983831.8061335, "env_id": "PandaReach-v2"}
r,l,t,is_success
-50.0,50,1.587922,0.0
-50.0,50,2.484852,0.0
-50.0,50,3.474313,0.0
-50.0,50,4.406299,0.0
-50.0,50,5.553675,0.0
-50.0,50,6.586112,0.0
-50.0,50,7.541213,0.0
-50.0,50,8.714685,0.0
-50.0,50,9.894428,0.0
-50.0,50,10.784799,0.0
-50.0,50,17.581727,0.0
-50.0,50,18.823341,0.0
-50.0,50,19.734297,0.0
-50.0,50,20.846541,0.0
-50.0,50,22.087831,0.0
-50.0,50,23.279149,0.0
-50.0,50,24.181655,0.0
-50.0,50,25.120813,0.0
-50.0,50,26.153887,0.0
-50.0,50,27.421127,0.0
-50.0,50,34.399446,0.0
-50.0,50,35.345356,0.0
-50.0,50,36.456325,0.0
-50.0,50,37.340385,0.0
-50.0,50,38.301112,0.0
-50.0,50,40.449028,0.0
-50.0,50,41.34116,0.0
-50.0,50,42.221044,0.0
-50.0,50,43.532386,0.0
-50.0,50,44.5092,0.0
-50.0,50,51.225224,0.0
-50.0,50,52.460972,0.0
-50.0,50,53.4275,0.0
-50.0,50,54.381715,0.0
-50.0,50,55.282335,0.0
-50.0,50,56.198391,0.0
-50.0,50,57.613093,0.0
-50.0,50,58.727149,0.0
-50.0,50,59.695656,0.0
-50.0,50,60.863486,0.0
-50.0,50,67.586932,0.0
-50.0,50,68.531325,0.0
-50.0,50,69.718662,0.0
-50.0,50,70.691179,0.0
-50.0,50,71.586588,0.0
-50.0,50,72.492164,0.0
-50.0,50,73.453847,0.0
-50.0,50,74.45221,0.0
-50.0,50,75.329928,0.0
-50.0,50,76.258044,0.0
-50.0,50,78.504092,0.0
-50.0,50,85.332081,0.0
-50.0,50,86.297637,0.0
-50.0,50,87.838987,0.0
-50.0,50,89.004196,0.0
-50.0,50,90.134135,0.0
-50.0,50,91.151457,0.0
-50.0,50,92.114818,0.0
-50.0,50,93.151445,0.0
-50.0,50,94.07794,0.0
-50.0,50,94.999929,0.0
-50.0,50,101.74996,0.0
-50.0,50,103.262656,0.0
-50.0,50,104.187567,0.0
-50.0,50,105.078919,0.0
-50.0,50,106.595811,0.0
-50.0,50,107.561523,0.0
-50.0,50,108.628336,0.0
-50.0,50,109.635442,0.0
-50.0,50,111.378463,0.0
-50.0,50,112.556232,0.0
-50.0,50,119.344395,0.0
-50.0,50,120.730915,0.0
