#{"t_start": 1649836245.8042169, "env_id": "PandaReach-v2"}
r,l,t,is_success
-50.0,50,1.186675,0.0
-50.0,50,2.053506,0.0
-50.0,50,3.013884,0.0
-50.0,50,3.983288,0.0
-50.0,50,5.17187,0.0
-50.0,50,6.279412,0.0
-50.0,50,7.235331,0.0
-50.0,50,8.429901,0.0
-50.0,50,9.586354,0.0
-50.0,50,10.460765,0.0
-50.0,50,14.030018,0.0
-50.0,50,15.242776,0.0
-50.0,50,16.151333,0.0
-50.0,50,17.212032,0.0
-50.0,50,18.464733,0.0
-50.0,50,19.642064,0.0
-50.0,50,20.589864,0.0
-50.0,50,21.530289,0.0
-50.0,50,22.573718,0.0
-50.0,50,23.79564,0.0
-50.0,50,27.30409,0.0
-50.0,50,28.223323,0.0
-50.0,50,29.366371,0.0
-50.0,50,30.238273,0.0
-50.0,50,31.158304,0.0
-50.0,50,33.088551,0.0
-50.0,50,33.979767,0.0
-50.0,50,34.871995,0.0
-50.0,50,35.905569,0.0
-50.0,50,36.869418,0.0
-50.0,50,40.260026,0.0
-50.0,50,41.523595,0.0
-50.0,50,42.450009,0.0
-50.0,50,43.404005,0.0
-50.0,50,44.303823,0.0
-50.0,50,45.203053,0.0
-50.0,50,46.583526,0.0
-50.0,50,47.534886,0.0
-50.0,50,48.517507,0.0
-50.0,50,49.635708,0.0
-50.0,50,52.937213,0.0
-50.0,50,53.870615,0.0
-50.0,50,54.841784,0.0
-50.0,50,55.976806,0.0
-50.0,50,56.912635,0.0
-50.0,50,58.020975,0.0
-50.0,50,59.005171,0.0
-50.0,50,60.021494,0.0
-50.0,50,60.926526,0.0
-50.0,50,62.250689,0.0
-50.0,50,64.749281,0.0
-50.0,50,68.433258,0.0
-50.0,50,69.659579,0.0
-50.0,50,70.638223,0.0
-50.0,50,71.769408,0.0
-50.0,50,72.710792,0.0
-50.0,50,73.733507,0.0
-50.0,50,74.675185,0.0
-50.0,50,75.709779,0.0
-50.0,50,76.629078,0.0
-50.0,50,77.631887,0.0
-50.0,50,80.957672,0.0
-50.0,50,82.314684,0.0
-50.0,50,83.255374,0.0
-50.0,50,84.123724,0.0
-50.0,50,85.300035,0.0
-50.0,50,86.285436,0.0
-50.0,50,87.304183,0.0
-50.0,50,88.522608,0.0
-50.0,50,89.927433,0.0
-50.0,50,91.253697,0.0
-50.0,50,98.150402,0.0
-50.0,50,99.550169,0.0
-50.0,50,100.491277,0.0
-50.0,50,101.440215,0.0
-50.0,50,103.595885,0.0
-50.0,50,104.506974,0.0
-50.0,50,105.676944,0.0
-50.0,50,106.589556,0.0
-50.0,50,107.487785,0.0
-50.0,50,108.385495,0.0
-50.0,50,115.805079,0.0
-50.0,50,116.817955,0.0
-50.0,50,118.242507,0.0
-50.0,50,119.188793,0.0
-50.0,50,120.520433,0.0
-50.0,50,121.444305,0.0
-50.0,50,122.425581,0.0
-50.0,50,123.40408,0.0
-50.0,50,124.327926,0.0
-50.0,50,125.305831,0.0
-50.0,50,127.096555,0.0
-50.0,50,133.704038,0.0
-50.0,50,134.642403,0.0
-50.0,50,135.96822,0.0
-50.0,50,136.941397,0.0
-50.0,50,138.500524,0.0
-50.0,50,139.491659,0.0
-50.0,50,140.458266,0.0
-50.0,50,141.710394,0.0
-50.0,50,143.670403,0.0
-50.0,50,144.797454,0.0
-50.0,50,151.469266,0.0
-50.0,50,153.080386,0.0
-50.0,50,154.16621,0.0
-50.0,50,155.353987,0.0
-50.0,50,156.841918,0.0
-50.0,50,158.289047,0.0
-50.0,50,159.296022,0.0
-50.0,50,160.259911,0.0
-50.0,50,161.31465,0.0
-50.0,50,162.30564,0.0
-50.0,50,169.343959,0.0
-50.0,50,171.088628,0.0
-50.0,50,172.080361,0.0
-50.0,50,173.003305,0.0
-50.0,50,174.01073,0.0
-50.0,50,175.290471,0.0
-50.0,50,176.370957,0.0
-50.0,50,177.335016,0.0
-50.0,50,178.360424,0.0
-50.0,50,179.516925,0.0
-50.0,50,186.524819,0.0
-50.0,50,187.693087,0.0
-50.0,50,188.67786,0.0
-50.0,50,191.002571,0.0
-50.0,50,191.993629,0.0
-50.0,50,193.132763,0.0
-50.0,50,194.341159,0.0
-50.0,50,195.935802,0.0
-50.0,50,197.316073,0.0
-50.0,50,198.234823,0.0
-50.0,50,199.253191,0.0
-50.0,50,205.994103,0.0
-50.0,50,206.978659,0.0
-50.0,50,207.907331,0.0
-50.0,50,209.355587,0.0
-50.0,50,210.322137,0.0
-50.0,50,211.304735,0.0
-50.0,50,213.005722,0.0
-50.0,50,214.037148,0.0
