#{"t_start": 1650976054.2387438, "env_id": "PandaReach-v2"}
r,l,t,is_success
-631.114694,50,1.329141,0.0
-1355.282452,50,2.212451,0.0
-505.456248,50,3.089356,0.0
-1157.000541,50,3.999878,0.0
-1275.931155,50,5.050333,0.0
-930.82279,50,5.977097,0.0
-691.04286,50,6.86326,0.0
-629.20266,50,7.781678,0.0
-744.782758,50,8.708164,0.0
-681.521821,50,9.613732,0.0
-462.599142,50,16.553828,0.0
-748.58683,50,17.477557,0.0
-772.716323,50,18.394352,0.0
-808.219758,50,19.266436,0.0
-1111.199607,50,20.155077,0.0
-396.167488,50,21.143932,0.0
-1420.107084,50,22.101763,0.0
-846.371146,50,22.993697,0.0
-478.319608,33,23.611074,1.0
-351.872854,50,24.530255,0.0
-773.39637,50,31.29678,0.0
-1100.25259,50,32.24742,0.0
-827.997191,50,33.148936,0.0
-390.705453,38,33.811377,1.0
-1003.592665,50,34.736982,0.0
-1144.391333,50,36.56656,0.0
-667.094365,50,37.462064,0.0
-509.322654,50,38.384817,0.0
-848.148984,50,39.310456,0.0
-1007.89598,50,40.214274,0.0
-418.726192,50,41.097613,0.0
-322.655092,50,47.806083,0.0
-427.504887,50,48.697219,0.0
-899.938165,50,49.664535,0.0
-615.032691,50,50.594027,0.0
-437.813517,50,51.504221,0.0
-327.943277,50,52.40495,0.0
-1336.293339,50,53.613651,0.0
-1118.791522,50,54.521174,0.0
-562.673058,50,55.424509,0.0
-1367.877008,50,56.336323,0.0
-1320.190523,50,63.075905,0.0
-380.425619,50,63.987839,0.0
-1156.138923,50,64.91532,0.0
-443.158912,50,65.87218,0.0
-1062.907882,50,66.839864,0.0
-437.805863,50,67.77915,0.0
-351.130884,50,68.68014,0.0
-556.271141,50,69.63334,0.0
-822.973385,50,70.681025,0.0
-572.804294,50,72.40978,0.0
-1185.906946,50,79.191981,0.0
-884.447605,50,80.12982,0.0
-307.127863,50,81.018206,0.0
-331.894903,50,81.918726,0.0
-369.024383,50,82.822132,0.0
-259.537894,50,83.755496,0.0
-309.324265,50,84.657838,0.0
-282.405926,50,85.58247,0.0
-481.95794,50,86.516228,0.0
-559.741826,50,87.426908,0.0
-400.542242,50,88.354564,0.0
-631.45654,50,95.174136,0.0
-758.061431,50,96.257579,0.0
-975.123452,50,97.354059,0.0
-281.339193,24,97.768136,1.0
-1024.847705,50,98.725296,0.0
-467.665988,50,99.670267,0.0
-669.031663,50,100.56636,0.0
-335.983615,50,101.489937,0.0
-289.109395,50,102.392059,0.0
-957.530771,50,103.309105,0.0
-917.09853,50,110.15243,0.0
-435.321497,50,111.064045,0.0
-578.289237,50,111.951702,0.0
-564.318693,50,113.000324,0.0
-541.244696,50,115.024593,0.0
