#{"t_start": 1650860727.9775066, "env_id": "PandaReach-v2"}
r,l,t,is_success
-16.555531,50,1.135411,0.0
-12.525779,50,2.025497,0.0
-3.717083,50,2.930371,0.0
-25.633733,50,3.837047,0.0
-13.734441,50,4.858541,0.0
-11.388062,50,5.846914,0.0
-13.170396,50,6.738599,0.0
-9.796424,50,7.635016,0.0
-19.963448,50,8.567882,0.0
-14.99096,50,9.44225,0.0
-18.657772,50,16.02998,0.0
-9.259541,50,16.978526,0.0
-14.186469,50,17.853255,0.0
-3.22428,50,18.732324,0.0
-10.932489,50,19.628701,0.0
-10.650591,50,20.537341,0.0
-13.670471,50,21.384553,0.0
-8.683712,50,22.277459,0.0
-13.613843,50,23.191157,0.0
-18.786165,50,24.084233,0.0
-17.629687,50,30.775457,0.0
-11.885046,50,31.651095,0.0
-10.977778,50,32.616445,0.0
-11.810296,50,33.514128,0.0
-7.449266,50,34.426029,0.0
-8.108253,50,36.284574,0.0
-12.226365,50,37.160957,0.0
-5.530865,50,38.014166,0.0
-8.137031,50,39.157499,0.0
-14.240481,50,40.035444,0.0
-11.412801,50,46.699781,0.0
-17.715633,50,47.618416,0.0
-13.013181,50,48.539276,0.0
-4.577459,50,49.454543,0.0
-13.16484,50,50.346502,0.0
-8.251758,50,51.284302,0.0
-6.028822,50,52.226054,0.0
-10.580922,50,53.190508,0.0
-10.78823,50,54.147712,0.0
-4.595012,50,55.121264,0.0
-5.190941,50,61.625615,0.0
-7.479514,50,62.88507,0.0
-7.207802,50,63.844961,0.0
-10.71487,50,64.796428,0.0
-7.711827,50,65.710938,0.0
-5.831746,50,66.590615,0.0
-7.251645,50,67.514195,0.0
-9.51715,50,68.450513,0.0
-11.727744,50,69.337488,0.0
-14.001507,50,70.525186,0.0
-11.196626,50,72.533984,0.0
-13.587857,50,76.549431,0.0
-9.048241,50,77.481558,0.0
-10.798301,50,78.449965,0.0
-6.452576,50,79.397767,0.0
-12.009383,50,80.321566,0.0
-8.299404,50,81.380967,0.0
-3.244365,50,82.403866,0.0
-3.875148,50,83.494856,0.0
-7.2417,50,84.563757,0.0
-13.606623,50,85.50275,0.0
-13.770445,50,88.803544,0.0
-13.023289,50,89.751929,0.0
-14.000299,50,90.646166,0.0
-14.672734,50,91.491065,0.0
-8.919812,50,92.433589,0.0
-6.496871,50,93.340094,0.0
-8.252031,50,94.285677,0.0
-6.102232,50,95.238703,0.0
-12.767622,50,96.233187,0.0
-5.769465,50,97.212096,0.0
-5.563527,50,100.555747,0.0
-10.081259,50,101.502937,0.0
-10.344905,50,102.447577,0.0
-5.434817,50,103.403234,0.0
-7.973961,50,105.5467,0.0
-6.749171,50,106.491238,0.0
-4.04012,50,107.49704,0.0
-14.285659,50,108.488508,0.0
-8.228009,50,109.450139,0.0
-7.579526,50,110.386267,0.0
-7.201552,50,113.736233,0.0
-9.541235,50,114.701881,0.0
-0.76168,9,114.883843,1.0
-3.95569,50,115.811789,0.0
-10.207333,50,116.807986,0.0
-11.718743,50,117.776303,0.0
-9.510208,50,118.744906,0.0
-8.977131,50,119.708014,0.0
-4.712787,50,120.705442,0.0
-1.323774,13,120.965669,1.0
-11.934816,50,121.962056,0.0
-6.077487,50,122.887805,0.0
-10.234906,50,126.385451,0.0
-4.438096,50,127.44749,0.0
-4.048921,50,128.459871,0.0
-5.393769,50,129.416872,0.0
-11.721781,50,130.362513,0.0
-13.878496,50,131.313351,0.0
-6.936378,50,132.225163,0.0
-10.992055,50,133.321296,0.0
-3.864008,50,135.373904,0.0
-4.789497,50,136.304245,0.0
-9.277928,50,139.81032,0.0
-7.028386,50,140.774681,0.0
-6.881314,50,141.762821,0.0
-10.112789,50,142.704575,0.0
-6.57782,50,143.759678,0.0
-9.777257,50,144.763684,0.0
-15.786236,50,145.701442,0.0
-5.795364,50,146.610026,0.0
-10.611905,50,147.578835,0.0
-3.996916,50,148.52672,0.0
-4.115635,50,149.501521,0.0
-3.990363,50,152.907521,0.0
-5.822576,50,153.886292,0.0
-8.34462,50,154.866123,0.0
-14.053584,50,155.753159,0.0
-3.447728,50,156.661932,0.0
-4.475439,50,157.555508,0.0
-3.98094,50,158.506823,0.0
-10.609307,50,159.505674,0.0
-2.881846,50,160.440837,0.0
-3.321467,50,161.424098,0.0
-10.073513,50,164.738839,0.0
-3.814297,50,165.714766,0.0
-8.750618,50,167.834015,0.0
-3.756137,50,168.759254,0.0
-9.071197,50,169.752683,0.0
-6.451149,50,170.691181,0.0
-5.812374,50,171.77535,0.0
-10.678609,50,172.952271,0.0
-10.670962,50,173.928055,0.0
-5.770392,50,174.912598,0.0
-9.863327,50,178.245679,0.0
-0.800121,12,178.469126,1.0
-13.530458,50,179.410319,0.0
-3.295562,50,180.34042,0.0
-11.74172,50,181.29121,0.0
-5.823132,50,182.241421,0.0
-10.218272,50,183.193041,0.0
-6.128987,50,184.155841,0.0
-5.470659,50,185.322396,0.0
-4.323674,50,186.302211,0.0
-12.06204,50,187.360795,0.0
-1.482879,23,187.818219,1.0
-13.041293,50,191.423734,0.0
-13.223333,50,192.331928,0.0
-9.537816,50,193.353449,0.0
-3.332816,50,194.323888,0.0
-6.076166,50,195.363335,0.0
-4.158603,50,196.394052,0.0
-3.661343,50,198.30953,0.0
-4.545315,50,199.422132,0.0
-10.952305,50,200.396781,0.0
-12.6235,50,201.357638,0.0
-4.594994,50,208.055873,0.0
-12.142133,50,209.039108,0.0
-6.290191,50,209.979222,0.0
-7.156069,50,210.990841,0.0
-11.451024,50,212.051972,0.0
-12.990121,50,212.941779,0.0
-6.900034,50,213.878135,0.0
-6.458555,50,214.838289,0.0
-10.501532,50,215.905448,0.0
-5.025139,50,216.916652,0.0
-3.335837,50,223.618573,0.0
-3.413225,50,224.556711,0.0
-6.138349,50,225.507773,0.0
-3.072971,50,226.62123,0.0
-8.159866,50,227.606233,0.0
-11.895004,50,228.739621,0.0
-4.445667,50,230.001102,0.0
-11.193237,50,231.000954,0.0
-3.402122,50,231.989754,0.0
-6.438544,50,232.976899,0.0
-3.845577,50,239.655275,0.0
-11.82737,50,241.646446,0.0
-2.883941,50,242.60325,0.0
-8.202001,50,243.543363,0.0
-7.253892,50,244.628158,0.0
-6.041683,50,245.723336,0.0
-8.155504,50,246.748066,0.0
-7.809636,50,247.859285,0.0
-7.591759,50,248.881448,0.0
-8.199333,50,249.798326,0.0
-4.865335,50,250.895041,0.0
-2.504513,50,257.629981,0.0
-7.633833,50,258.590324,0.0
-7.791656,50,259.556827,0.0
-3.544817,50,260.533532,0.0
-2.297451,50,261.438121,0.0
-3.357801,50,262.431941,0.0
-3.492318,50,263.465654,0.0
-2.188922,50,264.421459,0.0
-5.228708,50,265.378645,0.0
-4.207628,50,266.337572,0.0
-3.101835,50,273.216255,0.0
-10.708856,50,274.13502,0.0
-6.1666,50,275.132067,0.0
-13.044622,50,276.053654,0.0
-14.252354,50,276.975097,0.0
-5.541927,50,278.772405,0.0
-5.268802,50,279.72244,0.0
-6.269754,50,280.658654,0.0
-2.748202,50,281.613946,0.0
-9.242949,50,282.559095,0.0
-2.566014,50,289.29462,0.0
-4.462507,50,290.298042,0.0
-9.231914,50,291.225527,0.0
-5.038163,50,292.183477,0.0
-9.742257,50,293.217457,0.0
-3.210431,50,294.173887,0.0
-7.982004,50,295.164146,0.0
-10.383547,50,296.344655,0.0
-2.048481,50,297.488172,0.0
-9.355643,50,298.449058,0.0
-2.35461,45,299.322039,1.0
-10.253835,50,306.271513,0.0
-10.305263,50,307.377548,0.0
-2.34472,35,308.078239,1.0
-5.758781,50,309.028406,0.0
-6.79577,50,309.9705,0.0
-13.528529,50,310.932459,0.0
-3.810308,50,311.938421,0.0
-4.45981,50,312.953388,0.0
-10.832285,50,314.024427,0.0
-0.125956,3,314.083115,1.0
-8.489304,50,315.025628,0.0
-4.634768,50,322.736835,0.0
-2.644479,50,323.736675,0.0
-1.863655,35,324.383879,1.0
-4.213083,50,325.319256,0.0
-7.861073,50,326.314319,0.0
-3.835631,50,327.254048,0.0
-12.836397,50,328.179438,0.0
-14.865293,50,329.141506,0.0
-14.943972,50,330.07747,0.0
-12.782803,50,330.995829,0.0
-14.220054,50,331.95162,0.0
-2.468934,50,338.696086,0.0
-5.734462,50,339.730687,0.0
