#{"t_start": 1650887191.1498275, "env_id": "PandaReach-v2"}
r,l,t,is_success
-50.0,50,0.960121,0.0
-50.0,50,1.897109,0.0
-50.0,50,2.848359,0.0
-50.0,50,3.795506,0.0
-50.0,50,4.765058,0.0
-50.0,50,5.698829,0.0
-50.0,50,6.69559,0.0
-50.0,50,7.616221,0.0
-50.0,50,8.551635,0.0
-50.0,50,9.484586,0.0
-50.0,50,16.146636,0.0
-50.0,50,17.15052,0.0
-50.0,50,18.059199,0.0
-50.0,50,18.991115,0.0
-50.0,50,19.96894,0.0
-50.0,50,20.919859,0.0
-50.0,50,21.78816,0.0
-50.0,50,22.715603,0.0
-50.0,50,23.690597,0.0
-50.0,50,24.67526,0.0
-50.0,50,31.42241,0.0
-50.0,50,32.329317,0.0
-50.0,50,33.268013,0.0
-50.0,50,34.164023,0.0
-50.0,50,35.190335,0.0
-50.0,50,37.304063,0.0
-50.0,50,38.219549,0.0
-50.0,50,39.109548,0.0
-50.0,50,40.042569,0.0
-50.0,50,40.990393,0.0
-50.0,50,47.669286,0.0
-50.0,50,48.630803,0.0
-50.0,50,49.538503,0.0
-50.0,50,50.468341,0.0
-50.0,50,51.37287,0.0
-50.0,50,52.292856,0.0
-50.0,50,53.260675,0.0
-50.0,50,54.203772,0.0
-50.0,50,55.170716,0.0
-50.0,50,56.178313,0.0
-50.0,50,62.86617,0.0
-27.0,28,63.390091,1.0
-50.0,50,64.364923,0.0
-50.0,50,65.421764,0.0
-50.0,50,66.412863,0.0
-32.0,33,67.070358,1.0
-50.0,50,68.041563,0.0
-50.0,50,69.055854,0.0
-50.0,50,70.026103,0.0
-50.0,50,70.948522,0.0
-50.0,50,73.162645,0.0
-50.0,50,79.908621,0.0
-50.0,50,80.856668,0.0
-50.0,50,81.882825,0.0
-50.0,50,82.85845,0.0
-50.0,50,83.809727,0.0
-50.0,50,84.804122,0.0
-50.0,50,85.755872,0.0
-50.0,50,86.808729,0.0
-50.0,50,87.758488,0.0
-50.0,50,88.718794,0.0
-50.0,50,89.704162,0.0
-50.0,50,96.379524,0.0
-50.0,50,97.290936,0.0
-50.0,50,98.172211,0.0
-50.0,50,99.054203,0.0
-50.0,50,100.001005,0.0
-50.0,50,100.928799,0.0
-50.0,50,101.900569,0.0
-50.0,50,102.873325,0.0
-50.0,50,103.871831,0.0
-50.0,50,104.899845,0.0
-50.0,50,111.599864,0.0
-50.0,50,112.575277,0.0
-50.0,50,113.555292,0.0
-50.0,50,115.736194,0.0
-50.0,50,116.736089,0.0
-50.0,50,117.713004,0.0
-50.0,50,118.64852,0.0
-50.0,50,119.557053,0.0
-50.0,50,120.519795,0.0
-50.0,50,121.51417,0.0
-50.0,50,128.298378,0.0
-50.0,50,129.236105,0.0
-50.0,50,130.24311,0.0
-50.0,50,131.251893,0.0
-50.0,50,132.18096,0.0
-50.0,50,133.179082,0.0
-50.0,50,134.245593,0.0
-50.0,50,135.188026,0.0
-50.0,50,136.163741,0.0
-50.0,50,137.164891,0.0
-50.0,50,143.885772,0.0
-50.0,50,144.83044,0.0
-50.0,50,145.826226,0.0
-50.0,50,146.799076,0.0
-50.0,50,147.800077,0.0
-50.0,50,148.774173,0.0
-50.0,50,149.705075,0.0
-50.0,50,150.703918,0.0
-50.0,50,152.668923,0.0
-50.0,50,153.613772,0.0
-50.0,50,154.614179,0.0
-50.0,50,161.42581,0.0
-50.0,50,162.460757,0.0
-50.0,50,163.475887,0.0
-50.0,50,164.465771,0.0
-50.0,50,165.442106,0.0
-50.0,50,166.574138,0.0
-50.0,50,167.532169,0.0
-50.0,50,168.779721,0.0
-50.0,50,169.750849,0.0
-5.0,6,169.866245,1.0
-50.0,50,170.797225,0.0
-50.0,50,177.510717,0.0
-50.0,50,178.493921,0.0
-50.0,50,179.479497,0.0
-50.0,50,180.537822,0.0
-50.0,50,181.505946,0.0
-50.0,50,182.431565,0.0
-50.0,50,183.361219,0.0
-50.0,50,184.33771,0.0
-50.0,50,185.303566,0.0
-50.0,50,186.286726,0.0
-50.0,50,193.125534,0.0
-50.0,50,194.096343,0.0
-50.0,50,196.658005,0.0
-50.0,50,197.749996,0.0
-50.0,50,198.792685,0.0
-50.0,50,199.768592,0.0
-50.0,50,200.727609,0.0
-50.0,50,201.681802,0.0
-50.0,50,202.705466,0.0
-50.0,50,203.635083,0.0
-50.0,50,210.337297,0.0
-50.0,50,211.328936,0.0
-50.0,50,212.348002,0.0
-50.0,50,213.321466,0.0
-50.0,50,214.330492,0.0
-50.0,50,215.283493,0.0
-50.0,50,216.312949,0.0
-50.0,50,217.263264,0.0
-50.0,50,218.190184,0.0
-50.0,50,219.181793,0.0
-50.0,50,220.208094,0.0
-50.0,50,226.929319,0.0
-50.0,50,227.94768,0.0
-50.0,50,228.946985,0.0
-50.0,50,229.872435,0.0
-50.0,50,230.807093,0.0
-50.0,50,231.773192,0.0
-50.0,50,233.696305,0.0
-50.0,50,234.764588,0.0
-50.0,50,235.748031,0.0
-50.0,50,236.760079,0.0
-50.0,50,243.462951,0.0
-50.0,50,244.496165,0.0
-50.0,50,245.476891,0.0
-50.0,50,246.410304,0.0
-50.0,50,247.315058,0.0
-50.0,50,248.253937,0.0
-50.0,50,249.19152,0.0
-50.0,50,250.158126,0.0
-50.0,50,251.085999,0.0
-50.0,50,251.998645,0.0
-50.0,50,258.739534,0.0
-50.0,50,259.797373,0.0
-50.0,50,260.753826,0.0
-50.0,50,261.756725,0.0
-50.0,50,262.847733,0.0
-50.0,50,263.837234,0.0
-50.0,50,264.833622,0.0
-50.0,50,265.834892,0.0
-50.0,50,266.823397,0.0
-50.0,50,267.780107,0.0
-50.0,50,274.545248,0.0
-50.0,50,276.550229,0.0
-50.0,50,277.621743,0.0
-50.0,50,278.590346,0.0
-50.0,50,279.543279,0.0
-50.0,50,280.650874,0.0
-50.0,50,281.620392,0.0
-50.0,50,282.627461,0.0
-50.0,50,283.673479,0.0
