#{"t_start": 1649960487.9843442, "env_id": "PandaReach-v2"}
r,l,t,is_success
-20.961338,50,1.183845,0.0
-10.09514,50,2.08058,0.0
-21.122831,50,3.088298,0.0
-7.172446,50,4.016667,0.0
-41.322412,50,5.163015,0.0
-12.719585,50,6.201773,0.0
-24.894338,50,7.163035,0.0
-35.494758,50,8.366049,0.0
-21.296119,50,9.551072,0.0
-7.720342,50,10.444745,0.0
-20.596451,50,17.156528,0.0
-9.799523,50,18.385822,0.0
-27.274296,50,19.291387,0.0
-28.500283,50,20.439296,0.0
-32.234648,50,21.642704,0.0
-8.898958,50,22.828727,0.0
-11.41735,50,23.721835,0.0
-12.022409,50,24.636585,0.0
-4.796379,50,25.675441,0.0
-9.567751,50,27.016481,0.0
-17.734441,50,33.86843,0.0
-17.199713,50,34.774169,0.0
-18.925643,50,35.912087,0.0
-12.650521,50,36.82299,0.0
-6.60499,50,37.787111,0.0
-21.031301,50,39.85122,0.0
-24.893891,50,40.741839,0.0
-11.63315,50,41.642169,0.0
-17.282719,50,42.928157,0.0
-21.392651,50,43.838351,0.0
-5.776356,50,50.585772,0.0
-6.082325,50,51.907044,0.0
-21.532616,50,52.855653,0.0
-21.88771,50,53.793025,0.0
-23.363671,50,54.725287,0.0
-24.186822,50,55.617981,0.0
-22.112674,50,57.037673,0.0
-9.980401,50,57.985824,0.0
-16.042968,50,58.928867,0.0
-18.410458,50,60.10642,0.0
-20.122138,50,66.895722,0.0
-16.101,50,67.865348,0.0
-22.613656,50,68.833025,0.0
-5.976005,50,70.037868,0.0
-7.170557,50,70.99354,0.0
-11.65826,50,72.127216,0.0
-9.643309,50,73.116439,0.0
-11.588359,50,74.06718,0.0
-14.454712,50,74.980241,0.0
-17.448014,50,76.313548,0.0
-7.188977,50,78.977111,0.0
-11.606813,50,86.014862,0.0
-19.421517,50,87.308896,0.0
-13.382728,50,88.27884,0.0
-27.728844,50,89.431019,0.0
-11.728557,50,90.347801,0.0
-4.95006,50,91.297747,0.0
-14.881819,50,92.490101,0.0
-6.587676,50,93.639664,0.0
-12.120258,50,94.571343,0.0
-16.831573,50,95.497709,0.0
-9.315812,50,102.255185,0.0
-13.684391,50,103.388772,0.0
-12.493537,50,104.279153,0.0
-9.050955,50,105.151987,0.0
-3.919001,22,105.625031,1.0
-5.458288,50,106.693813,0.0
-15.331856,50,108.171317,0.0
-16.256359,50,109.380483,0.0
-12.09872,50,110.830528,0.0
-14.23277,50,112.057851,0.0
-16.161606,50,113.20317,0.0
-11.593807,50,120.129926,0.0
-17.825785,50,121.761186,0.0
-9.185897,50,122.881461,0.0
-16.054774,50,125.42453,0.0
-5.079896,50,126.477786,0.0
-20.862011,50,127.41817,0.0
-8.640987,50,128.326864,0.0
-14.117285,50,129.252437,0.0
