#{"t_start": 1650857149.8122911, "env_id": "PandaReach-v2"}
r,l,t,is_success
-5.981172,50,1.367955,0.0
-6.1955,50,2.310528,0.0
-11.28335,50,3.262941,0.0
-23.049071,50,4.208168,0.0
-8.811004,50,5.173431,0.0
-16.619478,50,6.101242,0.0
-19.126816,50,7.090887,0.0
-16.153837,50,8.012564,0.0
-20.066807,50,8.96311,0.0
-20.119426,50,9.912765,0.0
-15.940637,50,16.495954,0.0
-13.681463,50,17.43429,0.0
-14.120599,50,18.325098,0.0
-8.436575,50,19.225647,0.0
-13.555982,50,20.184434,0.0
-13.893126,50,21.127335,0.0
-4.820035,50,21.98713,0.0
-7.073489,50,22.892886,0.0
-6.213886,50,23.859691,0.0
-12.325234,50,24.810494,0.0
-5.584252,50,31.465598,0.0
-16.400342,50,32.349821,0.0
-7.685213,50,33.262226,0.0
-8.916936,50,34.139102,0.0
-7.88267,50,35.065282,0.0
-10.043517,50,37.261803,0.0
-5.2346,50,38.123621,0.0
-17.192139,50,38.984771,0.0
-6.912095,50,39.906709,0.0
-12.642745,50,40.788036,0.0
-5.598185,50,47.446842,0.0
-8.188009,50,48.370924,0.0
-10.68874,50,49.241022,0.0
-5.779434,50,50.155135,0.0
-15.572282,50,51.022461,0.0
-4.50179,50,51.906228,0.0
-10.681931,50,52.843551,0.0
-4.895471,50,53.748881,0.0
-15.939416,50,54.646029,0.0
-5.815763,50,55.582918,0.0
-7.824419,50,62.245316,0.0
-5.246889,50,63.151924,0.0
-12.450426,50,64.042052,0.0
-5.636033,50,64.977044,0.0
-6.789739,50,65.851722,0.0
-6.195211,50,66.738331,0.0
-15.348603,50,67.654716,0.0
-6.303356,50,68.58588,0.0
-4.921786,50,69.426876,0.0
-5.148088,50,70.339212,0.0
-14.869075,50,72.553596,0.0
-15.578511,50,79.256196,0.0
-11.851834,50,80.160044,0.0
-9.553509,50,81.08927,0.0
-13.885906,50,81.981539,0.0
-5.079238,50,82.873792,0.0
-5.987748,50,83.76319,0.0
-6.318702,50,84.643854,0.0
-6.458492,50,85.556039,0.0
-6.37709,50,86.451032,0.0
-6.874102,50,87.353681,0.0
-4.366727,50,93.988529,0.0
-4.735079,50,94.856746,0.0
-13.699772,50,95.724067,0.0
-6.549392,50,96.562738,0.0
-4.967303,50,97.440556,0.0
-4.565628,50,98.315742,0.0
-5.419959,50,99.19467,0.0
-3.756809,50,100.092676,0.0
-4.856783,50,100.993232,0.0
-5.316275,50,101.901382,0.0
-5.581588,50,108.53488,0.0
-6.354744,50,109.398928,0.0
-6.407927,50,110.275059,0.0
-8.729118,50,111.148855,0.0
-5.235721,50,112.909186,0.0
-5.045545,50,113.845695,0.0
-4.243837,50,114.746039,0.0
-9.691497,50,115.596749,0.0
-5.722017,50,116.445455,0.0
-5.029777,50,117.336177,0.0
-5.270555,50,123.997947,0.0
-8.439838,50,124.867888,0.0
-15.393418,50,125.739731,0.0
-3.389525,50,126.59793,0.0
-5.462906,50,127.504277,0.0
-7.491224,50,128.372109,0.0
-3.68761,50,129.238747,0.0
-3.758093,50,130.098742,0.0
-4.844428,50,130.962618,0.0
-4.902806,50,131.853591,0.0
-4.766517,50,132.754685,0.0
-6.276157,50,139.392884,0.0
-8.405462,50,140.263834,0.0
-7.822032,50,141.137413,0.0
-14.46096,50,142.021215,0.0
-3.630875,50,142.895898,0.0
-3.805856,50,143.774874,0.0
-3.590265,50,144.646658,0.0
-4.418394,50,145.515245,0.0
-7.909594,50,147.289868,0.0
-12.272754,50,148.169975,0.0
-3.931451,50,154.811887,0.0
-13.56392,50,155.689395,0.0
-2.991868,50,156.559262,0.0
-4.278413,50,157.431442,0.0
-2.171725,30,157.936623,1.0
-0.295423,8,158.072558,1.0
-13.622527,50,158.93719,0.0
-3.941113,50,159.833157,0.0
-4.657129,50,160.687491,0.0
-3.20024,50,161.572807,0.0
-3.726041,50,162.442706,0.0
-3.839722,50,169.059937,0.0
-4.389035,50,169.94125,0.0
-11.632926,50,170.804644,0.0
-3.827123,50,171.681238,0.0
-4.009479,50,172.558908,0.0
-3.644085,50,173.40577,0.0
-10.757758,50,174.264632,0.0
-3.594527,50,175.124861,0.0
-4.104385,50,175.976118,0.0
-4.153265,50,176.827287,0.0
-14.539983,50,177.707346,0.0
-14.841906,50,184.334287,0.0
-5.746327,50,185.17804,0.0
-3.952247,50,186.752843,0.0
-7.42084,50,187.613945,0.0
-11.106615,50,188.478293,0.0
-10.149916,50,189.339099,0.0
-4.244105,50,190.183957,0.0
-4.697131,50,191.049307,0.0
-5.651485,50,191.892453,0.0
-3.971701,50,192.747259,0.0
-14.632375,50,198.267723,0.0
-5.842786,50,199.118444,0.0
-4.058402,50,199.973777,0.0
-11.149289,50,200.83273,0.0
-4.569162,50,201.687459,0.0
-3.718438,50,202.5417,0.0
-3.718003,50,203.395289,0.0
-5.312642,50,204.250327,0.0
-3.883479,50,205.112244,0.0
-11.511362,50,205.985482,0.0
-3.979818,50,209.715477,0.0
-4.823441,50,210.555825,0.0
-3.487404,50,211.407481,0.0
-1.884913,27,211.863119,1.0
-8.421027,50,212.704422,0.0
-5.543352,50,213.539987,0.0
-4.861027,50,214.421604,0.0
-4.333418,50,216.097025,0.0
-2.893526,50,216.95002,0.0
-3.18616,50,217.856182,0.0
-8.0169,50,218.717086,0.0
-2.811424,50,225.288155,0.0
-3.656366,50,226.134443,0.0
-9.866312,50,226.990304,0.0
-3.048499,50,227.838878,0.0
-14.252399,50,228.680547,0.0
-2.445447,29,229.169344,1.0
-2.835635,50,230.025837,0.0
-5.307878,50,230.871729,0.0
-10.967321,50,231.740169,0.0
-3.017235,50,232.588475,0.0
-2.960351,50,239.265292,0.0
-3.751716,50,240.11717,0.0
-11.693084,50,240.979967,0.0
-12.682673,50,241.829949,0.0
-2.798033,50,242.675767,0.0
-12.901523,50,243.531825,0.0
-13.604446,50,244.394683,0.0
-3.493669,50,245.240486,0.0
-3.658171,50,246.095623,0.0
-1.170358,20,246.444438,1.0
-3.26643,50,247.302098,0.0
-3.254875,50,253.91471,0.0
-5.697104,50,255.555058,0.0
-9.362227,50,256.406932,0.0
-2.757088,50,257.263713,0.0
-3.789449,50,258.125068,0.0
-1.456825,23,258.510884,1.0
-14.073712,50,259.364045,0.0
-12.448321,50,260.211068,0.0
-7.747753,50,261.0538,0.0
