#{"t_start": 1651011312.5519893, "env_id": "PandaReach-v2"}
r,l,t,is_success
-18.268974,50,0.932475,0.0
-11.480973,50,1.801164,0.0
-22.265103,50,2.694039,0.0
-9.702759,50,3.576694,0.0
-31.932266,50,4.45618,0.0
-13.881685,50,5.32988,0.0
-25.749438,50,6.191523,0.0
-34.628523,50,7.090239,0.0
-14.514006,50,7.973617,0.0
-13.82202,50,8.864578,0.0
-17.179899,50,15.620143,0.0
-5.727426,50,16.529722,0.0
-23.625635,50,17.394902,0.0
-21.905723,50,18.276647,0.0
-32.621404,50,19.151732,0.0
-10.154385,50,20.002124,0.0
-14.010305,50,20.898537,0.0
-11.861962,50,21.791936,0.0
-8.429363,50,22.698766,0.0
-11.126832,50,23.578405,0.0
-14.375734,50,30.381522,0.0
-13.503624,50,31.256831,0.0
-13.424481,50,32.141916,0.0
-9.206564,50,33.061298,0.0
-5.07486,50,33.942266,0.0
-12.506688,50,35.737183,0.0
-13.699258,50,36.672217,0.0
-11.71935,50,37.56837,0.0
-11.945581,50,38.479442,0.0
-15.522113,50,39.438732,0.0
-3.910531,40,46.046728,1.0
-9.362336,50,46.9597,0.0
-7.873391,50,47.893104,0.0
-11.557668,50,48.809268,0.0
-14.487411,50,49.726425,0.0
-9.758463,50,50.61857,0.0
-15.213119,50,51.531209,0.0
-11.139473,50,52.417367,0.0
-9.841817,50,53.302572,0.0
-9.454095,50,54.258091,0.0
-17.01665,50,55.174911,0.0
-11.602218,50,61.978986,0.0
-16.603254,50,62.931062,0.0
-13.659439,50,63.871846,0.0
-6.560746,50,64.775195,0.0
-12.383983,50,65.71406,0.0
-11.546116,50,66.651855,0.0
-13.043496,50,67.60149,0.0
-9.655219,50,68.530113,0.0
-4.497739,23,68.944008,1.0
-8.250677,50,70.826189,0.0
-5.026439,50,77.655396,0.0
-9.63749,50,78.566068,0.0
-10.861188,50,79.523389,0.0
-11.329971,50,80.459821,0.0
-5.099374,50,81.427573,0.0
-15.192724,50,82.408938,0.0
-8.814401,50,83.321336,0.0
-13.052796,50,84.286096,0.0
-10.851769,50,85.236665,0.0
-8.350278,50,86.174922,0.0
-4.473898,50,87.163378,0.0
-7.17458,50,93.988938,0.0
-9.063894,50,94.949277,0.0
-6.531285,31,95.527113,1.0
-5.839731,50,96.505009,0.0
-3.678651,45,97.408529,1.0
-3.928853,50,98.407126,0.0
-14.126953,50,99.352903,0.0
-11.5642,50,100.344776,0.0
-7.441524,50,101.307053,0.0
-8.477457,50,102.219754,0.0
-7.055151,50,109.009072,0.0
-8.240405,50,109.931804,0.0
-6.362002,50,110.90049,0.0
-4.858914,38,111.7183,1.0
-6.243752,50,113.832772,0.0
-4.466867,50,114.779485,0.0
-9.195092,50,115.713178,0.0
-9.895106,50,116.669862,0.0
-5.644793,50,117.651767,0.0
-12.311231,50,118.615993,0.0
-9.005445,50,119.691906,0.0
-5.166173,50,126.60436,0.0
-7.261725,50,127.575667,0.0
-2.391647,20,127.943336,1.0
-6.968946,50,128.903317,0.0
-6.593712,50,129.960325,0.0
-4.581735,50,130.94594,0.0
-13.26124,50,131.939713,0.0
-8.062136,50,132.95204,0.0
-12.578017,50,133.945705,0.0
-4.550255,50,134.846417,0.0
-3.909594,50,135.773078,0.0
-11.721679,50,142.621578,0.0
-6.726136,50,143.616372,0.0
-5.257996,50,144.597418,0.0
-7.437708,50,145.559163,0.0
-6.089463,50,146.560645,0.0
-4.694261,50,147.59145,0.0
-9.23685,50,148.55949,0.0
-3.922831,50,149.524886,0.0
-6.452393,50,151.659921,0.0
-4.283345,50,152.606936,0.0
-4.50284,50,159.382192,0.0
-4.264192,39,160.121236,1.0
-4.867072,44,160.950931,1.0
-3.750958,50,161.910376,0.0
-7.082999,50,162.872226,0.0
-5.747974,50,163.847525,0.0
-12.611212,50,164.817329,0.0
-2.443641,26,165.359765,1.0
-4.295543,50,166.324857,0.0
-11.531475,50,167.467993,0.0
-3.804362,50,168.426898,0.0
-12.150278,50,175.261161,0.0
-10.905883,50,176.217155,0.0
-4.478306,50,177.151896,0.0
-6.076852,50,178.135509,0.0
-4.087263,50,179.131781,0.0
-5.54476,50,180.13335,0.0
-9.48073,50,181.153241,0.0
-5.791483,50,182.105512,0.0
-5.077744,45,183.004637,1.0
-3.869896,50,184.014102,0.0
-7.204309,50,190.899957,0.0
-3.691314,50,191.832586,0.0
-7.88469,50,193.697237,0.0
-5.893741,50,194.752473,0.0
-4.583685,50,195.778455,0.0
-4.446118,50,196.724098,0.0
-4.384687,50,197.695585,0.0
-2.417066,49,198.758994,1.0
-8.174481,50,199.787408,0.0
-4.567391,50,200.790122,0.0
-6.2157,50,201.796953,0.0
-4.295517,50,208.734946,0.0
-9.157499,50,209.72899,0.0
-5.577647,44,210.739432,1.0
-2.772265,12,210.979006,1.0
-2.568985,50,211.985544,0.0
-1.95052,29,212.626593,1.0
-5.753657,50,213.643909,0.0
-6.792409,50,214.616992,0.0
-4.499987,50,215.618591,0.0
-11.117311,50,216.715111,0.0
-5.118547,50,217.78449,0.0
-4.739537,50,224.550627,0.0
-10.527199,50,225.63876,0.0
-2.43124,50,226.660638,0.0
-3.899816,50,227.652138,0.0
-13.145932,50,228.697944,0.0
-4.039864,50,229.76715,0.0
-2.49892,11,229.986505,1.0
-11.995594,50,230.984717,0.0
-5.373755,50,233.013407,0.0
-5.09781,46,233.962545,1.0
-3.175408,50,234.969683,0.0
-2.617057,18,235.330876,1.0
