#{"t_start": 1649956874.8178813, "env_id": "PandaReach-v2"}
r,l,t,is_success
-13.107691,50,1.381244,0.0
-22.923922,50,2.241271,0.0
-18.365199,50,3.126788,0.0
-10.78405,50,3.998649,0.0
-28.358187,50,4.861452,0.0
-21.170429,50,5.716786,0.0
-11.6291,50,6.569648,0.0
-30.301571,50,7.444893,0.0
-29.252539,50,8.364909,0.0
-24.351028,50,9.240404,0.0
-13.605319,50,15.865848,0.0
-24.51597,50,16.765283,0.0
-11.596276,50,17.638109,0.0
-20.763971,50,18.504215,0.0
-15.374247,50,19.356601,0.0
-29.316546,50,20.205842,0.0
-20.448091,50,21.094217,0.0
-13.015082,50,21.947999,0.0
-17.834867,50,22.815094,0.0
-19.103764,50,23.663285,0.0
-10.846351,50,30.311831,0.0
-15.265892,50,31.176672,0.0
-18.141174,50,32.013985,0.0
-13.575221,50,32.861826,0.0
-19.22187,50,33.725951,0.0
-13.222319,50,35.469383,0.0
-19.336987,50,36.334604,0.0
-20.836123,50,37.191812,0.0
-11.495616,50,38.050993,0.0
-14.103038,50,38.895525,0.0
-10.67531,50,45.539557,0.0
-16.79144,50,46.51626,0.0
-13.408903,50,47.403949,0.0
-24.121574,50,48.266886,0.0
-9.338646,50,49.16993,0.0
-17.625242,50,50.001781,0.0
-8.178806,50,50.877557,0.0
-19.506528,50,51.747239,0.0
-17.122494,50,52.589649,0.0
-15.144192,50,53.439404,0.0
-11.819642,50,60.060272,0.0
-14.759024,50,60.907578,0.0
-5.203257,50,61.744887,0.0
-14.278424,50,62.595582,0.0
-8.934434,50,63.44406,0.0
-9.617285,50,64.313171,0.0
-8.835702,50,65.160515,0.0
-10.830545,50,66.005663,0.0
-15.929605,50,66.844691,0.0
-12.462065,50,67.690522,0.0
-11.393821,50,69.452149,0.0
-10.203851,50,76.08574,0.0
-7.113982,50,76.924742,0.0
-9.778393,50,77.7757,0.0
-11.201599,50,78.620489,0.0
-6.185128,50,79.4724,0.0
-3.229179,21,79.83517,1.0
-7.799976,50,80.670159,0.0
-6.401101,50,81.524283,0.0
-10.320829,50,82.384031,0.0
-14.81371,50,83.234605,0.0
-9.069017,50,84.099986,0.0
-10.816907,50,90.768338,0.0
-15.104236,50,91.611068,0.0
-14.248738,50,92.471318,0.0
-7.332361,50,93.336823,0.0
-7.118598,50,94.188486,0.0
-12.994437,50,95.045743,0.0
-16.012124,50,95.891901,0.0
-10.695402,50,96.761084,0.0
-14.711494,50,97.616609,0.0
-10.291404,50,98.497021,0.0
-9.750078,50,105.168004,0.0
-9.299874,50,106.013264,0.0
-8.431353,50,106.863867,0.0
-9.637459,50,108.618395,0.0
-18.367283,50,109.491824,0.0
-6.110121,50,110.349853,0.0
-14.111613,50,111.190176,0.0
-7.011615,50,112.03659,0.0
-12.092715,50,112.899505,0.0
-11.241135,50,113.741421,0.0
-6.11935,50,120.408216,0.0
-11.362301,50,121.281122,0.0
-9.134827,50,122.143823,0.0
-8.302617,50,123.01311,0.0
-6.631892,50,123.88434,0.0
-6.593904,50,124.754286,0.0
-5.910459,50,125.5957,0.0
-8.683627,50,126.458744,0.0
-13.529447,50,127.307766,0.0
-7.654332,50,128.189126,0.0
-7.705213,50,134.87473,0.0
-7.88791,50,135.729082,0.0
-8.163648,50,136.576877,0.0
-4.213504,50,137.428262,0.0
-11.237079,50,138.272457,0.0
-4.905127,50,139.111852,0.0
-5.193074,41,139.81201,1.0
-9.420117,50,140.660016,0.0
-7.567668,50,142.412422,0.0
-5.598427,50,143.277414,0.0
-9.762647,50,144.158521,0.0
-8.294264,50,150.83183,0.0
-16.819867,50,151.698237,0.0
-15.109341,50,152.549262,0.0
-3.59727,50,153.389606,0.0
-5.538857,50,154.22083,0.0
-5.375133,50,155.071323,0.0
-8.100594,50,155.939234,0.0
-13.43963,50,156.795169,0.0
-18.285973,50,157.636808,0.0
-13.671835,50,158.473413,0.0
-6.984202,50,165.098426,0.0
-4.074703,50,165.951756,0.0
-6.173012,50,166.791034,0.0
-6.052231,50,167.641556,0.0
-8.360935,50,168.487813,0.0
-5.763427,50,169.343711,0.0
-10.698994,50,170.187204,0.0
-5.614594,50,171.044696,0.0
-13.269348,50,171.88011,0.0
-9.660807,50,172.720215,0.0
