#{"t_start": 1648658771.1918228, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-7.090424,50,4.630684,0.0
-10.42964,50,4.806121,0.0
-17.777778,50,4.965466,0.0
-9.16129,50,5.139148,0.0
-10.833154,50,5.308188,0.0
-8.778678,50,5.475441,0.0
-9.788787,50,5.646824,0.0
-16.593186,50,5.80995,0.0
-7.848153,50,5.975876,0.0
-9.321714,50,6.159873,0.0
-15.570466,50,6.424117,0.0
-12.975113,50,6.583044,0.0
-15.173113,50,6.747221,0.0
-18.916649,50,6.91283,0.0
-9.986982,50,7.094551,0.0
-9.941119,50,7.281404,0.0
-8.645846,50,7.450806,0.0
-16.427921,50,7.614058,0.0
-19.463605,50,7.779745,0.0
-10.19544,50,7.948745,0.0
-14.879735,50,8.20775,0.0
-15.709686,50,8.367957,0.0
-8.298807,50,8.531246,0.0
-11.421476,50,8.695045,0.0
-10.584288,50,8.861002,0.0
-15.949331,50,9.024892,0.0
-17.239531,50,9.185793,0.0
-9.81295,50,9.361358,0.0
-7.854957,50,9.529378,0.0
-21.909091,50,9.685485,0.0
-9.385703,50,9.941816,0.0
-11.640035,50,10.107736,0.0
-13.891701,50,10.27004,0.0
-13.788948,50,10.428941,0.0
-9.203302,50,10.603497,0.0
-12.245546,50,10.768986,0.0
-5.915713,50,10.998683,0.0
-12.385797,50,11.164654,0.0
-16.578957,50,11.332279,0.0
-13.988468,50,11.501482,0.0
-14.023923,50,11.769996,0.0
-7.232842,50,11.942321,0.0
-14.91383,50,12.107273,0.0
-10.946592,50,12.275789,0.0
-11.307294,50,12.443556,0.0
-12.282621,50,12.605937,0.0
-9.941077,50,12.771229,0.0
-13.606297,50,12.933835,0.0
-12.473089,50,13.124026,0.0
-11.797594,50,13.293543,0.0
-17.619251,50,13.453846,0.0
-21.880369,50,13.723671,0.0
-14.007515,50,13.884818,0.0
-14.760416,50,14.042125,0.0
-8.902559,50,14.218171,0.0
-10.133432,50,14.387607,0.0
-13.702771,50,14.561876,0.0
-14.080481,50,14.7288,0.0
-16.299704,50,14.891006,0.0
-9.224164,50,15.071306,0.0
-14.922601,50,15.231416,0.0
-11.688115,50,15.491663,0.0
-10.707014,50,15.660978,0.0
-11.376241,50,15.82172,0.0
-13.598011,50,15.986542,0.0
-8.301838,50,16.149141,0.0
-9.470084,50,16.326806,0.0
-7.498685,50,16.502641,0.0
-9.21399,50,16.6787,0.0
-16.609652,50,16.840833,0.0
-8.009285,50,17.010354,0.0
-17.658852,50,17.269946,0.0
-13.980232,50,17.435359,0.0
-21.457812,50,17.595284,0.0
-26.007874,50,17.758092,0.0
-20.685342,50,17.91905,0.0
-9.042116,50,18.085998,0.0
-2.767325,50,18.315133,0.0
-12.780418,50,18.473034,0.0
-14.285523,50,18.636929,0.0
-10.696918,50,18.808913,0.0
-10.576918,50,19.067703,0.0
-16.89085,50,19.226125,0.0
-14.218611,50,19.392294,0.0
-12.211646,50,19.558859,0.0
-13.799674,50,19.718756,0.0
-16.844341,50,19.877716,0.0
-10.87491,50,20.04098,0.0
-10.969087,50,20.213118,0.0
-13.769966,50,20.37415,0.0
-9.175769,50,20.543508,0.0
-17.359706,50,20.700804,0.0
-15.563243,50,20.965809,0.0
-9.558474,50,21.130526,0.0
-11.635733,50,21.294161,0.0
-8.081283,50,21.46555,0.0
-13.273913,50,21.625406,0.0
-5.609946,50,21.794922,0.0
-17.290988,50,21.955975,0.0
-16.747129,50,22.117459,0.0
-11.212898,50,22.275909,0.0
-9.207936,50,22.450827,0.0
-13.755947,50,22.729759,0.0
-12.039415,50,22.899062,0.0
-8.684144,50,23.074257,0.0
-10.66219,50,23.242317,0.0
-16.968545,50,23.409881,0.0
-8.336154,50,23.57259,0.0
-14.646267,50,23.733962,0.0
-7.220519,50,23.901442,0.0
-10.951042,50,24.09075,0.0
-12.976395,50,24.274094,0.0
-16.180775,50,24.536861,0.0
-9.113542,50,24.70024,0.0
-15.59192,50,24.867566,0.0
-15.852263,50,25.029628,0.0
-15.932508,50,25.190675,0.0
-13.497701,50,25.352823,0.0
-18.293491,50,25.510696,0.0
-14.046648,50,25.673654,0.0
-25.449084,50,25.832917,0.0
-12.407213,50,26.00807,0.0
-9.104529,50,26.27353,0.0
-14.432459,50,26.435707,0.0
-11.303279,50,26.606826,0.0
-15.601391,50,26.772117,0.0
-9.366517,50,26.945199,0.0
-14.492618,50,27.105196,0.0
-10.665776,50,27.27333,0.0
-9.466116,50,27.4923,0.0
-15.624201,50,27.74103,0.0
-13.428016,50,27.984941,0.0
-11.968988,50,28.148435,0.0
-18.60595,50,28.421196,0.0
-9.01406,50,28.586434,0.0
-12.410514,50,28.745273,0.0
-6.401036,50,28.912513,0.0
-12.200616,50,29.084849,0.0
-7.417582,50,29.265102,0.0
-15.96156,50,29.428929,0.0
-13.567992,50,29.5913,0.0
-10.450213,50,29.758835,0.0
-9.369764,50,29.933371,0.0
-13.22841,50,30.195144,0.0
-18.191442,50,30.360422,0.0
-13.135361,50,30.526725,0.0
-7.040412,50,30.696252,0.0
-10.752861,50,30.871264,0.0
-12.869322,50,31.032,0.0
-15.159715,50,31.191661,0.0
-7.238172,50,31.364276,0.0
-8.367112,50,31.542584,0.0
-11.135297,50,31.714483,0.0
-9.519166,50,31.976112,0.0
-9.885166,50,32.14475,0.0
-12.910353,50,32.311837,0.0
-11.596383,50,32.479241,0.0
-11.090516,50,32.63852,0.0
-14.760639,50,32.802835,0.0
-11.377223,50,32.994402,0.0
-19.906124,50,33.153719,0.0
-20.616592,50,33.322414,0.0
-8.15423,50,33.494704,0.0
-8.967184,50,33.76243,0.0
-15.21757,50,33.921512,0.0
-13.107996,50,34.084253,0.0
-9.759149,50,34.254885,0.0
-8.868066,50,34.423433,0.0
-13.731646,50,34.583139,0.0
-7.856515,50,34.758461,0.0
-5.741208,50,34.941822,0.0
-10.478334,50,35.106907,0.0
-12.767412,50,35.265271,0.0
-14.024603,50,35.427754,0.0
-12.637388,50,35.689193,0.0
-16.290514,50,35.848903,0.0
-7.944603,50,36.01969,0.0
-12.479079,50,36.183635,0.0
-10.415635,50,36.357821,0.0
-17.563332,50,36.519284,0.0
-13.995092,50,36.709399,0.0
-14.56405,50,36.87444,0.0
-11.961414,50,37.047267,0.0
-8.115026,50,37.220437,0.0
-11.443173,50,37.487355,0.0
-14.007427,50,37.651004,0.0
-8.070918,50,37.821821,0.0
-10.515906,50,37.986943,0.0
-10.012192,50,38.149499,0.0
-9.747606,50,38.313767,0.0
-9.559188,50,38.486287,0.0
-7.736635,50,38.663414,0.0
-18.119298,50,38.822482,0.0
-7.061033,50,39.002077,0.0
-16.251189,50,39.257848,0.0
-10.112284,50,39.424266,0.0
-16.939992,50,39.585582,0.0
-8.423025,50,39.7636,0.0
-16.707452,50,39.922206,0.0
-19.663036,50,40.081556,0.0
-9.09204,50,41.169825,0.0
-12.528569,50,41.334334,0.0
-16.801813,50,41.49133,0.0
-11.145287,50,41.661836,0.0
-18.459176,50,41.918736,0.0
-16.129128,50,42.079207,0.0
-15.667226,50,42.24859,0.0
-11.38382,50,42.426814,0.0
-12.140857,50,42.592981,0.0
-11.448448,50,42.768095,0.0
-10.367236,50,42.931091,0.0
-17.492133,50,43.091397,0.0
-17.101408,50,43.253695,0.0
-10.513571,50,43.433374,0.0
-14.001104,50,43.594119,0.0
-7.096494,50,43.864044,0.0
-9.807422,50,44.04244,0.0
-10.973624,50,44.20777,0.0
-9.143836,50,44.382597,0.0
-24.608293,50,44.545673,0.0
-14.946101,50,44.715636,0.0
-13.937238,50,44.875619,0.0
-7.773239,50,45.045083,0.0
-13.78015,50,45.209679,0.0
-9.649039,50,45.40107,0.0
-9.888306,50,45.661491,0.0
-5.084633,50,45.834641,0.0
-11.276457,50,46.001547,0.0
-13.415123,50,46.162477,0.0
-11.166462,50,46.32642,0.0
-9.266005,50,46.499198,0.0
-9.568954,50,46.671999,0.0
-7.789771,50,46.849214,0.0
-11.112055,50,47.018805,0.0
-10.823298,50,47.184858,0.0
-12.604633,50,47.436635,0.0
-10.475702,50,47.599147,0.0
-11.486184,50,47.767925,0.0
-11.248998,50,47.928044,0.0
-10.136119,50,48.099189,0.0
-9.602397,50,48.265332,0.0
-8.703731,50,48.43636,0.0
-8.096059,50,48.603924,0.0
-12.376384,50,48.775567,0.0
-6.327344,50,48.959985,0.0
-8.073162,50,49.226756,0.0
-7.650825,50,49.398484,0.0
-11.627471,50,49.571693,0.0
-11.188392,50,49.73513,0.0
-14.942303,50,49.892338,0.0
-7.906898,50,50.069089,0.0
-6.295041,50,50.238704,0.0
-7.228925,50,50.403541,0.0
-12.629829,50,50.575542,0.0
-8.645882,50,50.741976,0.0
-17.234562,50,50.904295,0.0
-8.688428,50,51.164257,0.0
-11.155633,50,51.331297,0.0
-8.744926,50,51.512536,0.0
-8.765297,50,51.693666,0.0
-7.622386,50,51.877001,0.0
-9.218446,50,52.05721,0.0
-4.644366,50,52.239487,0.0
-8.359955,50,52.40952,0.0
-17.119933,50,52.572604,0.0
-9.577991,50,52.745355,0.0
-13.002794,50,53.004392,0.0
-7.787004,50,53.182117,0.0
-11.975232,50,53.345408,0.0
-13.341676,50,53.506396,0.0
-10.1681,50,53.668421,0.0
-7.527848,50,53.842172,0.0
-16.427637,50,54.002804,0.0
-10.529434,50,54.167034,0.0
-16.260258,50,54.325064,0.0
-12.130825,50,54.49972,0.0
-12.333794,50,54.760078,0.0
-13.465638,50,54.923302,0.0
-8.242946,50,55.102308,0.0
-25.764324,50,55.26602,0.0
-11.04203,50,55.43457,0.0
-13.439103,50,55.602295,0.0
-11.117904,50,55.767793,0.0
-16.317817,50,55.926786,0.0
-20.410091,50,56.088141,0.0
-6.436034,50,56.264721,0.0
-11.837105,50,56.533176,0.0
-7.012004,50,56.707503,0.0
-7.097234,50,56.886037,0.0
-9.451994,50,57.051459,0.0
-13.874618,50,57.214145,0.0
-6.524004,50,57.405647,0.0
-12.375281,50,57.568817,0.0
-10.588891,50,57.751295,0.0
-15.069617,50,57.91612,0.0
-8.582122,50,58.082676,0.0
-3.340269,50,58.3629,0.0
-16.445981,50,58.525899,0.0
-13.088668,50,58.695971,0.0
-9.740679,50,58.879695,0.0
-10.020429,50,59.040878,0.0
-6.350683,50,59.217267,0.0
-15.743103,50,59.377567,0.0
-9.268859,50,59.545472,0.0
-8.290817,50,59.708291,0.0
-8.639731,50,59.878906,0.0
-12.461544,50,60.039253,0.0
-7.606515,50,60.299515,0.0
-5.798316,50,60.485312,0.0
-14.502781,50,60.650234,0.0
-17.634815,50,60.806281,0.0
-11.603921,50,60.96948,0.0
-11.896168,50,61.146799,0.0
-11.97387,50,61.312218,0.0
-10.84013,50,61.474732,0.0
-8.010963,50,61.639991,0.0
-14.340997,50,61.800535,0.0
-10.890523,50,62.085635,0.0
-11.115369,50,62.259863,0.0
-11.94762,50,62.423885,0.0
-11.011978,50,62.595085,0.0
-10.148786,50,62.78222,0.0
-8.611978,50,62.945687,0.0
-9.960711,50,63.110031,0.0
-5.664528,50,63.2927,0.0
-7.511294,50,63.460255,0.0
-9.502373,50,63.629024,0.0
-8.715354,50,63.897035,0.0
-7.161728,50,64.06636,0.0
-8.716028,50,64.247853,0.0
-9.983275,50,64.412935,0.0
-6.57787,50,64.598391,0.0
-10.8655,50,64.767125,0.0
-7.670174,50,64.948355,0.0
-15.688777,50,65.110627,0.0
-11.209349,50,65.286035,0.0
-7.54657,50,65.459205,0.0
-10.829436,50,65.746955,0.0
-5.516877,50,65.9265,0.0
-9.366511,50,66.093283,0.0
-8.820597,50,66.258657,0.0
-7.155118,50,66.434726,0.0
-11.751033,50,66.599077,0.0
-8.383936,50,66.766457,0.0
-11.007377,50,66.936495,0.0
-15.685944,50,67.100395,0.0
-8.084557,50,67.277189,0.0
-9.194231,50,67.453332,0.0
-6.630534,50,67.732288,0.0
-5.027919,50,67.909091,0.0
-9.945646,50,68.07289,0.0
-9.99772,50,68.242897,0.0
-10.992902,50,68.411158,0.0
-8.755355,50,68.582709,0.0
-11.307747,50,68.764514,0.0
-10.627119,50,68.931519,0.0
-12.572968,50,69.101467,0.0
-12.440069,50,69.269599,0.0
-8.625062,50,69.550834,0.0
-11.670631,50,69.719558,0.0
-12.069012,50,69.891968,0.0
-13.54819,50,70.07509,0.0
-12.877642,50,70.243387,0.0
-9.284717,50,70.410169,0.0
-9.874981,50,70.580764,0.0
-7.163104,50,70.749904,0.0
-7.733867,50,70.914891,0.0
-12.521513,50,71.079907,0.0
-11.561413,50,71.356641,0.0
-19.029426,50,71.516589,0.0
-6.910456,50,71.691024,0.0
-11.973155,50,71.876324,0.0
-12.367085,50,72.045442,0.0
-7.671486,50,72.209279,0.0
-9.673001,50,72.38274,0.0
-17.431742,50,72.544317,0.0
-7.315151,50,72.717288,0.0
-8.897113,50,72.898897,0.0
-9.000059,50,73.173186,0.0
-16.918972,50,73.332716,0.0
-8.13301,50,73.512689,0.0
-7.679162,50,73.682774,0.0
-4.977802,50,73.858059,0.0
-10.960782,50,74.026546,0.0
-8.99072,50,74.210829,0.0
-11.389873,50,74.382749,0.0
-9.348299,50,74.546507,0.0
-7.263431,50,74.722014,0.0
-4.62307,50,74.894355,0.0
-14.153121,50,75.164972,0.0
-8.303548,50,75.335363,0.0
-7.659483,50,75.530157,0.0
-8.490118,50,75.702482,0.0
-6.246165,50,75.868069,0.0
-5.16364,50,76.05301,0.0
-13.766858,50,76.217239,0.0
-10.898459,50,76.393131,0.0
-7.782356,50,76.583148,0.0
-7.551713,50,76.788055,0.0
-18.238668,50,77.046736,0.0
-7.215215,50,78.294893,0.0
-9.694051,50,78.469754,0.0
-12.110374,50,78.63483,0.0
-5.611374,50,78.814227,0.0
-10.240273,50,78.983836,0.0
-10.747278,50,79.148837,0.0
-10.058674,50,79.317944,0.0
-10.15824,50,79.484125,0.0
-6.00404,50,79.66668,0.0
-13.309156,50,79.920237,0.0
-7.676658,50,80.091812,0.0
-12.707868,50,80.252168,0.0
-14.915122,50,80.415332,0.0
-14.433985,50,80.582407,0.0
-6.007864,50,80.751616,0.0
-8.300611,50,80.924342,0.0
-10.992562,50,81.104424,0.0
-11.63206,50,81.268472,0.0
-4.821298,50,81.449673,0.0
-7.548317,50,81.710672,0.0
-9.619933,50,81.87883,0.0
-8.781093,50,82.043513,0.0
-12.405631,50,82.221097,0.0
-7.275485,50,82.393757,0.0
-7.134491,50,82.562442,0.0
-6.957955,50,82.735708,0.0
-9.024054,50,82.903318,0.0
-7.677236,50,83.083616,0.0
-8.937826,50,83.248791,0.0
-8.56231,50,83.413987,0.0
-17.959244,50,83.678943,0.0
-7.216532,50,83.857679,0.0
-9.592228,50,84.038138,0.0
-14.720886,50,84.198112,0.0
-8.600427,50,84.360894,0.0
-17.811568,50,84.520947,0.0
-8.531622,50,84.694517,0.0
-6.600414,50,84.891399,0.0
-8.458956,50,85.052472,0.0
-8.814384,50,85.221269,0.0
-9.226614,50,85.488834,0.0
-8.633385,50,85.6573,0.0
-5.775418,50,85.840251,0.0
-7.950006,50,86.024665,0.0
-12.986171,50,86.200173,0.0
-9.880439,50,86.366454,0.0
-7.746367,50,86.546314,0.0
-7.96385,50,86.720081,0.0
-14.688704,50,86.899929,0.0
-11.586038,50,87.068607,0.0
-5.367536,50,87.361768,0.0
-7.528386,50,87.534226,0.0
-9.555976,50,87.717819,0.0
-7.039219,50,87.890206,0.0
-6.276894,50,88.070991,0.0
-13.811579,50,88.235358,0.0
-4.688802,50,88.414647,0.0
-15.410991,50,88.571762,0.0
-7.278622,50,88.756614,0.0
-11.465197,50,88.926341,0.0
-6.304175,50,89.200513,0.0
-6.294597,50,89.370156,0.0
-15.353271,50,89.533099,0.0
-14.816693,50,89.695809,0.0
-9.67684,50,89.865016,0.0
-16.851548,50,90.025525,0.0
-11.189046,50,90.222172,0.0
-12.991307,50,90.427842,0.0
-12.301282,50,90.592099,0.0
-6.305189,50,90.793447,0.0
-10.637246,50,90.955314,0.0
-7.300161,50,91.254235,0.0
-8.32074,50,91.427243,0.0
-9.438253,50,91.606783,0.0
-14.720851,50,91.788216,0.0
-9.256672,50,91.968289,0.0
-8.124309,50,92.182428,0.0
-10.420276,50,92.36045,0.0
-11.248562,50,92.522639,0.0
-7.768912,50,92.699117,0.0
-6.468993,50,92.865007,0.0
-6.716927,50,93.145623,0.0
-10.553806,50,93.321425,0.0
-9.713743,50,93.497937,0.0
-10.183846,50,93.661507,0.0
-10.506162,50,93.843248,0.0
-4.649494,50,94.024066,0.0
-14.938407,50,94.197229,0.0
-9.134408,50,94.372005,0.0
-7.050295,50,94.538389,0.0
-9.212469,50,94.705426,0.0
-10.387985,50,94.972966,0.0
-14.794787,50,95.150403,0.0
-8.941159,50,95.319271,0.0
-11.572702,50,95.490532,0.0
-6.71472,50,95.672398,0.0
-12.045782,50,95.855083,0.0
-13.639058,50,96.080322,0.0
-6.26938,50,96.263066,0.0
-10.831997,50,96.430135,0.0
-9.228787,50,96.612139,0.0
-9.863612,50,96.879512,0.0
-7.344469,50,97.060725,0.0
-5.173603,50,97.240039,0.0
-13.466438,50,97.409388,0.0
-6.170014,50,97.581049,0.0
-8.068048,50,97.750071,0.0
-8.223483,50,97.92836,0.0
-10.907506,50,98.104684,0.0
-11.394005,50,98.296052,0.0
-7.57224,50,98.469368,0.0
-7.58931,50,98.647456,0.0
-10.829512,50,98.911074,0.0
-9.738875,50,99.083251,0.0
-15.287383,50,99.249308,0.0
-10.074199,50,99.439828,0.0
-7.304743,50,99.633615,0.0
-9.715554,50,99.802812,0.0
-12.613095,50,99.959339,0.0
-8.381172,50,100.125288,0.0
-6.889735,50,100.300274,0.0
-7.9777,50,100.472245,0.0
-9.928615,50,100.742806,0.0
-7.186026,50,100.930255,0.0
-8.734923,50,101.09986,0.0
-10.834492,50,101.280946,0.0
-9.939397,50,101.476348,0.0
-6.651162,50,101.647395,0.0
-4.880184,50,101.836222,0.0
-12.067762,50,102.011415,0.0
-7.728316,50,102.1996,0.0
-8.095182,50,102.372381,0.0
-11.320759,50,102.666587,0.0
-9.064619,50,102.834865,0.0
-7.926046,50,102.999403,0.0
-7.843332,50,103.181902,0.0
-6.34339,50,103.351744,0.0
-12.849009,50,103.54379,0.0
-11.538603,50,103.705971,0.0
-7.138635,50,103.873485,0.0
-4.783229,50,104.057167,0.0
-6.407576,50,104.233672,0.0
-7.943269,50,104.510906,0.0
-7.001505,50,104.689771,0.0
-8.617234,50,104.856288,0.0
-6.62662,50,105.041362,0.0
-8.176604,50,105.217267,0.0
-8.295815,50,105.385593,0.0
-9.788347,50,105.551304,0.0
-11.81175,50,105.733962,0.0
-7.198471,50,105.907496,0.0
-8.27992,50,106.09159,0.0
-9.06786,50,106.35831,0.0
-6.763907,50,106.544599,0.0
-8.706395,50,106.732223,0.0
-6.362715,50,106.898063,0.0
-8.072593,50,107.08057,0.0
-8.676349,50,107.249578,0.0
-5.966008,50,107.422195,0.0
-4.498627,50,107.634806,0.0
-9.493294,50,107.809533,0.0
-12.076471,50,107.985279,0.0
-7.895862,50,108.159088,0.0
-9.922189,50,108.413838,0.0
-7.696678,50,108.586154,0.0
-7.845886,50,108.755075,0.0
-9.676587,50,108.934171,0.0
-7.781256,50,109.140502,0.0
-8.738497,50,109.329621,0.0
-4.376263,50,109.510498,0.0
-8.187405,50,109.684609,0.0
-10.23199,50,109.857619,0.0
-8.058656,50,110.027232,0.0
-7.568569,50,110.299418,0.0
-8.738452,50,110.48136,0.0
-12.368354,50,110.64484,0.0
-8.50936,50,110.825026,0.0
-13.768548,50,111.023266,0.0
-4.898263,50,111.223796,0.0
-6.882798,50,111.424491,0.0
-8.091085,50,111.589547,0.0
-6.915538,50,111.765929,0.0
-8.181169,50,111.937654,0.0
-8.007852,50,112.204241,0.0
-8.269675,50,112.397842,0.0
-8.084821,50,112.582869,0.0
-11.34871,50,112.748942,0.0
-5.990276,50,112.926825,0.0
-9.801075,50,113.088724,0.0
-9.812416,50,113.272512,0.0
-10.81624,50,113.442523,0.0
-14.604158,50,113.630785,0.0
-4.437167,50,113.818369,0.0
-7.477877,50,114.085549,0.0
-6.65484,50,114.263122,0.0
-10.913197,50,114.443488,0.0
-4.74065,50,114.625977,0.0
-6.491899,50,114.798752,0.0
-6.751641,50,114.990901,0.0
-6.651456,50,115.166183,0.0
-8.480539,50,116.313523,0.0
-5.374118,50,116.48658,0.0
-10.983944,50,116.652541,0.0
