#{"t_start": 1651046017.5666194, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-50.0,50,1.275976,0.0
-50.0,50,2.092735,0.0
-50.0,50,2.927563,0.0
-50.0,50,3.755348,0.0
-50.0,50,4.575715,0.0
-50.0,50,5.396179,0.0
-50.0,50,6.206696,0.0
-50.0,50,7.033823,0.0
-50.0,50,7.863943,0.0
-50.0,50,8.681878,0.0
-50.0,50,15.38727,0.0
-50.0,50,16.241507,0.0
-50.0,50,17.062602,0.0
-50.0,50,17.899357,0.0
-50.0,50,18.810377,0.0
-50.0,50,19.681938,0.0
-50.0,50,20.57551,0.0
-50.0,50,21.4569,0.0
-50.0,50,22.351809,0.0
-50.0,50,23.16006,0.0
-50.0,50,29.810497,0.0
-50.0,50,30.631083,0.0
-50.0,50,31.433927,0.0
-50.0,50,32.252676,0.0
-50.0,50,33.085928,0.0
-50.0,50,34.755046,0.0
-50.0,50,35.591727,0.0
-50.0,50,36.400588,0.0
-50.0,50,37.242388,0.0
-50.0,50,38.082468,0.0
-50.0,50,44.847435,0.0
-50.0,50,45.679046,0.0
-50.0,50,46.50562,0.0
-50.0,50,47.341716,0.0
-50.0,50,48.177033,0.0
-50.0,50,49.00257,0.0
-50.0,50,49.838584,0.0
-50.0,50,50.661259,0.0
-50.0,50,51.484507,0.0
-50.0,50,52.301833,0.0
-50.0,50,59.001588,0.0
-50.0,50,59.815849,0.0
-50.0,50,60.630591,0.0
-50.0,50,61.459431,0.0
-50.0,50,62.279314,0.0
-50.0,50,63.089507,0.0
-50.0,50,63.910884,0.0
-50.0,50,64.73144,0.0
-50.0,50,65.556971,0.0
-50.0,50,66.395512,0.0
-50.0,50,68.10842,0.0
-50.0,50,74.865257,0.0
-50.0,50,75.698708,0.0
-50.0,50,76.51725,0.0
-50.0,50,77.378507,0.0
-50.0,50,78.217433,0.0
-50.0,50,79.057561,0.0
-50.0,50,79.90697,0.0
-50.0,50,80.752433,0.0
-50.0,50,81.584719,0.0
-50.0,50,82.429344,0.0
-50.0,50,89.13726,0.0
-50.0,50,89.968986,0.0
-50.0,50,90.826783,0.0
-50.0,50,91.658267,0.0
-50.0,50,92.492559,0.0
-50.0,50,93.323608,0.0
-50.0,50,94.15408,0.0
-50.0,50,94.982692,0.0
-50.0,50,95.802181,0.0
-50.0,50,96.632502,0.0
-50.0,50,103.36424,0.0
-50.0,50,104.183841,0.0
-50.0,50,105.031369,0.0
-50.0,50,105.884295,0.0
-50.0,50,107.608543,0.0
-50.0,50,108.481465,0.0
-50.0,50,109.345798,0.0
-50.0,50,110.201049,0.0
-50.0,50,111.041577,0.0
-50.0,50,111.865683,0.0
-50.0,50,118.519536,0.0
-50.0,50,119.394191,0.0
-50.0,50,120.298368,0.0
-50.0,50,121.158229,0.0
-50.0,50,122.011993,0.0
-50.0,50,122.854361,0.0
-50.0,50,123.711205,0.0
-50.0,50,124.555628,0.0
-50.0,50,125.377302,0.0
-50.0,50,126.220819,0.0
-50.0,50,127.054111,0.0
-50.0,50,133.809982,0.0
-50.0,50,134.614371,0.0
-50.0,50,135.454175,0.0
-50.0,50,136.275107,0.0
-50.0,50,137.125558,0.0
-50.0,50,137.97831,0.0
-50.0,50,138.789641,0.0
-50.0,50,139.635011,0.0
-50.0,50,141.332052,0.0
-50.0,50,142.184646,0.0
-50.0,50,148.86847,0.0
-50.0,50,149.72288,0.0
-50.0,50,150.57846,0.0
-50.0,50,151.398007,0.0
-50.0,50,152.218344,0.0
-50.0,50,153.084123,0.0
-50.0,50,153.925984,0.0
-50.0,50,154.762118,0.0
-50.0,50,155.600147,0.0
-50.0,50,156.448284,0.0
-50.0,50,163.159742,0.0
-50.0,50,164.018468,0.0
-50.0,50,164.904088,0.0
-50.0,50,165.728471,0.0
-50.0,50,166.571547,0.0
-50.0,50,167.394876,0.0
-50.0,50,168.286847,0.0
-50.0,50,169.174417,0.0
-50.0,50,170.018816,0.0
-50.0,50,170.927688,0.0
-50.0,50,177.644433,0.0
-50.0,50,178.542666,0.0
-50.0,50,179.41384,0.0
-50.0,50,181.112885,0.0
-50.0,50,181.969045,0.0
-50.0,50,182.812962,0.0
-50.0,50,183.676396,0.0
-50.0,50,184.527414,0.0
-50.0,50,185.36791,0.0
-50.0,50,186.245459,0.0
-50.0,50,187.0986,0.0
-50.0,50,193.784544,0.0
-50.0,50,194.622012,0.0
-50.0,50,195.453978,0.0
-50.0,50,196.296697,0.0
-50.0,50,197.126559,0.0
-50.0,50,197.981442,0.0
-50.0,50,198.801962,0.0
-50.0,50,199.62764,0.0
-50.0,50,200.457155,0.0
-50.0,50,201.295912,0.0
-50.0,50,207.971094,0.0
-50.0,50,208.877055,0.0
-50.0,50,209.750288,0.0
-50.0,50,210.633605,0.0
-50.0,50,211.492018,0.0
-50.0,50,212.31268,0.0
-50.0,50,213.180159,0.0
-50.0,50,214.895584,0.0
-50.0,50,215.740812,0.0
-50.0,50,216.585197,0.0
-50.0,50,223.289195,0.0
-50.0,50,224.135637,0.0
-50.0,50,224.99519,0.0
-50.0,50,225.869228,0.0
-50.0,50,226.717394,0.0
-50.0,50,227.590413,0.0
-50.0,50,228.474713,0.0
-50.0,50,229.367828,0.0
-50.0,50,230.217289,0.0
-50.0,50,231.078583,0.0
-50.0,50,237.812879,0.0
-50.0,50,238.720753,0.0
-50.0,50,239.59111,0.0
-50.0,50,240.499679,0.0
-50.0,50,241.387251,0.0
-50.0,50,242.209212,0.0
-50.0,50,243.151355,0.0
-50.0,50,243.976062,0.0
-50.0,50,244.843734,0.0
-50.0,50,245.755928,0.0
-50.0,50,246.632557,0.0
-50.0,50,253.371066,0.0
-50.0,50,255.084864,0.0
-50.0,50,255.927572,0.0
-50.0,50,256.7715,0.0
-50.0,50,257.618805,0.0
-50.0,50,258.473597,0.0
-50.0,50,259.329861,0.0
-50.0,50,260.150234,0.0
-50.0,50,261.0037,0.0
-50.0,50,261.887499,0.0
-50.0,50,268.657459,0.0
-50.0,50,269.509155,0.0
-50.0,50,270.357626,0.0
-50.0,50,271.246958,0.0
-50.0,50,272.095419,0.0
-50.0,50,272.920787,0.0
-50.0,50,273.78478,0.0
-50.0,50,274.645275,0.0
-50.0,50,275.551111,0.0
-50.0,50,276.374362,0.0
-50.0,50,283.188293,0.0
-50.0,50,284.001705,0.0
-50.0,50,284.830905,0.0
-50.0,50,285.681036,0.0
-50.0,50,286.578979,0.0
-50.0,50,287.432976,0.0
-50.0,50,289.043791,0.0
-50.0,50,289.867149,0.0
-50.0,50,290.729966,0.0
-50.0,50,291.575388,0.0
-50.0,50,298.386553,0.0
-50.0,50,299.23676,0.0
-50.0,50,300.157423,0.0
-50.0,50,301.013181,0.0
-50.0,50,301.871513,0.0
-50.0,50,302.747967,0.0
-50.0,50,303.593806,0.0
-50.0,50,304.484534,0.0
-50.0,50,305.340267,0.0
-50.0,50,306.211926,0.0
-50.0,50,307.086766,0.0
-50.0,50,313.83622,0.0
-50.0,50,314.671194,0.0
-50.0,50,315.510961,0.0
-50.0,50,316.397603,0.0
-50.0,50,317.267102,0.0
-50.0,50,318.124801,0.0
-50.0,50,319.001023,0.0
-50.0,50,319.855036,0.0
-50.0,50,320.710893,0.0
-50.0,50,321.595257,0.0
-50.0,50,329.314289,0.0
-50.0,50,330.175617,0.0
-50.0,50,331.011811,0.0
-50.0,50,331.907464,0.0
-50.0,50,332.803183,0.0
-50.0,50,333.677279,0.0
-50.0,50,334.508886,0.0
-50.0,50,335.382965,0.0
-50.0,50,336.266206,0.0
-50.0,50,337.162261,0.0
-50.0,50,343.936328,0.0
