#{"t_start": 1649999612.6636631, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-50.0,50,1.558794,0.0
-50.0,50,2.394405,0.0
-50.0,50,3.285042,0.0
-50.0,50,4.195571,0.0
-50.0,50,5.099233,0.0
-50.0,50,5.969891,0.0
-50.0,50,6.873483,0.0
-50.0,50,7.771916,0.0
-50.0,50,8.632247,0.0
-50.0,50,9.517949,0.0
-50.0,50,16.222286,0.0
-50.0,50,17.146883,0.0
-50.0,50,17.998993,0.0
-50.0,50,18.849655,0.0
-50.0,50,19.766922,0.0
-50.0,50,20.640229,0.0
-50.0,50,21.534508,0.0
-50.0,50,22.432322,0.0
-50.0,50,23.391678,0.0
-50.0,50,24.265579,0.0
-50.0,50,31.023593,0.0
-50.0,50,31.881818,0.0
-50.0,50,32.736365,0.0
-50.0,50,33.59859,0.0
-50.0,50,34.502978,0.0
-50.0,50,36.251017,0.0
-50.0,50,37.135732,0.0
-50.0,50,38.003878,0.0
-50.0,50,38.854091,0.0
-50.0,50,39.718112,0.0
-50.0,50,46.471203,0.0
-50.0,50,47.342631,0.0
-50.0,50,48.219609,0.0
-50.0,50,49.110294,0.0
-50.0,50,49.971828,0.0
-50.0,50,50.839204,0.0
-50.0,50,51.722482,0.0
-50.0,50,52.614991,0.0
-50.0,50,53.499098,0.0
-50.0,50,54.416103,0.0
-50.0,50,61.121973,0.0
-50.0,50,62.128525,0.0
-50.0,50,62.97647,0.0
-50.0,50,63.917383,0.0
-50.0,50,64.777273,0.0
-50.0,50,65.631004,0.0
-50.0,50,66.583031,0.0
-50.0,50,67.490236,0.0
-50.0,50,68.366776,0.0
-50.0,50,69.234426,0.0
-50.0,50,71.001037,0.0
-50.0,50,77.675858,0.0
-50.0,50,78.540669,0.0
-50.0,50,79.390839,0.0
-50.0,50,80.276968,0.0
-50.0,50,81.179391,0.0
-50.0,50,82.071132,0.0
-50.0,50,82.976608,0.0
-50.0,50,83.862375,0.0
-50.0,50,84.737286,0.0
-50.0,50,85.613844,0.0
-50.0,50,92.336738,0.0
-50.0,50,93.22664,0.0
-50.0,50,94.104981,0.0
-50.0,50,94.957148,0.0
-50.0,50,95.828804,0.0
-50.0,50,96.694574,0.0
-50.0,50,97.578161,0.0
-50.0,50,98.446429,0.0
-50.0,50,99.300788,0.0
-50.0,50,100.167948,0.0
-50.0,50,106.895387,0.0
-50.0,50,107.832823,0.0
-50.0,50,108.698942,0.0
-50.0,50,109.615322,0.0
-50.0,50,111.458439,0.0
-50.0,50,112.374601,0.0
-50.0,50,113.278027,0.0
