#{"t_start": 1650991895.4702618, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-588.17224,50,0.997354,0.0
-644.933327,50,1.867986,0.0
-1217.927257,50,2.739166,0.0
-796.283514,50,3.69003,0.0
-2291.818118,50,4.772142,0.0
-696.212109,50,5.665473,0.0
-1225.772476,50,6.615875,0.0
-1904.205363,50,7.834918,0.0
-685.465313,50,8.740327,0.0
-896.854443,50,9.61266,0.0
-1149.999838,50,16.612935,0.0
-375.622739,50,17.57558,0.0
-1284.024638,50,18.512863,0.0
-1397.747253,50,19.408231,0.0
-1350.720862,50,20.342738,0.0
-636.713064,50,21.423353,0.0
-632.0927,50,22.348732,0.0
-556.611489,50,23.273226,0.0
-620.056303,50,24.384884,0.0
-353.556401,50,25.262086,0.0
-880.163999,50,32.014735,0.0
-1692.005157,50,32.977726,0.0
-1557.135639,50,33.905825,0.0
-1100.17523,50,34.833567,0.0
-706.004298,50,35.776098,0.0
-793.102339,50,37.709409,0.0
-1137.019502,50,38.670849,0.0
-941.046851,50,39.607438,0.0
-718.154472,50,40.543443,0.0
-1087.313583,50,41.491743,0.0
-1051.658334,50,48.342375,0.0
-565.149937,50,49.289157,0.0
-912.349162,50,50.248551,0.0
-1774.350024,50,51.233503,0.0
-1485.920877,50,52.172786,0.0
-1211.759676,50,53.04426,0.0
-468.628233,50,53.979158,0.0
-707.121665,50,54.914835,0.0
-674.579863,50,55.844717,0.0
-1210.149879,50,56.757505,0.0
-1173.312182,50,63.600191,0.0
-1342.468594,50,64.542768,0.0
-940.273349,50,65.511895,0.0
-505.293444,50,66.482121,0.0
-557.04189,50,67.479993,0.0
-569.294961,50,68.427114,0.0
-572.251794,50,69.387996,0.0
-452.881607,50,70.407545,0.0
-1015.518138,50,71.449532,0.0
-1111.845633,50,72.504184,0.0
-1230.288686,50,74.34829,0.0
-1279.846282,50,81.125613,0.0
-1153.099116,50,82.074951,0.0
-1100.683679,50,83.005138,0.0
-859.341045,50,83.977569,0.0
-348.716064,50,85.000425,0.0
-318.9367,50,86.005501,0.0
-699.190263,50,86.933452,0.0
-312.007146,50,87.876463,0.0
-765.816568,50,88.785928,0.0
-639.289859,50,89.723942,0.0
-617.679075,50,96.731495,0.0
-492.606356,50,97.712153,0.0
-474.001502,50,98.661676,0.0
-654.661505,50,99.626503,0.0
-423.937867,50,100.598804,0.0
-382.831971,50,101.601786,0.0
-1315.680071,50,102.631118,0.0
-530.742717,50,103.650024,0.0
