#{"t_start": 1650984574.9056778, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-814.555666,50,1.205069,0.0
-669.985998,50,2.022963,0.0
-2059.065628,50,2.853048,0.0
-1037.024767,50,3.681943,0.0
-1009.801613,50,4.501302,0.0
-941.874091,50,5.327357,0.0
-1144.75521,50,6.137707,0.0
-1228.877354,50,6.964125,0.0
-1232.675508,50,7.772922,0.0
-1738.532891,50,8.590016,0.0
-609.082781,50,15.284545,0.0
-951.302364,50,16.140232,0.0
-1618.101098,50,16.959111,0.0
-736.594251,50,17.782801,0.0
-866.337418,50,18.601274,0.0
-1974.039957,50,19.418331,0.0
-980.616001,50,20.242594,0.0
-2064.178769,50,21.064193,0.0
-1395.859237,50,21.919378,0.0
-997.187586,50,22.72155,0.0
-753.753376,50,29.35974,0.0
-649.444766,50,30.172621,0.0
-772.351672,50,30.975655,0.0
-758.2261,50,31.789229,0.0
-1135.56744,50,32.615627,0.0
-1263.326372,50,34.265263,0.0
-598.110709,50,35.093879,0.0
-942.692807,50,35.897951,0.0
-1117.193876,50,36.704316,0.0
-1057.994082,50,37.531226,0.0
-686.162243,50,44.196699,0.0
-856.096527,50,45.018507,0.0
-875.923561,50,45.837281,0.0
-745.908414,50,46.664766,0.0
-768.80846,50,47.477519,0.0
-588.988073,50,48.286674,0.0
-624.525219,50,49.09636,0.0
-994.547298,50,49.902524,0.0
-748.567739,50,50.715967,0.0
-832.715173,50,51.538791,0.0
-654.02903,50,58.208982,0.0
-1216.259776,50,59.018762,0.0
-652.388558,50,59.815083,0.0
-416.885215,25,60.222693,1.0
-627.74081,50,61.0611,0.0
-876.399057,50,61.866007,0.0
-1042.900352,50,62.681196,0.0
-1081.235036,50,63.486984,0.0
-812.855287,50,64.297843,0.0
-540.953136,50,65.100629,0.0
-862.179506,50,66.764312,0.0
-495.697063,50,73.435731,0.0
-1014.027494,50,74.24239,0.0
-701.273668,50,75.046063,0.0
-1072.089606,50,75.864229,0.0
-680.591836,50,76.684294,0.0
-1004.885311,50,77.507067,0.0
-817.627874,50,78.33626,0.0
-817.649705,50,79.154524,0.0
-1196.71168,50,79.963439,0.0
-439.423973,50,80.774926,0.0
-690.087628,50,87.423618,0.0
-728.386106,50,88.23647,0.0
-686.937116,50,89.043761,0.0
-497.153709,50,89.854679,0.0
-534.704339,50,90.657568,0.0
-535.075235,50,91.459714,1.0
-601.064196,50,92.264861,0.0
-557.560799,50,93.073348,0.0
-467.278484,50,93.883163,0.0
-664.165456,50,94.686548,0.0
-601.034125,50,95.512563,0.0
-571.917901,50,102.183591,0.0
-562.82787,50,102.986567,0.0
-637.578178,50,103.804892,0.0
