#{"t_start": 1651019063.299426, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-3.778499,50,1.584558,0.0
-26.467348,50,2.42552,0.0
-10.154599,50,3.288219,0.0
-9.028188,50,4.173604,0.0
-22.421236,50,5.02397,0.0
-16.552141,50,5.876108,0.0
-16.371265,50,6.743936,0.0
-16.507649,50,7.603446,0.0
-35.393708,50,8.467621,0.0
-27.498457,50,9.311209,0.0
-14.842254,50,16.045177,0.0
-16.526287,50,16.91587,0.0
-22.133116,50,17.774856,0.0
-11.114585,50,18.634119,0.0
-11.920117,50,19.506358,0.0
-17.756154,50,20.355396,0.0
-20.94353,50,21.285043,0.0
-16.763972,50,22.298964,0.0
-22.89728,50,23.256901,0.0
-32.433724,50,24.153658,0.0
-15.258824,50,30.929504,0.0
-16.476697,50,31.79829,0.0
-10.197613,50,32.680386,0.0
-24.062325,50,33.540874,0.0
-5.94439,50,34.413498,0.0
-17.527077,50,36.375115,0.0
-20.265628,50,37.315076,0.0
-16.158438,50,38.175773,0.0
-19.457011,50,39.046047,0.0
-20.629557,50,39.938131,0.0
-10.761222,50,46.706599,0.0
-18.591672,50,47.620426,0.0
-13.088726,50,48.497575,0.0
-20.863793,50,49.41069,0.0
-14.878953,50,50.300704,0.0
-16.629467,50,51.189071,0.0
-14.764376,50,52.079293,0.0
-11.399209,50,52.965389,0.0
-21.731488,50,53.832115,0.0
-11.953134,50,54.764517,0.0
-20.393083,50,61.559558,0.0
-13.916931,50,62.437821,0.0
-15.141798,50,63.295817,0.0
-8.706063,50,64.206036,0.0
-18.542321,50,65.114111,0.0
-16.366485,50,66.053454,0.0
-11.911465,50,66.914278,0.0
-21.141029,50,67.769668,0.0
-10.567031,50,68.738949,0.0
-12.503362,50,69.643275,0.0
-14.661052,50,71.677391,0.0
-7.522126,50,77.479922,0.0
-10.854158,50,78.367207,0.0
-10.107503,50,79.310036,0.0
-19.263341,50,80.207742,0.0
-10.298404,50,81.10818,0.0
-14.852412,50,81.999364,0.0
-8.263355,50,82.912219,0.0
-11.862547,50,83.871743,0.0
-8.733989,50,84.751479,0.0
-15.649143,50,85.643521,0.0
-8.649965,50,89.005109,0.0
-12.901977,50,89.911139,0.0
-10.591869,50,90.822308,0.0
-6.145647,50,91.777976,0.0
-8.797513,50,92.695548,0.0
-11.104408,50,93.595097,0.0
-6.267805,50,94.483576,0.0
-10.207082,50,95.37253,0.0
-12.89115,50,96.283557,0.0
-8.44389,50,97.172374,0.0
-10.718953,50,100.520246,0.0
-5.46415,50,101.473964,0.0
-8.982853,50,102.359475,0.0
-13.545922,50,103.276498,0.0
-6.759762,50,105.190065,0.0
-5.442995,50,106.130028,0.0
-15.563523,50,107.049611,0.0
-9.630712,50,107.950461,0.0
-6.043145,50,108.861093,0.0
-7.878713,50,109.774925,0.0
-4.723778,50,116.01988,0.0
-11.724944,50,116.946732,0.0
-12.365675,50,117.816149,0.0
-7.398481,50,118.744444,0.0
-11.213129,50,119.626812,0.0
-5.699291,50,120.572453,0.0
-6.721213,50,121.492954,0.0
-6.841009,50,122.445448,0.0
-9.106995,50,123.327943,0.0
-8.668576,36,123.984627,1.0
-4.850594,50,124.887612,0.0
-5.814969,30,131.352163,1.0
-10.166517,50,132.261737,0.0
-6.433442,50,133.226021,0.0
-6.371027,50,134.119691,0.0
-4.456303,50,134.98653,0.0
-6.398539,50,135.878029,0.0
-4.600952,50,136.735805,0.0
-13.400269,50,137.675212,0.0
-10.063352,50,139.442254,0.0
-6.914138,50,140.320937,0.0
-7.533917,50,141.202459,0.0
-6.27832,50,147.950301,0.0
-5.05326,50,148.8345,0.0
-7.105934,50,149.803821,0.0
-8.045787,50,150.712911,0.0
-7.80617,50,151.586752,0.0
-9.202602,50,152.484338,0.0
-13.332026,50,153.407254,0.0
-8.846108,50,154.358402,0.0
-9.018248,50,155.226674,0.0
-6.083506,50,156.122966,0.0
-6.560246,50,162.917834,0.0
-3.97053,50,163.854528,0.0
-4.210113,50,164.773197,0.0
-5.275238,50,165.645083,0.0
-4.982697,50,166.530608,0.0
-5.98481,50,167.460804,0.0
-7.742061,50,168.379727,0.0
-8.724254,50,169.297241,0.0
-7.651577,50,170.197949,0.0
-4.00258,50,171.09125,0.0
-5.450168,50,177.815092,0.0
-4.461431,50,178.771356,0.0
-5.148804,50,180.698108,0.0
-3.567127,50,181.633252,0.0
-7.654775,50,182.513856,0.0
-3.632084,50,183.400383,0.0
-3.516249,50,184.388095,0.0
-7.711669,50,185.255164,0.0
-3.607665,50,186.157395,0.0
-3.606438,50,187.072418,0.0
-5.873292,50,193.796069,0.0
-5.481758,50,194.635555,0.0
-5.656938,50,195.5109,0.0
-4.535153,50,196.407376,0.0
-5.089959,50,197.355445,0.0
-6.833105,50,198.295861,0.0
-5.741899,50,199.152018,0.0
-6.291865,50,200.0274,0.0
-2.683195,26,200.487449,1.0
-3.620172,22,200.889485,1.0
-5.066167,50,201.786316,0.0
-6.259894,50,202.731865,0.0
-3.753422,50,209.48844,0.0
-3.344401,47,210.339602,1.0
-9.460513,50,211.285961,0.0
-8.206283,50,212.244508,0.0
-2.18834,17,212.546036,1.0
-4.885087,50,213.447587,0.0
-6.782405,50,214.341895,0.0
-5.997411,50,216.136922,0.0
-5.842746,50,217.088427,0.0
-5.239265,50,218.02336,0.0
-6.600708,50,218.948582,0.0
-5.555493,50,225.729835,0.0
-3.780565,50,226.623258,0.0
-10.728186,50,227.568355,0.0
-6.736579,50,228.484507,0.0
-7.159569,50,229.353012,0.0
-2.855845,20,229.696255,1.0
-3.417409,50,230.599256,0.0
-10.781367,50,231.561939,0.0
-4.509078,50,232.524468,0.0
-6.428637,50,233.52701,0.0
-3.89814,50,240.227454,0.0
-3.573355,50,241.153632,0.0
-5.27955,50,242.070008,0.0
-9.04017,50,242.983499,0.0
-2.972939,50,243.870225,0.0
-7.466315,50,244.75587,0.0
-2.770751,50,245.679908,0.0
-3.330732,50,246.553282,0.0
-4.953071,50,247.454794,0.0
-4.778072,50,248.329776,0.0
-8.317786,50,249.245757,0.0
-4.143923,50,256.081834,0.0
-3.926459,50,257.86982,0.0
-3.413256,33,258.454988,1.0
-2.320707,50,259.344902,0.0
-5.373762,50,260.249675,0.0
-2.225659,28,260.729477,1.0
-4.80373,50,261.65898,0.0
-3.677049,35,262.237459,1.0
-5.299606,50,263.108532,0.0
-1.803002,21,263.507038,1.0
-5.256657,50,264.420063,0.0
-4.273696,50,265.418285,0.0
-5.549623,23,271.664503,1.0
-3.909958,50,272.576401,0.0
-3.783573,50,273.516496,0.0
-7.39577,50,274.439341,0.0
-2.735836,50,275.360102,0.0
-2.586411,50,276.263082,0.0
-5.853822,50,277.147885,0.0
-1.100619,21,277.527741,1.0
-2.324574,50,278.458916,0.0
-3.726131,50,279.389548,0.0
-2.67916,50,280.255086,0.0
-4.80067,50,287.075215,0.0
-3.042366,47,287.908495,1.0
-2.14956,26,288.384405,1.0
-2.904706,50,289.324884,0.0
-4.181021,50,290.251868,0.0
-5.772719,50,291.149625,0.0
-3.769772,50,293.058913,0.0
-2.825467,40,293.808257,1.0
-2.878844,50,294.706149,0.0
-5.830859,50,295.597013,0.0
-6.160467,50,296.492092,0.0
-3.692084,50,303.25691,0.0
-3.593155,30,303.781914,1.0
-2.298478,37,304.423895,1.0
-6.037389,50,305.308547,0.0
-5.235607,50,306.247168,0.0
-4.757311,50,307.128449,0.0
-3.766687,50,307.999459,0.0
-2.467967,27,308.485129,1.0
-2.994504,29,309.006557,1.0
-5.869908,50,309.912671,0.0
-5.247412,50,310.772555,0.0
-3.904501,50,311.655309,0.0
-3.911255,38,318.228641,1.0
-4.967947,50,319.141036,0.0
-5.157556,50,319.998096,0.0
-5.820228,50,320.866879,0.0
-2.201182,17,321.154866,1.0
-2.743112,50,322.072363,0.0
-4.200713,50,322.961469,0.0
-2.778623,19,323.3045,1.0
-2.28074,16,323.588505,1.0
-4.21631,50,324.487266,0.0
-4.051852,50,325.374771,0.0
-2.970045,16,325.669916,1.0
-3.748336,43,326.517317,1.0
-4.564847,50,334.285863,0.0
-3.371395,50,335.157665,0.0
-2.240943,11,335.363285,1.0
-2.609985,49,336.266674,1.0
-3.318567,39,336.965002,1.0
-3.850735,28,337.453222,1.0
-3.551177,50,338.421708,0.0
-2.32103,50,339.384952,0.0
-4.869934,50,340.278887,0.0
-4.374345,50,341.172257,0.0
-7.244724,50,342.208544,0.0
-4.045274,50,343.170934,0.0
-6.597119,50,350.061748,0.0
-2.355345,18,350.402838,1.0
-1.487656,26,350.884048,1.0
-5.019448,50,351.781754,0.0
-2.028759,33,352.386163,1.0
-5.319804,50,353.223811,0.0
-2.820246,50,354.096584,0.0
-3.195435,50,355.0761,0.0
-2.666906,50,356.011329,0.0
-2.026182,11,356.194602,1.0
-4.836986,50,357.100718,0.0
-5.101785,50,358.013657,0.0
-5.829853,50,364.900175,0.0
-11.97283,50,365.883881,0.0
-6.370028,50,366.738507,0.0
-2.594901,50,367.680134,0.0
-3.212252,50,369.570353,0.0
-7.920631,50,370.633707,0.0
-2.624698,34,371.26241,1.0
-4.244393,50,372.207514,0.0
-2.332905,23,372.633692,1.0
-2.545901,16,372.934405,1.0
-3.789168,13,373.158669,1.0
-3.177554,50,374.047803,0.0
-2.690088,33,374.630459,1.0
-2.758924,19,374.961526,1.0
-5.344879,50,381.800315,0.0
-7.602568,50,382.780182,0.0
-1.950892,29,383.346084,1.0
-2.529222,50,384.248343,0.0
-4.618486,50,385.118952,0.0
-2.476921,42,385.888108,1.0
-3.311441,33,386.522726,1.0
-2.078001,41,387.252308,1.0
-4.41269,26,387.705117,1.0
-2.625635,50,388.587389,0.0
-2.842339,34,389.176468,1.0
-6.128583,50,390.088204,0.0
-8.182869,50,397.086681,0.0
-5.319168,50,398.027075,0.0
-1.624532,24,398.49316,1.0
-2.181017,50,399.499756,0.0
-2.568564,18,399.840538,1.0
-2.903342,50,400.75413,0.0
-3.444897,33,401.334971,1.0
-1.829096,45,402.185705,1.0
-0.623717,17,402.499173,1.0
-6.294744,50,403.358049,0.0
-3.564062,50,404.232764,0.0
-3.487329,35,405.826314,1.0
-3.735373,32,406.404792,1.0
-3.36051,50,413.135003,0.0
-2.84327,38,413.8371,1.0
-2.119343,21,414.217643,1.0
-3.280125,28,414.754263,1.0
-1.847621,16,415.064713,1.0
-4.010852,50,416.005774,0.0
-3.404807,50,416.987092,0.0
-4.598869,50,417.897382,0.0
-2.65026,14,418.156336,1.0
-3.486782,33,418.729096,1.0
-6.735335,50,419.615652,0.0
-4.112361,34,420.171559,1.0
-2.310452,12,420.371478,1.0
-2.999523,26,420.856417,1.0
-7.139795,29,421.357926,1.0
-4.099241,39,427.97206,1.0
-8.609246,38,428.689034,1.0
-5.760814,50,429.564203,0.0
-2.771375,31,430.1693,1.0
-3.319755,50,431.080031,0.0
-3.338644,38,431.790496,1.0
-4.268862,42,432.532088,1.0
-10.409116,50,433.512959,0.0
-3.680423,50,434.410864,0.0
-2.042869,16,434.697711,1.0
-2.563317,41,435.453769,1.0
