#{"t_start": 1649848094.6585586, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-50.0,50,1.538323,0.0
-50.0,50,2.431403,0.0
-50.0,50,3.427071,0.0
-50.0,50,4.448499,0.0
-50.0,50,5.630152,0.0
-50.0,50,6.651254,0.0
-50.0,50,7.622347,0.0
-50.0,50,8.795113,0.0
-50.0,50,9.940701,0.0
-50.0,50,10.844097,0.0
-50.0,50,14.255511,0.0
-50.0,50,15.445364,0.0
-50.0,50,16.320134,0.0
-50.0,50,17.482951,0.0
-50.0,50,18.670738,0.0
-50.0,50,19.966233,0.0
-50.0,50,20.920415,0.0
-50.0,50,21.920085,0.0
-50.0,50,23.129843,0.0
-50.0,50,24.231934,0.0
-50.0,50,29.578713,0.0
-50.0,50,30.462623,0.0
-50.0,50,31.623682,0.0
-50.0,50,32.478794,0.0
-50.0,50,33.367805,0.0
-50.0,50,35.525221,0.0
-50.0,50,36.401564,0.0
-50.0,50,37.286565,0.0
-50.0,50,38.488274,0.0
-50.0,50,39.355199,0.0
-50.0,50,46.078147,0.0
-50.0,50,47.236536,0.0
-50.0,50,48.323845,0.0
-50.0,50,49.300427,0.0
-50.0,50,50.220355,0.0
-50.0,50,51.114648,0.0
-50.0,50,52.412992,0.0
-50.0,50,53.559683,0.0
-50.0,50,54.484928,0.0
-50.0,50,55.591581,0.0
-50.0,50,62.246684,0.0
-50.0,50,63.15651,0.0
-50.0,50,64.071899,0.0
-50.0,50,65.138728,0.0
-50.0,50,66.010653,0.0
-50.0,50,67.109605,0.0
-50.0,50,67.99534,0.0
-50.0,50,68.902882,0.0
-50.0,50,69.821381,0.0
-50.0,50,71.054492,0.0
-50.0,50,73.330802,0.0
-50.0,50,79.901277,0.0
-50.0,50,81.010213,0.0
-50.0,50,81.894589,0.0
-50.0,50,83.079772,0.0
-50.0,50,84.043542,0.0
-50.0,50,84.956011,0.0
-50.0,50,85.898029,0.0
-50.0,50,86.820024,0.0
-50.0,50,87.68119,0.0
-50.0,50,88.560996,0.0
-50.0,50,91.886562,0.0
-50.0,50,93.101096,0.0
-50.0,50,93.981817,0.0
-50.0,50,94.858806,0.0
-50.0,50,96.140306,0.0
-50.0,50,97.06916,0.0
-50.0,50,97.984993,0.0
-50.0,50,99.114856,0.0
-50.0,50,100.39089,0.0
-50.0,50,101.551754,0.0
-50.0,50,106.274811,0.0
-50.0,50,107.574797,0.0
-50.0,50,108.599827,0.0
-50.0,50,109.512584,0.0
-50.0,50,111.639447,0.0
-50.0,50,112.625621,0.0
-50.0,50,113.836053,0.0
-50.0,50,114.717138,0.0
-50.0,50,115.588967,0.0
-50.0,50,116.502641,0.0
-50.0,50,123.552296,0.0
-50.0,50,124.443859,0.0
-50.0,50,125.667948,0.0
