#{"t_start": 1649796974.2968984, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-716.962192,50,1.485415,0.0
-1680.198243,50,2.304923,0.0
-1045.162973,50,3.137372,0.0
-1031.475203,50,3.966202,0.0
-1301.005639,50,4.783601,0.0
-1051.737818,50,5.606364,0.0
-1042.441767,50,6.415404,0.0
-738.579128,50,7.239924,0.0
-1918.307778,50,8.048691,0.0
-1866.071775,50,8.86532,0.0
-939.536945,50,15.443412,0.0
-1106.840569,50,16.294832,0.0
-1618.365467,50,17.112622,0.0
-941.530051,50,17.929256,0.0
-994.609346,50,18.751609,0.0
-1220.54154,50,19.573032,0.0
-1961.098275,50,20.410236,0.0
-1282.199107,50,21.233168,0.0
-1070.826708,50,22.090423,0.0
-2000.0519,50,22.893664,0.0
-1281.905348,50,29.471215,0.0
-1138.67218,50,30.285401,0.0
-1087.640374,50,31.089004,0.0
-1768.530258,50,31.905325,0.0
-682.71477,50,32.728544,0.0
-1573.171254,50,34.389555,0.0
-1544.19463,50,35.223201,0.0
-1316.350769,50,36.025807,0.0
-1172.634035,50,36.834343,0.0
-1361.639108,50,37.665408,0.0
-957.289537,50,44.240103,0.0
-1379.182188,50,45.058044,0.0
-727.101295,50,45.878275,0.0
-978.683566,50,46.711897,0.0
-1815.50349,50,47.528415,0.0
-1553.584342,50,48.34101,0.0
-1065.568367,50,49.159309,0.0
-949.977413,50,49.970467,0.0
-1030.788049,50,50.780685,0.0
-499.612947,50,51.585091,0.0
-1445.100309,50,58.189927,0.0
-1056.57653,50,59.006291,0.0
-1473.815529,50,59.798005,0.0
-1232.594644,50,60.621089,0.0
-1060.188184,50,61.419913,0.0
-1470.652698,50,62.226779,0.0
-1033.891877,50,63.040527,0.0
-2343.95039,50,63.850639,0.0
-665.361112,50,64.656514,0.0
-1272.074187,50,65.470219,0.0
-1369.597351,50,67.151152,0.0
-564.365991,50,73.740491,0.0
-937.971439,50,74.550475,0.0
-705.999932,50,75.359239,0.0
-1842.934898,50,76.183569,0.0
-995.995144,50,77.019335,0.0
-1340.055077,50,77.840328,0.0
-557.292631,50,78.659501,0.0
-867.062339,50,79.475326,0.0
-945.44936,50,80.27518,0.0
-1397.168366,50,81.077364,0.0
-829.603262,50,87.634936,0.0
-945.300424,50,88.447431,0.0
-1252.52376,50,89.276325,0.0
-758.28009,50,90.083173,0.0
-1353.575515,50,90.886079,0.0
-1206.515314,50,91.682929,0.0
-571.355746,50,92.492044,0.0
-705.85381,50,93.308633,0.0
-1373.882092,50,94.137897,0.0
-761.722793,50,94.952165,0.0
-943.785468,50,101.521266,0.0
-765.77234,50,102.314491,0.0
-876.418943,50,103.111646,0.0
-1087.699303,50,103.924856,0.0
-768.099408,50,105.577932,0.0
-902.739973,50,106.411886,0.0
-1749.358542,50,107.239104,0.0
-742.01603,50,108.048478,0.0
-665.908295,50,108.85384,0.0
-987.974407,50,109.670757,0.0
-439.428462,50,116.229087,0.0
-1029.542448,50,117.051538,0.0
-580.795029,50,117.853895,0.0
-710.314813,50,118.675082,0.0
-737.177482,50,119.496936,0.0
-435.248172,50,120.31334,0.0
-774.832804,50,121.141689,0.0
-810.884194,50,121.973395,0.0
-1076.110276,50,122.778346,0.0
-1206.001682,50,123.599985,0.0
-1076.784018,50,124.408659,0.0
-1130.587588,50,130.93527,0.0
-802.115925,50,131.730734,0.0
-686.404077,50,132.536585,0.0
-936.966403,50,133.349484,0.0
-591.237738,50,134.157329,0.0
-922.722831,50,134.972173,0.0
-848.628193,50,135.782419,0.0
-908.608888,50,136.621614,0.0
-1666.265226,50,138.282363,0.0
-995.267615,50,139.095416,0.0
-825.281255,50,145.658149,0.0
-549.103254,50,146.45858,0.0
-582.434155,50,147.27214,0.0
-852.244233,50,148.082964,0.0
-565.082879,50,148.897429,0.0
-808.26632,50,149.723951,0.0
-700.744256,50,150.527153,0.0
-788.567421,50,151.340761,0.0
-649.12841,50,152.159769,0.0
-1028.123449,50,152.957696,0.0
-784.711615,50,159.541449,0.0
-758.38348,50,160.361732,0.0
-514.579175,50,161.170981,0.0
-1258.0958,50,161.972432,0.0
-1092.714584,50,162.784833,0.0
-688.615984,50,163.582755,0.0
-843.811887,50,164.391382,0.0
-693.179323,50,165.204618,0.0
-838.97408,50,166.01059,0.0
-564.016966,50,166.829453,0.0
-1044.535529,50,173.423106,0.0
-307.646599,50,174.227318,0.0
-711.773408,50,175.040093,0.0
-957.520054,50,176.6848,0.0
-891.432639,50,177.503544,0.0
-556.568324,50,178.340336,0.0
