#{"t_start": 1650988036.6219296, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-1013.739878,50,1.099535,0.0
-1653.761576,50,1.94258,0.0
-2537.501541,50,2.803683,0.0
-586.406095,50,3.687116,0.0
-885.930837,50,4.537051,0.0
-1557.872332,50,5.386977,0.0
-578.315689,50,6.251947,0.0
-1266.129864,50,7.116964,0.0
-884.807163,50,7.980432,0.0
-649.818835,50,8.816992,0.0
-1379.244005,50,15.513215,0.0
-2005.506994,50,16.380836,0.0
-938.109656,50,17.264663,0.0
-843.191935,50,18.140676,0.0
-836.925143,50,19.013883,0.0
-745.34591,50,19.864213,0.0
-1108.067043,50,20.732738,0.0
-673.445905,50,21.610837,0.0
-1196.593677,50,22.48606,0.0
-535.096265,50,23.315857,0.0
-948.012977,50,30.099101,0.0
-490.613413,50,30.97308,0.0
-1230.440842,50,31.836548,0.0
-1228.301258,50,32.687715,0.0
-666.719841,50,33.557358,0.0
-1712.290159,50,35.447299,0.0
-856.691125,50,36.325823,0.0
-1101.306497,50,37.167869,0.0
-1529.266061,50,38.014264,0.0
-1129.952689,50,38.873938,0.0
-1365.488675,50,45.652462,0.0
-281.227589,50,46.560655,0.0
-665.12142,50,47.431727,0.0
-733.319044,50,48.31115,0.0
-860.815322,50,49.192407,0.0
-1232.413524,50,50.061039,0.0
-529.855863,50,50.933178,0.0
-766.851071,50,51.81444,0.0
-840.935816,50,52.701075,0.0
-577.846481,50,53.601663,0.0
-845.373989,50,60.31059,0.0
-638.710199,50,61.177083,0.0
-831.82264,50,62.038839,0.0
-986.13531,50,62.935171,0.0
-895.454423,50,63.845112,0.0
-988.865523,50,64.728659,0.0
-1181.178052,50,65.600679,0.0
-1311.355756,50,66.444581,0.0
-697.576818,50,67.352238,0.0
-1152.353243,50,68.230965,0.0
-843.331518,50,70.208626,0.0
-1090.669971,50,76.94186,0.0
-744.954623,50,77.807047,0.0
-979.502666,50,78.704957,0.0
-1098.938661,50,79.605876,0.0
-1056.777526,50,80.500123,0.0
-1102.865298,50,81.396448,0.0
-1200.700486,50,82.306725,0.0
-546.396888,50,83.197728,0.0
-592.731372,50,84.040637,0.0
-670.860817,50,84.922517,0.0
-1171.334363,50,91.663529,0.0
-561.973555,50,92.60275,0.0
-963.127016,50,93.52049,0.0
-472.093804,50,94.469893,0.0
-1051.034299,50,95.355217,0.0
