#{"t_start": 1649800467.5771058, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-1218.042938,50,1.713629,0.0
-1160.811706,50,2.540595,0.0
-2267.376824,50,3.369975,0.0
-1322.806841,50,4.202457,0.0
-1226.218625,50,5.25379,0.0
-1620.427258,50,6.096068,0.0
-1185.362167,50,6.934917,0.0
-1149.827555,50,7.989712,0.0
-2458.224264,50,8.873562,0.0
-2116.265477,50,9.697998,0.0
-1417.008393,50,16.267141,0.0
-1474.672728,50,17.142101,0.0
-1740.440976,50,18.000556,0.0
-777.504341,50,19.011614,0.0
-687.727497,50,20.012477,0.0
-903.090014,50,21.287263,0.0
-1774.760953,50,22.121285,0.0
-1853.623363,50,22.934927,0.0
-1604.132206,50,23.931731,0.0
-1884.154154,50,24.904255,0.0
-1628.615043,50,31.687455,0.0
-1435.057923,50,32.540232,0.0
-1303.463821,50,33.635982,0.0
-1289.394158,50,34.488339,0.0
-1601.599905,50,35.327238,0.0
-1597.909191,50,37.155656,0.0
-1585.944178,50,38.034192,0.0
-1333.460957,50,38.899609,0.0
-1343.685926,50,40.050253,0.0
-1740.751521,50,40.912914,0.0
-1498.66113,50,47.470529,0.0
-1281.92594,50,48.42672,0.0
-1503.929339,50,49.541913,0.0
-1289.086389,50,50.433424,0.0
-1770.607901,50,51.314986,0.0
-1671.988339,50,52.168988,0.0
-1264.498799,50,53.31114,0.0
-1340.639955,50,54.302829,0.0
-1351.237036,50,55.168387,0.0
-1753.793991,50,56.198547,0.0
-1703.108372,50,62.785128,0.0
-1251.757992,50,63.664805,0.0
-1694.924557,50,64.54678,0.0
-1482.989254,50,65.696198,0.0
-1413.636512,50,66.567025,0.0
-1336.444145,50,67.676829,0.0
-1417.946768,50,68.506583,0.0
-1642.96441,50,69.36351,0.0
-1101.833258,50,70.231614,0.0
-917.598389,50,71.437942,0.0
-1479.403004,50,73.606488,0.0
-1287.394508,50,80.439173,0.0
-1444.524899,50,81.537755,0.0
-1473.731091,50,82.390644,0.0
-1758.821919,50,83.485741,0.0
-1035.274908,50,84.360122,0.0
-1533.667953,50,85.240252,0.0
-995.229974,50,86.40055,0.0
-1221.276583,50,87.273067,0.0
-1023.076539,50,88.119317,0.0
-1546.056914,50,88.975608,0.0
-1122.927225,50,95.642296,0.0
-1319.402551,50,96.766913,0.0
