#{"t_start": 1649976048.0870051, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-19.472535,50,1.305567,0.0
-14.853617,50,2.14219,0.0
-27.278996,50,3.021999,0.0
-29.622857,50,3.948867,0.0
-11.317612,50,5.019158,0.0
-19.699848,50,5.898084,0.0
-21.690605,50,6.802503,0.0
-13.427049,50,7.709951,0.0
-25.002003,50,8.577939,0.0
-36.041424,50,9.46761,0.0
-16.954667,50,16.181393,0.0
-23.804275,50,17.127348,0.0
-24.53202,50,17.977576,0.0
-12.661104,50,18.891051,0.0
-10.443832,50,19.810984,0.0
-39.405301,50,20.676515,0.0
-24.422584,50,21.570794,0.0
-41.036853,50,22.487317,0.0
-28.278654,50,23.413141,0.0
-25.587982,50,24.2751,0.0
-6.125507,50,31.088042,0.0
-17.021406,50,31.943788,0.0
-22.409725,50,32.810775,0.0
-13.954948,50,33.691631,0.0
-11.923429,50,34.625461,0.0
-16.254724,50,36.353746,0.0
-11.274372,50,37.258585,0.0
-13.289199,50,38.146105,0.0
-24.326025,50,39.015118,0.0
-27.438494,50,39.892875,0.0
-9.957562,50,46.640508,0.0
-22.029937,50,47.490606,0.0
-13.475744,50,48.435682,0.0
-13.779837,50,49.352907,0.0
-14.563872,50,50.227107,0.0
-14.69774,50,51.074028,0.0
-23.687843,50,51.959789,0.0
-17.023739,50,52.948017,0.0
-26.028952,50,53.941917,0.0
-3.70537,35,54.61645,1.0
-20.038643,50,55.519091,0.0
-18.196632,50,62.168495,0.0
-21.308593,50,63.040593,0.0
-13.939499,50,63.962351,0.0
-13.419384,50,64.85487,0.0
-12.621804,50,65.724343,0.0
-19.025638,50,66.627337,0.0
-8.44663,50,67.609231,0.0
-13.903775,50,68.52651,0.0
-13.198612,50,69.464795,0.0
-20.013524,50,71.305481,0.0
-20.767124,50,78.029785,0.0
-21.487738,50,78.973373,0.0
-14.051482,50,79.884668,0.0
-26.056914,50,80.794498,0.0
-20.260446,50,81.737428,0.0
-20.008902,50,82.670732,0.0
-21.791031,50,83.571373,0.0
-24.413525,50,84.493967,0.0
-24.713516,50,85.428635,0.0
-10.195465,50,86.356307,0.0
-12.805927,50,93.062479,0.0
-11.228698,50,93.993347,0.0
-21.002064,50,94.891235,0.0
-13.783898,50,95.799436,0.0
-16.713391,50,96.778371,0.0
-5.613894,50,97.717318,0.0
-12.125687,50,98.638964,0.0
-13.748573,50,99.597555,0.0
-13.139851,50,100.525468,0.0
-3.940203,50,101.424417,0.0
-10.702185,50,108.03946,0.0
-9.777432,50,108.983813,0.0
-14.669687,50,109.919827,0.0
-13.617107,50,110.897315,0.0
-19.251301,50,112.761433,0.0
-7.837295,50,113.710365,0.0
-16.839728,50,114.670634,0.0
-20.337076,50,115.61523,0.0
-8.893991,50,116.535296,0.0
-7.17719,50,117.460766,0.0
-11.788782,50,118.422081,0.0
-19.166578,50,125.130129,0.0
-13.940606,50,126.114274,0.0
-11.992519,50,127.068999,0.0
-11.218805,50,128.016575,0.0
-14.22687,50,128.971439,0.0
-5.40355,50,130.028706,0.0
-13.001819,50,131.078624,0.0
-9.912516,50,132.096979,0.0
-16.126926,50,133.094183,0.0
-10.465372,50,134.059636,0.0
-15.520063,50,140.858412,0.0
-9.839125,50,141.798542,0.0
-13.604075,50,142.768751,0.0
-18.113882,50,143.738076,0.0
-19.524435,50,144.647516,0.0
-9.477154,50,145.57642,0.0
-15.219822,50,146.474335,0.0
-9.786448,50,147.475368,0.0
-7.159387,50,149.432328,0.0
-22.283419,50,150.402408,0.0
-14.196257,50,157.193776,0.0
-17.522632,50,158.196424,0.0
-10.196088,50,159.234978,0.0
-21.794412,50,160.202716,0.0
-5.685144,50,161.18148,0.0
-7.950408,50,162.160316,0.0
-12.261314,50,163.141247,0.0
-9.933658,50,164.106365,0.0
-8.126342,50,165.121184,0.0
-9.138054,50,166.162773,0.0
-15.077788,50,172.955932,0.0
-18.44277,50,173.93964,0.0
-14.910991,50,174.9316,0.0
-21.17156,50,175.892064,0.0
-9.473285,50,176.844008,0.0
-13.604192,50,177.762443,0.0
-9.545232,50,178.747836,0.0
-15.033806,50,179.706302,0.0
-20.862122,50,180.647204,0.0
-9.184395,50,181.606628,0.0
-16.956016,50,182.59271,0.0
