#{"t_start": 1650906340.2710154, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-50.0,50,1.344123,0.0
-50.0,50,2.283502,0.0
-50.0,50,3.166913,0.0
-50.0,50,4.090639,0.0
-50.0,50,5.038701,0.0
-21.0,22,5.56161,1.0
-50.0,50,6.493441,0.0
-50.0,50,7.360557,0.0
-50.0,50,8.24802,0.0
-50.0,50,9.133908,0.0
-50.0,50,15.788627,0.0
-50.0,50,16.695003,0.0
-50.0,50,17.576349,0.0
-50.0,50,18.436946,0.0
-50.0,50,19.324714,0.0
-50.0,50,20.206976,0.0
-50.0,50,21.082905,0.0
-50.0,50,21.959692,0.0
-50.0,50,22.907713,0.0
-50.0,50,23.908123,0.0
-50.0,50,24.836075,0.0
-50.0,50,31.472898,0.0
-50.0,50,32.324575,0.0
-50.0,50,33.17644,0.0
-50.0,50,34.055775,0.0
-50.0,50,35.932142,0.0
-50.0,50,36.839154,0.0
-50.0,50,37.782467,0.0
-50.0,50,38.666325,0.0
-50.0,50,39.525776,0.0
-50.0,50,40.378799,0.0
-50.0,50,47.035917,0.0
-50.0,50,47.905786,0.0
-50.0,50,48.822171,0.0
-50.0,50,49.729583,0.0
-50.0,50,50.581723,0.0
-50.0,50,51.42433,0.0
-50.0,50,52.315101,0.0
-50.0,50,53.376415,0.0
-50.0,50,54.276697,0.0
-50.0,50,55.184068,0.0
-50.0,50,61.949319,0.0
-50.0,50,62.984176,0.0
-50.0,50,63.887115,0.0
-50.0,50,64.769035,0.0
-50.0,50,65.67506,0.0
-50.0,50,66.564128,0.0
-50.0,50,67.541499,0.0
-50.0,50,68.462803,0.0
-50.0,50,69.348783,0.0
-50.0,50,71.153297,0.0
-50.0,50,77.847756,0.0
-50.0,50,78.790144,0.0
-50.0,50,79.777533,0.0
-50.0,50,80.693059,0.0
-50.0,50,81.570202,0.0
-50.0,50,82.482829,0.0
-50.0,50,83.37563,0.0
-50.0,50,84.313153,0.0
-50.0,50,85.188525,0.0
-50.0,50,86.05084,0.0
-50.0,50,86.910649,0.0
-50.0,50,93.57082,0.0
-50.0,50,94.431243,0.0
-50.0,50,95.328999,0.0
-50.0,50,96.216924,0.0
-50.0,50,97.168305,0.0
-50.0,50,98.155936,0.0
-50.0,50,99.062832,0.0
-50.0,50,99.943597,0.0
-50.0,50,100.820764,0.0
-50.0,50,101.682415,0.0
-50.0,50,108.381598,0.0
-50.0,50,109.287152,0.0
-50.0,50,110.205775,0.0
-50.0,50,111.991133,0.0
-50.0,50,112.876074,0.0
-50.0,50,113.78509,0.0
-50.0,50,114.673851,0.0
-50.0,50,115.596593,0.0
-50.0,50,116.647754,0.0
-50.0,50,117.518459,0.0
-50.0,50,124.173996,0.0
-50.0,50,125.099886,0.0
-50.0,50,126.003158,0.0
-50.0,50,126.897958,0.0
-50.0,50,127.783,0.0
-50.0,50,128.652198,0.0
-50.0,50,129.588672,0.0
-50.0,50,130.456769,0.0
-50.0,50,131.337782,0.0
-50.0,50,132.251091,0.0
-50.0,50,138.971223,0.0
-50.0,50,140.110164,0.0
-50.0,50,141.094037,0.0
-50.0,50,141.947586,0.0
-50.0,50,142.88408,0.0
-50.0,50,143.719599,0.0
-50.0,50,144.568444,0.0
-50.0,50,145.534347,0.0
-50.0,50,147.47474,0.0
-50.0,50,148.397699,0.0
-50.0,50,155.119167,0.0
-50.0,50,156.005613,0.0
-50.0,50,156.860993,0.0
-50.0,50,157.869261,0.0
-50.0,50,159.005394,0.0
-50.0,50,159.868361,0.0
-50.0,50,160.745985,0.0
-50.0,50,161.676154,0.0
-50.0,50,162.544971,0.0
-50.0,50,163.401209,0.0
-50.0,50,164.265043,0.0
-50.0,50,170.88556,0.0
-50.0,50,171.762116,0.0
-50.0,50,172.667201,0.0
-50.0,50,173.514831,0.0
-50.0,50,174.359769,0.0
-50.0,50,175.225008,0.0
-50.0,50,176.08624,0.0
-50.0,50,176.939155,0.0
-50.0,50,177.817917,0.0
-50.0,50,178.676158,0.0
-50.0,50,185.287138,0.0
-50.0,50,186.141192,0.0
-50.0,50,187.835368,0.0
-50.0,50,188.735981,0.0
-50.0,50,189.599232,0.0
-50.0,50,190.475386,0.0
-50.0,50,191.477221,0.0
-50.0,50,192.329669,0.0
-50.0,50,193.180994,0.0
-50.0,50,194.046887,0.0
-50.0,50,200.673667,0.0
-50.0,50,201.539333,0.0
-50.0,50,202.446238,0.0
-50.0,50,203.302076,0.0
-50.0,50,204.179982,0.0
-50.0,50,205.012164,0.0
-50.0,50,205.852306,0.0
-50.0,50,206.774338,0.0
-50.0,50,207.650496,0.0
-50.0,50,208.503021,0.0
-50.0,50,215.148657,0.0
-50.0,50,216.119926,0.0
-50.0,50,216.986308,0.0
-50.0,50,217.903929,0.0
-50.0,50,218.788374,0.0
-50.0,50,219.622376,0.0
-50.0,50,220.525199,0.0
-50.0,50,222.456376,0.0
-50.0,50,223.355211,0.0
-50.0,50,224.246268,0.0
-50.0,50,225.122089,0.0
-50.0,50,231.78942,0.0
-50.0,50,232.709448,0.0
-50.0,50,233.570205,0.0
-50.0,50,234.423227,0.0
-50.0,50,235.267099,0.0
-50.0,50,236.102404,0.0
-50.0,50,237.121069,0.0
-50.0,50,238.137744,0.0
-50.0,50,239.000637,0.0
-50.0,50,239.89695,0.0
-50.0,50,246.516339,0.0
-50.0,50,247.551486,0.0
-50.0,50,248.520038,0.0
-50.0,50,249.405243,0.0
-50.0,50,250.25685,0.0
-50.0,50,251.121643,0.0
-50.0,50,252.021258,0.0
-50.0,50,252.915906,0.0
-50.0,50,253.804821,0.0
-50.0,50,254.684899,0.0
-50.0,50,261.373121,0.0
-50.0,50,263.103345,0.0
-50.0,50,263.986735,0.0
-50.0,50,264.904259,0.0
-50.0,50,265.84956,0.0
-50.0,50,266.792558,0.0
-50.0,50,267.836013,0.0
-50.0,50,268.667342,0.0
-50.0,50,269.511122,0.0
-50.0,50,270.438664,0.0
-50.0,50,277.076908,0.0
-50.0,50,277.959136,0.0
-50.0,50,278.848455,0.0
-50.0,50,279.777624,0.0
-50.0,50,280.630067,0.0
-50.0,50,281.508575,0.0
-50.0,50,282.374687,0.0
-50.0,50,283.306993,0.0
-50.0,50,284.233292,0.0
-50.0,50,285.163578,0.0
-50.0,50,286.062771,0.0
-50.0,50,292.824689,0.0
-50.0,50,293.737577,0.0
-50.0,50,294.595395,0.0
-50.0,50,295.44636,0.0
-50.0,50,296.351376,0.0
-50.0,50,298.151484,0.0
-50.0,50,299.011176,0.0
-50.0,50,300.011158,0.0
-50.0,50,300.882774,0.0
-50.0,50,301.85441,0.0
-50.0,50,308.44205,0.0
-50.0,50,309.347379,0.0
-50.0,50,310.19423,0.0
-50.0,50,311.072993,0.0
-50.0,50,311.906738,0.0
-50.0,50,312.765002,0.0
-50.0,50,313.675272,0.0
-50.0,50,314.562397,0.0
-50.0,50,315.529363,0.0
-50.0,50,316.406739,0.0
-50.0,50,323.143871,0.0
-50.0,50,324.018583,0.0
-50.0,50,324.957996,0.0
-50.0,50,325.884709,0.0
-50.0,50,326.789614,0.0
-50.0,50,327.710018,0.0
-50.0,50,328.631013,0.0
-50.0,50,329.497941,0.0
-50.0,50,330.362164,0.0
-50.0,50,331.207204,0.0
-50.0,50,338.72944,0.0
-50.0,50,339.641413,0.0
-50.0,50,340.552504,0.0
-50.0,50,341.635293,0.0
-50.0,50,342.665881,0.0
-50.0,50,343.620172,0.0
-50.0,50,344.707394,0.0
-50.0,50,345.605391,0.0
-50.0,50,346.503957,0.0
-50.0,50,347.360358,0.0
-50.0,50,348.254642,0.0
-50.0,50,354.885657,0.0
-50.0,50,355.77097,0.0
-50.0,50,356.692726,0.0
-50.0,50,357.543459,0.0
-50.0,50,358.431225,0.0
-50.0,50,359.333405,0.0
-50.0,50,360.229861,0.0
-50.0,50,361.120438,0.0
-50.0,50,361.986994,0.0
-50.0,50,362.866765,0.0
-50.0,50,369.502647,0.0
-50.0,50,370.418676,0.0
-50.0,50,371.282408,0.0
-50.0,50,372.128148,0.0
-50.0,50,373.812377,0.0
-50.0,50,374.685891,0.0
-50.0,50,375.511299,0.0
-50.0,50,376.335152,0.0
-50.0,50,377.191618,0.0
-50.0,50,378.091329,0.0
-50.0,50,384.783985,0.0
-50.0,50,385.645611,0.0
-50.0,50,386.532471,0.0
-50.0,50,387.375322,0.0
-50.0,50,388.285586,0.0
-50.0,50,389.185686,0.0
-50.0,50,390.074585,0.0
-50.0,50,390.944707,0.0
-50.0,50,391.788324,0.0
-50.0,50,392.741311,0.0
-50.0,50,399.461652,0.0
-50.0,50,400.314436,0.0
-50.0,50,401.214529,0.0
-50.0,50,402.135057,0.0
-50.0,50,403.062775,0.0
-50.0,50,403.946893,0.0
-50.0,50,404.787451,0.0
-50.0,50,405.761569,0.0
-50.0,50,406.674159,0.0
-50.0,50,408.433526,0.0
-50.0,50,409.283457,0.0
-50.0,50,415.869284,0.0
-50.0,50,416.735413,0.0
-50.0,50,417.612882,0.0
-50.0,50,418.516866,0.0
-50.0,50,419.390783,0.0
-50.0,50,420.272975,0.0
-50.0,50,421.292001,0.0
-50.0,50,422.184981,0.0
-50.0,50,423.092297,0.0
-50.0,50,424.003127,0.0
-50.0,50,430.638367,0.0
-50.0,50,431.624355,0.0
