#{"t_start": 1649852434.9150395, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-50.0,50,1.032033,0.0
-50.0,50,1.865933,0.0
-50.0,50,2.78113,0.0
-50.0,50,3.715152,0.0
-50.0,50,4.720418,0.0
-50.0,50,5.630563,0.0
-50.0,50,6.557909,0.0
-50.0,50,7.475101,0.0
-50.0,50,8.338418,0.0
-50.0,50,9.234643,0.0
-50.0,50,12.706936,0.0
-50.0,50,13.698622,0.0
-50.0,50,14.552078,0.0
-50.0,50,15.425914,0.0
-50.0,50,16.37428,0.0
-50.0,50,17.254142,0.0
-50.0,50,18.139527,0.0
-50.0,50,19.025073,0.0
-50.0,50,19.921718,0.0
-50.0,50,20.803398,0.0
-50.0,50,26.151238,0.0
-50.0,50,27.028311,0.0
-50.0,50,27.872768,0.0
-50.0,50,28.740444,0.0
-50.0,50,29.656815,0.0
-50.0,50,31.309875,0.0
-50.0,50,32.219287,0.0
-50.0,50,33.071418,0.0
-50.0,50,33.930732,0.0
-50.0,50,34.786224,0.0
-50.0,50,41.439817,0.0
-50.0,50,42.307644,0.0
-50.0,50,43.177237,0.0
-50.0,50,44.067545,0.0
-50.0,50,44.946798,0.0
-50.0,50,45.800025,0.0
-50.0,50,46.681427,0.0
-50.0,50,47.542811,0.0
-50.0,50,48.455594,0.0
-50.0,50,49.401568,0.0
-50.0,50,56.024684,0.0
-50.0,50,57.008016,0.0
-50.0,50,57.897867,0.0
-50.0,50,58.90416,0.0
-50.0,50,59.777911,0.0
-50.0,50,60.617395,0.0
-50.0,50,61.512501,0.0
-50.0,50,62.406234,0.0
-50.0,50,63.264657,0.0
-50.0,50,64.155193,0.0
-50.0,50,65.844451,0.0
-50.0,50,72.506056,0.0
-50.0,50,73.414093,0.0
-50.0,50,74.306534,0.0
-50.0,50,75.24555,0.0
-50.0,50,76.163594,0.0
-50.0,50,77.061417,0.0
-50.0,50,77.964598,0.0
-50.0,50,78.903607,0.0
-50.0,50,79.767883,0.0
-50.0,50,80.639825,0.0
-50.0,50,87.264388,0.0
-50.0,50,88.149231,0.0
-50.0,50,89.056972,0.0
-50.0,50,89.933402,0.0
-50.0,50,90.812145,0.0
-50.0,50,91.673244,0.0
-50.0,50,92.576938,0.0
-50.0,50,93.522953,0.0
-50.0,50,94.413056,0.0
-50.0,50,95.288924,0.0
-50.0,50,101.916564,0.0
-50.0,50,102.80143,0.0
-50.0,50,103.672264,0.0
-50.0,50,104.59859,0.0
-50.0,50,106.366449,0.0
-50.0,50,107.242848,0.0
