#{"t_start": 1650845113.0975478, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-490.084861,50,1.348743,0.0
-755.530561,50,2.28853,0.0
-442.321209,50,3.173392,0.0
-764.082403,50,4.090705,0.0
-423.731978,50,5.040059,0.0
-95.128093,22,5.573581,1.0
-539.558928,50,6.511224,0.0
-921.838426,50,7.381128,0.0
-599.854287,50,8.278363,0.0
-683.00655,50,9.163416,0.0
-378.067916,50,15.840622,0.0
-425.957983,50,16.754347,0.0
-586.05133,50,17.656627,0.0
-712.366357,50,18.541912,0.0
-588.302111,50,19.445612,0.0
-1102.394513,50,20.323381,0.0
-761.75032,50,21.232039,0.0
-625.229458,50,22.136978,0.0
-385.668818,50,23.278611,0.0
-897.713167,50,24.299751,0.0
-386.851907,50,25.187425,0.0
-725.57709,50,31.879657,0.0
-1031.719382,50,32.756427,0.0
-570.220859,50,33.610182,0.0
-520.409733,50,34.501968,0.0
-850.572748,50,36.443916,0.0
-596.115822,50,37.355977,0.0
-818.160885,50,38.255281,0.0
-453.83544,50,39.169,0.0
-735.776339,50,40.046916,0.0
-794.106842,50,40.943129,0.0
-921.426514,50,47.611712,0.0
-425.32449,50,48.544672,0.0
-354.506773,50,49.522475,0.0
-656.513515,50,50.499012,0.0
-478.112089,50,51.386228,0.0
-297.961537,50,52.305277,0.0
-1014.504356,50,53.271283,0.0
-728.868846,50,54.206089,0.0
-635.957506,50,55.227591,0.0
-377.601152,50,56.17007,0.0
-634.90303,50,63.030385,0.0
-527.629173,50,64.128675,0.0
-634.921589,50,65.130349,0.0
-777.648058,50,66.050334,0.0
-591.17447,50,66.991634,0.0
-430.940072,50,67.939842,0.0
-874.326496,50,68.862176,0.0
-740.288536,50,69.809953,0.0
-696.172783,50,70.738506,0.0
-558.100935,50,72.739613,0.0
-629.097161,50,79.459939,0.0
-531.065912,50,80.502325,0.0
-520.251601,50,81.500611,0.0
-477.767932,50,82.464265,0.0
-550.890792,50,83.388422,0.0
-496.069547,50,84.322234,0.0
-395.826457,50,85.250907,0.0
-449.794521,50,86.215934,0.0
-782.060662,50,87.159675,0.0
-906.04322,50,88.133151,0.0
-597.901779,50,89.059757,0.0
-653.601618,50,95.817769,0.0
-969.626828,50,96.71392,0.0
-824.973798,50,97.60535,0.0
-427.78375,50,98.567742,0.0
-320.029595,50,99.518462,0.0
-700.031616,50,100.479595,0.0
-672.711836,50,101.46157,0.0
-320.141655,50,102.458275,0.0
-743.316497,50,103.386935,0.0
-787.518298,50,104.361316,0.0
-599.671871,50,111.079049,0.0
-381.394585,50,112.031514,0.0
-614.909215,50,113.008862,0.0
-234.939175,50,115.061713,0.0
-1016.944768,50,116.063311,0.0
-199.570666,50,117.016907,0.0
-776.208903,50,117.954488,0.0
-557.026887,50,118.971972,0.0
-465.579221,50,120.078373,0.0
-310.830539,50,121.030859,0.0
-618.670429,50,127.820783,0.0
-536.931865,50,128.805482,0.0
-516.366377,50,129.861916,0.0
-471.989226,50,130.899209,0.0
-430.754373,50,131.864897,0.0
-682.378839,50,132.832211,0.0
-347.828758,50,133.804723,0.0
-293.947299,50,134.790386,0.0
-658.020649,50,135.768537,0.0
-445.53162,50,136.851969,0.0
-298.961841,50,143.721043,0.0
-413.852596,50,144.702356,0.0
-299.381396,50,145.721089,0.0
-341.815859,50,146.749326,0.0
-335.226217,50,147.766308,0.0
-445.915463,50,148.739171,0.0
-539.347181,50,149.776948,0.0
-399.56742,50,150.845716,0.0
-380.551358,50,152.818816,0.0
-40.12319,5,152.915799,1.0
-369.561103,50,153.917733,0.0
-330.443194,50,160.651116,0.0
-661.84269,50,161.658979,0.0
-874.449358,50,162.676804,0.0
-264.846417,50,163.750529,0.0
-426.811155,50,164.855309,0.0
-326.193681,50,165.899158,0.0
-407.21931,50,166.95404,0.0
-882.668181,50,167.871908,0.0
-688.973062,50,168.863052,0.0
-807.62297,50,169.855967,0.0
-493.30436,50,170.858544,0.0
-548.403539,50,177.743519,0.0
-344.025379,50,178.812309,0.0
-571.717274,50,179.837806,0.0
-406.268587,50,180.87777,0.0
-457.547887,50,181.880799,0.0
-626.255593,50,182.890893,0.0
-308.264107,50,183.890907,0.0
-722.929004,50,184.907835,0.0
-467.310574,50,185.943549,0.0
-203.930338,50,186.965315,0.0
-481.319474,50,193.678983,0.0
-303.646667,50,194.676027,0.0
-290.410122,50,196.954659,0.0
-177.874016,50,198.064469,0.0
-785.492983,50,199.115971,0.0
-218.701177,50,200.094319,0.0
-242.855712,50,201.114135,0.0
-654.790017,50,202.181059,0.0
-701.051607,50,203.256882,0.0
-238.682882,21,203.669099,1.0
-645.806572,50,204.804648,0.0
-369.615976,50,211.659201,0.0
-230.015088,50,212.688136,0.0
-515.516092,50,213.704575,0.0
-386.038721,50,214.691379,0.0
-382.474408,50,215.80121,0.0
-588.448561,50,216.83886,0.0
-474.635825,50,217.824889,0.0
-258.235931,50,218.788907,0.0
-677.212749,50,219.844632,0.0
-403.58133,50,220.904519,0.0
-490.792517,50,227.699133,0.0
-322.996268,50,228.749806,0.0
-520.89233,50,229.804176,0.0
-312.851314,50,230.83618,0.0
-214.595669,50,231.864742,0.0
-421.528153,50,232.920463,0.0
-344.298301,50,233.969637,0.0
-481.731156,50,236.069467,0.0
-293.484174,50,237.133283,0.0
-239.846235,26,237.654789,1.0
-532.03262,50,238.673897,0.0
-397.996763,50,245.453092,0.0
-631.866823,50,246.496071,0.0
-519.222685,50,247.476545,0.0
-360.045024,50,248.449454,0.0
-452.164667,50,249.447667,0.0
-448.154541,50,250.476173,0.0
-449.167911,50,251.484404,0.0
-303.269184,50,252.47494,0.0
-365.016999,50,253.546853,1.0
-373.023126,50,254.577889,0.0
-362.292747,50,261.529148,0.0
-570.238695,50,262.614559,0.0
-272.783564,50,263.706721,0.0
-283.28588,50,264.819182,0.0
-341.053796,50,265.825648,0.0
-371.620159,50,266.829535,0.0
-710.929942,50,267.869102,0.0
-413.539565,50,268.896415,0.0
-312.798763,50,269.958502,0.0
-322.586992,50,271.01788,0.0
-294.630787,50,277.834521,0.0
-467.239643,50,279.720833,0.0
-546.986305,50,280.71772,0.0
-514.084861,50,281.959683,0.0
-366.373605,50,283.319807,0.0
-440.753134,50,284.351679,0.0
-634.766361,50,285.491977,0.0
-458.348563,50,286.573659,0.0
-283.109713,50,287.614676,0.0
-278.85369,50,288.677366,0.0
-743.644864,50,295.586494,0.0
-320.914342,50,296.643965,0.0
-271.895489,50,297.707977,0.0
-616.147618,50,298.739201,0.0
-367.87836,50,299.771931,0.0
-263.589162,50,300.824365,0.0
-202.895382,27,301.473734,1.0
-275.785915,50,302.538185,0.0
-233.655119,50,303.611648,0.0
-200.325216,50,304.658289,0.0
-861.724675,50,305.702731,0.0
-346.134952,50,312.515317,0.0
-298.529186,50,313.551284,0.0
-449.382221,50,314.61582,0.0
-1128.947101,50,315.692049,0.0
-256.409973,50,316.80135,0.0
-692.819959,50,318.896565,0.0
-300.21174,50,319.986699,0.0
-521.569004,50,320.956651,0.0
-546.376139,50,322.057498,0.0
-232.849214,50,323.074526,0.0
-574.221881,50,329.886386,0.0
-388.199393,50,330.866562,0.0
-481.449813,50,331.892223,0.0
-231.55818,50,332.994851,0.0
-566.283382,50,334.01706,0.0
-351.132268,50,335.043558,0.0
-272.240127,50,336.139162,0.0
-278.484902,50,337.207631,0.0
-300.209643,50,338.225091,0.0
-389.308831,50,339.259083,0.0
-359.533191,50,340.277493,0.0
-237.840411,50,347.220104,0.0
-702.616808,50,348.39718,0.0
-74.218345,15,348.722929,1.0
-506.014633,50,349.816716,0.0
-643.866059,50,350.846759,0.0
-449.978575,50,351.919303,0.0
-263.813872,50,353.039956,0.0
-231.004031,50,354.071141,0.0
-181.652338,50,355.116394,0.0
-288.480525,50,356.200062,0.0
-179.593294,35,357.993332,1.0
-664.927947,50,364.829175,0.0
-257.801673,34,365.60697,1.0
-640.063068,50,366.789526,0.0
-553.619112,50,367.800407,0.0
-342.502014,50,368.954493,0.0
-364.364636,50,369.941037,0.0
-260.244955,50,370.905263,0.0
-321.680917,50,371.891509,0.0
-460.366612,50,372.909363,0.0
-530.338478,50,374.00965,0.0
-171.452622,50,380.86429,0.0
-424.003639,50,381.953989,0.0
-411.018253,50,383.012812,0.0
-438.038086,50,384.088587,0.0
-215.932577,50,385.129621,0.0
-491.897575,50,386.162015,0.0
-122.161658,19,386.515717,1.0
-300.696992,50,387.476036,0.0
-512.073923,50,388.525979,0.0
-355.447631,50,389.693236,0.0
-520.643263,50,390.777416,0.0
-545.326708,50,397.607387,0.0
-323.458394,50,398.645008,0.0
-556.274703,50,399.720071,0.0
-292.02397,50,400.942139,0.0
-389.07124,50,403.046988,0.0
-133.366501,31,403.703574,1.0
-323.679359,50,404.81372,0.0
-376.046185,50,405.925861,0.0
