#{"t_start": 1649948455.2468927, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-745.137044,50,1.219229,0.0
-575.657154,50,2.107479,0.0
-1215.522449,50,3.137711,0.0
-506.407299,50,4.096287,0.0
-2735.166846,50,5.259625,0.0
-677.327012,50,6.265516,0.0
-1232.104252,50,7.228326,0.0
-2271.356706,50,8.334808,0.0
-1296.508373,50,9.296128,0.0
-700.866719,50,10.199209,0.0
-1334.767746,50,16.958151,0.0
-503.229147,50,18.105779,0.0
-1389.640802,50,18.999923,0.0
-1448.798026,50,20.128934,0.0
-1798.629207,50,21.371108,0.0
-654.36474,50,22.58772,0.0
-507.755769,50,23.499559,0.0
-640.20042,50,24.445471,0.0
-688.457197,50,25.684035,0.0
-542.58448,50,26.811508,0.0
-1139.383049,50,33.75135,0.0
-1751.155282,50,34.67239,0.0
-1476.953148,50,35.812502,0.0
-1183.667504,50,36.72049,0.0
-573.639362,50,37.693392,0.0
-1366.11649,50,39.828575,0.0
-1817.386806,50,40.750786,0.0
-801.828936,50,41.657919,0.0
-1160.769224,50,42.911355,0.0
-1476.498171,50,43.809522,0.0
-505.136555,50,50.563123,0.0
-569.190788,50,51.687655,0.0
-1061.086866,50,52.665736,0.0
-1763.851165,50,53.702015,0.0
-1521.967174,50,54.634208,0.0
-1637.716224,50,55.514246,0.0
-871.115749,50,56.763091,0.0
-581.188709,50,57.931084,0.0
-1058.331706,50,58.882565,0.0
-1429.797345,50,60.027937,0.0
-1478.304278,50,66.792166,0.0
-1375.175268,50,67.729747,0.0
-1134.657274,50,68.683044,0.0
-266.061615,50,69.868405,0.0
-470.708703,50,70.825163,0.0
-1119.926735,50,71.891792,0.0
-437.206929,50,72.881205,0.0
-1001.669961,50,73.898685,0.0
-1051.268719,50,74.806267,0.0
-1088.763675,50,76.106454,0.0
-1007.337393,50,78.313357,0.0
-629.074773,50,85.306434,0.0
-1716.531241,50,86.499455,0.0
-1262.98613,50,87.474594,0.0
-1280.403438,50,88.649989,0.0
-667.607611,50,89.628078,0.0
-315.620761,50,90.603431,0.0
-1229.211313,50,91.804631,0.0
-406.07153,50,92.789833,0.0
-1111.004954,50,93.754854,0.0
-1176.054092,50,94.669998,0.0
-774.19124,50,101.46806,0.0
-575.375787,50,102.719282,0.0
-1432.004002,50,103.664585,0.0
-975.889513,50,104.603846,0.0
-1079.843992,50,105.798023,0.0
-1639.037405,50,106.758625,0.0
-1445.966709,50,107.72621,0.0
-962.647463,50,108.837947,0.0
-550.993627,50,110.185685,0.0
-1322.002359,50,111.355676,0.0
-1074.87767,50,118.271509,0.0
-1334.28824,50,119.559955,0.0
-1476.405577,50,120.574558,0.0
-595.474138,50,121.504339,0.0
-801.448111,50,123.61674,0.0
-334.930568,31,124.191679,1.0
-1058.999782,50,125.144302,0.0
-1030.077084,50,126.056853,0.0
-622.391348,50,126.993435,0.0
-463.30896,50,127.940665,0.0
-888.868678,50,129.15467,0.0
-642.70576,50,136.000669,0.0
-1129.616222,50,137.15602,0.0
-472.522466,50,138.276204,0.0
-1028.884508,50,139.246134,0.0
-534.343444,50,140.207991,0.0
-747.11339,50,141.167284,0.0
-389.896505,50,142.085193,0.0
-380.588639,50,143.036405,0.0
-885.342439,50,144.098161,0.0
-961.30202,50,145.08531,0.0
-1071.267671,50,152.136855,0.0
-818.885353,50,153.275943,0.0
-571.117577,50,154.250175,0.0
-1005.808874,50,155.186407,0.0
-692.473571,50,156.13069,0.0
-562.419099,50,157.418102,0.0
-525.931147,50,158.450938,0.0
-1427.490941,50,159.53342,0.0
-1161.395131,50,161.438882,0.0
-1521.024611,50,162.494714,0.0
-846.858974,50,169.300754,0.0
-366.515923,50,170.453479,0.0
-1226.867903,50,171.625329,0.0
-861.938072,50,172.603682,0.0
-976.778496,50,173.770978,0.0
-776.845274,50,175.056704,0.0
-610.608524,50,176.20127,0.0
-1475.318644,50,177.193082,0.0
-248.283603,50,178.172118,0.0
-758.901475,50,179.23526,0.0
-947.843119,50,180.804952,0.0
-815.583203,50,188.230688,0.0
-490.282376,50,189.418977,0.0
-1147.808162,50,190.58728,0.0
-1076.623144,50,191.668914,0.0
-613.452732,50,192.67032,0.0
-826.93949,50,193.880346,0.0
-711.708368,50,194.786252,0.0
-729.828833,50,195.700421,0.0
-249.168573,19,196.05235,1.0
-536.029543,50,197.02442,0.0
-568.220574,50,204.123549,0.0
-377.697166,50,205.061099,0.0
-548.549176,50,206.090147,0.0
-989.249631,50,208.230404,0.0
-463.24418,50,209.287065,0.0
-747.84375,50,210.268067,0.0
-353.019525,50,211.281231,0.0
-643.748047,50,212.84682,0.0
-467.727843,50,213.806846,0.0
-606.402684,50,214.829156,0.0
-469.688721,50,215.967398,0.0
-749.674216,50,222.773284,0.0
-593.448972,50,223.782413,0.0
-641.818172,50,224.828408,0.0
-1149.810313,50,225.904578,0.0
-888.812838,50,226.838558,0.0
-816.742035,50,228.017909,0.0
-607.249894,50,229.205367,0.0
-951.772339,50,230.464385,0.0
-647.170447,50,231.379395,0.0
-908.240241,50,232.842141,0.0
-661.702904,50,239.88102,0.0
-373.336716,50,240.947441,0.0
-483.54814,50,241.892273,0.0
-510.374605,50,242.834375,0.0
-881.594035,50,243.812122,0.0
-691.547555,50,244.834983,0.0
-616.319505,50,246.028752,0.0
-1275.901149,50,248.37252,0.0
-1024.295338,50,249.390147,0.0
-910.639005,50,250.740555,0.0
-1161.254145,50,257.510873,0.0
-505.921225,50,258.478367,0.0
-537.352136,50,259.49855,0.0
-607.672455,50,260.497101,0.0
-870.281966,50,261.399334,0.0
-1184.458231,50,262.434876,0.0
-586.829542,50,263.361454,0.0
-715.668055,50,264.448466,0.0
-842.535875,50,265.760399,0.0
-1608.19612,50,266.846807,0.0
-619.903023,50,273.750091,0.0
-575.643589,50,274.738373,0.0
-354.63618,50,275.82051,0.0
-645.052672,50,276.762641,0.0
-836.178277,50,277.893109,0.0
-351.003761,50,279.132587,0.0
-1320.679344,50,280.201284,0.0
-560.894295,50,281.186701,0.0
-940.440704,50,282.448171,0.0
-539.617526,50,283.767044,0.0
-865.495918,50,284.699038,0.0
-524.695945,50,291.532745,0.0
-445.306112,50,293.554007,0.0
-387.853744,50,294.429425,0.0
-502.38866,50,295.601277,0.0
-425.993725,50,296.598282,0.0
-855.603354,50,297.779186,0.0
-399.643919,50,298.811048,0.0
-575.746066,50,299.89569,0.0
-746.745601,50,300.799035,0.0
-977.95633,50,301.744828,0.0
-324.995929,50,308.483421,0.0
-1046.66924,50,309.44531,0.0
-892.633435,50,310.659078,0.0
-462.219367,50,311.527208,0.0
-585.803998,50,312.567893,0.0
-595.659411,50,313.543636,0.0
-532.508093,50,314.56564,0.0
-448.251705,50,315.762959,0.0
-474.806077,50,316.920077,0.0
-1015.867713,50,318.140407,0.0
-1137.681019,50,324.960045,0.0
-808.605174,50,326.150043,0.0
-552.595889,50,327.344551,0.0
