#{"t_start": 1650864766.5163999, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-11.406133,50,1.481877,0.0
-13.986395,50,2.279028,0.0
-15.483274,50,3.090631,0.0
-15.272998,50,3.928534,0.0
-7.631505,50,4.745952,0.0
-13.961117,50,5.591791,0.0
-14.016916,50,6.447557,0.0
-12.979079,50,7.29171,0.0
-14.332289,50,8.093665,0.0
-16.771771,50,8.905021,0.0
-11.384276,50,15.482659,0.0
-13.872188,50,16.292046,0.0
-9.685827,50,17.095128,0.0
-15.981776,50,17.904912,0.0
-15.754169,50,18.711369,0.0
-17.694035,50,19.5129,0.0
-18.916841,50,20.317214,0.0
-11.043093,50,21.125984,0.0
-8.193192,50,21.942565,0.0
-15.237963,50,22.745461,0.0
-20.199761,50,29.303904,0.0
-16.801159,50,30.122046,0.0
-16.323862,50,30.93278,0.0
-7.81486,50,31.733148,0.0
-11.440209,50,32.543372,0.0
-12.579481,50,34.196007,0.0
-16.097053,50,35.002076,0.0
-12.54056,50,35.80545,0.0
-12.570354,50,36.607984,0.0
-7.498906,50,37.412769,0.0
-11.8131,50,43.975687,0.0
-7.111499,50,44.783779,0.0
-9.774082,50,45.591578,0.0
-8.870079,50,46.414482,0.0
-11.200873,50,47.218165,0.0
-10.680174,50,48.019005,0.0
-13.866339,50,48.824872,0.0
-5.624758,50,49.641231,0.0
-9.729711,50,50.449212,0.0
-9.769572,50,51.263386,0.0
-6.528088,50,57.796049,0.0
-12.477852,50,58.605861,0.0
-11.817627,50,59.405307,0.0
-12.651256,50,60.237761,0.0
-14.482178,50,61.059691,0.0
-14.169535,50,61.883331,0.0
-8.654391,50,62.696076,0.0
-13.80356,50,63.507609,0.0
-7.822675,50,64.314285,0.0
-8.20437,50,65.122432,0.0
-11.391597,50,66.761003,0.0
-6.728005,50,73.305422,0.0
-4.568866,50,74.12321,0.0
-11.205582,50,74.935449,0.0
-13.560676,50,75.750737,0.0
-7.543357,50,76.553962,0.0
-6.666515,50,77.36629,0.0
-6.619166,50,78.175791,0.0
-8.347905,50,78.990772,0.0
-11.901233,50,79.795922,0.0
-9.123585,50,80.602571,0.0
-6.924045,50,87.149034,0.0
-7.93984,50,87.968038,0.0
-10.578186,50,88.761325,0.0
-7.109362,50,89.556141,0.0
-12.839983,50,90.368435,0.0
-10.899854,50,91.158025,0.0
-6.939582,50,91.958878,0.0
-8.646375,50,92.767541,0.0
-10.304397,50,93.584394,0.0
-8.437608,50,94.402349,0.0
-5.574858,50,100.982214,0.0
-4.222235,50,101.783534,0.0
-5.154387,50,102.59595,0.0
-7.023294,50,103.399734,0.0
-3.65855,50,105.048975,0.0
-8.262469,50,105.858288,0.0
-8.650067,50,106.667668,0.0
-1.586158,25,107.06966,1.0
-4.793663,50,107.87751,0.0
-9.64718,50,108.676278,0.0
-3.421731,50,109.48805,0.0
-5.698536,50,116.019639,0.0
-2.809105,50,116.827553,0.0
-5.082503,50,117.630339,0.0
-4.907335,50,118.43599,0.0
-3.822716,50,119.238964,0.0
-4.22837,50,120.051569,0.0
-2.821297,50,120.865412,0.0
-6.589713,50,121.674345,0.0
-7.46511,50,122.487454,0.0
-5.535173,50,123.306438,0.0
-4.429191,50,129.868892,0.0
-5.922069,50,130.677377,0.0
-4.292269,50,131.494689,0.0
-5.765346,50,132.305026,0.0
-3.095858,50,133.100634,0.0
-6.207548,50,133.901399,0.0
-3.393864,34,134.447939,1.0
-4.245565,50,135.255068,0.0
-8.828595,50,136.895408,0.0
-4.292276,50,137.710564,0.0
-6.816391,50,138.514519,0.0
-4.14217,50,145.085705,0.0
-3.507156,47,145.854359,1.0
-4.461088,50,146.675659,0.0
-6.55109,50,147.469704,0.0
-3.82438,41,148.133825,1.0
-3.74577,50,148.963379,0.0
-4.882444,50,149.753799,0.0
-4.734115,50,150.560199,0.0
-5.647111,50,151.360791,0.0
-5.069819,50,152.159435,0.0
-4.235367,50,158.703767,0.0
-2.693626,50,159.506025,0.0
-3.92512,50,160.316974,0.0
-7.230378,50,161.121164,0.0
-4.513901,50,161.917563,0.0
-6.324796,50,162.709753,0.0
-3.256588,50,163.508374,0.0
-7.517084,50,164.295425,0.0
-4.533976,50,165.090549,0.0
-3.249989,50,165.889427,0.0
-3.629378,50,172.401651,0.0
-3.045451,50,173.208226,0.0
-3.02653,41,173.87464,1.0
-4.247201,50,175.361952,0.0
-3.640713,50,176.166975,0.0
-9.047141,50,176.959188,0.0
-3.947525,50,177.753491,0.0
-2.789788,50,178.556764,0.0
-3.386591,50,179.361763,0.0
-4.846788,50,180.193191,0.0
-3.801652,50,181.006374,0.0
-2.417802,50,187.533272,0.0
-5.417561,50,188.321314,0.0
-3.231644,50,189.121796,0.0
-5.214138,50,189.917131,0.0
-3.038355,50,190.709765,0.0
-3.291831,50,191.502918,0.0
-3.101332,50,192.311322,0.0
-7.553318,50,193.106782,0.0
-3.37062,50,193.927009,0.0
-5.98941,50,194.725265,0.0
-4.269762,50,201.300295,0.0
-2.92274,50,202.109469,0.0
-5.245038,50,202.905549,0.0
-5.015685,50,203.690885,0.0
-5.56577,50,204.500635,0.0
-3.274019,50,205.297928,0.0
-3.416068,50,206.093262,0.0
-4.520144,50,207.712223,0.0
-1.868176,21,208.049356,1.0
-2.685269,50,208.837221,0.0
-4.381798,50,209.632356,0.0
-2.247906,50,216.202487,0.0
-5.534971,48,216.971838,1.0
-2.646326,50,217.764312,0.0
-4.696659,50,218.553902,0.0
-2.612694,50,219.376006,0.0
-5.81014,36,219.940262,1.0
-4.109471,50,220.742047,0.0
-3.509689,50,221.558497,0.0
-2.598731,50,222.353905,0.0
-4.334126,50,223.160801,0.0
-3.315545,50,229.694647,0.0
-3.77115,50,230.478072,0.0
-2.847629,50,231.310728,0.0
-3.144521,50,232.147634,0.0
-1.291632,19,232.454399,1.0
-4.197067,50,233.285298,0.0
-2.362176,50,234.104945,0.0
-2.919481,50,234.903008,0.0
-5.642842,50,235.693013,0.0
-2.901703,50,236.508404,0.0
-3.742143,50,237.312617,0.0
-5.105984,50,243.882021,0.0
-1.760903,44,245.37124,1.0
-3.363787,50,246.165841,0.0
-1.071079,24,246.550517,1.0
-1.643476,34,247.106247,1.0
-2.18096,32,247.620289,1.0
-5.140839,50,248.402889,0.0
-1.417465,29,248.857409,1.0
-4.200082,50,249.655746,0.0
-3.29686,50,250.449602,0.0
-3.57797,50,251.244103,0.0
-5.340499,50,252.038831,0.0
-4.020366,50,258.567147,0.0
-1.824714,38,259.210052,1.0
-3.002289,50,260.005648,0.0
-2.720179,50,260.803332,0.0
-1.416611,25,261.207185,1.0
-0.802703,15,261.442823,1.0
-4.105642,31,261.933421,1.0
-2.819329,50,262.727819,0.0
-2.277866,50,263.521031,0.0
-4.625662,50,264.31201,0.0
-4.46156,50,265.100452,0.0
-1.989586,50,265.891275,0.0
-2.690951,50,272.415542,0.0
-3.422224,26,272.820178,1.0
-2.577052,50,273.609785,0.0
-2.535701,18,273.890527,1.0
-1.898961,50,274.689215,0.0
-3.632807,50,275.47732,0.0
-1.952339,50,276.263819,0.0
-2.239507,50,277.768542,0.0
-2.822296,50,278.558923,0.0
