#{"t_start": 1650875638.788081, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-14.745135,50,1.145176,0.0
-6.926639,50,2.084416,0.0
-8.446332,50,2.964518,0.0
-20.425957,50,3.87921,0.0
-13.767563,50,4.825733,0.0
-12.943859,50,5.91524,0.0
-8.529338,50,6.798749,0.0
-11.123951,50,7.67368,0.0
-16.83072,50,8.557416,0.0
-19.134704,50,9.461338,0.0
-14.55712,50,16.121681,0.0
-10.11361,50,17.037255,0.0
-14.382211,50,17.892278,0.0
-8.665102,50,18.796079,0.0
-14.819146,50,19.680274,0.0
-21.824195,50,20.598698,0.0
-19.848473,50,21.464587,0.0
-10.603373,50,22.498111,0.0
-8.314122,50,23.651335,0.0
-15.752604,50,24.545407,0.0
-9.726099,50,31.228961,0.0
-11.490652,50,32.099115,0.0
-5.463038,50,32.964037,0.0
-13.229927,50,33.836848,0.0
-7.119702,50,34.77667,0.0
-5.891085,50,36.74549,0.0
-7.29844,50,37.652637,0.0
-5.269697,50,38.568268,0.0
-5.641951,50,39.473783,0.0
-13.147538,50,40.349021,0.0
-10.993557,50,47.032004,0.0
-6.251646,50,48.01629,0.0
-12.435549,50,48.971932,0.0
-14.635733,50,49.945125,0.0
-11.716827,50,50.869854,0.0
-9.217014,50,51.793133,0.0
-10.272714,50,52.748894,0.0
-7.605047,50,53.667598,0.0
-8.852835,50,54.691496,0.0
-10.843084,50,55.633268,0.0
-12.304089,50,62.329042,0.0
-9.50478,50,63.585761,0.0
-5.010051,50,64.504433,0.0
-12.151394,50,65.484439,0.0
-4.236302,50,66.405928,0.0
-6.169181,50,67.439784,0.0
-8.039906,50,68.388431,0.0
-3.581012,50,69.345839,0.0
-7.543921,50,70.274311,0.0
-10.083835,50,71.31531,0.0
-11.720867,50,73.594729,0.0
-10.648107,50,80.379003,0.0
-6.481038,50,81.390027,0.0
-8.730795,50,82.586307,0.0
-8.658054,50,83.612179,0.0
-10.579488,50,84.591361,0.0
-2.631991,50,85.562202,0.0
-4.724573,50,86.552797,0.0
-7.951112,50,87.51953,0.0
-6.052706,50,88.553136,0.0
