#{"t_start": 1650898972.2004435, "env_id": "PandaReachJoints-v2"}
r,l,t,is_success
-50.0,50,1.083617,0.0
-50.0,50,1.948397,0.0
-50.0,50,2.810201,0.0
-50.0,50,3.68989,0.0
-50.0,50,4.551083,0.0
-50.0,50,5.419416,0.0
-50.0,50,6.272279,0.0
-50.0,50,7.124039,0.0
-50.0,50,7.947363,0.0
-50.0,50,8.78184,0.0
-50.0,50,15.200145,0.0
-50.0,50,16.038851,0.0
-50.0,50,16.885173,0.0
-50.0,50,17.736738,0.0
-50.0,50,18.577482,0.0
-50.0,50,19.402621,0.0
-50.0,50,20.269736,0.0
-50.0,50,21.120327,0.0
-50.0,50,22.006109,0.0
-50.0,50,22.839653,0.0
-50.0,50,29.423539,0.0
-50.0,50,30.241036,0.0
-50.0,50,31.108537,0.0
-50.0,50,31.964554,0.0
-50.0,50,32.82257,0.0
-50.0,50,34.624991,0.0
-50.0,50,35.460619,0.0
-50.0,50,36.290704,0.0
-50.0,50,37.124695,0.0
-50.0,50,37.966723,0.0
-50.0,50,44.60562,0.0
-50.0,50,45.462336,0.0
-50.0,50,46.291868,0.0
-50.0,50,47.157364,0.0
-50.0,50,48.004175,0.0
-50.0,50,48.821481,0.0
-50.0,50,49.657734,0.0
-50.0,50,50.53925,0.0
-50.0,50,51.404569,0.0
-50.0,50,52.256479,0.0
-50.0,50,58.868848,0.0
-50.0,50,59.782608,0.0
-50.0,50,60.614348,0.0
-50.0,50,61.49674,0.0
-50.0,50,62.331584,0.0
-50.0,50,63.196253,0.0
-50.0,50,64.082808,0.0
-50.0,50,64.934098,0.0
-50.0,50,65.778167,0.0
-50.0,50,66.625966,0.0
-50.0,50,68.384345,0.0
-50.0,50,75.044955,0.0
-50.0,50,75.977832,0.0
-50.0,50,76.85916,0.0
-50.0,50,77.717696,0.0
-50.0,50,78.598775,0.0
-50.0,50,79.440254,0.0
-50.0,50,80.291167,0.0
-50.0,50,81.224792,0.0
-50.0,50,82.052295,0.0
-50.0,50,82.88334,0.0
-50.0,50,89.523323,0.0
-50.0,50,90.408933,0.0
-50.0,50,91.225211,0.0
-50.0,50,92.061233,0.0
-50.0,50,92.911047,0.0
-50.0,50,93.742166,0.0
-50.0,50,94.60768,0.0
-50.0,50,95.443551,0.0
-50.0,50,96.290582,0.0
-50.0,50,97.14499,0.0
-50.0,50,103.713528,0.0
-50.0,50,104.611978,0.0
-50.0,50,105.515259,0.0
-50.0,50,106.412367,0.0
-50.0,50,108.283371,0.0
-50.0,50,109.143404,0.0
-50.0,50,110.018131,0.0
-50.0,50,110.836038,0.0
-50.0,50,111.691592,0.0
-50.0,50,112.538495,0.0
-50.0,50,119.190815,0.0
-50.0,50,120.026823,0.0
-50.0,50,120.914009,0.0
-50.0,50,121.775333,0.0
-50.0,50,122.622342,0.0
-50.0,50,123.437773,0.0
-50.0,50,124.277531,0.0
-50.0,50,125.128595,0.0
-50.0,50,125.974586,0.0
-50.0,50,126.83286,0.0
-50.0,50,127.703137,0.0
-50.0,50,134.303832,0.0
-50.0,50,135.132259,0.0
-50.0,50,135.980272,0.0
-50.0,50,136.839536,0.0
-50.0,50,137.722495,0.0
-50.0,50,138.568302,0.0
-50.0,50,139.404946,0.0
-50.0,50,140.29477,0.0
-50.0,50,142.01624,0.0
-50.0,50,142.919972,0.0
-50.0,50,149.548903,0.0
-50.0,50,150.375915,0.0
-50.0,50,151.229057,0.0
-50.0,50,152.060983,0.0
-50.0,50,152.917178,0.0
-50.0,50,153.754906,0.0
-50.0,50,154.620329,0.0
-50.0,50,155.460752,0.0
-50.0,50,156.32543,0.0
-50.0,50,157.168985,0.0
-50.0,50,163.747171,0.0
-50.0,50,164.599638,0.0
-50.0,50,165.422859,0.0
-50.0,50,166.275049,0.0
-50.0,50,167.13948,0.0
-50.0,50,167.954437,0.0
-50.0,50,168.776066,0.0
-50.0,50,169.60771,0.0
-50.0,50,170.427698,0.0
-50.0,50,171.246359,0.0
-50.0,50,177.883664,0.0
-50.0,50,178.735745,0.0
-50.0,50,179.566499,0.0
-50.0,50,181.228234,0.0
-50.0,50,182.081405,0.0
-50.0,50,182.918541,0.0
-50.0,50,183.762301,0.0
-50.0,50,184.631709,0.0
-50.0,50,185.489087,0.0
-50.0,50,186.330303,0.0
-50.0,50,187.173028,0.0
-50.0,50,193.778913,0.0
-50.0,50,194.632021,0.0
-50.0,50,195.47769,0.0
-50.0,50,196.319462,0.0
-50.0,50,197.1995,0.0
-50.0,50,198.030311,0.0
-50.0,50,198.865128,0.0
-50.0,50,199.69615,0.0
-50.0,50,200.540491,0.0
-50.0,50,201.390882,0.0
-50.0,50,207.987563,0.0
-50.0,50,208.808891,0.0
-50.0,50,209.634509,0.0
-50.0,50,210.47956,0.0
-50.0,50,211.295548,0.0
-50.0,50,212.105587,0.0
-50.0,50,212.930491,0.0
-50.0,50,214.739603,0.0
-50.0,50,215.717007,0.0
-50.0,50,216.620376,0.0
-50.0,50,223.222463,0.0
-50.0,50,224.053739,0.0
-50.0,50,224.898397,0.0
-50.0,50,225.730878,0.0
-50.0,50,226.56508,0.0
-50.0,50,227.420653,0.0
-50.0,50,228.265739,0.0
-50.0,50,229.128565,0.0
-50.0,50,229.986716,0.0
-50.0,50,230.819077,0.0
-50.0,50,237.450238,0.0
-50.0,50,238.25858,0.0
-50.0,50,239.103253,0.0
